# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,21,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(8,7),4.46698 # DEPENDENCYPART_ARC
(8,9),3.58832 # DEPENDENCYPART_ARC
(8,11),1.11841 # DEPENDENCYPART_ARC
(8,12),0.814121 # DEPENDENCYPART_ARC
(8,13),0.936634 # DEPENDENCYPART_ARC
(8,14),0.565226 # DEPENDENCYPART_ARC
(8,16),-1.05062 # DEPENDENCYPART_ARC
(8,17),-0.988705 # DEPENDENCYPART_ARC
(8,19),-0.220259 # DEPENDENCYPART_ARC
(8,21),-0.786773 # DEPENDENCYPART_ARC
(8,23),-1.15615 # DEPENDENCYPART_ARC
(8,25),-0.891512 # DEPENDENCYPART_ARC
(8,27),-1.33851 # DEPENDENCYPART_ARC
(8,28),1.01326 # DEPENDENCYPART_ARC
(8,34),-0.576667 # DEPENDENCYPART_ARC
(9,3),-0.349775 # DEPENDENCYPART_ARC
(9,5),-0.796658 # DEPENDENCYPART_ARC
(9,8),-0.429256 # DEPENDENCYPART_ARC
(9,10),-0.343377 # DEPENDENCYPART_ARC
(9,11),4.29013 # DEPENDENCYPART_ARC
(9,12),-1.16444 # DEPENDENCYPART_ARC
(9,13),-0.664154 # DEPENDENCYPART_ARC
(9,14),-0.89103 # DEPENDENCYPART_ARC
(9,16),0.988423 # DEPENDENCYPART_ARC
(9,17),0.895081 # DEPENDENCYPART_ARC
(10,8),-1.20659 # DEPENDENCYPART_ARC
(10,9),-0.149144 # DEPENDENCYPART_ARC
(11,10),2.75235 # DEPENDENCYPART_ARC
(11,12),-0.847036 # DEPENDENCYPART_ARC
(11,13),-1.29324 # DEPENDENCYPART_ARC
(11,14),-1.78431 # DEPENDENCYPART_ARC
(12,1),-2.75114 # DEPENDENCYPART_ARC
(12,2),-3.02969 # DEPENDENCYPART_ARC
(12,3),0.0582211 # DEPENDENCYPART_ARC
(12,4),0.15789 # DEPENDENCYPART_ARC
(12,5),-0.0692896 # DEPENDENCYPART_ARC
(12,8),-1.18538 # DEPENDENCYPART_ARC
(12,11),-0.551507 # DEPENDENCYPART_ARC
(12,13),-0.309638 # DEPENDENCYPART_ARC
(12,14),-1.20937 # DEPENDENCYPART_ARC
(12,16),-1.1282 # DEPENDENCYPART_ARC
(12,40),2.91262 # DEPENDENCYPART_ARC
(13,1),0.558387 # DEPENDENCYPART_ARC
(13,2),-0.210488 # DEPENDENCYPART_ARC
(13,3),2.75045 # DEPENDENCYPART_ARC
(13,4),2.9878 # DEPENDENCYPART_ARC
(13,5),2.27615 # DEPENDENCYPART_ARC
(13,6),-1.48123 # DEPENDENCYPART_ARC
(13,7),0.225171 # DEPENDENCYPART_ARC
(13,8),1.0767 # DEPENDENCYPART_ARC
(13,9),0.388212 # DEPENDENCYPART_ARC
(13,10),-0.102161 # DEPENDENCYPART_ARC
(13,11),2.44207 # DEPENDENCYPART_ARC
(13,12),5.19551 # DEPENDENCYPART_ARC
(13,14),2.49975 # DEPENDENCYPART_ARC
(13,15),2.24779 # DEPENDENCYPART_ARC
(13,16),1.23299 # DEPENDENCYPART_ARC
(13,17),-0.262308 # DEPENDENCYPART_ARC
(13,19),0.697422 # DEPENDENCYPART_ARC
(13,20),0.507945 # DEPENDENCYPART_ARC
(13,21),-0.528827 # DEPENDENCYPART_ARC
(13,22),-0.0560942 # DEPENDENCYPART_ARC
(13,23),-1.65141 # DEPENDENCYPART_ARC
(13,24),0.391533 # DEPENDENCYPART_ARC
(13,25),-0.515736 # DEPENDENCYPART_ARC
(13,27),-0.393776 # DEPENDENCYPART_ARC
(13,28),0.3966 # DEPENDENCYPART_ARC
(13,30),-1.16835 # DEPENDENCYPART_ARC
(13,33),-1.09062 # DEPENDENCYPART_ARC
(13,34),-1.12919 # DEPENDENCYPART_ARC
(13,36),-0.616649 # DEPENDENCYPART_ARC
(13,37),-1.60342 # DEPENDENCYPART_ARC
(13,39),-2.25176 # DEPENDENCYPART_ARC
(13,40),7.53475 # DEPENDENCYPART_ARC
(14,15),4.92117 # DEPENDENCYPART_ARC
(14,16),2.02935 # DEPENDENCYPART_ARC
(14,17),1.36031 # DEPENDENCYPART_ARC
(14,20),-0.433526 # DEPENDENCYPART_ARC
(14,22),-0.668348 # DEPENDENCYPART_ARC
(14,31),-1.43117 # DEPENDENCYPART_ARC
(15,2),-3.1247 # DEPENDENCYPART_ARC
(15,10),-1.94354 # DEPENDENCYPART_ARC
(15,14),0.513102 # DEPENDENCYPART_ARC
(15,16),-0.117146 # DEPENDENCYPART_ARC
(15,17),-0.0500009 # DEPENDENCYPART_ARC
(15,19),0.0712347 # DEPENDENCYPART_ARC
(15,21),-1.2765 # DEPENDENCYPART_ARC
(15,22),-0.709721 # DEPENDENCYPART_ARC
(15,23),-1.82544 # DEPENDENCYPART_ARC
(15,24),-0.92472 # DEPENDENCYPART_ARC
(15,25),-0.863357 # DEPENDENCYPART_ARC
(17,16),0.443034 # DEPENDENCYPART_ARC
(17,18),-1.24461 # DEPENDENCYPART_ARC
(17,19),4.13773 # DEPENDENCYPART_ARC
(17,20),0.618616 # DEPENDENCYPART_ARC
(17,22),-0.0165536 # DEPENDENCYPART_ARC
(17,23),-0.257092 # DEPENDENCYPART_ARC
(17,25),-0.558754 # DEPENDENCYPART_ARC
(18,17),0.448306 # DEPENDENCYPART_ARC
(19,1),-1.51923 # DEPENDENCYPART_ARC
(19,2),-1.94465 # DEPENDENCYPART_ARC
(19,8),-2.47352 # DEPENDENCYPART_ARC
(19,13),-1.02712 # DEPENDENCYPART_ARC
(19,14),-1.44964 # DEPENDENCYPART_ARC
(19,16),-0.542417 # DEPENDENCYPART_ARC
(19,17),0.591628 # DEPENDENCYPART_ARC
(19,18),4.00291 # DEPENDENCYPART_ARC
(19,20),-0.164959 # DEPENDENCYPART_ARC
(19,21),0.63747 # DEPENDENCYPART_ARC
(19,22),0.823268 # DEPENDENCYPART_ARC
(19,23),-0.679441 # DEPENDENCYPART_ARC
(19,24),1.0246 # DEPENDENCYPART_ARC
(19,25),0.872728 # DEPENDENCYPART_ARC
(19,27),-1.01833 # DEPENDENCYPART_ARC
(19,28),-0.155687 # DEPENDENCYPART_ARC
(19,37),0.343059 # DEPENDENCYPART_ARC
(19,39),-0.229811 # DEPENDENCYPART_ARC
(21,14),-0.724026 # DEPENDENCYPART_ARC
(21,17),-0.102747 # DEPENDENCYPART_ARC
(21,20),1.74571 # DEPENDENCYPART_ARC
(21,22),2.63094 # DEPENDENCYPART_ARC
(21,25),0.50981 # DEPENDENCYPART_ARC
(21,27),-0.120452 # DEPENDENCYPART_ARC
(21,28),-0.0321643 # DEPENDENCYPART_ARC
(21,30),-0.459595 # DEPENDENCYPART_ARC
(22,13),-1.82964 # DEPENDENCYPART_ARC
(22,20),-0.443564 # DEPENDENCYPART_ARC
(22,23),3.82122 # DEPENDENCYPART_ARC
(22,24),1.13274 # DEPENDENCYPART_ARC
(22,25),0.794876 # DEPENDENCYPART_ARC
(22,27),0.472713 # DEPENDENCYPART_ARC
(22,28),-0.881808 # DEPENDENCYPART_ARC
(23,20),-0.69608 # DEPENDENCYPART_ARC
(23,22),0.218864 # DEPENDENCYPART_ARC
(23,24),-0.435975 # DEPENDENCYPART_ARC
(24,2),-3.09211 # DEPENDENCYPART_ARC
(24,3),-0.607142 # DEPENDENCYPART_ARC
(24,4),-2.21309 # DEPENDENCYPART_ARC
(24,5),-1.4558 # DEPENDENCYPART_ARC
(24,13),-3.25435 # DEPENDENCYPART_ARC
(24,20),0.0905076 # DEPENDENCYPART_ARC
(24,22),0.255525 # DEPENDENCYPART_ARC
(24,23),0.134924 # DEPENDENCYPART_ARC
(24,25),0.0831344 # DEPENDENCYPART_ARC
(24,27),-0.104268 # DEPENDENCYPART_ARC
(24,28),-0.845821 # DEPENDENCYPART_ARC
(24,40),2.77853 # DEPENDENCYPART_ARC
(25,1),-0.723245 # DEPENDENCYPART_ARC
(25,2),-1.24471 # DEPENDENCYPART_ARC
(25,3),0.77702 # DEPENDENCYPART_ARC
(25,4),-1.03822 # DEPENDENCYPART_ARC
(25,5),-0.280621 # DEPENDENCYPART_ARC
(25,8),-0.776584 # DEPENDENCYPART_ARC
(25,11),-0.0823019 # DEPENDENCYPART_ARC
(25,12),0.857939 # DEPENDENCYPART_ARC
(25,13),-1.29948 # DEPENDENCYPART_ARC
(25,14),-1.30613 # DEPENDENCYPART_ARC
(25,15),-1.12363 # DEPENDENCYPART_ARC
(25,16),-0.302806 # DEPENDENCYPART_ARC
(25,17),0.380573 # DEPENDENCYPART_ARC
(25,19),0.114212 # DEPENDENCYPART_ARC
(25,20),1.40608 # DEPENDENCYPART_ARC
(25,21),1.73311 # DEPENDENCYPART_ARC
(25,22),1.90422 # DEPENDENCYPART_ARC
(25,23),1.39515 # DEPENDENCYPART_ARC
(25,24),5.40577 # DEPENDENCYPART_ARC
(25,27),3.20594 # DEPENDENCYPART_ARC
(25,28),2.42353 # DEPENDENCYPART_ARC
(25,30),0.800359 # DEPENDENCYPART_ARC
(25,31),0.558154 # DEPENDENCYPART_ARC
(25,33),0.335486 # DEPENDENCYPART_ARC
(25,34),0.940954 # DEPENDENCYPART_ARC
(25,36),0.686448 # DEPENDENCYPART_ARC
(25,37),0.219483 # DEPENDENCYPART_ARC
(25,39),-0.208695 # DEPENDENCYPART_ARC
(25,40),4.76479 # DEPENDENCYPART_ARC
(26,27),2.54747 # DEPENDENCYPART_ARC
(26,28),-0.195369 # DEPENDENCYPART_ARC
(26,29),-0.856361 # DEPENDENCYPART_ARC
(27,17),-0.760981 # DEPENDENCYPART_ARC
(27,22),-1.20298 # DEPENDENCYPART_ARC
(27,23),0.858206 # DEPENDENCYPART_ARC
(27,24),-1.58529 # DEPENDENCYPART_ARC
(27,26),3.55354 # DEPENDENCYPART_ARC
(27,28),1.42132 # DEPENDENCYPART_ARC
(27,30),0.60258 # DEPENDENCYPART_ARC
(27,31),1.22792 # DEPENDENCYPART_ARC
(27,33),0.604326 # DEPENDENCYPART_ARC
(27,34),0.270289 # DEPENDENCYPART_ARC
(27,36),0.605925 # DEPENDENCYPART_ARC
(27,37),1.67411 # DEPENDENCYPART_ARC
(27,39),1.06152 # DEPENDENCYPART_ARC
(28,26),-0.617854 # DEPENDENCYPART_ARC
(28,27),-0.427965 # DEPENDENCYPART_ARC
(28,29),-1.17031 # DEPENDENCYPART_ARC
(28,30),3.81023 # DEPENDENCYPART_ARC
(28,31),0.211296 # DEPENDENCYPART_ARC
(28,33),0.831086 # DEPENDENCYPART_ARC
(28,34),-0.536233 # DEPENDENCYPART_ARC
(29,27),-1.91198 # DEPENDENCYPART_ARC
(29,30),1.99649 # DEPENDENCYPART_ARC
(29,31),-0.1661 # DEPENDENCYPART_ARC
(29,32),-0.825603 # DEPENDENCYPART_ARC
(30,23),-0.148856 # DEPENDENCYPART_ARC
(30,26),0.106 # DEPENDENCYPART_ARC
(30,28),0.540573 # DEPENDENCYPART_ARC
(30,29),2.99861 # DEPENDENCYPART_ARC
(30,31),2.8689 # DEPENDENCYPART_ARC
(30,33),0.973861 # DEPENDENCYPART_ARC
(30,34),1.11862 # DEPENDENCYPART_ARC
(30,36),0.489063 # DEPENDENCYPART_ARC
(30,37),1.80067 # DEPENDENCYPART_ARC
(30,39),0.842754 # DEPENDENCYPART_ARC
(31,29),-0.972522 # DEPENDENCYPART_ARC
(31,32),-1.35949 # DEPENDENCYPART_ARC
(31,33),4.16441 # DEPENDENCYPART_ARC
(31,34),-1.15452 # DEPENDENCYPART_ARC
(31,36),1.00706 # DEPENDENCYPART_ARC
(31,39),-1.60838 # DEPENDENCYPART_ARC
(32,31),0.205357 # DEPENDENCYPART_ARC
(32,33),2.51944 # DEPENDENCYPART_ARC
(32,34),-0.843171 # DEPENDENCYPART_ARC
(32,35),0.478318 # DEPENDENCYPART_ARC
(33,29),-0.907857 # DEPENDENCYPART_ARC
(33,31),0.0728672 # DEPENDENCYPART_ARC
(33,32),3.51234 # DEPENDENCYPART_ARC
(33,34),1.62958 # DEPENDENCYPART_ARC
(33,36),0.891705 # DEPENDENCYPART_ARC
(33,37),1.6096 # DEPENDENCYPART_ARC
(33,39),0.985843 # DEPENDENCYPART_ARC
(34,32),-0.793906 # DEPENDENCYPART_ARC
(34,35),-1.32965 # DEPENDENCYPART_ARC
(34,36),3.98195 # DEPENDENCYPART_ARC
(34,37),0.445235 # DEPENDENCYPART_ARC
(34,39),0.770694 # DEPENDENCYPART_ARC
(35,36),1.34259 # DEPENDENCYPART_ARC
(35,37),0.407001 # DEPENDENCYPART_ARC
(35,38),1.22115 # DEPENDENCYPART_ARC
(36,31),-0.974739 # DEPENDENCYPART_ARC
(36,32),0.312699 # DEPENDENCYPART_ARC
(36,35),3.58346 # DEPENDENCYPART_ARC
(36,37),1.82679 # DEPENDENCYPART_ARC
(36,39),2.14486 # DEPENDENCYPART_ARC
(38,39),-0.88081 # DEPENDENCYPART_ARC
(39,31),-1.02105 # DEPENDENCYPART_ARC
(39,34),-0.240819 # DEPENDENCYPART_ARC
(39,35),1.61543 # DEPENDENCYPART_ARC
(39,37),0.188955 # DEPENDENCYPART_ARC
(39,38),3.79168 # DEPENDENCYPART_ARC
