# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,10,12,7,16,13,18,28,20,18,23,23,20,23,18,28,28,5,28,29,30,5,
(11,1),-0.726858 # DEPENDENCYPART_ARC
(11,9),0.454309 # DEPENDENCYPART_ARC
(11,12),1.00926 # DEPENDENCYPART_ARC
(11,13),0.275558 # DEPENDENCYPART_ARC
(11,14),0.215226 # DEPENDENCYPART_ARC
(11,16),-0.763936 # DEPENDENCYPART_ARC
(11,18),-1.70712 # DEPENDENCYPART_ARC
(11,20),-1.70805 # DEPENDENCYPART_ARC
(12,1),-2.60757 # DEPENDENCYPART_ARC
(12,9),-1.25842 # DEPENDENCYPART_ARC
(12,11),-0.536293 # DEPENDENCYPART_ARC
(12,13),3.26381 # DEPENDENCYPART_ARC
(12,14),0.305055 # DEPENDENCYPART_ARC
(12,16),-1.15469 # DEPENDENCYPART_ARC
(12,17),0.0490529 # DEPENDENCYPART_ARC
(12,18),-0.806685 # DEPENDENCYPART_ARC
(13,9),-1.17662 # DEPENDENCYPART_ARC
(13,11),-2.18947 # DEPENDENCYPART_ARC
(13,14),1.66614 # DEPENDENCYPART_ARC
(13,16),1.27796 # DEPENDENCYPART_ARC
(13,18),-0.852926 # DEPENDENCYPART_ARC
(13,20),0.528774 # DEPENDENCYPART_ARC
(13,23),0.415093 # DEPENDENCYPART_ARC
(13,24),-0.26736 # DEPENDENCYPART_ARC
(13,28),-0.958497 # DEPENDENCYPART_ARC
(13,32),2.42243 # DEPENDENCYPART_ARC
(15,19),-2.18594 # DEPENDENCYPART_ARC
(16,12),-0.492771 # DEPENDENCYPART_ARC
(16,14),0.45891 # DEPENDENCYPART_ARC
(16,15),2.68137 # DEPENDENCYPART_ARC
(16,17),0.103651 # DEPENDENCYPART_ARC
(16,18),-0.516936 # DEPENDENCYPART_ARC
(16,20),-0.354479 # DEPENDENCYPART_ARC
(16,23),1.31819 # DEPENDENCYPART_ARC
(16,24),0.512745 # DEPENDENCYPART_ARC
(16,28),0.04233 # DEPENDENCYPART_ARC
(16,31),-2.00489 # DEPENDENCYPART_ARC
(16,32),2.15061 # DEPENDENCYPART_ARC
(18,15),-1.3646 # DEPENDENCYPART_ARC
(18,17),1.73385 # DEPENDENCYPART_ARC
(18,19),-0.789519 # DEPENDENCYPART_ARC
(18,20),4.44012 # DEPENDENCYPART_ARC
(18,23),0.126954 # DEPENDENCYPART_ARC
(18,24),-0.788943 # DEPENDENCYPART_ARC
(18,25),1.13853 # DEPENDENCYPART_ARC
(18,26),-2.04738 # DEPENDENCYPART_ARC
(18,28),-3.14568 # DEPENDENCYPART_ARC
(18,29),-2.38362 # DEPENDENCYPART_ARC
(18,31),-2.35614 # DEPENDENCYPART_ARC
(20,1),-2.12677 # DEPENDENCYPART_ARC
(20,15),-0.723706 # DEPENDENCYPART_ARC
(20,19),4.33037 # DEPENDENCYPART_ARC
(20,21),-0.576547 # DEPENDENCYPART_ARC
(20,22),-1.60046 # DEPENDENCYPART_ARC
(20,23),2.33488 # DEPENDENCYPART_ARC
(20,24),1.81367 # DEPENDENCYPART_ARC
(20,25),-0.638854 # DEPENDENCYPART_ARC
(20,27),-2.28312 # DEPENDENCYPART_ARC
(20,28),0.696956 # DEPENDENCYPART_ARC
(20,30),-2.40728 # DEPENDENCYPART_ARC
(20,31),-2.14655 # DEPENDENCYPART_ARC
(20,32),2.23322 # DEPENDENCYPART_ARC
(22,30),-2.33621 # DEPENDENCYPART_ARC
(23,1),-0.103829 # DEPENDENCYPART_ARC
(23,4),-1.78723 # DEPENDENCYPART_ARC
(23,5),-2.74864 # DEPENDENCYPART_ARC
(23,7),-0.663677 # DEPENDENCYPART_ARC
(23,11),-1.5231 # DEPENDENCYPART_ARC
(23,12),-0.412982 # DEPENDENCYPART_ARC
(23,15),-1.82037 # DEPENDENCYPART_ARC
(23,16),-0.646064 # DEPENDENCYPART_ARC
(23,17),1.20759 # DEPENDENCYPART_ARC
(23,18),0.87872 # DEPENDENCYPART_ARC
(23,20),0.110562 # DEPENDENCYPART_ARC
(23,21),3.51096 # DEPENDENCYPART_ARC
(23,22),3.99838 # DEPENDENCYPART_ARC
(23,24),3.29585 # DEPENDENCYPART_ARC
(23,25),1.02905 # DEPENDENCYPART_ARC
(23,26),-0.268243 # DEPENDENCYPART_ARC
(23,27),-1.44702 # DEPENDENCYPART_ARC
(23,28),-0.0763773 # DEPENDENCYPART_ARC
(23,29),0.481057 # DEPENDENCYPART_ARC
(23,30),-0.650144 # DEPENDENCYPART_ARC
(23,31),-0.81019 # DEPENDENCYPART_ARC
(23,32),2.9296 # DEPENDENCYPART_ARC
(24,1),-0.819967 # DEPENDENCYPART_ARC
(24,5),-4.13184 # DEPENDENCYPART_ARC
(24,7),-1.85659 # DEPENDENCYPART_ARC
(24,11),-2.57985 # DEPENDENCYPART_ARC
(24,12),-1.79172 # DEPENDENCYPART_ARC
(24,16),-1.42136 # DEPENDENCYPART_ARC
(24,17),-0.578755 # DEPENDENCYPART_ARC
(24,18),-0.36431 # DEPENDENCYPART_ARC
(24,20),0.29025 # DEPENDENCYPART_ARC
(24,21),2.12989 # DEPENDENCYPART_ARC
(24,22),2.26399 # DEPENDENCYPART_ARC
(24,23),3.36783 # DEPENDENCYPART_ARC
(24,25),0.518981 # DEPENDENCYPART_ARC
(24,26),0.0427802 # DEPENDENCYPART_ARC
(24,27),-0.309125 # DEPENDENCYPART_ARC
(24,28),0.409794 # DEPENDENCYPART_ARC
(24,29),0.246461 # DEPENDENCYPART_ARC
(24,30),-0.688114 # DEPENDENCYPART_ARC
(24,31),-0.860029 # DEPENDENCYPART_ARC
(24,32),2.95243 # DEPENDENCYPART_ARC
(26,25),0.351491 # DEPENDENCYPART_ARC
(26,29),-2.41491 # DEPENDENCYPART_ARC
(27,25),-0.00275057 # DEPENDENCYPART_ARC
(27,26),0.459504 # DEPENDENCYPART_ARC
(27,29),-0.929988 # DEPENDENCYPART_ARC
(27,30),-0.689462 # DEPENDENCYPART_ARC
(27,31),-0.836991 # DEPENDENCYPART_ARC
(28,1),0.398679 # DEPENDENCYPART_ARC
(28,5),-2.27061 # DEPENDENCYPART_ARC
(28,7),-1.28343 # DEPENDENCYPART_ARC
(28,10),-0.845815 # DEPENDENCYPART_ARC
(28,11),-1.215 # DEPENDENCYPART_ARC
(28,12),-0.791441 # DEPENDENCYPART_ARC
(28,15),-3.16739 # DEPENDENCYPART_ARC
(28,16),-0.628292 # DEPENDENCYPART_ARC
(28,17),1.11202 # DEPENDENCYPART_ARC
(28,18),0.745217 # DEPENDENCYPART_ARC
(28,20),0.0196794 # DEPENDENCYPART_ARC
(28,21),1.77827 # DEPENDENCYPART_ARC
(28,22),0.718003 # DEPENDENCYPART_ARC
(28,23),2.16767 # DEPENDENCYPART_ARC
(28,24),0.55908 # DEPENDENCYPART_ARC
(28,25),0.695689 # DEPENDENCYPART_ARC
(28,26),3.18718 # DEPENDENCYPART_ARC
(28,27),3.23609 # DEPENDENCYPART_ARC
(28,29),3.58385 # DEPENDENCYPART_ARC
(28,30),1.14883 # DEPENDENCYPART_ARC
(28,31),0.442846 # DEPENDENCYPART_ARC
(28,32),3.2289 # DEPENDENCYPART_ARC
(29,30),3.01248 # DEPENDENCYPART_ARC
(29,31),0.911229 # DEPENDENCYPART_ARC
(30,29),1.31272 # DEPENDENCYPART_ARC
(30,31),2.28984 # DEPENDENCYPART_ARC
(31,25),-0.93417 # DEPENDENCYPART_ARC
(31,29),1.06589 # DEPENDENCYPART_ARC
