# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,18,24,22,24,25,22,29,35,29,32,35,32,33,13,35,36,13,
(4,11),-0.794611 # DEPENDENCYPART_ARC
(4,14),-1.30148 # DEPENDENCYPART_ARC
(4,21),0.115936 # DEPENDENCYPART_ARC
(4,33),-2.48114 # DEPENDENCYPART_ARC
(4,36),-1.60464 # DEPENDENCYPART_ARC
(5,2),0.360692 # DEPENDENCYPART_ARC
(5,4),1.08595 # DEPENDENCYPART_ARC
(5,6),3.04897 # DEPENDENCYPART_ARC
(5,7),0.977785 # DEPENDENCYPART_ARC
(5,8),0.356599 # DEPENDENCYPART_ARC
(5,10),0.302429 # DEPENDENCYPART_ARC
(5,11),1.38831 # DEPENDENCYPART_ARC
(5,12),-0.00480273 # DEPENDENCYPART_ARC
(5,13),0.601228 # DEPENDENCYPART_ARC
(5,14),-1.29837 # DEPENDENCYPART_ARC
(5,16),-0.104827 # DEPENDENCYPART_ARC
(5,18),-1.04619 # DEPENDENCYPART_ARC
(6,4),0.307676 # DEPENDENCYPART_ARC
(6,7),3.27963 # DEPENDENCYPART_ARC
(6,8),-0.459159 # DEPENDENCYPART_ARC
(6,10),-1.02538 # DEPENDENCYPART_ARC
(6,11),-0.688978 # DEPENDENCYPART_ARC
(6,14),-1.27181 # DEPENDENCYPART_ARC
(7,4),-0.356118 # DEPENDENCYPART_ARC
(7,6),1.36391 # DEPENDENCYPART_ARC
(7,8),0.155116 # DEPENDENCYPART_ARC
(7,10),0.1528 # DEPENDENCYPART_ARC
(7,11),0.764468 # DEPENDENCYPART_ARC
(7,12),-0.215136 # DEPENDENCYPART_ARC
(7,16),0.484041 # DEPENDENCYPART_ARC
(7,18),-1.24835 # DEPENDENCYPART_ARC
(7,29),-0.472418 # DEPENDENCYPART_ARC
(9,6),-1.26719 # DEPENDENCYPART_ARC
(9,10),1.32473 # DEPENDENCYPART_ARC
(9,11),0.773124 # DEPENDENCYPART_ARC
(10,1),-1.59174 # DEPENDENCYPART_ARC
(10,4),-1.81815 # DEPENDENCYPART_ARC
(10,6),-1.16241 # DEPENDENCYPART_ARC
(10,8),0.787275 # DEPENDENCYPART_ARC
(10,9),3.87677 # DEPENDENCYPART_ARC
(10,11),3.24712 # DEPENDENCYPART_ARC
(10,12),0.693797 # DEPENDENCYPART_ARC
(10,13),1.07421 # DEPENDENCYPART_ARC
(10,14),0.0670671 # DEPENDENCYPART_ARC
(10,16),0.925063 # DEPENDENCYPART_ARC
(10,18),-0.275691 # DEPENDENCYPART_ARC
(10,19),-0.24732 # DEPENDENCYPART_ARC
(10,20),-0.607732 # DEPENDENCYPART_ARC
(10,21),0.986003 # DEPENDENCYPART_ARC
(10,22),-1.03749 # DEPENDENCYPART_ARC
(10,24),-0.223491 # DEPENDENCYPART_ARC
(10,25),-1.62721 # DEPENDENCYPART_ARC
(10,27),-0.118828 # DEPENDENCYPART_ARC
(10,29),0.332285 # DEPENDENCYPART_ARC
(10,30),1.34608 # DEPENDENCYPART_ARC
(10,32),-0.972613 # DEPENDENCYPART_ARC
(10,38),1.19896 # DEPENDENCYPART_ARC
(11,1),-1.82668 # DEPENDENCYPART_ARC
(11,8),-0.11407 # DEPENDENCYPART_ARC
(11,9),-0.30984 # DEPENDENCYPART_ARC
(11,12),3.92995 # DEPENDENCYPART_ARC
(11,13),-0.828837 # DEPENDENCYPART_ARC
(11,14),-0.747885 # DEPENDENCYPART_ARC
(12,1),-1.47919 # DEPENDENCYPART_ARC
(12,6),-0.811769 # DEPENDENCYPART_ARC
(12,9),0.905897 # DEPENDENCYPART_ARC
(12,10),-0.703183 # DEPENDENCYPART_ARC
(12,11),1.88419 # DEPENDENCYPART_ARC
(12,13),-0.744874 # DEPENDENCYPART_ARC
(12,14),-1.66188 # DEPENDENCYPART_ARC
(13,1),2.04832 # DEPENDENCYPART_ARC
(13,3),1.67103 # DEPENDENCYPART_ARC
(13,4),-1.49664 # DEPENDENCYPART_ARC
(13,5),0.682712 # DEPENDENCYPART_ARC
(13,6),-1.95837 # DEPENDENCYPART_ARC
(13,7),0.123267 # DEPENDENCYPART_ARC
(13,8),-0.407834 # DEPENDENCYPART_ARC
(13,9),-0.565492 # DEPENDENCYPART_ARC
(13,10),2.45345 # DEPENDENCYPART_ARC
(13,11),-0.153009 # DEPENDENCYPART_ARC
(13,12),1.73399 # DEPENDENCYPART_ARC
(13,14),2.32017 # DEPENDENCYPART_ARC
(13,15),1.95823 # DEPENDENCYPART_ARC
(13,16),1.85887 # DEPENDENCYPART_ARC
(13,18),1.22531 # DEPENDENCYPART_ARC
(13,19),0.660758 # DEPENDENCYPART_ARC
(13,20),-0.653217 # DEPENDENCYPART_ARC
(13,21),1.53957 # DEPENDENCYPART_ARC
(13,22),0.365848 # DEPENDENCYPART_ARC
(13,24),0.2407 # DEPENDENCYPART_ARC
(13,27),0.240187 # DEPENDENCYPART_ARC
(13,29),-0.209892 # DEPENDENCYPART_ARC
(13,30),0.829239 # DEPENDENCYPART_ARC
(13,32),-1.2453 # DEPENDENCYPART_ARC
(13,35),2.17276 # DEPENDENCYPART_ARC
(13,38),7.22676 # DEPENDENCYPART_ARC
(14,15),4.37117 # DEPENDENCYPART_ARC
(14,16),0.23954 # DEPENDENCYPART_ARC
(14,18),-1.03263 # DEPENDENCYPART_ARC
(14,19),0.297085 # DEPENDENCYPART_ARC
(14,21),0.416928 # DEPENDENCYPART_ARC
(14,22),-1.59586 # DEPENDENCYPART_ARC
(14,25),-0.0705719 # DEPENDENCYPART_ARC
(14,33),-0.921425 # DEPENDENCYPART_ARC
(14,36),-1.25213 # DEPENDENCYPART_ARC
(15,11),-0.753048 # DEPENDENCYPART_ARC
(15,14),1.05199 # DEPENDENCYPART_ARC
(15,16),1.27994 # DEPENDENCYPART_ARC
(15,18),0.293136 # DEPENDENCYPART_ARC
(15,19),1.13079 # DEPENDENCYPART_ARC
(15,20),0.769387 # DEPENDENCYPART_ARC
(15,21),0.162875 # DEPENDENCYPART_ARC
(15,22),-1.12439 # DEPENDENCYPART_ARC
(15,24),-0.266628 # DEPENDENCYPART_ARC
(15,25),-0.452213 # DEPENDENCYPART_ARC
(15,26),0.297075 # DEPENDENCYPART_ARC
(15,29),0.442012 # DEPENDENCYPART_ARC
(15,30),0.321926 # DEPENDENCYPART_ARC
(15,32),-1.01356 # DEPENDENCYPART_ARC
(15,34),-0.100606 # DEPENDENCYPART_ARC
(17,14),-0.791227 # DEPENDENCYPART_ARC
(17,19),0.214471 # DEPENDENCYPART_ARC
(18,1),-2.18952 # DEPENDENCYPART_ARC
(18,13),-0.933424 # DEPENDENCYPART_ARC
(18,14),-0.201554 # DEPENDENCYPART_ARC
(18,16),0.427183 # DEPENDENCYPART_ARC
(18,17),3.17005 # DEPENDENCYPART_ARC
(18,19),3.62418 # DEPENDENCYPART_ARC
(18,20),0.956907 # DEPENDENCYPART_ARC
(18,21),1.12307 # DEPENDENCYPART_ARC
(18,22),0.533031 # DEPENDENCYPART_ARC
(18,24),0.694211 # DEPENDENCYPART_ARC
(18,25),1.56694 # DEPENDENCYPART_ARC
(18,26),-0.0778963 # DEPENDENCYPART_ARC
(18,27),0.66567 # DEPENDENCYPART_ARC
(18,29),0.581603 # DEPENDENCYPART_ARC
(18,30),1.95921 # DEPENDENCYPART_ARC
(18,32),0.680786 # DEPENDENCYPART_ARC
(18,33),0.410188 # DEPENDENCYPART_ARC
(18,34),0.307572 # DEPENDENCYPART_ARC
(18,35),-0.184995 # DEPENDENCYPART_ARC
(19,17),-0.727196 # DEPENDENCYPART_ARC
(19,18),0.189222 # DEPENDENCYPART_ARC
(19,20),3.38348 # DEPENDENCYPART_ARC
(19,21),0.339393 # DEPENDENCYPART_ARC
(19,22),-0.791341 # DEPENDENCYPART_ARC
(19,36),-1.24487 # DEPENDENCYPART_ARC
(20,17),0.431056 # DEPENDENCYPART_ARC
(20,18),-0.0606527 # DEPENDENCYPART_ARC
(20,22),-1.73546 # DEPENDENCYPART_ARC
(20,25),-0.893264 # DEPENDENCYPART_ARC
(20,29),-0.692381 # DEPENDENCYPART_ARC
(20,30),0.453018 # DEPENDENCYPART_ARC
(20,32),-1.35711 # DEPENDENCYPART_ARC
(22,17),-3.14256 # DEPENDENCYPART_ARC
(22,21),0.412082 # DEPENDENCYPART_ARC
(22,23),-0.984912 # DEPENDENCYPART_ARC
(22,24),3.80704 # DEPENDENCYPART_ARC
(22,25),-0.426819 # DEPENDENCYPART_ARC
(22,26),0.396 # DEPENDENCYPART_ARC
(22,27),1.96735 # DEPENDENCYPART_ARC
(23,24),1.66497 # DEPENDENCYPART_ARC
(23,25),-0.0167819 # DEPENDENCYPART_ARC
(24,13),-1.55694 # DEPENDENCYPART_ARC
(24,19),-1.33743 # DEPENDENCYPART_ARC
(24,21),0.0425301 # DEPENDENCYPART_ARC
(24,23),3.16621 # DEPENDENCYPART_ARC
(24,25),3.3219 # DEPENDENCYPART_ARC
(24,26),0.914889 # DEPENDENCYPART_ARC
(24,27),0.592433 # DEPENDENCYPART_ARC
(24,29),0.919867 # DEPENDENCYPART_ARC
(24,30),1.76183 # DEPENDENCYPART_ARC
(24,32),0.99954 # DEPENDENCYPART_ARC
(24,33),0.990623 # DEPENDENCYPART_ARC
(24,34),0.564999 # DEPENDENCYPART_ARC
(24,35),-0.142442 # DEPENDENCYPART_ARC
(25,23),-0.514407 # DEPENDENCYPART_ARC
(25,26),3.34299 # DEPENDENCYPART_ARC
(25,27),-0.395798 # DEPENDENCYPART_ARC
(25,29),-0.99483 # DEPENDENCYPART_ARC
(25,33),-0.622829 # DEPENDENCYPART_ARC
(25,36),-1.0511 # DEPENDENCYPART_ARC
(26,23),-0.0298403 # DEPENDENCYPART_ARC
(26,27),0.155116 # DEPENDENCYPART_ARC
(26,29),0.869538 # DEPENDENCYPART_ARC
(26,30),1.83673 # DEPENDENCYPART_ARC
(26,32),0.206759 # DEPENDENCYPART_ARC
(26,33),-0.0754045 # DEPENDENCYPART_ARC
(26,34),0.0595978 # DEPENDENCYPART_ARC
(26,35),-0.694861 # DEPENDENCYPART_ARC
(28,25),-1.43175 # DEPENDENCYPART_ARC
(28,31),-1.66632 # DEPENDENCYPART_ARC
(29,13),-1.37431 # DEPENDENCYPART_ARC
(29,22),-0.554197 # DEPENDENCYPART_ARC
(29,23),-2.50252 # DEPENDENCYPART_ARC
(29,25),-0.675751 # DEPENDENCYPART_ARC
(29,27),0.348455 # DEPENDENCYPART_ARC
(29,28),3.66192 # DEPENDENCYPART_ARC
(29,30),2.20569 # DEPENDENCYPART_ARC
(29,32),1.28156 # DEPENDENCYPART_ARC
(29,33),2.28094 # DEPENDENCYPART_ARC
(29,34),1.19039 # DEPENDENCYPART_ARC
(29,35),0.879964 # DEPENDENCYPART_ARC
(29,36),-0.568439 # DEPENDENCYPART_ARC
(31,32),0.164419 # DEPENDENCYPART_ARC
(31,33),-0.404063 # DEPENDENCYPART_ARC
(32,28),0.660084 # DEPENDENCYPART_ARC
(32,30),0.475778 # DEPENDENCYPART_ARC
(32,31),3.21865 # DEPENDENCYPART_ARC
(32,33),3.37326 # DEPENDENCYPART_ARC
(32,34),0.926718 # DEPENDENCYPART_ARC
(32,35),0.769317 # DEPENDENCYPART_ARC
(32,36),0.399223 # DEPENDENCYPART_ARC
(33,31),-0.670732 # DEPENDENCYPART_ARC
(33,34),4.19046 # DEPENDENCYPART_ARC
(33,35),-0.0385801 # DEPENDENCYPART_ARC
(33,36),-1.10003 # DEPENDENCYPART_ARC
(34,28),-0.883663 # DEPENDENCYPART_ARC
(34,31),0.240237 # DEPENDENCYPART_ARC
(34,35),-0.644205 # DEPENDENCYPART_ARC
(34,36),-1.2545 # DEPENDENCYPART_ARC
(35,3),0.155934 # DEPENDENCYPART_ARC
(35,5),-1.02902 # DEPENDENCYPART_ARC
(35,8),-4.16406 # DEPENDENCYPART_ARC
(35,10),0.298428 # DEPENDENCYPART_ARC
(35,13),-0.910067 # DEPENDENCYPART_ARC
(35,16),0.00439658 # DEPENDENCYPART_ARC
(35,18),0.912811 # DEPENDENCYPART_ARC
(35,20),-0.690289 # DEPENDENCYPART_ARC
(35,22),-0.18091 # DEPENDENCYPART_ARC
(35,24),0.298154 # DEPENDENCYPART_ARC
(35,26),-0.702944 # DEPENDENCYPART_ARC
(35,27),-1.82256 # DEPENDENCYPART_ARC
(35,29),1.03732 # DEPENDENCYPART_ARC
(35,30),0.220678 # DEPENDENCYPART_ARC
(35,31),-1.91239 # DEPENDENCYPART_ARC
(35,32),1.28522 # DEPENDENCYPART_ARC
(35,33),-0.466436 # DEPENDENCYPART_ARC
(35,34),0.571024 # DEPENDENCYPART_ARC
(35,36),1.92651 # DEPENDENCYPART_ARC
(35,37),2.10117 # DEPENDENCYPART_ARC
(35,38),3.33093 # DEPENDENCYPART_ARC
(36,35),0.6661 # DEPENDENCYPART_ARC
(36,37),4.66839 # DEPENDENCYPART_ARC
(37,36),0.91966 # DEPENDENCYPART_ARC
