# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(12,15),1.8372 # DEPENDENCYPART_ARC
(12,16),1.2526 # DEPENDENCYPART_ARC
(12,17),-1.24598 # DEPENDENCYPART_ARC
(12,18),-0.808947 # DEPENDENCYPART_ARC
(12,19),0.0879124 # DEPENDENCYPART_ARC
(12,21),0.429203 # DEPENDENCYPART_ARC
(12,22),-0.565654 # DEPENDENCYPART_ARC
(12,23),5.13813 # DEPENDENCYPART_ARC
(13,5),-2.72176 # DEPENDENCYPART_ARC
(13,11),-1.24891 # DEPENDENCYPART_ARC
(13,12),0.155842 # DEPENDENCYPART_ARC
(13,14),-0.0131428 # DEPENDENCYPART_ARC
(13,15),4.31005 # DEPENDENCYPART_ARC
(13,16),1.9752 # DEPENDENCYPART_ARC
(13,17),1.76566 # DEPENDENCYPART_ARC
(13,18),1.21303 # DEPENDENCYPART_ARC
(13,19),0.510813 # DEPENDENCYPART_ARC
(13,23),0.312695 # DEPENDENCYPART_ARC
(14,13),-0.154686 # DEPENDENCYPART_ARC
(14,16),-0.792658 # DEPENDENCYPART_ARC
(15,2),-3.1626 # DEPENDENCYPART_ARC
(15,5),-2.62449 # DEPENDENCYPART_ARC
(15,8),-1.70906 # DEPENDENCYPART_ARC
(15,9),-2.77503 # DEPENDENCYPART_ARC
(15,11),-1.44915 # DEPENDENCYPART_ARC
(15,13),0.173407 # DEPENDENCYPART_ARC
(15,14),2.69307 # DEPENDENCYPART_ARC
(15,16),0.764391 # DEPENDENCYPART_ARC
(15,17),0.603869 # DEPENDENCYPART_ARC
(15,18),0.610761 # DEPENDENCYPART_ARC
(15,19),0.948156 # DEPENDENCYPART_ARC
(15,21),1.05984 # DEPENDENCYPART_ARC
(15,22),-0.331042 # DEPENDENCYPART_ARC
(15,23),1.21183 # DEPENDENCYPART_ARC
(17,5),-1.92559 # DEPENDENCYPART_ARC
(17,16),0.185233 # DEPENDENCYPART_ARC
(17,18),3.94969 # DEPENDENCYPART_ARC
(17,19),0.429434 # DEPENDENCYPART_ARC
(17,23),-0.227134 # DEPENDENCYPART_ARC
(18,11),-2.18028 # DEPENDENCYPART_ARC
(18,13),-1.21371 # DEPENDENCYPART_ARC
(18,14),-1.04532 # DEPENDENCYPART_ARC
(18,16),-0.836511 # DEPENDENCYPART_ARC
(18,17),0.345458 # DEPENDENCYPART_ARC
(18,19),2.19148 # DEPENDENCYPART_ARC
(18,21),0.529169 # DEPENDENCYPART_ARC
(18,22),1.72911 # DEPENDENCYPART_ARC
(18,23),-0.239902 # DEPENDENCYPART_ARC
(19,17),-0.14578 # DEPENDENCYPART_ARC
(19,21),4.31643 # DEPENDENCYPART_ARC
(19,22),0.0768989 # DEPENDENCYPART_ARC
(20,17),-0.942523 # DEPENDENCYPART_ARC
(20,19),-0.200064 # DEPENDENCYPART_ARC
(21,5),-1.63788 # DEPENDENCYPART_ARC
(21,11),-1.98578 # DEPENDENCYPART_ARC
(21,17),-0.643878 # DEPENDENCYPART_ARC
(21,20),3.65258 # DEPENDENCYPART_ARC
(21,22),4.46448 # DEPENDENCYPART_ARC
(21,23),0.912716 # DEPENDENCYPART_ARC
(22,13),-0.342551 # DEPENDENCYPART_ARC
(22,17),-2.23619 # DEPENDENCYPART_ARC
(22,20),0.046494 # DEPENDENCYPART_ARC
(22,23),-1.15345 # DEPENDENCYPART_ARC
