# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,0,3,6,3,6,6,8,9,10,11,8,8,17,17,8,17,18,19,17,3,
(7,9),-0.152478 # DEPENDENCYPART_ARC
(7,10),0.152019 # DEPENDENCYPART_ARC
(7,12),-3.3722 # DEPENDENCYPART_ARC
(7,13),-0.91661 # DEPENDENCYPART_ARC
(7,14),-0.751899 # DEPENDENCYPART_ARC
(7,17),-2.21779 # DEPENDENCYPART_ARC
(8,1),2.29217 # DEPENDENCYPART_ARC
(8,2),1.76319 # DEPENDENCYPART_ARC
(8,3),-0.451652 # DEPENDENCYPART_ARC
(8,4),0.472303 # DEPENDENCYPART_ARC
(8,5),-0.359471 # DEPENDENCYPART_ARC
(8,6),2.26994 # DEPENDENCYPART_ARC
(8,7),1.94248 # DEPENDENCYPART_ARC
(8,9),4.32874 # DEPENDENCYPART_ARC
(8,10),1.09716 # DEPENDENCYPART_ARC
(8,11),0.718974 # DEPENDENCYPART_ARC
(8,12),-1.22539 # DEPENDENCYPART_ARC
(8,13),0.97601 # DEPENDENCYPART_ARC
(8,14),1.93256 # DEPENDENCYPART_ARC
(8,15),0.0845144 # DEPENDENCYPART_ARC
(8,16),-0.839474 # DEPENDENCYPART_ARC
(8,17),1.69527 # DEPENDENCYPART_ARC
(8,18),-0.286439 # DEPENDENCYPART_ARC
(8,19),-2.24066 # DEPENDENCYPART_ARC
(8,21),0.56327 # DEPENDENCYPART_ARC
(8,22),3.54974 # DEPENDENCYPART_ARC
(9,3),-2.88497 # DEPENDENCYPART_ARC
(9,4),-1.77343 # DEPENDENCYPART_ARC
(9,5),-0.671189 # DEPENDENCYPART_ARC
(9,6),-1.47464 # DEPENDENCYPART_ARC
(9,7),-0.268946 # DEPENDENCYPART_ARC
(9,8),0.984565 # DEPENDENCYPART_ARC
(9,10),3.61707 # DEPENDENCYPART_ARC
(9,11),0.990213 # DEPENDENCYPART_ARC
(9,12),1.12504 # DEPENDENCYPART_ARC
(9,13),0.482141 # DEPENDENCYPART_ARC
(9,14),0.527314 # DEPENDENCYPART_ARC
(9,15),0.232612 # DEPENDENCYPART_ARC
(9,17),0.702527 # DEPENDENCYPART_ARC
(9,18),0.19888 # DEPENDENCYPART_ARC
(9,19),-0.356934 # DEPENDENCYPART_ARC
(9,21),-0.68029 # DEPENDENCYPART_ARC
(9,22),-0.0761578 # DEPENDENCYPART_ARC
(10,3),-1.89356 # DEPENDENCYPART_ARC
(10,11),4.1221 # DEPENDENCYPART_ARC
(10,12),0.56331 # DEPENDENCYPART_ARC
(10,13),0.647093 # DEPENDENCYPART_ARC
(10,14),0.525738 # DEPENDENCYPART_ARC
(10,15),-1.52349 # DEPENDENCYPART_ARC
(10,17),-2.12235 # DEPENDENCYPART_ARC
(10,19),-1.56797 # DEPENDENCYPART_ARC
(11,3),-2.49001 # DEPENDENCYPART_ARC
(11,4),-0.883058 # DEPENDENCYPART_ARC
(11,5),-2.15263 # DEPENDENCYPART_ARC
(11,6),-1.85725 # DEPENDENCYPART_ARC
(11,10),1.19014 # DEPENDENCYPART_ARC
(11,12),3.21256 # DEPENDENCYPART_ARC
(11,13),-0.400796 # DEPENDENCYPART_ARC
(11,14),-0.366989 # DEPENDENCYPART_ARC
(11,15),-0.733532 # DEPENDENCYPART_ARC
(11,17),-1.21666 # DEPENDENCYPART_ARC
(11,18),-1.40868 # DEPENDENCYPART_ARC
(11,19),-1.07093 # DEPENDENCYPART_ARC
(11,21),-1.47949 # DEPENDENCYPART_ARC
(11,22),-1.43255 # DEPENDENCYPART_ARC
(12,4),-1.98288 # DEPENDENCYPART_ARC
(12,10),-0.429252 # DEPENDENCYPART_ARC
(12,13),0.040911 # DEPENDENCYPART_ARC
(12,14),-0.0197325 # DEPENDENCYPART_ARC
(12,15),-0.194625 # DEPENDENCYPART_ARC
(12,16),-1.60254 # DEPENDENCYPART_ARC
(12,17),-1.83843 # DEPENDENCYPART_ARC
(12,19),-2.33547 # DEPENDENCYPART_ARC
(12,21),-1.63644 # DEPENDENCYPART_ARC
(13,12),-0.153809 # DEPENDENCYPART_ARC
(14,13),0.304732 # DEPENDENCYPART_ARC
(16,15),0.386338 # DEPENDENCYPART_ARC
(16,19),-0.644889 # DEPENDENCYPART_ARC
(17,1),1.01608 # DEPENDENCYPART_ARC
(17,2),0.132154 # DEPENDENCYPART_ARC
(17,3),-1.50823 # DEPENDENCYPART_ARC
(17,4),-3.6522 # DEPENDENCYPART_ARC
(17,6),0.973912 # DEPENDENCYPART_ARC
(17,7),0.302286 # DEPENDENCYPART_ARC
(17,8),-0.00380635 # DEPENDENCYPART_ARC
(17,9),0.95176 # DEPENDENCYPART_ARC
(17,10),-0.517511 # DEPENDENCYPART_ARC
(17,11),-0.453937 # DEPENDENCYPART_ARC
(17,12),-1.38301 # DEPENDENCYPART_ARC
(17,13),0.313369 # DEPENDENCYPART_ARC
(17,14),1.40882 # DEPENDENCYPART_ARC
(17,15),3.23178 # DEPENDENCYPART_ARC
(17,16),3.84239 # DEPENDENCYPART_ARC
(17,18),4.30833 # DEPENDENCYPART_ARC
(17,19),0.997713 # DEPENDENCYPART_ARC
(17,20),0.652537 # DEPENDENCYPART_ARC
(17,21),2.15774 # DEPENDENCYPART_ARC
(17,22),2.98524 # DEPENDENCYPART_ARC
(18,3),-3.74534 # DEPENDENCYPART_ARC
(18,8),-1.94651 # DEPENDENCYPART_ARC
(18,15),-0.44671 # DEPENDENCYPART_ARC
(18,16),0.00261804 # DEPENDENCYPART_ARC
(18,19),3.30116 # DEPENDENCYPART_ARC
(18,20),0.628487 # DEPENDENCYPART_ARC
(18,21),0.703093 # DEPENDENCYPART_ARC
(18,22),0.134965 # DEPENDENCYPART_ARC
(19,8),-2.28647 # DEPENDENCYPART_ARC
(19,20),4.1541 # DEPENDENCYPART_ARC
(19,21),-0.084254 # DEPENDENCYPART_ARC
(19,22),-0.397784 # DEPENDENCYPART_ARC
(20,16),-0.275476 # DEPENDENCYPART_ARC
(20,19),1.11894 # DEPENDENCYPART_ARC
(20,21),0.134169 # DEPENDENCYPART_ARC
(20,22),-0.559258 # DEPENDENCYPART_ARC
