# _root_ En xifres globals , a Catalunya han mort 240 persones durant els cinc primers mesos de l' any , la xifra més alta des_de 1994 segons dades de la Prefectura_de_Trànsit_de_Barcelona .
#goldHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,23,24,8,26,27,30,28,8,
#predictedHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,21,24,8,26,27,30,28,8,
(8,16),-0.138986 # DEPENDENCYPART_ARC
(8,18),-0.189146 # DEPENDENCYPART_ARC
(8,19),0.331106 # DEPENDENCYPART_ARC
(8,21),-1.16137 # DEPENDENCYPART_ARC
(8,22),-1.23493 # DEPENDENCYPART_ARC
(8,23),-0.472172 # DEPENDENCYPART_ARC
(8,24),0.313697 # DEPENDENCYPART_ARC
(8,25),-0.158766 # DEPENDENCYPART_ARC
(8,26),1.38649 # DEPENDENCYPART_ARC
(8,27),-0.362338 # DEPENDENCYPART_ARC
(8,28),-1.19461 # DEPENDENCYPART_ARC
(8,30),-0.695719 # DEPENDENCYPART_ARC
(8,31),5.5892 # DEPENDENCYPART_ARC
(9,1),-1.42635 # DEPENDENCYPART_ARC
(9,5),-0.998702 # DEPENDENCYPART_ARC
(9,10),-0.287884 # DEPENDENCYPART_ARC
(9,11),-0.886267 # DEPENDENCYPART_ARC
(9,15),-1.65048 # DEPENDENCYPART_ARC
(9,16),-1.09355 # DEPENDENCYPART_ARC
(9,21),-1.5739 # DEPENDENCYPART_ARC
(10,1),-1.70281 # DEPENDENCYPART_ARC
(10,3),-0.483733 # DEPENDENCYPART_ARC
(10,4),-0.483711 # DEPENDENCYPART_ARC
(10,5),-0.993229 # DEPENDENCYPART_ARC
(10,7),0.115306 # DEPENDENCYPART_ARC
(10,8),-0.409005 # DEPENDENCYPART_ARC
(10,9),3.27981 # DEPENDENCYPART_ARC
(10,11),1.05455 # DEPENDENCYPART_ARC
(10,14),-0.540997 # DEPENDENCYPART_ARC
(10,15),0.846336 # DEPENDENCYPART_ARC
(10,16),0.567275 # DEPENDENCYPART_ARC
(10,18),-0.88031 # DEPENDENCYPART_ARC
(10,19),0.119562 # DEPENDENCYPART_ARC
(10,21),0.393951 # DEPENDENCYPART_ARC
(10,22),0.17975 # DEPENDENCYPART_ARC
(10,23),-1.27875 # DEPENDENCYPART_ARC
(10,24),-0.0856428 # DEPENDENCYPART_ARC
(10,25),-0.504535 # DEPENDENCYPART_ARC
(10,26),-1.01844 # DEPENDENCYPART_ARC
(10,27),0.448426 # DEPENDENCYPART_ARC
(10,28),-2.56623 # DEPENDENCYPART_ARC
(10,31),-0.0642544 # DEPENDENCYPART_ARC
(11,9),-1.11438 # DEPENDENCYPART_ARC
(11,10),-0.903629 # DEPENDENCYPART_ARC
(11,12),-0.674652 # DEPENDENCYPART_ARC
(11,15),3.4222 # DEPENDENCYPART_ARC
(11,16),-0.336908 # DEPENDENCYPART_ARC
(11,18),0.365601 # DEPENDENCYPART_ARC
(11,19),0.207579 # DEPENDENCYPART_ARC
(11,21),-2.44349 # DEPENDENCYPART_ARC
(11,23),-0.975139 # DEPENDENCYPART_ARC
(12,10),-1.41588 # DEPENDENCYPART_ARC
(12,11),-0.609033 # DEPENDENCYPART_ARC
(12,13),5.04616 # DEPENDENCYPART_ARC
(12,14),1.65078 # DEPENDENCYPART_ARC
(13,11),-0.346885 # DEPENDENCYPART_ARC
(14,12),0.0236566 # DEPENDENCYPART_ARC
(14,13),0.00301188 # DEPENDENCYPART_ARC
(14,16),-0.914256 # DEPENDENCYPART_ARC
(15,1),-1.35218 # DEPENDENCYPART_ARC
(15,3),-1.40294 # DEPENDENCYPART_ARC
(15,4),-1.43328 # DEPENDENCYPART_ARC
(15,5),-1.15424 # DEPENDENCYPART_ARC
(15,10),-1.13465 # DEPENDENCYPART_ARC
(15,11),0.217378 # DEPENDENCYPART_ARC
(15,12),2.6915 # DEPENDENCYPART_ARC
(15,13),2.29041 # DEPENDENCYPART_ARC
(15,14),4.71237 # DEPENDENCYPART_ARC
(15,16),2.27197 # DEPENDENCYPART_ARC
(15,18),0.256382 # DEPENDENCYPART_ARC
(15,19),0.0432542 # DEPENDENCYPART_ARC
(15,21),-0.204727 # DEPENDENCYPART_ARC
(15,22),-0.138467 # DEPENDENCYPART_ARC
(15,23),-2.80163 # DEPENDENCYPART_ARC
(15,24),-0.288158 # DEPENDENCYPART_ARC
(15,25),-0.491067 # DEPENDENCYPART_ARC
(15,26),-1.39483 # DEPENDENCYPART_ARC
(15,27),-0.553087 # DEPENDENCYPART_ARC
(15,28),-1.43356 # DEPENDENCYPART_ARC
(15,31),0.322203 # DEPENDENCYPART_ARC
(16,12),-1.45375 # DEPENDENCYPART_ARC
(16,15),-0.604572 # DEPENDENCYPART_ARC
(16,18),4.1783 # DEPENDENCYPART_ARC
(16,19),-0.0867797 # DEPENDENCYPART_ARC
(16,21),-0.260425 # DEPENDENCYPART_ARC
(16,23),-0.466437 # DEPENDENCYPART_ARC
(17,20),-1.81084 # DEPENDENCYPART_ARC
(18,5),-2.29253 # DEPENDENCYPART_ARC
(18,12),-1.81016 # DEPENDENCYPART_ARC
(18,16),0.636191 # DEPENDENCYPART_ARC
(18,17),3.63459 # DEPENDENCYPART_ARC
(18,19),1.12216 # DEPENDENCYPART_ARC
(18,21),-0.426429 # DEPENDENCYPART_ARC
(18,22),-0.0025086 # DEPENDENCYPART_ARC
(18,23),-0.551878 # DEPENDENCYPART_ARC
(18,24),-0.993997 # DEPENDENCYPART_ARC
(18,25),-0.300319 # DEPENDENCYPART_ARC
(18,26),-1.37084 # DEPENDENCYPART_ARC
(18,27),-1.43234 # DEPENDENCYPART_ARC
(18,28),-0.820248 # DEPENDENCYPART_ARC
(18,30),-1.08767 # DEPENDENCYPART_ARC
(18,31),1.44598 # DEPENDENCYPART_ARC
(21,1),-1.42475 # DEPENDENCYPART_ARC
(21,11),-0.644045 # DEPENDENCYPART_ARC
(21,16),0.172624 # DEPENDENCYPART_ARC
(21,17),0.324411 # DEPENDENCYPART_ARC
(21,19),1.77999 # DEPENDENCYPART_ARC
(21,20),4.12289 # DEPENDENCYPART_ARC
(21,22),1.47353 # DEPENDENCYPART_ARC
(21,23),3.38693 # DEPENDENCYPART_ARC
(21,24),1.0546 # DEPENDENCYPART_ARC
(21,25),0.682516 # DEPENDENCYPART_ARC
(21,26),0.561853 # DEPENDENCYPART_ARC
(21,27),0.120087 # DEPENDENCYPART_ARC
(21,28),0.508635 # DEPENDENCYPART_ARC
(21,30),0.0225535 # DEPENDENCYPART_ARC
(21,31),1.27674 # DEPENDENCYPART_ARC
(22,20),-1.12753 # DEPENDENCYPART_ARC
(22,21),-0.160668 # DEPENDENCYPART_ARC
(22,23),0.08467 # DEPENDENCYPART_ARC
(22,24),-1.3286 # DEPENDENCYPART_ARC
(22,25),-0.874742 # DEPENDENCYPART_ARC
(22,26),-1.82887 # DEPENDENCYPART_ARC
(23,16),-1.00957 # DEPENDENCYPART_ARC
(23,19),0.898162 # DEPENDENCYPART_ARC
(23,20),0.78075 # DEPENDENCYPART_ARC
(23,21),0.164808 # DEPENDENCYPART_ARC
(23,22),2.80754 # DEPENDENCYPART_ARC
(23,24),0.884019 # DEPENDENCYPART_ARC
(23,25),0.412168 # DEPENDENCYPART_ARC
(23,26),-0.293499 # DEPENDENCYPART_ARC
(23,27),-0.816016 # DEPENDENCYPART_ARC
(23,28),-1.91206 # DEPENDENCYPART_ARC
(23,31),-0.299855 # DEPENDENCYPART_ARC
(24,12),-2.71718 # DEPENDENCYPART_ARC
(24,20),-1.63019 # DEPENDENCYPART_ARC
(24,22),-0.281161 # DEPENDENCYPART_ARC
(24,23),-0.13999 # DEPENDENCYPART_ARC
(24,25),1.81938 # DEPENDENCYPART_ARC
(24,26),-0.328702 # DEPENDENCYPART_ARC
(24,27),0.741368 # DEPENDENCYPART_ARC
(24,28),-1.14696 # DEPENDENCYPART_ARC
(25,24),1.05714 # DEPENDENCYPART_ARC
(25,26),0.277447 # DEPENDENCYPART_ARC
(25,27),0.0244633 # DEPENDENCYPART_ARC
(25,28),-0.585896 # DEPENDENCYPART_ARC
(25,31),-0.321858 # DEPENDENCYPART_ARC
(26,20),-1.71978 # DEPENDENCYPART_ARC
(26,22),-0.612637 # DEPENDENCYPART_ARC
(26,24),0.220525 # DEPENDENCYPART_ARC
(26,25),-0.0810296 # DEPENDENCYPART_ARC
(26,27),4.02232 # DEPENDENCYPART_ARC
(26,28),-0.136968 # DEPENDENCYPART_ARC
(27,23),-3.43986 # DEPENDENCYPART_ARC
(27,24),-1.17221 # DEPENDENCYPART_ARC
(27,25),-1.15783 # DEPENDENCYPART_ARC
(27,28),2.32186 # DEPENDENCYPART_ARC
(27,30),-0.0426194 # DEPENDENCYPART_ARC
(27,31),-0.38062 # DEPENDENCYPART_ARC
(28,30),4.15065 # DEPENDENCYPART_ARC
(30,29),3.32502 # DEPENDENCYPART_ARC
