# _root_ La resolució , en_atenció_a aquestes falsedats i mala fe , imposa les costes del procediment als defensors per ' temeritat ' .
#goldHeads=2,11,4,11,6,4,6,9,6,4,0,13,11,13,14,11,16,11,20,18,20,11,
#predictedHeads=2,11,4,11,6,4,2,9,11,4,0,13,11,13,14,11,16,11,20,18,20,11,
(9,19),-0.540263 # DEPENDENCYPART_ARC
(9,20),-1.08164 # DEPENDENCYPART_ARC
(9,21),-1.65249 # DEPENDENCYPART_ARC
(9,22),-1.02773 # DEPENDENCYPART_ARC
(10,9),-2.00356 # DEPENDENCYPART_ARC
(11,1),-1.76186 # DEPENDENCYPART_ARC
(11,2),0.581242 # DEPENDENCYPART_ARC
(11,3),-1.51766 # DEPENDENCYPART_ARC
(11,4),1.19726 # DEPENDENCYPART_ARC
(11,6),0.912615 # DEPENDENCYPART_ARC
(11,7),-0.185772 # DEPENDENCYPART_ARC
(11,8),-0.107014 # DEPENDENCYPART_ARC
(11,9),1.29509 # DEPENDENCYPART_ARC
(11,10),1.16895 # DEPENDENCYPART_ARC
(11,13),3.49857 # DEPENDENCYPART_ARC
(11,14),0.813395 # DEPENDENCYPART_ARC
(11,15),1.10815 # DEPENDENCYPART_ARC
(11,16),2.40124 # DEPENDENCYPART_ARC
(11,17),0.503551 # DEPENDENCYPART_ARC
(11,18),2.22718 # DEPENDENCYPART_ARC
(11,19),0.573776 # DEPENDENCYPART_ARC
(11,20),0.31867 # DEPENDENCYPART_ARC
(11,21),1.58921 # DEPENDENCYPART_ARC
(11,22),2.94578 # DEPENDENCYPART_ARC
(12,13),1.92073 # DEPENDENCYPART_ARC
(12,14),-0.592133 # DEPENDENCYPART_ARC
(13,2),-2.92515 # DEPENDENCYPART_ARC
(13,3),-1.36107 # DEPENDENCYPART_ARC
(13,4),-1.59494 # DEPENDENCYPART_ARC
(13,7),-1.09189 # DEPENDENCYPART_ARC
(13,8),-2.53395 # DEPENDENCYPART_ARC
(13,9),-2.07593 # DEPENDENCYPART_ARC
(13,10),-0.493523 # DEPENDENCYPART_ARC
(13,12),3.62049 # DEPENDENCYPART_ARC
(13,14),3.12845 # DEPENDENCYPART_ARC
(13,15),0.0444273 # DEPENDENCYPART_ARC
(13,16),1.19406 # DEPENDENCYPART_ARC
(13,17),0.328227 # DEPENDENCYPART_ARC
(13,18),0.754935 # DEPENDENCYPART_ARC
(13,19),0.478832 # DEPENDENCYPART_ARC
(13,20),0.649832 # DEPENDENCYPART_ARC
(13,21),-0.0839238 # DEPENDENCYPART_ARC
(13,22),-0.0391397 # DEPENDENCYPART_ARC
(14,7),-1.45488 # DEPENDENCYPART_ARC
(14,10),-1.20126 # DEPENDENCYPART_ARC
(14,12),-0.948665 # DEPENDENCYPART_ARC
(14,15),3.75622 # DEPENDENCYPART_ARC
(14,16),-0.0660208 # DEPENDENCYPART_ARC
(14,17),0.286527 # DEPENDENCYPART_ARC
(14,18),-1.51157 # DEPENDENCYPART_ARC
(14,21),-0.948309 # DEPENDENCYPART_ARC
(15,4),-1.48535 # DEPENDENCYPART_ARC
(15,9),-2.64393 # DEPENDENCYPART_ARC
(15,10),-1.42212 # DEPENDENCYPART_ARC
(15,12),-0.67013 # DEPENDENCYPART_ARC
(15,16),1.47688 # DEPENDENCYPART_ARC
(15,17),0.311357 # DEPENDENCYPART_ARC
(15,18),0.344097 # DEPENDENCYPART_ARC
(15,19),0.706023 # DEPENDENCYPART_ARC
(15,20),0.322215 # DEPENDENCYPART_ARC
(15,21),-0.586697 # DEPENDENCYPART_ARC
(15,22),-0.903684 # DEPENDENCYPART_ARC
(16,14),-0.850803 # DEPENDENCYPART_ARC
(16,17),4.2806 # DEPENDENCYPART_ARC
(16,18),-0.620932 # DEPENDENCYPART_ARC
(16,19),-0.588191 # DEPENDENCYPART_ARC
(16,20),-0.411356 # DEPENDENCYPART_ARC
(17,2),-4.19981 # DEPENDENCYPART_ARC
(17,4),-2.25188 # DEPENDENCYPART_ARC
(17,7),-2.11873 # DEPENDENCYPART_ARC
(17,12),-1.05746 # DEPENDENCYPART_ARC
(17,14),-1.50102 # DEPENDENCYPART_ARC
(17,18),0.926998 # DEPENDENCYPART_ARC
(17,19),0.836472 # DEPENDENCYPART_ARC
(17,20),0.697962 # DEPENDENCYPART_ARC
(17,21),-0.468699 # DEPENDENCYPART_ARC
(17,22),-0.867187 # DEPENDENCYPART_ARC
(18,4),-1.90983 # DEPENDENCYPART_ARC
(18,16),-0.19266 # DEPENDENCYPART_ARC
(18,17),0.148811 # DEPENDENCYPART_ARC
(18,19),1.15839 # DEPENDENCYPART_ARC
(18,20),4.12735 # DEPENDENCYPART_ARC
(18,21),-0.320274 # DEPENDENCYPART_ARC
(18,22),-0.121906 # DEPENDENCYPART_ARC
(20,2),-2.11535 # DEPENDENCYPART_ARC
(20,3),-1.09156 # DEPENDENCYPART_ARC
(20,4),-1.62139 # DEPENDENCYPART_ARC
(20,7),-0.795858 # DEPENDENCYPART_ARC
(20,8),-0.711135 # DEPENDENCYPART_ARC
(20,9),-1.42976 # DEPENDENCYPART_ARC
(20,10),-0.479774 # DEPENDENCYPART_ARC
(20,13),-0.795938 # DEPENDENCYPART_ARC
(20,14),-1.07542 # DEPENDENCYPART_ARC
(20,16),-0.0247978 # DEPENDENCYPART_ARC
(20,17),0.733712 # DEPENDENCYPART_ARC
(20,18),1.10582 # DEPENDENCYPART_ARC
(20,19),4.1428 # DEPENDENCYPART_ARC
(20,21),3.53371 # DEPENDENCYPART_ARC
(20,22),0.442047 # DEPENDENCYPART_ARC
