# _root_ El conseller , contràriament , va defensar que l' ànim del govern català sempre ha estat " el d' ajudar el Barça " .
#goldHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
#predictedHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,20,19,16,19,22,20,20,7,
(4,19),-2.79579 # DEPENDENCYPART_ARC
(4,20),-2.71053 # DEPENDENCYPART_ARC
(5,3),-0.646791 # DEPENDENCYPART_ARC
(6,2),-1.28107 # DEPENDENCYPART_ARC
(6,3),-1.71284 # DEPENDENCYPART_ARC
(6,4),-0.392623 # DEPENDENCYPART_ARC
(6,5),-0.961387 # DEPENDENCYPART_ARC
(6,7),0.306685 # DEPENDENCYPART_ARC
(6,10),-2.42301 # DEPENDENCYPART_ARC
(6,16),-2.79341 # DEPENDENCYPART_ARC
(6,23),-0.524726 # DEPENDENCYPART_ARC
(6,24),1.04176 # DEPENDENCYPART_ARC
(7,1),-1.38755 # DEPENDENCYPART_ARC
(7,2),0.448836 # DEPENDENCYPART_ARC
(7,3),-0.355708 # DEPENDENCYPART_ARC
(7,4),1.59503 # DEPENDENCYPART_ARC
(7,5),-0.322916 # DEPENDENCYPART_ARC
(7,6),5.24896 # DEPENDENCYPART_ARC
(7,8),0.357753 # DEPENDENCYPART_ARC
(7,10),0.03797 # DEPENDENCYPART_ARC
(7,11),0.00488179 # DEPENDENCYPART_ARC
(7,12),-1.02627 # DEPENDENCYPART_ARC
(7,13),-0.382232 # DEPENDENCYPART_ARC
(7,14),-0.485646 # DEPENDENCYPART_ARC
(7,15),1.8603 # DEPENDENCYPART_ARC
(7,16),1.04896 # DEPENDENCYPART_ARC
(7,17),0.435371 # DEPENDENCYPART_ARC
(7,19),-1.80093 # DEPENDENCYPART_ARC
(7,20),0.850369 # DEPENDENCYPART_ARC
(7,22),-2.38467 # DEPENDENCYPART_ARC
(7,23),0.535414 # DEPENDENCYPART_ARC
(7,24),4.92689 # DEPENDENCYPART_ARC
(8,10),-1.49414 # DEPENDENCYPART_ARC
(8,11),-0.890932 # DEPENDENCYPART_ARC
(8,13),-1.56901 # DEPENDENCYPART_ARC
(9,10),0.71062 # DEPENDENCYPART_ARC
(9,11),-0.240254 # DEPENDENCYPART_ARC
(10,2),-2.63125 # DEPENDENCYPART_ARC
(10,3),-0.158907 # DEPENDENCYPART_ARC
(10,4),-0.958375 # DEPENDENCYPART_ARC
(10,5),-0.693069 # DEPENDENCYPART_ARC
(10,7),-1.34865 # DEPENDENCYPART_ARC
(10,8),0.957969 # DEPENDENCYPART_ARC
(10,9),3.33564 # DEPENDENCYPART_ARC
(10,11),3.47974 # DEPENDENCYPART_ARC
(10,12),0.750532 # DEPENDENCYPART_ARC
(10,13),2.13946 # DEPENDENCYPART_ARC
(10,14),-0.0541338 # DEPENDENCYPART_ARC
(10,15),0.248788 # DEPENDENCYPART_ARC
(10,16),-0.182313 # DEPENDENCYPART_ARC
(10,17),0.614917 # DEPENDENCYPART_ARC
(10,19),-0.936716 # DEPENDENCYPART_ARC
(10,20),-1.9514 # DEPENDENCYPART_ARC
(10,22),-1.24699 # DEPENDENCYPART_ARC
(10,23),-0.488924 # DEPENDENCYPART_ARC
(10,24),0.0171156 # DEPENDENCYPART_ARC
(11,7),-2.08521 # DEPENDENCYPART_ARC
(11,8),-0.239081 # DEPENDENCYPART_ARC
(11,9),-0.937864 # DEPENDENCYPART_ARC
(11,10),-0.599519 # DEPENDENCYPART_ARC
(11,12),3.74632 # DEPENDENCYPART_ARC
(11,13),-1.25437 # DEPENDENCYPART_ARC
(11,14),-1.18406 # DEPENDENCYPART_ARC
(11,15),-1.19257 # DEPENDENCYPART_ARC
(11,16),-1.24701 # DEPENDENCYPART_ARC
(11,19),-2.43026 # DEPENDENCYPART_ARC
(12,4),-2.07634 # DEPENDENCYPART_ARC
(12,7),-2.70081 # DEPENDENCYPART_ARC
(12,8),-0.394065 # DEPENDENCYPART_ARC
(12,9),0.176868 # DEPENDENCYPART_ARC
(12,13),3.17435 # DEPENDENCYPART_ARC
(12,14),-0.546277 # DEPENDENCYPART_ARC
(12,15),-0.218889 # DEPENDENCYPART_ARC
(12,16),-1.05592 # DEPENDENCYPART_ARC
(12,17),-0.651683 # DEPENDENCYPART_ARC
(12,19),-2.50248 # DEPENDENCYPART_ARC
(12,20),-2.79679 # DEPENDENCYPART_ARC
(12,22),-1.65071 # DEPENDENCYPART_ARC
(12,23),-1.59648 # DEPENDENCYPART_ARC
(13,3),-1.84104 # DEPENDENCYPART_ARC
(13,5),-2.30111 # DEPENDENCYPART_ARC
(13,9),-1.40787 # DEPENDENCYPART_ARC
(13,10),-1.75256 # DEPENDENCYPART_ARC
(13,11),-0.379849 # DEPENDENCYPART_ARC
(13,14),0.584055 # DEPENDENCYPART_ARC
(13,15),-0.84804 # DEPENDENCYPART_ARC
(13,16),-1.61938 # DEPENDENCYPART_ARC
(13,17),-0.752375 # DEPENDENCYPART_ARC
(13,19),-2.98403 # DEPENDENCYPART_ARC
(13,20),-3.05659 # DEPENDENCYPART_ARC
(14,11),-0.867626 # DEPENDENCYPART_ARC
(14,12),-1.21923 # DEPENDENCYPART_ARC
(14,13),-0.264157 # DEPENDENCYPART_ARC
(14,15),0.00410655 # DEPENDENCYPART_ARC
(14,19),-2.63363 # DEPENDENCYPART_ARC
(15,2),-3.69568 # DEPENDENCYPART_ARC
(15,4),-1.14328 # DEPENDENCYPART_ARC
(15,8),0.604202 # DEPENDENCYPART_ARC
(15,10),-1.67935 # DEPENDENCYPART_ARC
(15,13),-2.07324 # DEPENDENCYPART_ARC
(15,14),-0.151835 # DEPENDENCYPART_ARC
(15,16),-0.512283 # DEPENDENCYPART_ARC
(15,19),-2.40528 # DEPENDENCYPART_ARC
(15,20),-2.26606 # DEPENDENCYPART_ARC
(15,23),-1.38748 # DEPENDENCYPART_ARC
(15,24),0.0570591 # DEPENDENCYPART_ARC
(16,2),-1.10619 # DEPENDENCYPART_ARC
(16,3),-1.7051 # DEPENDENCYPART_ARC
(16,4),0.704616 # DEPENDENCYPART_ARC
(16,5),-1.34991 # DEPENDENCYPART_ARC
(16,6),0.911463 # DEPENDENCYPART_ARC
(16,7),-1.46659 # DEPENDENCYPART_ARC
(16,8),3.27403 # DEPENDENCYPART_ARC
(16,9),-1.24329 # DEPENDENCYPART_ARC
(16,10),1.46987 # DEPENDENCYPART_ARC
(16,11),-0.641947 # DEPENDENCYPART_ARC
(16,12),0.952096 # DEPENDENCYPART_ARC
(16,13),0.0208826 # DEPENDENCYPART_ARC
(16,14),2.7681 # DEPENDENCYPART_ARC
(16,15),5.38135 # DEPENDENCYPART_ARC
(16,17),0.657768 # DEPENDENCYPART_ARC
(16,19),0.604198 # DEPENDENCYPART_ARC
(16,20),0.0207123 # DEPENDENCYPART_ARC
(16,22),-0.152232 # DEPENDENCYPART_ARC
(16,23),0.443794 # DEPENDENCYPART_ARC
(16,24),2.65955 # DEPENDENCYPART_ARC
(18,14),-1.40789 # DEPENDENCYPART_ARC
(18,17),0.0791943 # DEPENDENCYPART_ARC
(18,21),-1.12381 # DEPENDENCYPART_ARC
(19,7),-1.76796 # DEPENDENCYPART_ARC
(19,17),0.728147 # DEPENDENCYPART_ARC
(19,18),1.80938 # DEPENDENCYPART_ARC
(19,20),4.55908 # DEPENDENCYPART_ARC
(19,22),1.56371 # DEPENDENCYPART_ARC
(19,23),0.573236 # DEPENDENCYPART_ARC
(19,24),0.595601 # DEPENDENCYPART_ARC
(20,2),-3.05552 # DEPENDENCYPART_ARC
(20,3),-3.78286 # DEPENDENCYPART_ARC
(20,4),-0.517301 # DEPENDENCYPART_ARC
(20,6),1.38657 # DEPENDENCYPART_ARC
(20,7),-1.95471 # DEPENDENCYPART_ARC
(20,8),1.74494 # DEPENDENCYPART_ARC
(20,10),-0.836816 # DEPENDENCYPART_ARC
(20,11),-2.26071 # DEPENDENCYPART_ARC
(20,12),-0.833574 # DEPENDENCYPART_ARC
(20,13),-1.2733 # DEPENDENCYPART_ARC
(20,14),0.238088 # DEPENDENCYPART_ARC
(20,15),3.08289 # DEPENDENCYPART_ARC
(20,16),0.00810988 # DEPENDENCYPART_ARC
(20,17),1.15542 # DEPENDENCYPART_ARC
(20,18),0.739894 # DEPENDENCYPART_ARC
(20,19),2.09007 # DEPENDENCYPART_ARC
(20,22),2.88185 # DEPENDENCYPART_ARC
(20,23),1.44738 # DEPENDENCYPART_ARC
(20,24),1.9073 # DEPENDENCYPART_ARC
(21,22),-0.79672 # DEPENDENCYPART_ARC
(21,23),-1.17915 # DEPENDENCYPART_ARC
(22,18),-2.15474 # DEPENDENCYPART_ARC
(22,20),0.651015 # DEPENDENCYPART_ARC
(22,21),2.76749 # DEPENDENCYPART_ARC
(22,23),0.371589 # DEPENDENCYPART_ARC
(22,24),0.0718108 # DEPENDENCYPART_ARC
