# _root_ Aquell dia es va presentar un llibre d' un rigor científic lluny_de tot folklorisme , realitzat per l' historiador i arqueòleg Marc_Sureda_i_Jubany , també gran especialista en temes religiosos .
#goldHeads=2,5,5,5,0,7,5,7,10,8,10,10,14,12,16,7,16,19,17,19,19,19,26,26,26,19,26,27,28,5,
#predictedHeads=2,5,5,5,0,7,5,7,10,8,10,7,14,12,16,7,16,19,17,19,19,7,16,25,26,7,26,27,28,5,
(5,27),-0.979825 # DEPENDENCYPART_ARC
(5,30),5.83591 # DEPENDENCYPART_ARC
(6,7),2.50835 # DEPENDENCYPART_ARC
(6,8),0.485695 # DEPENDENCYPART_ARC
(6,9),0.294314 # DEPENDENCYPART_ARC
(7,2),-1.80255 # DEPENDENCYPART_ARC
(7,4),-1.02574 # DEPENDENCYPART_ARC
(7,6),3.57547 # DEPENDENCYPART_ARC
(7,8),3.25479 # DEPENDENCYPART_ARC
(7,9),-0.330518 # DEPENDENCYPART_ARC
(7,10),1.86795 # DEPENDENCYPART_ARC
(7,11),2.39724 # DEPENDENCYPART_ARC
(7,12),1.7124 # DEPENDENCYPART_ARC
(7,13),-0.95331 # DEPENDENCYPART_ARC
(7,14),1.21667 # DEPENDENCYPART_ARC
(7,15),0.430351 # DEPENDENCYPART_ARC
(7,16),2.14286 # DEPENDENCYPART_ARC
(7,17),1.35438 # DEPENDENCYPART_ARC
(7,19),1.06212 # DEPENDENCYPART_ARC
(7,20),1.73695 # DEPENDENCYPART_ARC
(7,21),1.54443 # DEPENDENCYPART_ARC
(7,22),1.86095 # DEPENDENCYPART_ARC
(7,23),-0.53306 # DEPENDENCYPART_ARC
(7,24),-1.83864 # DEPENDENCYPART_ARC
(7,25),0.155592 # DEPENDENCYPART_ARC
(7,26),0.917954 # DEPENDENCYPART_ARC
(7,27),0.116976 # DEPENDENCYPART_ARC
(7,28),0.600221 # DEPENDENCYPART_ARC
(7,29),-1.12265 # DEPENDENCYPART_ARC
(7,30),0.97238 # DEPENDENCYPART_ARC
(8,6),-0.805432 # DEPENDENCYPART_ARC
(8,10),3.89226 # DEPENDENCYPART_ARC
(8,11),-0.597533 # DEPENDENCYPART_ARC
(8,12),-1.15726 # DEPENDENCYPART_ARC
(8,14),0.473705 # DEPENDENCYPART_ARC
(8,15),-0.601785 # DEPENDENCYPART_ARC
(8,16),-1.58849 # DEPENDENCYPART_ARC
(9,8),1.07147 # DEPENDENCYPART_ARC
(9,10),1.04577 # DEPENDENCYPART_ARC
(9,12),-1.23191 # DEPENDENCYPART_ARC
(10,2),-2.61266 # DEPENDENCYPART_ARC
(10,6),0.597392 # DEPENDENCYPART_ARC
(10,8),1.17897 # DEPENDENCYPART_ARC
(10,9),3.58342 # DEPENDENCYPART_ARC
(10,11),3.30359 # DEPENDENCYPART_ARC
(10,12),1.19286 # DEPENDENCYPART_ARC
(10,13),-0.932679 # DEPENDENCYPART_ARC
(10,14),0.639933 # DEPENDENCYPART_ARC
(10,15),0.119144 # DEPENDENCYPART_ARC
(10,16),1.83878 # DEPENDENCYPART_ARC
(10,17),0.600866 # DEPENDENCYPART_ARC
(10,19),0.222235 # DEPENDENCYPART_ARC
(10,20),1.09998 # DEPENDENCYPART_ARC
(10,21),0.832086 # DEPENDENCYPART_ARC
(10,22),0.986281 # DEPENDENCYPART_ARC
(10,23),-0.191855 # DEPENDENCYPART_ARC
(10,25),0.160665 # DEPENDENCYPART_ARC
(10,26),0.591489 # DEPENDENCYPART_ARC
(10,27),-0.624469 # DEPENDENCYPART_ARC
(10,28),0.350935 # DEPENDENCYPART_ARC
(10,29),-1.27497 # DEPENDENCYPART_ARC
(10,30),0.794427 # DEPENDENCYPART_ARC
(11,9),-0.00525487 # DEPENDENCYPART_ARC
(11,12),0.6268 # DEPENDENCYPART_ARC
(11,14),-0.273746 # DEPENDENCYPART_ARC
(11,15),0.290776 # DEPENDENCYPART_ARC
(11,16),0.336802 # DEPENDENCYPART_ARC
(11,17),-0.584002 # DEPENDENCYPART_ARC
(11,20),0.361906 # DEPENDENCYPART_ARC
(11,25),-0.035525 # DEPENDENCYPART_ARC
(11,27),-1.46319 # DEPENDENCYPART_ARC
(12,11),-0.30682 # DEPENDENCYPART_ARC
(12,13),-1.02749 # DEPENDENCYPART_ARC
(12,14),3.73735 # DEPENDENCYPART_ARC
(12,15),0.172824 # DEPENDENCYPART_ARC
(12,16),-0.250199 # DEPENDENCYPART_ARC
(12,17),-0.953361 # DEPENDENCYPART_ARC
(12,19),-0.703467 # DEPENDENCYPART_ARC
(12,20),0.258807 # DEPENDENCYPART_ARC
(13,17),-2.00455 # DEPENDENCYPART_ARC
(14,8),-0.222291 # DEPENDENCYPART_ARC
(14,9),0.757856 # DEPENDENCYPART_ARC
(14,11),-1.70955 # DEPENDENCYPART_ARC
(14,12),0.768054 # DEPENDENCYPART_ARC
(14,13),3.27539 # DEPENDENCYPART_ARC
(14,15),0.251538 # DEPENDENCYPART_ARC
(14,16),1.30714 # DEPENDENCYPART_ARC
(14,17),-0.22472 # DEPENDENCYPART_ARC
(14,19),0.450934 # DEPENDENCYPART_ARC
(14,20),1.2901 # DEPENDENCYPART_ARC
(14,21),0.993573 # DEPENDENCYPART_ARC
(14,22),0.695074 # DEPENDENCYPART_ARC
(14,25),-0.337504 # DEPENDENCYPART_ARC
(14,26),0.151063 # DEPENDENCYPART_ARC
(14,28),0.0053116 # DEPENDENCYPART_ARC
(14,29),-0.211135 # DEPENDENCYPART_ARC
(14,30),0.763624 # DEPENDENCYPART_ARC
(16,8),0.21179 # DEPENDENCYPART_ARC
(16,12),0.676136 # DEPENDENCYPART_ARC
(16,14),0.313978 # DEPENDENCYPART_ARC
(16,15),3.11523 # DEPENDENCYPART_ARC
(16,17),4.75594 # DEPENDENCYPART_ARC
(16,19),1.119 # DEPENDENCYPART_ARC
(16,20),1.92164 # DEPENDENCYPART_ARC
(16,21),0.91657 # DEPENDENCYPART_ARC
(16,22),0.435587 # DEPENDENCYPART_ARC
(16,23),2.18911 # DEPENDENCYPART_ARC
(16,24),0.214082 # DEPENDENCYPART_ARC
(16,25),0.842505 # DEPENDENCYPART_ARC
(16,26),-0.469222 # DEPENDENCYPART_ARC
(16,27),1.39903 # DEPENDENCYPART_ARC
(16,29),-0.733764 # DEPENDENCYPART_ARC
(16,30),1.10694 # DEPENDENCYPART_ARC
(17,15),0.297571 # DEPENDENCYPART_ARC
(17,16),-0.0579986 # DEPENDENCYPART_ARC
(17,18),-0.371732 # DEPENDENCYPART_ARC
(17,19),3.90978 # DEPENDENCYPART_ARC
(17,20),0.580038 # DEPENDENCYPART_ARC
(17,21),-0.155984 # DEPENDENCYPART_ARC
(17,22),-1.70222 # DEPENDENCYPART_ARC
(17,23),-0.420264 # DEPENDENCYPART_ARC
(19,13),-1.3235 # DEPENDENCYPART_ARC
(19,18),2.97367 # DEPENDENCYPART_ARC
(19,20),2.92503 # DEPENDENCYPART_ARC
(19,21),2.22424 # DEPENDENCYPART_ARC
(19,22),1.83171 # DEPENDENCYPART_ARC
(19,23),-0.056569 # DEPENDENCYPART_ARC
(19,24),-1.06957 # DEPENDENCYPART_ARC
(19,25),0.895755 # DEPENDENCYPART_ARC
(19,26),0.831533 # DEPENDENCYPART_ARC
(19,27),0.517677 # DEPENDENCYPART_ARC
(19,28),0.752135 # DEPENDENCYPART_ARC
(19,29),0.0629919 # DEPENDENCYPART_ARC
(19,30),0.990053 # DEPENDENCYPART_ARC
(21,18),0.783704 # DEPENDENCYPART_ARC
(21,20),1.34323 # DEPENDENCYPART_ARC
(21,22),1.60104 # DEPENDENCYPART_ARC
(21,24),-1.34616 # DEPENDENCYPART_ARC
(21,25),-0.035207 # DEPENDENCYPART_ARC
(21,26),-0.124808 # DEPENDENCYPART_ARC
(21,27),-0.835097 # DEPENDENCYPART_ARC
(21,29),-1.67526 # DEPENDENCYPART_ARC
(21,30),-0.183663 # DEPENDENCYPART_ARC
(22,18),-0.609028 # DEPENDENCYPART_ARC
(22,21),0.832274 # DEPENDENCYPART_ARC
(22,23),0.397484 # DEPENDENCYPART_ARC
(22,24),-0.907265 # DEPENDENCYPART_ARC
(22,25),0.248022 # DEPENDENCYPART_ARC
(22,26),0.137762 # DEPENDENCYPART_ARC
(22,28),0.0112839 # DEPENDENCYPART_ARC
(22,29),-0.0462443 # DEPENDENCYPART_ARC
(24,21),-2.20737 # DEPENDENCYPART_ARC
(24,23),-0.214333 # DEPENDENCYPART_ARC
(24,25),0.215666 # DEPENDENCYPART_ARC
(24,27),-2.7566 # DEPENDENCYPART_ARC
(25,17),-1.16516 # DEPENDENCYPART_ARC
(25,21),-1.80528 # DEPENDENCYPART_ARC
(25,23),0.859982 # DEPENDENCYPART_ARC
(25,24),2.29306 # DEPENDENCYPART_ARC
(25,26),0.314522 # DEPENDENCYPART_ARC
(25,27),-0.457975 # DEPENDENCYPART_ARC
(26,12),-0.828912 # DEPENDENCYPART_ARC
(26,15),0.940335 # DEPENDENCYPART_ARC
(26,16),0.321885 # DEPENDENCYPART_ARC
(26,17),-0.000531655 # DEPENDENCYPART_ARC
(26,23),1.54515 # DEPENDENCYPART_ARC
(26,24),1.93098 # DEPENDENCYPART_ARC
(26,25),3.32816 # DEPENDENCYPART_ARC
(26,27),2.03647 # DEPENDENCYPART_ARC
(26,28),0.960642 # DEPENDENCYPART_ARC
(26,29),0.21581 # DEPENDENCYPART_ARC
(26,30),0.871755 # DEPENDENCYPART_ARC
(27,24),0.194595 # DEPENDENCYPART_ARC
(27,26),-0.737746 # DEPENDENCYPART_ARC
(27,28),4.03525 # DEPENDENCYPART_ARC
(27,29),-0.564366 # DEPENDENCYPART_ARC
(28,29),3.57547 # DEPENDENCYPART_ARC
(29,24),-1.11902 # DEPENDENCYPART_ARC
