# _root_ El port de Tarragona rebrà , durant tot el mes_de_juny , fins_a cinc creuers de luxe i vora mil passatgers .
#goldHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
#predictedHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
(8,7),-0.583088 # DEPENDENCYPART_ARC
(8,13),1.32306 # DEPENDENCYPART_ARC
(9,7),-0.122812 # DEPENDENCYPART_ARC
(9,8),3.7309 # DEPENDENCYPART_ARC
(9,10),0.416008 # DEPENDENCYPART_ARC
(10,7),0.2263 # DEPENDENCYPART_ARC
(10,9),3.11018 # DEPENDENCYPART_ARC
(10,11),0.75572 # DEPENDENCYPART_ARC
(10,14),-0.405385 # DEPENDENCYPART_ARC
(10,15),-0.75658 # DEPENDENCYPART_ARC
(10,17),-0.025176 # DEPENDENCYPART_ARC
(10,20),-1.07171 # DEPENDENCYPART_ARC
(12,6),-0.482103 # DEPENDENCYPART_ARC
(12,7),-1.1185 # DEPENDENCYPART_ARC
(12,11),0.604656 # DEPENDENCYPART_ARC
(12,13),0.225758 # DEPENDENCYPART_ARC
(12,14),-0.309283 # DEPENDENCYPART_ARC
(12,15),-1.13624 # DEPENDENCYPART_ARC
(12,17),-0.257972 # DEPENDENCYPART_ARC
(12,18),-0.505178 # DEPENDENCYPART_ARC
(12,21),-0.287948 # DEPENDENCYPART_ARC
(13,12),1.08156 # DEPENDENCYPART_ARC
(13,14),1.15285 # DEPENDENCYPART_ARC
(13,15),0.92154 # DEPENDENCYPART_ARC
(14,6),-0.239262 # DEPENDENCYPART_ARC
(14,7),-0.768841 # DEPENDENCYPART_ARC
(14,8),-0.419561 # DEPENDENCYPART_ARC
(14,9),-0.862402 # DEPENDENCYPART_ARC
(14,11),0.32208 # DEPENDENCYPART_ARC
(14,12),0.479669 # DEPENDENCYPART_ARC
(14,13),2.22631 # DEPENDENCYPART_ARC
(14,15),3.69152 # DEPENDENCYPART_ARC
(14,16),0.831708 # DEPENDENCYPART_ARC
(14,17),0.992282 # DEPENDENCYPART_ARC
(14,18),-0.318566 # DEPENDENCYPART_ARC
(14,19),-0.03411 # DEPENDENCYPART_ARC
(14,20),1.9339 # DEPENDENCYPART_ARC
(14,21),1.59923 # DEPENDENCYPART_ARC
(15,10),-1.79011 # DEPENDENCYPART_ARC
(15,11),0.0374818 # DEPENDENCYPART_ARC
(15,12),-0.420947 # DEPENDENCYPART_ARC
(15,13),-0.467252 # DEPENDENCYPART_ARC
(15,16),3.70059 # DEPENDENCYPART_ARC
(15,17),0.642946 # DEPENDENCYPART_ARC
(15,18),-0.952142 # DEPENDENCYPART_ARC
(15,19),-1.19303 # DEPENDENCYPART_ARC
(15,20),-0.257721 # DEPENDENCYPART_ARC
(16,6),-0.953903 # DEPENDENCYPART_ARC
(16,11),-0.969159 # DEPENDENCYPART_ARC
(16,12),-0.615499 # DEPENDENCYPART_ARC
(16,13),-0.900392 # DEPENDENCYPART_ARC
(16,17),0.35394 # DEPENDENCYPART_ARC
(16,18),-0.789902 # DEPENDENCYPART_ARC
(16,19),-0.955257 # DEPENDENCYPART_ARC
(16,20),0.248879 # DEPENDENCYPART_ARC
(16,21),-0.218658 # DEPENDENCYPART_ARC
(18,11),-0.604047 # DEPENDENCYPART_ARC
(18,12),-0.792627 # DEPENDENCYPART_ARC
(18,17),0.378722 # DEPENDENCYPART_ARC
(18,19),0.749148 # DEPENDENCYPART_ARC
(18,20),0.293162 # DEPENDENCYPART_ARC
(18,21),-0.635922 # DEPENDENCYPART_ARC
(19,7),-1.09088 # DEPENDENCYPART_ARC
(19,12),0.467766 # DEPENDENCYPART_ARC
(19,15),0.124701 # DEPENDENCYPART_ARC
(19,18),2.1886 # DEPENDENCYPART_ARC
(19,20),0.785878 # DEPENDENCYPART_ARC
(19,21),-0.607591 # DEPENDENCYPART_ARC
(20,2),-2.8701 # DEPENDENCYPART_ARC
(20,6),0.08742 # DEPENDENCYPART_ARC
(20,7),-0.850103 # DEPENDENCYPART_ARC
(20,11),0.397179 # DEPENDENCYPART_ARC
(20,12),-0.22604 # DEPENDENCYPART_ARC
(20,14),-0.998028 # DEPENDENCYPART_ARC
(20,15),0.359087 # DEPENDENCYPART_ARC
(20,17),0.138668 # DEPENDENCYPART_ARC
(20,18),1.68477 # DEPENDENCYPART_ARC
(20,19),2.59618 # DEPENDENCYPART_ARC
(20,21),0.64855 # DEPENDENCYPART_ARC
