# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(9,12),1.92224 # DEPENDENCYPART_ARC
(9,13),0.494904 # DEPENDENCYPART_ARC
(9,16),-0.29739 # DEPENDENCYPART_ARC
(9,18),0.342258 # DEPENDENCYPART_ARC
(9,19),-1.58297 # DEPENDENCYPART_ARC
(9,20),-0.267596 # DEPENDENCYPART_ARC
(9,23),0.0549453 # DEPENDENCYPART_ARC
(10,11),-0.724667 # DEPENDENCYPART_ARC
(10,15),-2.5296 # DEPENDENCYPART_ARC
(10,19),-2.39076 # DEPENDENCYPART_ARC
(11,8),-1.75387 # DEPENDENCYPART_ARC
(11,9),0.0268909 # DEPENDENCYPART_ARC
(11,10),1.51284 # DEPENDENCYPART_ARC
(11,12),-0.0571112 # DEPENDENCYPART_ARC
(11,14),-0.95008 # DEPENDENCYPART_ARC
(11,15),-1.57732 # DEPENDENCYPART_ARC
(12,1),-2.67358 # DEPENDENCYPART_ARC
(12,2),0.431641 # DEPENDENCYPART_ARC
(12,3),-2.15434 # DEPENDENCYPART_ARC
(12,5),0.804975 # DEPENDENCYPART_ARC
(12,7),1.31622 # DEPENDENCYPART_ARC
(12,8),0.291691 # DEPENDENCYPART_ARC
(12,9),1.32921 # DEPENDENCYPART_ARC
(12,10),4.35954 # DEPENDENCYPART_ARC
(12,11),2.11965 # DEPENDENCYPART_ARC
(12,13),1.05313 # DEPENDENCYPART_ARC
(12,14),1.29555 # DEPENDENCYPART_ARC
(12,15),1.26631 # DEPENDENCYPART_ARC
(12,16),0.586746 # DEPENDENCYPART_ARC
(12,17),0.436434 # DEPENDENCYPART_ARC
(12,18),1.00822 # DEPENDENCYPART_ARC
(12,19),0.327633 # DEPENDENCYPART_ARC
(12,20),-0.100462 # DEPENDENCYPART_ARC
(12,22),-1.23955 # DEPENDENCYPART_ARC
(12,23),3.32223 # DEPENDENCYPART_ARC
(14,13),1.90369 # DEPENDENCYPART_ARC
(14,15),2.84244 # DEPENDENCYPART_ARC
(14,16),0.942801 # DEPENDENCYPART_ARC
(14,18),-0.264828 # DEPENDENCYPART_ARC
(14,19),-1.02001 # DEPENDENCYPART_ARC
(14,20),-1.21022 # DEPENDENCYPART_ARC
(14,22),-1.2436 # DEPENDENCYPART_ARC
(15,9),-0.859184 # DEPENDENCYPART_ARC
(15,13),0.570195 # DEPENDENCYPART_ARC
(15,16),-0.785131 # DEPENDENCYPART_ARC
(15,17),-2.05753 # DEPENDENCYPART_ARC
(15,18),-2.02659 # DEPENDENCYPART_ARC
(15,19),-2.45689 # DEPENDENCYPART_ARC
(15,20),-3.05726 # DEPENDENCYPART_ARC
(15,22),-2.92949 # DEPENDENCYPART_ARC
(16,13),-0.0473511 # DEPENDENCYPART_ARC
(16,15),-0.201861 # DEPENDENCYPART_ARC
(17,16),-0.970044 # DEPENDENCYPART_ARC
(17,18),-0.0223789 # DEPENDENCYPART_ARC
(18,2),-2.83682 # DEPENDENCYPART_ARC
(18,8),-3.72288 # DEPENDENCYPART_ARC
(18,9),-1.82505 # DEPENDENCYPART_ARC
(18,10),-0.0195373 # DEPENDENCYPART_ARC
(18,11),-1.54471 # DEPENDENCYPART_ARC
(18,12),-2.44196 # DEPENDENCYPART_ARC
(18,13),-0.405858 # DEPENDENCYPART_ARC
(18,14),-0.995846 # DEPENDENCYPART_ARC
(18,15),-1.02309 # DEPENDENCYPART_ARC
(18,16),1.80463 # DEPENDENCYPART_ARC
(18,17),3.70572 # DEPENDENCYPART_ARC
(18,19),4.24768 # DEPENDENCYPART_ARC
(18,20),1.49496 # DEPENDENCYPART_ARC
(18,22),1.08032 # DEPENDENCYPART_ARC
(18,23),1.66679 # DEPENDENCYPART_ARC
(19,14),-2.73754 # DEPENDENCYPART_ARC
(19,16),-1.82291 # DEPENDENCYPART_ARC
(19,17),-0.0199108 # DEPENDENCYPART_ARC
(19,18),0.158767 # DEPENDENCYPART_ARC
(19,20),3.55715 # DEPENDENCYPART_ARC
(19,22),1.29224 # DEPENDENCYPART_ARC
(19,23),0.0357758 # DEPENDENCYPART_ARC
(20,2),-2.15728 # DEPENDENCYPART_ARC
(20,5),-1.69962 # DEPENDENCYPART_ARC
(20,7),0.349405 # DEPENDENCYPART_ARC
(20,8),-2.12607 # DEPENDENCYPART_ARC
(20,9),-0.909892 # DEPENDENCYPART_ARC
(20,10),0.713032 # DEPENDENCYPART_ARC
(20,11),-0.657626 # DEPENDENCYPART_ARC
(20,12),-0.608958 # DEPENDENCYPART_ARC
(20,13),-0.678054 # DEPENDENCYPART_ARC
(20,14),-0.032134 # DEPENDENCYPART_ARC
(20,15),-0.867844 # DEPENDENCYPART_ARC
(20,16),1.26503 # DEPENDENCYPART_ARC
(20,17),2.76223 # DEPENDENCYPART_ARC
(20,18),2.86267 # DEPENDENCYPART_ARC
(20,19),4.03502 # DEPENDENCYPART_ARC
(20,22),3.82988 # DEPENDENCYPART_ARC
(20,23),2.20817 # DEPENDENCYPART_ARC
(22,9),-2.12765 # DEPENDENCYPART_ARC
(22,15),-2.47796 # DEPENDENCYPART_ARC
(22,17),0.369662 # DEPENDENCYPART_ARC
(22,19),-0.528668 # DEPENDENCYPART_ARC
(22,20),0.942739 # DEPENDENCYPART_ARC
(22,21),3.16242 # DEPENDENCYPART_ARC
(22,23),0.363726 # DEPENDENCYPART_ARC
