# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,12,8,6,12,9,12,0,12,15,12,15,16,17,18,21,16,23,21,26,26,23,34,34,30,28,34,34,34,26,36,34,36,34,12,
(21,2),-0.652307 # DEPENDENCYPART_ARC
(21,3),0.0938458 # DEPENDENCYPART_ARC
(21,6),-1.08793 # DEPENDENCYPART_ARC
(21,8),-0.860272 # DEPENDENCYPART_ARC
(21,9),-0.00352531 # DEPENDENCYPART_ARC
(21,10),-1.97987 # DEPENDENCYPART_ARC
(21,11),-0.898519 # DEPENDENCYPART_ARC
(21,13),-1.29587 # DEPENDENCYPART_ARC
(21,14),-0.0196342 # DEPENDENCYPART_ARC
(21,15),-0.11922 # DEPENDENCYPART_ARC
(21,16),-0.762813 # DEPENDENCYPART_ARC
(21,17),-1.17304 # DEPENDENCYPART_ARC
(21,18),-0.890996 # DEPENDENCYPART_ARC
(21,19),-0.769653 # DEPENDENCYPART_ARC
(21,20),3.90293 # DEPENDENCYPART_ARC
(21,23),3.12745 # DEPENDENCYPART_ARC
(21,24),0.913632 # DEPENDENCYPART_ARC
(21,25),-1.71248 # DEPENDENCYPART_ARC
(21,26),1.42155 # DEPENDENCYPART_ARC
(21,27),-1.27628 # DEPENDENCYPART_ARC
(21,30),-0.983649 # DEPENDENCYPART_ARC
(21,32),0.176431 # DEPENDENCYPART_ARC
(21,33),-1.28056 # DEPENDENCYPART_ARC
(21,34),-0.811773 # DEPENDENCYPART_ARC
(21,36),-2.31185 # DEPENDENCYPART_ARC
(21,38),-1.82875 # DEPENDENCYPART_ARC
(21,39),3.18063 # DEPENDENCYPART_ARC
(23,1),-1.69082 # DEPENDENCYPART_ARC
(23,17),-0.17496 # DEPENDENCYPART_ARC
(23,20),0.623648 # DEPENDENCYPART_ARC
(23,22),3.77923 # DEPENDENCYPART_ARC
(23,24),-0.0481643 # DEPENDENCYPART_ARC
(23,25),0.0640442 # DEPENDENCYPART_ARC
(23,26),2.62882 # DEPENDENCYPART_ARC
(23,27),-2.39713 # DEPENDENCYPART_ARC
(23,28),-1.40595 # DEPENDENCYPART_ARC
(23,29),-1.78041 # DEPENDENCYPART_ARC
(23,30),-2.42457 # DEPENDENCYPART_ARC
(23,31),-4.30798 # DEPENDENCYPART_ARC
(23,32),1.1836 # DEPENDENCYPART_ARC
(23,33),-1.70649 # DEPENDENCYPART_ARC
(23,34),0.803738 # DEPENDENCYPART_ARC
(23,38),-2.48735 # DEPENDENCYPART_ARC
(23,39),2.1513 # DEPENDENCYPART_ARC
(25,24),0.310267 # DEPENDENCYPART_ARC
(25,28),-0.404299 # DEPENDENCYPART_ARC
(25,34),-0.816282 # DEPENDENCYPART_ARC
(26,1),0.198404 # DEPENDENCYPART_ARC
(26,2),-0.0844965 # DEPENDENCYPART_ARC
(26,3),0.570243 # DEPENDENCYPART_ARC
(26,4),-2.51573 # DEPENDENCYPART_ARC
(26,6),0.482817 # DEPENDENCYPART_ARC
(26,8),-0.700225 # DEPENDENCYPART_ARC
(26,9),0.333507 # DEPENDENCYPART_ARC
(26,10),-2.22648 # DEPENDENCYPART_ARC
(26,11),-0.630513 # DEPENDENCYPART_ARC
(26,12),-1.37318 # DEPENDENCYPART_ARC
(26,13),-0.555707 # DEPENDENCYPART_ARC
(26,14),-0.443232 # DEPENDENCYPART_ARC
(26,15),0.375184 # DEPENDENCYPART_ARC
(26,16),-0.754448 # DEPENDENCYPART_ARC
(26,17),-1.35373 # DEPENDENCYPART_ARC
(26,18),-1.21248 # DEPENDENCYPART_ARC
(26,19),-0.767918 # DEPENDENCYPART_ARC
(26,20),1.83633 # DEPENDENCYPART_ARC
(26,21),0.624975 # DEPENDENCYPART_ARC
(26,22),-0.123959 # DEPENDENCYPART_ARC
(26,23),0.884728 # DEPENDENCYPART_ARC
(26,24),2.15273 # DEPENDENCYPART_ARC
(26,25),3.9842 # DEPENDENCYPART_ARC
(26,27),0.32587 # DEPENDENCYPART_ARC
(26,28),-1.02925 # DEPENDENCYPART_ARC
(26,30),-0.56102 # DEPENDENCYPART_ARC
(26,31),-1.96533 # DEPENDENCYPART_ARC
(26,32),2.76207 # DEPENDENCYPART_ARC
(26,33),-0.528963 # DEPENDENCYPART_ARC
(26,34),1.38885 # DEPENDENCYPART_ARC
(26,36),-2.26884 # DEPENDENCYPART_ARC
(26,38),-2.15494 # DEPENDENCYPART_ARC
(26,39),5.25741 # DEPENDENCYPART_ARC
(27,28),-0.616452 # DEPENDENCYPART_ARC
(28,27),0.531463 # DEPENDENCYPART_ARC
(28,29),-0.41051 # DEPENDENCYPART_ARC
(28,30),3.64435 # DEPENDENCYPART_ARC
(28,32),2.13959 # DEPENDENCYPART_ARC
(28,33),0.719471 # DEPENDENCYPART_ARC
(28,34),1.46896 # DEPENDENCYPART_ARC
(28,36),-0.590071 # DEPENDENCYPART_ARC
(28,38),-2.42811 # DEPENDENCYPART_ARC
(29,28),0.221093 # DEPENDENCYPART_ARC
(29,33),-1.49767 # DEPENDENCYPART_ARC
(30,28),0.18026 # DEPENDENCYPART_ARC
(30,29),3.02086 # DEPENDENCYPART_ARC
(30,32),1.49768 # DEPENDENCYPART_ARC
(30,33),-0.625791 # DEPENDENCYPART_ARC
(30,34),-0.47561 # DEPENDENCYPART_ARC
(30,36),-1.95568 # DEPENDENCYPART_ARC
(32,14),-0.395602 # DEPENDENCYPART_ARC
(32,20),-1.22229 # DEPENDENCYPART_ARC
(32,24),0.570845 # DEPENDENCYPART_ARC
(32,27),1.11066 # DEPENDENCYPART_ARC
(32,28),-0.0648847 # DEPENDENCYPART_ARC
(32,31),1.65709 # DEPENDENCYPART_ARC
(32,33),0.923331 # DEPENDENCYPART_ARC
(32,36),0.19267 # DEPENDENCYPART_ARC
(32,39),0.978151 # DEPENDENCYPART_ARC
(33,29),-2.15301 # DEPENDENCYPART_ARC
(33,34),2.956 # DEPENDENCYPART_ARC
(33,36),0.441238 # DEPENDENCYPART_ARC
(33,38),-1.56051 # DEPENDENCYPART_ARC
(34,1),-0.386453 # DEPENDENCYPART_ARC
(34,2),-1.94835 # DEPENDENCYPART_ARC
(34,3),-0.771232 # DEPENDENCYPART_ARC
(34,4),-2.51006 # DEPENDENCYPART_ARC
(34,6),0.327708 # DEPENDENCYPART_ARC
(34,8),-2.68886 # DEPENDENCYPART_ARC
(34,9),-1.12626 # DEPENDENCYPART_ARC
(34,11),-0.667836 # DEPENDENCYPART_ARC
(34,12),-2.3839 # DEPENDENCYPART_ARC
(34,14),-0.0256739 # DEPENDENCYPART_ARC
(34,15),-0.487321 # DEPENDENCYPART_ARC
(34,19),-0.539945 # DEPENDENCYPART_ARC
(34,20),0.315165 # DEPENDENCYPART_ARC
(34,22),-1.25119 # DEPENDENCYPART_ARC
(34,23),-1.06935 # DEPENDENCYPART_ARC
(34,24),2.09663 # DEPENDENCYPART_ARC
(34,25),0.406694 # DEPENDENCYPART_ARC
(34,26),-0.251256 # DEPENDENCYPART_ARC
(34,27),2.80974 # DEPENDENCYPART_ARC
(34,28),1.5198 # DEPENDENCYPART_ARC
(34,30),1.14498 # DEPENDENCYPART_ARC
(34,31),2.42321 # DEPENDENCYPART_ARC
(34,32),4.53626 # DEPENDENCYPART_ARC
(34,33),4.03945 # DEPENDENCYPART_ARC
(34,36),4.16794 # DEPENDENCYPART_ARC
(34,37),0.744886 # DEPENDENCYPART_ARC
(34,38),2.40221 # DEPENDENCYPART_ARC
(34,39),2.13596 # DEPENDENCYPART_ARC
(36,27),-0.407881 # DEPENDENCYPART_ARC
(36,28),0.716381 # DEPENDENCYPART_ARC
(36,29),-2.83649 # DEPENDENCYPART_ARC
(36,31),0.256847 # DEPENDENCYPART_ARC
(36,33),0.196804 # DEPENDENCYPART_ARC
(36,35),3.57405 # DEPENDENCYPART_ARC
(36,37),3.84303 # DEPENDENCYPART_ARC
(36,38),2.25105 # DEPENDENCYPART_ARC
(37,35),-1.51534 # DEPENDENCYPART_ARC
(37,38),0.670123 # DEPENDENCYPART_ARC
(38,36),-0.346901 # DEPENDENCYPART_ARC
(38,37),1.58655 # DEPENDENCYPART_ARC
