# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,27,4,
(8,7),-0.744048 # DEPENDENCYPART_ARC
(8,9),2.5028 # DEPENDENCYPART_ARC
(8,11),0.392603 # DEPENDENCYPART_ARC
(8,12),-0.333735 # DEPENDENCYPART_ARC
(8,13),-2.30185 # DEPENDENCYPART_ARC
(9,2),1.31388 # DEPENDENCYPART_ARC
(9,3),3.5581 # DEPENDENCYPART_ARC
(9,4),-0.120599 # DEPENDENCYPART_ARC
(9,5),0.495402 # DEPENDENCYPART_ARC
(9,6),4.94895 # DEPENDENCYPART_ARC
(9,7),3.13916 # DEPENDENCYPART_ARC
(9,8),4.0943 # DEPENDENCYPART_ARC
(9,11),3.80695 # DEPENDENCYPART_ARC
(9,12),0.580319 # DEPENDENCYPART_ARC
(9,13),1.24982 # DEPENDENCYPART_ARC
(9,14),2.69227 # DEPENDENCYPART_ARC
(9,18),0.864644 # DEPENDENCYPART_ARC
(9,19),-0.481603 # DEPENDENCYPART_ARC
(9,21),-0.928511 # DEPENDENCYPART_ARC
(9,22),0.00372002 # DEPENDENCYPART_ARC
(9,23),0.921906 # DEPENDENCYPART_ARC
(9,25),-0.295714 # DEPENDENCYPART_ARC
(9,27),-0.16246 # DEPENDENCYPART_ARC
(9,29),-0.632624 # DEPENDENCYPART_ARC
(9,30),-0.208892 # DEPENDENCYPART_ARC
(9,32),-0.848141 # DEPENDENCYPART_ARC
(9,33),1.02671 # DEPENDENCYPART_ARC
(9,34),-1.23123 # DEPENDENCYPART_ARC
(9,35),-0.113715 # DEPENDENCYPART_ARC
(9,38),-1.02285 # DEPENDENCYPART_ARC
(9,42),4.29908 # DEPENDENCYPART_ARC
(10,11),0.56731 # DEPENDENCYPART_ARC
(10,14),-2.22961 # DEPENDENCYPART_ARC
(11,7),-2.61509 # DEPENDENCYPART_ARC
(11,8),-0.819635 # DEPENDENCYPART_ARC
(11,9),-0.260102 # DEPENDENCYPART_ARC
(11,10),2.60136 # DEPENDENCYPART_ARC
(11,12),1.08952 # DEPENDENCYPART_ARC
(11,13),1.53561 # DEPENDENCYPART_ARC
(11,14),0.680204 # DEPENDENCYPART_ARC
(11,18),1.29726 # DEPENDENCYPART_ARC
(11,19),-0.0569528 # DEPENDENCYPART_ARC
(11,21),0.619681 # DEPENDENCYPART_ARC
(11,22),0.60973 # DEPENDENCYPART_ARC
(11,27),-1.61749 # DEPENDENCYPART_ARC
(11,29),-0.47901 # DEPENDENCYPART_ARC
(11,30),0.82764 # DEPENDENCYPART_ARC
(11,32),-0.809422 # DEPENDENCYPART_ARC
(11,42),1.30267 # DEPENDENCYPART_ARC
(13,8),-0.703139 # DEPENDENCYPART_ARC
(13,10),0.620536 # DEPENDENCYPART_ARC
(13,11),-0.718428 # DEPENDENCYPART_ARC
(13,12),2.6278 # DEPENDENCYPART_ARC
(13,14),1.21419 # DEPENDENCYPART_ARC
(13,18),-0.880925 # DEPENDENCYPART_ARC
(13,19),1.29764 # DEPENDENCYPART_ARC
(13,20),-2.14799 # DEPENDENCYPART_ARC
(13,21),0.47554 # DEPENDENCYPART_ARC
(13,22),0.257982 # DEPENDENCYPART_ARC
(13,25),-0.0851279 # DEPENDENCYPART_ARC
(14,12),0.00763622 # DEPENDENCYPART_ARC
(14,13),-1.22554 # DEPENDENCYPART_ARC
(14,15),-0.927761 # DEPENDENCYPART_ARC
(14,16),1.11197 # DEPENDENCYPART_ARC
(14,18),1.55958 # DEPENDENCYPART_ARC
(14,22),-0.35428 # DEPENDENCYPART_ARC
(14,38),-0.538967 # DEPENDENCYPART_ARC
(15,13),-2.65406 # DEPENDENCYPART_ARC
(15,14),-1.72597 # DEPENDENCYPART_ARC
(15,16),1.13749 # DEPENDENCYPART_ARC
(15,17),1.44853 # DEPENDENCYPART_ARC
(16,15),3.77965 # DEPENDENCYPART_ARC
(17,18),-1.80287 # DEPENDENCYPART_ARC
(18,9),-1.09208 # DEPENDENCYPART_ARC
(18,12),0.172627 # DEPENDENCYPART_ARC
(18,13),-1.66436 # DEPENDENCYPART_ARC
(18,14),0.262472 # DEPENDENCYPART_ARC
(18,15),0.615669 # DEPENDENCYPART_ARC
(18,17),2.15498 # DEPENDENCYPART_ARC
(18,19),0.57526 # DEPENDENCYPART_ARC
(18,20),-0.255513 # DEPENDENCYPART_ARC
(18,21),1.57383 # DEPENDENCYPART_ARC
(18,22),1.13767 # DEPENDENCYPART_ARC
(18,23),-0.389603 # DEPENDENCYPART_ARC
(18,25),-0.068181 # DEPENDENCYPART_ARC
(18,27),-1.09238 # DEPENDENCYPART_ARC
(18,29),-0.556173 # DEPENDENCYPART_ARC
(18,30),0.426679 # DEPENDENCYPART_ARC
(18,32),-0.841907 # DEPENDENCYPART_ARC
(18,42),1.59548 # DEPENDENCYPART_ARC
(20,19),1.68106 # DEPENDENCYPART_ARC
(20,23),-2.21007 # DEPENDENCYPART_ARC
(20,27),-2.71509 # DEPENDENCYPART_ARC
(21,18),-1.20838 # DEPENDENCYPART_ARC
(21,19),0.737108 # DEPENDENCYPART_ARC
(21,20),-0.457954 # DEPENDENCYPART_ARC
(21,22),0.825046 # DEPENDENCYPART_ARC
(21,23),0.370399 # DEPENDENCYPART_ARC
(21,25),-0.153237 # DEPENDENCYPART_ARC
(22,2),0.0877566 # DEPENDENCYPART_ARC
(22,3),0.0729643 # DEPENDENCYPART_ARC
(22,4),-1.58065 # DEPENDENCYPART_ARC
(22,5),0.0429061 # DEPENDENCYPART_ARC
(22,6),1.09634 # DEPENDENCYPART_ARC
(22,7),-0.365976 # DEPENDENCYPART_ARC
(22,8),-0.726741 # DEPENDENCYPART_ARC
(22,9),-0.797162 # DEPENDENCYPART_ARC
(22,11),-0.0759646 # DEPENDENCYPART_ARC
(22,12),0.138227 # DEPENDENCYPART_ARC
(22,13),-0.287205 # DEPENDENCYPART_ARC
(22,14),0.66273 # DEPENDENCYPART_ARC
(22,15),-1.11392 # DEPENDENCYPART_ARC
(22,17),-0.747099 # DEPENDENCYPART_ARC
(22,18),0.936597 # DEPENDENCYPART_ARC
(22,19),2.54632 # DEPENDENCYPART_ARC
(22,20),3.09196 # DEPENDENCYPART_ARC
(22,21),5.5361 # DEPENDENCYPART_ARC
(22,23),3.50687 # DEPENDENCYPART_ARC
(22,24),2.59185 # DEPENDENCYPART_ARC
(22,25),1.45446 # DEPENDENCYPART_ARC
(22,26),0.197044 # DEPENDENCYPART_ARC
(22,27),0.737268 # DEPENDENCYPART_ARC
(22,29),0.504805 # DEPENDENCYPART_ARC
(22,30),0.788641 # DEPENDENCYPART_ARC
(22,32),0.0714212 # DEPENDENCYPART_ARC
(22,33),1.11532 # DEPENDENCYPART_ARC
(22,34),-0.0937186 # DEPENDENCYPART_ARC
(22,35),-0.0554363 # DEPENDENCYPART_ARC
(22,38),-0.253842 # DEPENDENCYPART_ARC
(22,41),0.442111 # DEPENDENCYPART_ARC
(22,42),4.57803 # DEPENDENCYPART_ARC
(23,15),-2.0431 # DEPENDENCYPART_ARC
(23,24),5.51695 # DEPENDENCYPART_ARC
(23,25),0.373711 # DEPENDENCYPART_ARC
(23,26),-1.85788 # DEPENDENCYPART_ARC
(23,27),-1.25663 # DEPENDENCYPART_ARC
(23,34),-0.493042 # DEPENDENCYPART_ARC
(24,20),-2.17459 # DEPENDENCYPART_ARC
(24,23),0.0642623 # DEPENDENCYPART_ARC
(24,25),-0.163043 # DEPENDENCYPART_ARC
(24,26),-0.372657 # DEPENDENCYPART_ARC
(24,27),0.0226335 # DEPENDENCYPART_ARC
(24,29),-0.725268 # DEPENDENCYPART_ARC
(24,30),0.482395 # DEPENDENCYPART_ARC
(24,32),-1.2012 # DEPENDENCYPART_ARC
(26,23),-1.63191 # DEPENDENCYPART_ARC
(26,29),-0.877901 # DEPENDENCYPART_ARC
(26,34),-0.317611 # DEPENDENCYPART_ARC
(26,42),2.9922 # DEPENDENCYPART_ARC
(27,2),0.353336 # DEPENDENCYPART_ARC
(27,3),-1.39212 # DEPENDENCYPART_ARC
(27,4),-2.23736 # DEPENDENCYPART_ARC
(27,6),0.0499638 # DEPENDENCYPART_ARC
(27,7),-0.741577 # DEPENDENCYPART_ARC
(27,8),-2.02238 # DEPENDENCYPART_ARC
(27,9),-1.21937 # DEPENDENCYPART_ARC
(27,11),-0.252037 # DEPENDENCYPART_ARC
(27,12),-2.05594 # DEPENDENCYPART_ARC
(27,13),-0.545436 # DEPENDENCYPART_ARC
(27,14),-0.319549 # DEPENDENCYPART_ARC
(27,15),-2.89288 # DEPENDENCYPART_ARC
(27,17),-2.48721 # DEPENDENCYPART_ARC
(27,18),-0.105131 # DEPENDENCYPART_ARC
(27,19),1.16429 # DEPENDENCYPART_ARC
(27,20),0.266813 # DEPENDENCYPART_ARC
(27,21),1.5007 # DEPENDENCYPART_ARC
(27,22),-0.0958176 # DEPENDENCYPART_ARC
(27,23),0.638167 # DEPENDENCYPART_ARC
(27,24),0.567457 # DEPENDENCYPART_ARC
(27,25),-0.00876443 # DEPENDENCYPART_ARC
(27,26),5.62981 # DEPENDENCYPART_ARC
(27,29),3.48368 # DEPENDENCYPART_ARC
(27,30),1.59738 # DEPENDENCYPART_ARC
(27,32),1.31334 # DEPENDENCYPART_ARC
(27,33),2.42468 # DEPENDENCYPART_ARC
(27,34),1.25773 # DEPENDENCYPART_ARC
(27,35),1.84348 # DEPENDENCYPART_ARC
(27,36),0.689638 # DEPENDENCYPART_ARC
(27,37),-0.409194 # DEPENDENCYPART_ARC
(27,38),-0.906132 # DEPENDENCYPART_ARC
(27,40),0.00813886 # DEPENDENCYPART_ARC
(27,41),1.73794 # DEPENDENCYPART_ARC
(27,42),5.25268 # DEPENDENCYPART_ARC
(28,29),1.2483 # DEPENDENCYPART_ARC
(28,31),-0.468226 # DEPENDENCYPART_ARC
(28,33),-1.45569 # DEPENDENCYPART_ARC
(29,4),-2.94995 # DEPENDENCYPART_ARC
(29,8),-1.52558 # DEPENDENCYPART_ARC
(29,20),-2.61522 # DEPENDENCYPART_ARC
(29,26),-0.613273 # DEPENDENCYPART_ARC
(29,28),3.47369 # DEPENDENCYPART_ARC
(29,30),2.3824 # DEPENDENCYPART_ARC
(29,31),-0.721179 # DEPENDENCYPART_ARC
(29,32),1.46986 # DEPENDENCYPART_ARC
(29,33),0.859794 # DEPENDENCYPART_ARC
(29,34),0.276189 # DEPENDENCYPART_ARC
(29,35),0.506391 # DEPENDENCYPART_ARC
(29,36),-1.623 # DEPENDENCYPART_ARC
(29,37),-0.936422 # DEPENDENCYPART_ARC
(29,40),-0.412892 # DEPENDENCYPART_ARC
(29,41),0.0126885 # DEPENDENCYPART_ARC
(31,32),1.64427 # DEPENDENCYPART_ARC
(31,33),-0.276049 # DEPENDENCYPART_ARC
(31,34),-1.68763 # DEPENDENCYPART_ARC
(32,4),-2.44092 # DEPENDENCYPART_ARC
(32,20),-2.48542 # DEPENDENCYPART_ARC
(32,28),0.375757 # DEPENDENCYPART_ARC
(32,30),0.80449 # DEPENDENCYPART_ARC
(32,31),4.26782 # DEPENDENCYPART_ARC
(32,33),1.42148 # DEPENDENCYPART_ARC
(32,34),0.946158 # DEPENDENCYPART_ARC
(32,35),1.1368 # DEPENDENCYPART_ARC
(32,36),-2.00538 # DEPENDENCYPART_ARC
(32,37),-0.638417 # DEPENDENCYPART_ARC
(32,41),0.415725 # DEPENDENCYPART_ARC
(33,31),-0.688971 # DEPENDENCYPART_ARC
(33,32),-0.450669 # DEPENDENCYPART_ARC
(33,34),3.50588 # DEPENDENCYPART_ARC
(33,35),1.73898 # DEPENDENCYPART_ARC
(33,37),-0.615052 # DEPENDENCYPART_ARC
(33,38),-0.553318 # DEPENDENCYPART_ARC
(34,35),3.75737 # DEPENDENCYPART_ARC
(34,36),0.92024 # DEPENDENCYPART_ARC
(34,37),-0.162862 # DEPENDENCYPART_ARC
(34,38),-0.21137 # DEPENDENCYPART_ARC
(34,40),-0.0684112 # DEPENDENCYPART_ARC
(34,41),0.189845 # DEPENDENCYPART_ARC
(35,3),-2.99349 # DEPENDENCYPART_ARC
(35,4),-3.90554 # DEPENDENCYPART_ARC
(35,6),-2.53588 # DEPENDENCYPART_ARC
(35,7),-2.42897 # DEPENDENCYPART_ARC
(35,9),-3.53298 # DEPENDENCYPART_ARC
(35,20),-1.86581 # DEPENDENCYPART_ARC
(35,21),-0.540026 # DEPENDENCYPART_ARC
(35,26),0.0967762 # DEPENDENCYPART_ARC
(35,29),-0.960831 # DEPENDENCYPART_ARC
(35,32),-0.380781 # DEPENDENCYPART_ARC
(35,33),0.24948 # DEPENDENCYPART_ARC
(35,34),1.38891 # DEPENDENCYPART_ARC
(35,36),3.8266 # DEPENDENCYPART_ARC
(35,37),2.21796 # DEPENDENCYPART_ARC
(35,38),2.22833 # DEPENDENCYPART_ARC
(35,40),1.74194 # DEPENDENCYPART_ARC
(35,41),1.27109 # DEPENDENCYPART_ARC
(35,42),2.17607 # DEPENDENCYPART_ARC
(36,35),-0.931394 # DEPENDENCYPART_ARC
(36,37),0.00863756 # DEPENDENCYPART_ARC
(36,38),-1.46447 # DEPENDENCYPART_ARC
(36,40),-2.16953 # DEPENDENCYPART_ARC
(37,38),0.170254 # DEPENDENCYPART_ARC
(37,40),-0.80278 # DEPENDENCYPART_ARC
(38,37),0.349156 # DEPENDENCYPART_ARC
(38,39),-0.439912 # DEPENDENCYPART_ARC
(38,40),4.14523 # DEPENDENCYPART_ARC
(38,41),0.235336 # DEPENDENCYPART_ARC
(39,37),-1.31859 # DEPENDENCYPART_ARC
(40,36),-2.07855 # DEPENDENCYPART_ARC
(40,37),-0.485422 # DEPENDENCYPART_ARC
(40,38),0.599139 # DEPENDENCYPART_ARC
(40,39),3.35772 # DEPENDENCYPART_ARC
(40,41),0.147723 # DEPENDENCYPART_ARC
