# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,19,17,19,14,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(7,27),-1.76088 # DEPENDENCYPART_ARC
(7,28),-1.36473 # DEPENDENCYPART_ARC
(7,29),-1.60362 # DEPENDENCYPART_ARC
(7,36),2.23585 # DEPENDENCYPART_ARC
(8,9),0.275293 # DEPENDENCYPART_ARC
(8,10),-0.695991 # DEPENDENCYPART_ARC
(9,1),-2.73581 # DEPENDENCYPART_ARC
(9,2),0.490286 # DEPENDENCYPART_ARC
(9,3),-1.39482 # DEPENDENCYPART_ARC
(9,4),-0.968362 # DEPENDENCYPART_ARC
(9,5),0.255529 # DEPENDENCYPART_ARC
(9,7),1.09729 # DEPENDENCYPART_ARC
(9,8),4.27499 # DEPENDENCYPART_ARC
(9,10),1.4759 # DEPENDENCYPART_ARC
(9,12),1.49185 # DEPENDENCYPART_ARC
(9,13),0.569148 # DEPENDENCYPART_ARC
(9,14),0.137515 # DEPENDENCYPART_ARC
(9,15),-1.2679 # DEPENDENCYPART_ARC
(9,17),-1.00493 # DEPENDENCYPART_ARC
(9,18),0.730287 # DEPENDENCYPART_ARC
(9,19),0.707358 # DEPENDENCYPART_ARC
(9,21),-1.62162 # DEPENDENCYPART_ARC
(9,28),-1.51321 # DEPENDENCYPART_ARC
(9,29),-0.837525 # DEPENDENCYPART_ARC
(9,32),-1.28449 # DEPENDENCYPART_ARC
(9,36),5.06784 # DEPENDENCYPART_ARC
(10,9),-0.169806 # DEPENDENCYPART_ARC
(10,12),4.32863 # DEPENDENCYPART_ARC
(10,13),0.585621 # DEPENDENCYPART_ARC
(10,14),0.348841 # DEPENDENCYPART_ARC
(10,17),-0.821734 # DEPENDENCYPART_ARC
(10,18),-0.700248 # DEPENDENCYPART_ARC
(11,10),0.0577895 # DEPENDENCYPART_ARC
(11,12),0.757934 # DEPENDENCYPART_ARC
(12,2),-2.59868 # DEPENDENCYPART_ARC
(12,6),-2.46865 # DEPENDENCYPART_ARC
(12,10),0.276472 # DEPENDENCYPART_ARC
(12,11),3.39337 # DEPENDENCYPART_ARC
(12,13),4.01134 # DEPENDENCYPART_ARC
(12,14),1.98419 # DEPENDENCYPART_ARC
(12,15),-0.102546 # DEPENDENCYPART_ARC
(12,17),0.0149639 # DEPENDENCYPART_ARC
(12,18),-0.110596 # DEPENDENCYPART_ARC
(12,19),0.00789553 # DEPENDENCYPART_ARC
(12,21),-1.32915 # DEPENDENCYPART_ARC
(12,22),-1.00577 # DEPENDENCYPART_ARC
(12,24),-1.92568 # DEPENDENCYPART_ARC
(12,27),-0.196742 # DEPENDENCYPART_ARC
(12,36),0.224949 # DEPENDENCYPART_ARC
(13,11),-0.42774 # DEPENDENCYPART_ARC
(13,14),0.480395 # DEPENDENCYPART_ARC
(13,15),-0.549996 # DEPENDENCYPART_ARC
(13,18),-0.614391 # DEPENDENCYPART_ARC
(14,5),-0.978847 # DEPENDENCYPART_ARC
(14,10),0.363011 # DEPENDENCYPART_ARC
(14,11),-0.00500521 # DEPENDENCYPART_ARC
(14,13),2.56899 # DEPENDENCYPART_ARC
(14,15),0.428239 # DEPENDENCYPART_ARC
(14,17),1.35294 # DEPENDENCYPART_ARC
(14,18),0.996105 # DEPENDENCYPART_ARC
(14,19),0.0205456 # DEPENDENCYPART_ARC
(14,21),0.371475 # DEPENDENCYPART_ARC
(14,22),-1.14577 # DEPENDENCYPART_ARC
(14,26),0.460321 # DEPENDENCYPART_ARC
(14,28),-1.24035 # DEPENDENCYPART_ARC
(14,29),-1.10366 # DEPENDENCYPART_ARC
(14,31),0.154455 # DEPENDENCYPART_ARC
(15,17),-1.17851 # DEPENDENCYPART_ARC
(17,2),-2.29935 # DEPENDENCYPART_ARC
(17,5),-0.68213 # DEPENDENCYPART_ARC
(17,7),-2.42917 # DEPENDENCYPART_ARC
(17,9),-1.59651 # DEPENDENCYPART_ARC
(17,10),-0.379555 # DEPENDENCYPART_ARC
(17,11),0.890664 # DEPENDENCYPART_ARC
(17,13),-0.190308 # DEPENDENCYPART_ARC
(17,14),0.0246239 # DEPENDENCYPART_ARC
(17,15),1.89971 # DEPENDENCYPART_ARC
(17,16),3.30282 # DEPENDENCYPART_ARC
(17,18),0.385063 # DEPENDENCYPART_ARC
(17,19),0.906553 # DEPENDENCYPART_ARC
(17,21),-0.466014 # DEPENDENCYPART_ARC
(17,22),0.00745673 # DEPENDENCYPART_ARC
(17,24),-1.09867 # DEPENDENCYPART_ARC
(17,26),-1.06648 # DEPENDENCYPART_ARC
(17,27),-0.0613818 # DEPENDENCYPART_ARC
(17,29),-2.64492 # DEPENDENCYPART_ARC
(19,2),-0.376161 # DEPENDENCYPART_ARC
(19,5),-0.873365 # DEPENDENCYPART_ARC
(19,7),-0.0475297 # DEPENDENCYPART_ARC
(19,8),0.84068 # DEPENDENCYPART_ARC
(19,9),-0.553762 # DEPENDENCYPART_ARC
(19,10),-1.42032 # DEPENDENCYPART_ARC
(19,12),0.124807 # DEPENDENCYPART_ARC
(19,13),-0.574549 # DEPENDENCYPART_ARC
(19,14),-0.243598 # DEPENDENCYPART_ARC
(19,15),3.06867 # DEPENDENCYPART_ARC
(19,16),-0.953316 # DEPENDENCYPART_ARC
(19,17),1.64028 # DEPENDENCYPART_ARC
(19,18),0.584787 # DEPENDENCYPART_ARC
(19,21),3.006 # DEPENDENCYPART_ARC
(19,22),-0.00427668 # DEPENDENCYPART_ARC
(19,23),0.889265 # DEPENDENCYPART_ARC
(19,24),-0.456626 # DEPENDENCYPART_ARC
(19,26),-0.653812 # DEPENDENCYPART_ARC
(19,27),-0.462245 # DEPENDENCYPART_ARC
(19,28),0.55894 # DEPENDENCYPART_ARC
(19,29),0.291865 # DEPENDENCYPART_ARC
(19,30),-1.4882 # DEPENDENCYPART_ARC
(19,31),-1.10117 # DEPENDENCYPART_ARC
(19,32),0.229646 # DEPENDENCYPART_ARC
(19,35),-1.56494 # DEPENDENCYPART_ARC
(19,36),5.63774 # DEPENDENCYPART_ARC
(20,21),2.3567 # DEPENDENCYPART_ARC
(20,22),0.386878 # DEPENDENCYPART_ARC
(21,16),-1.53701 # DEPENDENCYPART_ARC
(21,18),-0.171951 # DEPENDENCYPART_ARC
(21,19),0.189607 # DEPENDENCYPART_ARC
(21,20),3.48326 # DEPENDENCYPART_ARC
(21,22),3.15349 # DEPENDENCYPART_ARC
(21,23),0.321235 # DEPENDENCYPART_ARC
(21,24),0.0344097 # DEPENDENCYPART_ARC
(21,26),0.141491 # DEPENDENCYPART_ARC
(21,27),1.14853 # DEPENDENCYPART_ARC
(21,28),-0.31491 # DEPENDENCYPART_ARC
(21,29),-1.15028 # DEPENDENCYPART_ARC
(21,30),-2.21669 # DEPENDENCYPART_ARC
(21,31),-1.7653 # DEPENDENCYPART_ARC
(21,33),-2.49755 # DEPENDENCYPART_ARC
(22,20),-0.549457 # DEPENDENCYPART_ARC
(22,23),3.90471 # DEPENDENCYPART_ARC
(22,24),-0.875085 # DEPENDENCYPART_ARC
(22,26),-1.76732 # DEPENDENCYPART_ARC
(23,20),0.753679 # DEPENDENCYPART_ARC
(23,24),-0.212707 # DEPENDENCYPART_ARC
(23,26),-0.233682 # DEPENDENCYPART_ARC
(23,27),0.635571 # DEPENDENCYPART_ARC
(23,28),2.19874 # DEPENDENCYPART_ARC
(23,29),0.668555 # DEPENDENCYPART_ARC
(23,30),-3.60184 # DEPENDENCYPART_ARC
(23,31),-2.0949 # DEPENDENCYPART_ARC
(23,33),-2.09964 # DEPENDENCYPART_ARC
(24,26),-0.952778 # DEPENDENCYPART_ARC
(26,20),-0.981213 # DEPENDENCYPART_ARC
(26,22),-1.44149 # DEPENDENCYPART_ARC
(26,24),0.801892 # DEPENDENCYPART_ARC
(26,25),3.36709 # DEPENDENCYPART_ARC
(26,27),4.00191 # DEPENDENCYPART_ARC
(26,28),0.482907 # DEPENDENCYPART_ARC
(26,29),-0.199075 # DEPENDENCYPART_ARC
(26,30),-1.31374 # DEPENDENCYPART_ARC
(26,31),-0.358181 # DEPENDENCYPART_ARC
(26,32),-0.434913 # DEPENDENCYPART_ARC
(26,33),-1.6829 # DEPENDENCYPART_ARC
(26,35),-0.892498 # DEPENDENCYPART_ARC
(27,25),0.0564982 # DEPENDENCYPART_ARC
(27,28),-0.276923 # DEPENDENCYPART_ARC
(27,30),-1.72338 # DEPENDENCYPART_ARC
(28,2),-3.79403 # DEPENDENCYPART_ARC
(28,5),-2.77924 # DEPENDENCYPART_ARC
(28,7),-3.71118 # DEPENDENCYPART_ARC
(28,8),-2.24068 # DEPENDENCYPART_ARC
(28,9),-3.56212 # DEPENDENCYPART_ARC
(28,15),-0.466511 # DEPENDENCYPART_ARC
(28,17),-1.64489 # DEPENDENCYPART_ARC
(28,19),-1.75306 # DEPENDENCYPART_ARC
(28,21),-0.967688 # DEPENDENCYPART_ARC
(28,23),-1.44483 # DEPENDENCYPART_ARC
(28,24),1.3296 # DEPENDENCYPART_ARC
(28,25),-2.30571 # DEPENDENCYPART_ARC
(28,26),0.333745 # DEPENDENCYPART_ARC
(28,27),-0.652154 # DEPENDENCYPART_ARC
(28,29),1.55819 # DEPENDENCYPART_ARC
(28,30),-0.10694 # DEPENDENCYPART_ARC
(28,31),-0.310339 # DEPENDENCYPART_ARC
(28,32),0.148916 # DEPENDENCYPART_ARC
(28,33),-2.21574 # DEPENDENCYPART_ARC
(28,35),-0.940095 # DEPENDENCYPART_ARC
(28,36),2.30237 # DEPENDENCYPART_ARC
(29,2),-2.03024 # DEPENDENCYPART_ARC
(29,5),-1.78785 # DEPENDENCYPART_ARC
(29,7),-1.56893 # DEPENDENCYPART_ARC
(29,8),0.22217 # DEPENDENCYPART_ARC
(29,9),-1.76462 # DEPENDENCYPART_ARC
(29,12),-1.01376 # DEPENDENCYPART_ARC
(29,13),-0.766237 # DEPENDENCYPART_ARC
(29,14),0.495282 # DEPENDENCYPART_ARC
(29,15),2.04836 # DEPENDENCYPART_ARC
(29,17),-0.431395 # DEPENDENCYPART_ARC
(29,19),0.331919 # DEPENDENCYPART_ARC
(29,21),0.577227 # DEPENDENCYPART_ARC
(29,22),-1.49706 # DEPENDENCYPART_ARC
(29,23),-0.226765 # DEPENDENCYPART_ARC
(29,24),3.50098 # DEPENDENCYPART_ARC
(29,25),0.174526 # DEPENDENCYPART_ARC
(29,26),1.67144 # DEPENDENCYPART_ARC
(29,27),0.769191 # DEPENDENCYPART_ARC
(29,28),4.68355 # DEPENDENCYPART_ARC
(29,30),2.8063 # DEPENDENCYPART_ARC
(29,31),3.50034 # DEPENDENCYPART_ARC
(29,32),1.86716 # DEPENDENCYPART_ARC
(29,33),0.345005 # DEPENDENCYPART_ARC
(29,35),1.35474 # DEPENDENCYPART_ARC
(29,36),3.47017 # DEPENDENCYPART_ARC
(30,31),-0.19961 # DEPENDENCYPART_ARC
(30,32),-1.06666 # DEPENDENCYPART_ARC
(30,33),-2.66468 # DEPENDENCYPART_ARC
(31,25),-0.943691 # DEPENDENCYPART_ARC
(31,27),-1.25783 # DEPENDENCYPART_ARC
(31,30),4.23236 # DEPENDENCYPART_ARC
(31,32),0.835314 # DEPENDENCYPART_ARC
(31,33),1.34324 # DEPENDENCYPART_ARC
(31,35),-0.0916413 # DEPENDENCYPART_ARC
(31,36),0.683135 # DEPENDENCYPART_ARC
(32,30),-0.278048 # DEPENDENCYPART_ARC
(32,31),0.288109 # DEPENDENCYPART_ARC
(32,33),2.78487 # DEPENDENCYPART_ARC
(32,35),0.672042 # DEPENDENCYPART_ARC
(32,36),-0.138241 # DEPENDENCYPART_ARC
(33,31),-1.26245 # DEPENDENCYPART_ARC
(33,32),0.306969 # DEPENDENCYPART_ARC
(33,34),0.316377 # DEPENDENCYPART_ARC
(33,35),3.72404 # DEPENDENCYPART_ARC
(34,32),-0.174506 # DEPENDENCYPART_ARC
(34,33),1.46353 # DEPENDENCYPART_ARC
(35,30),-1.31086 # DEPENDENCYPART_ARC
(35,32),-0.363648 # DEPENDENCYPART_ARC
(35,33),0.639744 # DEPENDENCYPART_ARC
(35,34),3.63975 # DEPENDENCYPART_ARC
