# _root_ El principal índex espanyol va acabar en 8.154,40 punts , després d' haver caigut durant la sessió per_sota dels 8.100 punts .
#goldHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,6,
#predictedHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,14,
(6,17),0.328051 # DEPENDENCYPART_ARC
(6,18),-0.111547 # DEPENDENCYPART_ARC
(6,19),-1.56475 # DEPENDENCYPART_ARC
(6,20),-1.67691 # DEPENDENCYPART_ARC
(6,21),-0.114798 # DEPENDENCYPART_ARC
(6,22),2.78385 # DEPENDENCYPART_ARC
(7,6),-0.88132 # DEPENDENCYPART_ARC
(7,8),0.847547 # DEPENDENCYPART_ARC
(7,9),3.56862 # DEPENDENCYPART_ARC
(7,10),0.108257 # DEPENDENCYPART_ARC
(7,11),-0.82823 # DEPENDENCYPART_ARC
(7,12),-0.371442 # DEPENDENCYPART_ARC
(7,14),-1.23462 # DEPENDENCYPART_ARC
(8,7),-0.358573 # DEPENDENCYPART_ARC
(8,9),0.379274 # DEPENDENCYPART_ARC
(8,10),-1.4815 # DEPENDENCYPART_ARC
(8,11),-1.42248 # DEPENDENCYPART_ARC
(8,12),-1.19434 # DEPENDENCYPART_ARC
(8,14),-1.69006 # DEPENDENCYPART_ARC
(8,20),-1.80864 # DEPENDENCYPART_ARC
(9,2),-1.37852 # DEPENDENCYPART_ARC
(9,3),-1.88361 # DEPENDENCYPART_ARC
(9,4),-2.20157 # DEPENDENCYPART_ARC
(9,5),-0.20825 # DEPENDENCYPART_ARC
(9,6),-1.33301 # DEPENDENCYPART_ARC
(9,7),1.17626 # DEPENDENCYPART_ARC
(9,8),2.96979 # DEPENDENCYPART_ARC
(9,10),0.341305 # DEPENDENCYPART_ARC
(9,11),0.0548389 # DEPENDENCYPART_ARC
(9,12),0.298424 # DEPENDENCYPART_ARC
(9,13),0.256546 # DEPENDENCYPART_ARC
(9,14),-0.414806 # DEPENDENCYPART_ARC
(9,18),-0.417793 # DEPENDENCYPART_ARC
(9,20),-2.5548 # DEPENDENCYPART_ARC
(9,21),-1.69926 # DEPENDENCYPART_ARC
(10,9),-1.44607 # DEPENDENCYPART_ARC
(11,7),0.216388 # DEPENDENCYPART_ARC
(11,9),-0.474033 # DEPENDENCYPART_ARC
(11,10),1.97383 # DEPENDENCYPART_ARC
(11,12),3.21527 # DEPENDENCYPART_ARC
(11,13),1.34957 # DEPENDENCYPART_ARC
(11,14),0.301421 # DEPENDENCYPART_ARC
(11,15),-0.0468396 # DEPENDENCYPART_ARC
(11,18),0.0907428 # DEPENDENCYPART_ARC
(11,19),0.221302 # DEPENDENCYPART_ARC
(11,22),0.516771 # DEPENDENCYPART_ARC
(12,6),-1.55712 # DEPENDENCYPART_ARC
(12,10),0.303877 # DEPENDENCYPART_ARC
(12,11),0.47012 # DEPENDENCYPART_ARC
(12,13),2.12414 # DEPENDENCYPART_ARC
(12,14),2.70095 # DEPENDENCYPART_ARC
(12,15),-0.501456 # DEPENDENCYPART_ARC
(12,17),1.13042 # DEPENDENCYPART_ARC
(12,18),0.430664 # DEPENDENCYPART_ARC
(12,19),0.318641 # DEPENDENCYPART_ARC
(12,21),-0.533759 # DEPENDENCYPART_ARC
(13,3),-3.10231 # DEPENDENCYPART_ARC
(13,6),-2.4404 # DEPENDENCYPART_ARC
(13,7),-0.847296 # DEPENDENCYPART_ARC
(13,10),-0.997488 # DEPENDENCYPART_ARC
(13,11),-0.192791 # DEPENDENCYPART_ARC
(13,12),-0.172332 # DEPENDENCYPART_ARC
(13,14),0.532729 # DEPENDENCYPART_ARC
(13,15),-0.0548801 # DEPENDENCYPART_ARC
(13,17),-0.722938 # DEPENDENCYPART_ARC
(13,19),-3.14896 # DEPENDENCYPART_ARC
(13,21),-1.29424 # DEPENDENCYPART_ARC
(13,22),0.477882 # DEPENDENCYPART_ARC
(14,2),-0.51281 # DEPENDENCYPART_ARC
(14,3),-0.0347617 # DEPENDENCYPART_ARC
(14,4),-1.61445 # DEPENDENCYPART_ARC
(14,5),1.9685 # DEPENDENCYPART_ARC
(14,6),-0.294519 # DEPENDENCYPART_ARC
(14,7),0.860573 # DEPENDENCYPART_ARC
(14,8),-0.773985 # DEPENDENCYPART_ARC
(14,9),-0.0597901 # DEPENDENCYPART_ARC
(14,10),-0.0884134 # DEPENDENCYPART_ARC
(14,11),1.14972 # DEPENDENCYPART_ARC
(14,12),0.906148 # DEPENDENCYPART_ARC
(14,13),4.57197 # DEPENDENCYPART_ARC
(14,15),3.16344 # DEPENDENCYPART_ARC
(14,17),1.29038 # DEPENDENCYPART_ARC
(14,18),0.924316 # DEPENDENCYPART_ARC
(14,19),-1.03661 # DEPENDENCYPART_ARC
(14,20),-1.12076 # DEPENDENCYPART_ARC
(14,21),0.265678 # DEPENDENCYPART_ARC
(14,22),3.31763 # DEPENDENCYPART_ARC
(15,16),-1.30348 # DEPENDENCYPART_ARC
(15,17),3.95938 # DEPENDENCYPART_ARC
(15,18),-0.0417441 # DEPENDENCYPART_ARC
(15,19),0.349991 # DEPENDENCYPART_ARC
(15,20),-0.960592 # DEPENDENCYPART_ARC
(15,21),1.40504 # DEPENDENCYPART_ARC
(16,17),1.43142 # DEPENDENCYPART_ARC
(17,15),0.27981 # DEPENDENCYPART_ARC
(17,16),3.19965 # DEPENDENCYPART_ARC
(17,18),0.903842 # DEPENDENCYPART_ARC
(17,19),1.24368 # DEPENDENCYPART_ARC
(17,20),-0.376609 # DEPENDENCYPART_ARC
(17,21),0.251489 # DEPENDENCYPART_ARC
(17,22),0.533246 # DEPENDENCYPART_ARC
(18,15),0.0568484 # DEPENDENCYPART_ARC
(18,16),-0.331978 # DEPENDENCYPART_ARC
(18,17),0.939874 # DEPENDENCYPART_ARC
(18,19),2.51614 # DEPENDENCYPART_ARC
(18,20),0.979991 # DEPENDENCYPART_ARC
(18,21),0.304589 # DEPENDENCYPART_ARC
(18,22),-0.847125 # DEPENDENCYPART_ARC
(19,6),-2.58107 # DEPENDENCYPART_ARC
(19,15),-0.838954 # DEPENDENCYPART_ARC
(19,16),-0.735207 # DEPENDENCYPART_ARC
(19,17),-1.03308 # DEPENDENCYPART_ARC
(19,18),0.929399 # DEPENDENCYPART_ARC
(19,20),2.53171 # DEPENDENCYPART_ARC
(19,21),2.72203 # DEPENDENCYPART_ARC
(19,22),0.176151 # DEPENDENCYPART_ARC
(20,15),-0.694622 # DEPENDENCYPART_ARC
(20,18),0.927841 # DEPENDENCYPART_ARC
(20,19),1.42476 # DEPENDENCYPART_ARC
(20,21),0.548074 # DEPENDENCYPART_ARC
(21,3),-3.01083 # DEPENDENCYPART_ARC
(21,6),-3.20385 # DEPENDENCYPART_ARC
(21,7),-1.40318 # DEPENDENCYPART_ARC
(21,12),-0.0622136 # DEPENDENCYPART_ARC
(21,15),-0.138441 # DEPENDENCYPART_ARC
(21,16),1.03331 # DEPENDENCYPART_ARC
(21,17),-1.5972 # DEPENDENCYPART_ARC
(21,18),0.313659 # DEPENDENCYPART_ARC
(21,19),1.50413 # DEPENDENCYPART_ARC
(21,20),3.01704 # DEPENDENCYPART_ARC
(21,22),0.312835 # DEPENDENCYPART_ARC
