# _root_ Hannes_Alfven : Big_bang bir _ söylencedir , _ _ haksızlık etmeyelim , belki de iyi bir söylence .
#goldHeads=5,0,6,5,6,7,17,9,10,11,17,0,17,13,17,17,2,0,
#predictedHeads=6,0,6,5,6,7,11,9,10,11,12,0,17,13,17,17,18,0,
(7,12),-1.45458 # DEPENDENCYPART_ARC
(7,17),-1.19366 # DEPENDENCYPART_ARC
(8,4),-1.00406 # DEPENDENCYPART_ARC
(8,6),-0.497693 # DEPENDENCYPART_ARC
(8,7),0.290637 # DEPENDENCYPART_ARC
(8,9),-0.0294365 # DEPENDENCYPART_ARC
(8,16),-0.635922 # DEPENDENCYPART_ARC
(9,1),-0.835525 # DEPENDENCYPART_ARC
(9,4),-0.825543 # DEPENDENCYPART_ARC
(9,5),-0.0631182 # DEPENDENCYPART_ARC
(9,6),-1.16034 # DEPENDENCYPART_ARC
(9,7),0.00713972 # DEPENDENCYPART_ARC
(9,8),3.48084 # DEPENDENCYPART_ARC
(9,17),-1.7128 # DEPENDENCYPART_ARC
(10,1),-0.0107831 # DEPENDENCYPART_ARC
(10,2),0.111207 # DEPENDENCYPART_ARC
(10,3),-0.315642 # DEPENDENCYPART_ARC
(10,4),0.228368 # DEPENDENCYPART_ARC
(10,5),-1.86853 # DEPENDENCYPART_ARC
(10,6),-1.03623 # DEPENDENCYPART_ARC
(10,7),0.0715044 # DEPENDENCYPART_ARC
(10,8),1.2305 # DEPENDENCYPART_ARC
(10,9),1.77041 # DEPENDENCYPART_ARC
(10,12),-0.332911 # DEPENDENCYPART_ARC
(10,14),-0.546321 # DEPENDENCYPART_ARC
(10,16),-1.0651 # DEPENDENCYPART_ARC
(11,1),0.590093 # DEPENDENCYPART_ARC
(11,2),-0.376935 # DEPENDENCYPART_ARC
(11,3),0.293817 # DEPENDENCYPART_ARC
(11,4),-0.569466 # DEPENDENCYPART_ARC
(11,5),-2.84178 # DEPENDENCYPART_ARC
(11,6),0.816946 # DEPENDENCYPART_ARC
(11,7),1.48127 # DEPENDENCYPART_ARC
(11,8),-0.0578607 # DEPENDENCYPART_ARC
(11,9),-0.0677295 # DEPENDENCYPART_ARC
(11,10),2.56309 # DEPENDENCYPART_ARC
(11,12),-0.559589 # DEPENDENCYPART_ARC
(11,13),-0.345938 # DEPENDENCYPART_ARC
(11,14),-0.436556 # DEPENDENCYPART_ARC
(11,17),-1.0685 # DEPENDENCYPART_ARC
(11,18),-1.86169 # DEPENDENCYPART_ARC
(12,6),-0.659478 # DEPENDENCYPART_ARC
(12,7),0.0412691 # DEPENDENCYPART_ARC
(12,8),-0.9994 # DEPENDENCYPART_ARC
(12,9),-1.2489 # DEPENDENCYPART_ARC
(12,10),0.194012 # DEPENDENCYPART_ARC
(12,11),1.21037 # DEPENDENCYPART_ARC
(12,13),-0.0546515 # DEPENDENCYPART_ARC
(12,17),-0.974832 # DEPENDENCYPART_ARC
(12,18),-0.513554 # DEPENDENCYPART_ARC
(13,10),-1.18247 # DEPENDENCYPART_ARC
(13,12),-0.02965 # DEPENDENCYPART_ARC
(13,14),2.4046 # DEPENDENCYPART_ARC
(14,10),-1.72564 # DEPENDENCYPART_ARC
(14,11),-0.827296 # DEPENDENCYPART_ARC
(14,13),0.252972 # DEPENDENCYPART_ARC
(15,5),-2.16128 # DEPENDENCYPART_ARC
(15,6),-0.695842 # DEPENDENCYPART_ARC
(15,8),-1.27549 # DEPENDENCYPART_ARC
(15,10),-0.801265 # DEPENDENCYPART_ARC
(15,11),-0.694235 # DEPENDENCYPART_ARC
(15,12),-0.107003 # DEPENDENCYPART_ARC
(15,13),0.322386 # DEPENDENCYPART_ARC
(15,14),0.40235 # DEPENDENCYPART_ARC
(15,17),0.147663 # DEPENDENCYPART_ARC
(16,14),-0.699956 # DEPENDENCYPART_ARC
(16,15),-0.0243031 # DEPENDENCYPART_ARC
(17,1),-0.586946 # DEPENDENCYPART_ARC
(17,2),0.886899 # DEPENDENCYPART_ARC
(17,3),-0.175406 # DEPENDENCYPART_ARC
(17,4),-0.42148 # DEPENDENCYPART_ARC
(17,5),-4.13073 # DEPENDENCYPART_ARC
(17,7),0.16205 # DEPENDENCYPART_ARC
(17,8),-2.89243 # DEPENDENCYPART_ARC
(17,9),-2.89322 # DEPENDENCYPART_ARC
(17,10),-0.0259561 # DEPENDENCYPART_ARC
(17,11),0.0738392 # DEPENDENCYPART_ARC
(17,12),0.470513 # DEPENDENCYPART_ARC
(17,13),0.34944 # DEPENDENCYPART_ARC
(17,14),-0.141316 # DEPENDENCYPART_ARC
(17,15),1.88685 # DEPENDENCYPART_ARC
(17,16),2.14787 # DEPENDENCYPART_ARC
(17,18),-0.197826 # DEPENDENCYPART_ARC
(18,1),-0.667258 # DEPENDENCYPART_ARC
(18,2),0.727225 # DEPENDENCYPART_ARC
(18,3),-0.106554 # DEPENDENCYPART_ARC
(18,5),-3.3593 # DEPENDENCYPART_ARC
(18,6),0.0437691 # DEPENDENCYPART_ARC
(18,7),-0.721271 # DEPENDENCYPART_ARC
(18,8),-2.49667 # DEPENDENCYPART_ARC
(18,9),-2.72466 # DEPENDENCYPART_ARC
(18,10),-0.32542 # DEPENDENCYPART_ARC
(18,11),0.435195 # DEPENDENCYPART_ARC
(18,12),-0.425516 # DEPENDENCYPART_ARC
(18,13),-0.2369 # DEPENDENCYPART_ARC
(18,14),-0.323693 # DEPENDENCYPART_ARC
(18,15),-0.480504 # DEPENDENCYPART_ARC
(18,16),-0.241274 # DEPENDENCYPART_ARC
(18,17),0.28554 # DEPENDENCYPART_ARC
