# _root_ Netameli uçaklardan _ sonuncusunun _ _ iade_edilişiyle birlikte , deve _ kurban_eden ve _ kanlı deve parçalarıyla personele fotoğraflar _ _ _ çektirten kişi , başka nasıl biri _ olabilir ?
#goldHeads=2,4,4,6,6,7,8,11,0,11,12,13,23,15,17,17,22,22,22,21,22,23,24,30,0,27,28,30,30,31,0,
#predictedHeads=2,6,4,6,6,7,8,11,0,11,12,13,14,15,16,17,22,22,20,21,22,23,24,30,0,27,28,30,30,31,0,
(21,30),-1.01304 # DEPENDENCYPART_ARC
(21,31),-1.6378 # DEPENDENCYPART_ARC
(22,2),0.146149 # DEPENDENCYPART_ARC
(22,4),0.0166739 # DEPENDENCYPART_ARC
(22,7),-0.308761 # DEPENDENCYPART_ARC
(22,8),-0.507596 # DEPENDENCYPART_ARC
(22,9),-0.314007 # DEPENDENCYPART_ARC
(22,10),0.63316 # DEPENDENCYPART_ARC
(22,11),-7.95636 # DEPENDENCYPART_ARC
(22,13),0.165042 # DEPENDENCYPART_ARC
(22,14),-5.50679 # DEPENDENCYPART_ARC
(22,15),0.252039 # DEPENDENCYPART_ARC
(22,16),0.879976 # DEPENDENCYPART_ARC
(22,17),1.55137 # DEPENDENCYPART_ARC
(22,18),1.46558 # DEPENDENCYPART_ARC
(22,19),1.38404 # DEPENDENCYPART_ARC
(22,20),0.77488 # DEPENDENCYPART_ARC
(22,21),2.7915 # DEPENDENCYPART_ARC
(22,24),-0.409352 # DEPENDENCYPART_ARC
(22,25),-0.679208 # DEPENDENCYPART_ARC
(22,29),-1.90667 # DEPENDENCYPART_ARC
(22,30),-1.51281 # DEPENDENCYPART_ARC
(22,31),-1.51931 # DEPENDENCYPART_ARC
(23,14),-1.77704 # DEPENDENCYPART_ARC
(23,16),0.565276 # DEPENDENCYPART_ARC
(23,17),0.694433 # DEPENDENCYPART_ARC
(23,18),0.835919 # DEPENDENCYPART_ARC
(23,19),1.01404 # DEPENDENCYPART_ARC
(23,21),0.573497 # DEPENDENCYPART_ARC
(23,22),2.20979 # DEPENDENCYPART_ARC
(24,9),-0.934752 # DEPENDENCYPART_ARC
(24,10),-0.414432 # DEPENDENCYPART_ARC
(24,12),-0.67031 # DEPENDENCYPART_ARC
(24,13),-0.117179 # DEPENDENCYPART_ARC
(24,15),-0.138864 # DEPENDENCYPART_ARC
(24,16),0.0409214 # DEPENDENCYPART_ARC
(24,17),-0.676219 # DEPENDENCYPART_ARC
(24,18),-0.259743 # DEPENDENCYPART_ARC
(24,19),-0.368568 # DEPENDENCYPART_ARC
(24,20),-1.32891 # DEPENDENCYPART_ARC
(24,21),-0.879922 # DEPENDENCYPART_ARC
(24,22),-0.100136 # DEPENDENCYPART_ARC
(24,23),1.8802 # DEPENDENCYPART_ARC
(24,25),-0.410141 # DEPENDENCYPART_ARC
(24,26),-0.865293 # DEPENDENCYPART_ARC
(24,27),-1.15876 # DEPENDENCYPART_ARC
(24,29),-1.86336 # DEPENDENCYPART_ARC
(24,30),-1.75935 # DEPENDENCYPART_ARC
(25,5),-5.90355 # DEPENDENCYPART_ARC
(25,6),-5.46925 # DEPENDENCYPART_ARC
(25,11),-4.09952 # DEPENDENCYPART_ARC
(25,12),-1.2009 # DEPENDENCYPART_ARC
(25,15),-0.850728 # DEPENDENCYPART_ARC
(25,18),0.465993 # DEPENDENCYPART_ARC
(25,19),0.467125 # DEPENDENCYPART_ARC
(25,20),-1.36399 # DEPENDENCYPART_ARC
(25,21),-1.15958 # DEPENDENCYPART_ARC
(25,22),-0.587958 # DEPENDENCYPART_ARC
(25,23),0.0715669 # DEPENDENCYPART_ARC
(25,24),0.937304 # DEPENDENCYPART_ARC
(25,29),-0.652182 # DEPENDENCYPART_ARC
(25,30),-0.690881 # DEPENDENCYPART_ARC
(25,31),-0.867571 # DEPENDENCYPART_ARC
(26,22),-1.23051 # DEPENDENCYPART_ARC
(26,23),-1.54298 # DEPENDENCYPART_ARC
(26,24),-0.821557 # DEPENDENCYPART_ARC
(26,25),0.357958 # DEPENDENCYPART_ARC
(27,20),-1.96156 # DEPENDENCYPART_ARC
(27,21),-1.61631 # DEPENDENCYPART_ARC
(27,22),-0.994794 # DEPENDENCYPART_ARC
(27,24),-0.727326 # DEPENDENCYPART_ARC
(27,25),0.0807873 # DEPENDENCYPART_ARC
(27,26),0.717238 # DEPENDENCYPART_ARC
(28,24),-0.563991 # DEPENDENCYPART_ARC
(28,27),1.62247 # DEPENDENCYPART_ARC
(28,31),0.0117227 # DEPENDENCYPART_ARC
(29,7),-0.580065 # DEPENDENCYPART_ARC
(29,16),-0.601118 # DEPENDENCYPART_ARC
(29,17),0.0329548 # DEPENDENCYPART_ARC
(29,18),-0.107645 # DEPENDENCYPART_ARC
(29,19),-0.384417 # DEPENDENCYPART_ARC
(29,20),-5.21232 # DEPENDENCYPART_ARC
(29,21),-3.95478 # DEPENDENCYPART_ARC
(29,22),-3.18794 # DEPENDENCYPART_ARC
(29,23),-1.09593 # DEPENDENCYPART_ARC
(29,24),0.030352 # DEPENDENCYPART_ARC
(29,25),0.0979205 # DEPENDENCYPART_ARC
(29,26),-0.423385 # DEPENDENCYPART_ARC
(29,27),0.0629206 # DEPENDENCYPART_ARC
(29,28),1.42444 # DEPENDENCYPART_ARC
(29,30),-0.193062 # DEPENDENCYPART_ARC
(29,31),-0.739585 # DEPENDENCYPART_ARC
(30,2),-0.407679 # DEPENDENCYPART_ARC
(30,4),-1.78813 # DEPENDENCYPART_ARC
(30,5),-13.9617 # DEPENDENCYPART_ARC
(30,6),-13.8426 # DEPENDENCYPART_ARC
(30,7),-0.551424 # DEPENDENCYPART_ARC
(30,8),-0.72609 # DEPENDENCYPART_ARC
(30,9),0.27105 # DEPENDENCYPART_ARC
(30,10),-0.537949 # DEPENDENCYPART_ARC
(30,11),-11.0148 # DEPENDENCYPART_ARC
(30,13),-0.201629 # DEPENDENCYPART_ARC
(30,14),-8.46205 # DEPENDENCYPART_ARC
(30,15),-0.504372 # DEPENDENCYPART_ARC
(30,16),0.291197 # DEPENDENCYPART_ARC
(30,17),-0.192547 # DEPENDENCYPART_ARC
(30,18),0.171546 # DEPENDENCYPART_ARC
(30,19),0.048226 # DEPENDENCYPART_ARC
(30,20),-4.65601 # DEPENDENCYPART_ARC
(30,21),-3.6969 # DEPENDENCYPART_ARC
(30,22),-3.94676 # DEPENDENCYPART_ARC
(30,23),-0.437886 # DEPENDENCYPART_ARC
(30,24),1.17291 # DEPENDENCYPART_ARC
(30,25),0.39752 # DEPENDENCYPART_ARC
(30,26),-0.0651612 # DEPENDENCYPART_ARC
(30,27),0.587862 # DEPENDENCYPART_ARC
(30,28),1.53971 # DEPENDENCYPART_ARC
(30,29),2.32978 # DEPENDENCYPART_ARC
(30,31),-1.39455 # DEPENDENCYPART_ARC
(31,1),-0.507612 # DEPENDENCYPART_ARC
(31,3),-5.44734 # DEPENDENCYPART_ARC
(31,5),-7.56906 # DEPENDENCYPART_ARC
(31,6),-6.9423 # DEPENDENCYPART_ARC
(31,8),-1.07517 # DEPENDENCYPART_ARC
(31,11),-5.68669 # DEPENDENCYPART_ARC
(31,13),-0.318156 # DEPENDENCYPART_ARC
(31,15),-0.357223 # DEPENDENCYPART_ARC
(31,20),-2.76214 # DEPENDENCYPART_ARC
(31,21),-2.48816 # DEPENDENCYPART_ARC
(31,22),-2.2694 # DEPENDENCYPART_ARC
(31,23),-0.574686 # DEPENDENCYPART_ARC
(31,24),0.0791207 # DEPENDENCYPART_ARC
(31,25),0.0666731 # DEPENDENCYPART_ARC
(31,26),-0.333218 # DEPENDENCYPART_ARC
(31,27),-0.138023 # DEPENDENCYPART_ARC
(31,28),0.203538 # DEPENDENCYPART_ARC
(31,29),-0.166677 # DEPENDENCYPART_ARC
(31,30),1.7698 # DEPENDENCYPART_ARC
