# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(11,15),-2.59877 # DEPENDENCYPART_ARC
(11,16),-1.99214 # DEPENDENCYPART_ARC
(11,17),-0.924131 # DEPENDENCYPART_ARC
(11,18),-0.105226 # DEPENDENCYPART_ARC
(11,19),-1.35302 # DEPENDENCYPART_ARC
(11,20),-1.87593 # DEPENDENCYPART_ARC
(11,21),-1.6227 # DEPENDENCYPART_ARC
(11,22),-1.74296 # DEPENDENCYPART_ARC
(12,3),-0.187236 # DEPENDENCYPART_ARC
(12,6),0.254254 # DEPENDENCYPART_ARC
(12,7),0.267079 # DEPENDENCYPART_ARC
(12,8),-0.399941 # DEPENDENCYPART_ARC
(12,9),0.555677 # DEPENDENCYPART_ARC
(12,10),-0.578681 # DEPENDENCYPART_ARC
(12,11),1.54713 # DEPENDENCYPART_ARC
(12,13),-0.206644 # DEPENDENCYPART_ARC
(12,16),-0.75633 # DEPENDENCYPART_ARC
(12,19),-0.743101 # DEPENDENCYPART_ARC
(12,20),-1.18764 # DEPENDENCYPART_ARC
(12,22),-0.508927 # DEPENDENCYPART_ARC
(13,11),0.225754 # DEPENDENCYPART_ARC
(13,12),0.169334 # DEPENDENCYPART_ARC
(13,15),-0.450607 # DEPENDENCYPART_ARC
(14,11),-0.786098 # DEPENDENCYPART_ARC
(14,12),-0.30513 # DEPENDENCYPART_ARC
(14,13),0.0652112 # DEPENDENCYPART_ARC
(14,19),-0.678212 # DEPENDENCYPART_ARC
(15,8),-0.573561 # DEPENDENCYPART_ARC
(15,9),-1.55125 # DEPENDENCYPART_ARC
(15,10),-0.714831 # DEPENDENCYPART_ARC
(15,11),-1.54813 # DEPENDENCYPART_ARC
(15,12),-0.320756 # DEPENDENCYPART_ARC
(15,13),-0.305425 # DEPENDENCYPART_ARC
(15,14),1.70902 # DEPENDENCYPART_ARC
(15,16),-0.286417 # DEPENDENCYPART_ARC
(15,17),-0.232414 # DEPENDENCYPART_ARC
(15,18),-0.690281 # DEPENDENCYPART_ARC
(15,19),-1.49684 # DEPENDENCYPART_ARC
(15,20),-1.21558 # DEPENDENCYPART_ARC
(16,1),-9.44683 # DEPENDENCYPART_ARC
(16,2),-0.735727 # DEPENDENCYPART_ARC
(16,4),-7.42959 # DEPENDENCYPART_ARC
(16,5),0.0785746 # DEPENDENCYPART_ARC
(16,6),0.0146866 # DEPENDENCYPART_ARC
(16,7),-0.0191053 # DEPENDENCYPART_ARC
(16,9),0.0396552 # DEPENDENCYPART_ARC
(16,10),-0.718372 # DEPENDENCYPART_ARC
(16,11),-0.967466 # DEPENDENCYPART_ARC
(16,12),0.194422 # DEPENDENCYPART_ARC
(16,13),-0.166806 # DEPENDENCYPART_ARC
(16,14),0.149348 # DEPENDENCYPART_ARC
(16,15),2.43224 # DEPENDENCYPART_ARC
(16,17),-0.246828 # DEPENDENCYPART_ARC
(16,18),-0.280341 # DEPENDENCYPART_ARC
(16,19),-0.546503 # DEPENDENCYPART_ARC
(16,20),-1.41853 # DEPENDENCYPART_ARC
(16,21),-0.971276 # DEPENDENCYPART_ARC
(17,1),-5.90096 # DEPENDENCYPART_ARC
(17,2),0.297011 # DEPENDENCYPART_ARC
(17,3),-0.184755 # DEPENDENCYPART_ARC
(17,4),-4.46638 # DEPENDENCYPART_ARC
(17,5),0.336357 # DEPENDENCYPART_ARC
(17,6),0.895678 # DEPENDENCYPART_ARC
(17,7),-1.00349 # DEPENDENCYPART_ARC
(17,9),-0.568218 # DEPENDENCYPART_ARC
(17,10),-0.2515 # DEPENDENCYPART_ARC
(17,12),-0.169158 # DEPENDENCYPART_ARC
(17,13),-0.0751922 # DEPENDENCYPART_ARC
(17,14),0.624909 # DEPENDENCYPART_ARC
(17,15),2.75292 # DEPENDENCYPART_ARC
(17,16),2.7623 # DEPENDENCYPART_ARC
(17,21),-1.02349 # DEPENDENCYPART_ARC
(18,10),-0.370524 # DEPENDENCYPART_ARC
(18,12),-0.0416421 # DEPENDENCYPART_ARC
(18,13),0.452621 # DEPENDENCYPART_ARC
(18,14),-0.130762 # DEPENDENCYPART_ARC
(18,15),0.376197 # DEPENDENCYPART_ARC
(18,16),0.164635 # DEPENDENCYPART_ARC
(18,17),3.77665 # DEPENDENCYPART_ARC
(18,19),0.21529 # DEPENDENCYPART_ARC
(19,14),-1.01325 # DEPENDENCYPART_ARC
(19,15),-0.581993 # DEPENDENCYPART_ARC
(19,16),-0.5923 # DEPENDENCYPART_ARC
(19,17),0.09954 # DEPENDENCYPART_ARC
(19,18),0.143606 # DEPENDENCYPART_ARC
(19,20),-0.218724 # DEPENDENCYPART_ARC
(19,21),-0.14047 # DEPENDENCYPART_ARC
(20,1),-12.6444 # DEPENDENCYPART_ARC
(20,2),-0.769476 # DEPENDENCYPART_ARC
(20,5),-0.0274847 # DEPENDENCYPART_ARC
(20,6),-0.0898528 # DEPENDENCYPART_ARC
(20,7),-0.0689051 # DEPENDENCYPART_ARC
(20,9),-0.00828722 # DEPENDENCYPART_ARC
(20,10),-0.709546 # DEPENDENCYPART_ARC
(20,11),-0.960401 # DEPENDENCYPART_ARC
(20,12),0.370319 # DEPENDENCYPART_ARC
(20,14),-0.371208 # DEPENDENCYPART_ARC
(20,15),1.06283 # DEPENDENCYPART_ARC
(20,16),-1.53868 # DEPENDENCYPART_ARC
(20,17),0.221402 # DEPENDENCYPART_ARC
(20,18),0.953375 # DEPENDENCYPART_ARC
(20,19),2.29349 # DEPENDENCYPART_ARC
(20,21),-0.373829 # DEPENDENCYPART_ARC
(20,22),-1.02575 # DEPENDENCYPART_ARC
(21,1),-8.70539 # DEPENDENCYPART_ARC
(21,2),-0.787221 # DEPENDENCYPART_ARC
(21,4),-7.3008 # DEPENDENCYPART_ARC
(21,5),-0.877862 # DEPENDENCYPART_ARC
(21,6),-1.53141 # DEPENDENCYPART_ARC
(21,7),-1.92544 # DEPENDENCYPART_ARC
(21,9),-1.42523 # DEPENDENCYPART_ARC
(21,12),-0.169862 # DEPENDENCYPART_ARC
(21,13),-0.150066 # DEPENDENCYPART_ARC
(21,14),-0.32218 # DEPENDENCYPART_ARC
(21,15),0.126525 # DEPENDENCYPART_ARC
(21,17),0.336831 # DEPENDENCYPART_ARC
(21,18),0.849286 # DEPENDENCYPART_ARC
(21,19),1.0096 # DEPENDENCYPART_ARC
(21,20),2.68182 # DEPENDENCYPART_ARC
(22,1),-10.375 # DEPENDENCYPART_ARC
(22,2),-0.63307 # DEPENDENCYPART_ARC
(22,3),-1.13381 # DEPENDENCYPART_ARC
(22,4),-9.11286 # DEPENDENCYPART_ARC
(22,5),-0.224349 # DEPENDENCYPART_ARC
(22,6),-1.73484 # DEPENDENCYPART_ARC
(22,7),0.0867327 # DEPENDENCYPART_ARC
(22,9),-0.00630538 # DEPENDENCYPART_ARC
(22,10),-0.396139 # DEPENDENCYPART_ARC
(22,11),-0.0361071 # DEPENDENCYPART_ARC
(22,12),1.60897 # DEPENDENCYPART_ARC
(22,13),0.629446 # DEPENDENCYPART_ARC
(22,14),-0.336251 # DEPENDENCYPART_ARC
(22,15),-0.811546 # DEPENDENCYPART_ARC
(22,16),-2.84772 # DEPENDENCYPART_ARC
(22,17),1.09565 # DEPENDENCYPART_ARC
(22,18),1.62893 # DEPENDENCYPART_ARC
(22,19),1.37105 # DEPENDENCYPART_ARC
(22,20),0.0852545 # DEPENDENCYPART_ARC
(22,21),3.24319 # DEPENDENCYPART_ARC
(23,1),-6.94306 # DEPENDENCYPART_ARC
(23,10),-1.3659 # DEPENDENCYPART_ARC
(23,11),-0.237951 # DEPENDENCYPART_ARC
(23,13),1.57865 # DEPENDENCYPART_ARC
(23,14),-0.728661 # DEPENDENCYPART_ARC
(23,15),-0.20417 # DEPENDENCYPART_ARC
(23,16),-3.10593 # DEPENDENCYPART_ARC
(23,17),-0.221979 # DEPENDENCYPART_ARC
(23,18),-0.419755 # DEPENDENCYPART_ARC
(23,19),-0.159098 # DEPENDENCYPART_ARC
(23,20),-1.62388 # DEPENDENCYPART_ARC
(23,21),-0.234583 # DEPENDENCYPART_ARC
(23,22),1.28853 # DEPENDENCYPART_ARC
