# _root_ En zıt fikirler _ ileri_sürülüyor , kimse kimseye hakaret_etmiyor , tarizde _ bulunmuyordu .
#goldHeads=2,3,4,5,6,9,9,9,10,13,13,13,14,0,
#predictedHeads=2,3,5,5,6,9,9,9,10,13,13,13,14,0,
(10,5),-0.29856 # DEPENDENCYPART_ARC
(10,6),-0.155291 # DEPENDENCYPART_ARC
(10,7),0.38215 # DEPENDENCYPART_ARC
(10,8),0.0620116 # DEPENDENCYPART_ARC
(10,9),1.12853 # DEPENDENCYPART_ARC
(10,11),0.0390959 # DEPENDENCYPART_ARC
(10,12),-0.751512 # DEPENDENCYPART_ARC
(10,13),-0.249922 # DEPENDENCYPART_ARC
(10,14),-1.08704 # DEPENDENCYPART_ARC
(11,2),-1.08798 # DEPENDENCYPART_ARC
(11,5),-1.45764 # DEPENDENCYPART_ARC
(11,7),-1.04095 # DEPENDENCYPART_ARC
(11,8),-1.6158 # DEPENDENCYPART_ARC
(11,9),-0.952996 # DEPENDENCYPART_ARC
(11,10),0.254727 # DEPENDENCYPART_ARC
(11,12),-0.0577559 # DEPENDENCYPART_ARC
(12,1),-2.34673 # DEPENDENCYPART_ARC
(12,3),-0.688009 # DEPENDENCYPART_ARC
(12,4),-5.2526 # DEPENDENCYPART_ARC
(12,5),-0.905848 # DEPENDENCYPART_ARC
(12,6),-0.315487 # DEPENDENCYPART_ARC
(12,7),-0.337324 # DEPENDENCYPART_ARC
(12,8),-0.200662 # DEPENDENCYPART_ARC
(12,9),-0.682135 # DEPENDENCYPART_ARC
(12,10),0.813214 # DEPENDENCYPART_ARC
(12,11),1.34015 # DEPENDENCYPART_ARC
(12,13),0.404604 # DEPENDENCYPART_ARC
(13,1),-1.62848 # DEPENDENCYPART_ARC
(13,2),-0.447854 # DEPENDENCYPART_ARC
(13,3),0.641038 # DEPENDENCYPART_ARC
(13,4),-4.18781 # DEPENDENCYPART_ARC
(13,5),-0.848719 # DEPENDENCYPART_ARC
(13,6),0.489218 # DEPENDENCYPART_ARC
(13,7),0.887973 # DEPENDENCYPART_ARC
(13,8),0.650568 # DEPENDENCYPART_ARC
(13,9),-0.328712 # DEPENDENCYPART_ARC
(13,10),1.52917 # DEPENDENCYPART_ARC
(13,11),2.4639 # DEPENDENCYPART_ARC
(13,12),2.4454 # DEPENDENCYPART_ARC
(13,14),-1.13337 # DEPENDENCYPART_ARC
(14,1),-0.694812 # DEPENDENCYPART_ARC
(14,2),-1.35002 # DEPENDENCYPART_ARC
(14,3),-0.408168 # DEPENDENCYPART_ARC
(14,4),-3.61363 # DEPENDENCYPART_ARC
(14,5),-0.147514 # DEPENDENCYPART_ARC
(14,6),-0.32619 # DEPENDENCYPART_ARC
(14,9),-0.255006 # DEPENDENCYPART_ARC
(14,10),0.13084 # DEPENDENCYPART_ARC
(14,11),0.172072 # DEPENDENCYPART_ARC
(14,12),-0.868673 # DEPENDENCYPART_ARC
(14,13),1.56851 # DEPENDENCYPART_ARC
