# _root_ Ilık et suyunun yanında _ _ haşlanmış geyik eti , _ kızarmış ekmek , bir de ılık çay vardı masada .
#goldHeads=3,3,4,19,6,7,9,9,10,13,12,13,14,18,18,15,18,19,21,19,0,
#predictedHeads=2,3,4,5,6,7,9,9,10,0,12,13,14,0,18,15,18,19,21,19,0,
(10,5),-1.83071 # DEPENDENCYPART_ARC
(10,6),-1.18901 # DEPENDENCYPART_ARC
(10,7),-0.40278 # DEPENDENCYPART_ARC
(10,8),-0.22908 # DEPENDENCYPART_ARC
(10,9),0.487499 # DEPENDENCYPART_ARC
(10,11),-0.592924 # DEPENDENCYPART_ARC
(10,12),-0.636426 # DEPENDENCYPART_ARC
(10,14),-0.976679 # DEPENDENCYPART_ARC
(10,19),-0.621123 # DEPENDENCYPART_ARC
(10,20),-1.03224 # DEPENDENCYPART_ARC
(11,2),-0.964566 # DEPENDENCYPART_ARC
(11,4),-1.01111 # DEPENDENCYPART_ARC
(11,6),-3.49009 # DEPENDENCYPART_ARC
(11,7),-1.35654 # DEPENDENCYPART_ARC
(11,8),-0.264552 # DEPENDENCYPART_ARC
(11,9),-0.593156 # DEPENDENCYPART_ARC
(11,10),0.0516299 # DEPENDENCYPART_ARC
(11,12),0.00949366 # DEPENDENCYPART_ARC
(11,13),0.885564 # DEPENDENCYPART_ARC
(11,14),-0.115895 # DEPENDENCYPART_ARC
(11,18),-1.77113 # DEPENDENCYPART_ARC
(11,19),-2.1515 # DEPENDENCYPART_ARC
(11,20),-0.767948 # DEPENDENCYPART_ARC
(11,21),-0.969114 # DEPENDENCYPART_ARC
(12,3),-0.322666 # DEPENDENCYPART_ARC
(12,4),-0.253228 # DEPENDENCYPART_ARC
(12,5),-1.91147 # DEPENDENCYPART_ARC
(12,6),-1.26275 # DEPENDENCYPART_ARC
(12,7),-0.659417 # DEPENDENCYPART_ARC
(12,8),0.041687 # DEPENDENCYPART_ARC
(12,9),-0.0924375 # DEPENDENCYPART_ARC
(12,10),-0.293994 # DEPENDENCYPART_ARC
(12,11),1.95674 # DEPENDENCYPART_ARC
(12,18),-1.5081 # DEPENDENCYPART_ARC
(12,19),-1.14667 # DEPENDENCYPART_ARC
(12,20),-1.48749 # DEPENDENCYPART_ARC
(13,1),-0.851619 # DEPENDENCYPART_ARC
(13,6),-3.4834 # DEPENDENCYPART_ARC
(13,7),-0.0590672 # DEPENDENCYPART_ARC
(13,8),0.011613 # DEPENDENCYPART_ARC
(13,9),-0.583596 # DEPENDENCYPART_ARC
(13,10),0.886069 # DEPENDENCYPART_ARC
(13,11),0.199274 # DEPENDENCYPART_ARC
(13,12),2.20511 # DEPENDENCYPART_ARC
(13,14),-0.531182 # DEPENDENCYPART_ARC
(13,15),-0.833179 # DEPENDENCYPART_ARC
(13,16),-0.553966 # DEPENDENCYPART_ARC
(13,17),-1.42444 # DEPENDENCYPART_ARC
(13,18),-1.66205 # DEPENDENCYPART_ARC
(13,19),-2.7982 # DEPENDENCYPART_ARC
(14,5),-2.9729 # DEPENDENCYPART_ARC
(14,6),-2.64299 # DEPENDENCYPART_ARC
(14,7),-1.12796 # DEPENDENCYPART_ARC
(14,10),-0.133681 # DEPENDENCYPART_ARC
(14,11),-0.760339 # DEPENDENCYPART_ARC
(14,12),0.0672433 # DEPENDENCYPART_ARC
(14,13),0.362722 # DEPENDENCYPART_ARC
(14,18),-0.954699 # DEPENDENCYPART_ARC
(14,19),-0.940936 # DEPENDENCYPART_ARC
(14,20),-0.930832 # DEPENDENCYPART_ARC
(14,21),-1.0433 # DEPENDENCYPART_ARC
(15,13),-1.05457 # DEPENDENCYPART_ARC
(15,14),-0.0244565 # DEPENDENCYPART_ARC
(15,16),1.924 # DEPENDENCYPART_ARC
(16,9),-1.57009 # DEPENDENCYPART_ARC
(16,11),-0.997653 # DEPENDENCYPART_ARC
(16,12),-1.01479 # DEPENDENCYPART_ARC
(16,13),-1.40871 # DEPENDENCYPART_ARC
(16,15),0.37083 # DEPENDENCYPART_ARC
(16,18),-0.548885 # DEPENDENCYPART_ARC
(17,11),-0.603165 # DEPENDENCYPART_ARC
(17,13),-0.921538 # DEPENDENCYPART_ARC
(17,14),-0.488175 # DEPENDENCYPART_ARC
(17,15),0.0127206 # DEPENDENCYPART_ARC
(17,16),0.233076 # DEPENDENCYPART_ARC
(17,18),0.300146 # DEPENDENCYPART_ARC
(17,20),-0.176723 # DEPENDENCYPART_ARC
(18,4),-1.00952 # DEPENDENCYPART_ARC
(18,8),0.261801 # DEPENDENCYPART_ARC
(18,9),-0.0360168 # DEPENDENCYPART_ARC
(18,10),0.287013 # DEPENDENCYPART_ARC
(18,11),-1.92538 # DEPENDENCYPART_ARC
(18,12),0.283738 # DEPENDENCYPART_ARC
(18,13),-0.331098 # DEPENDENCYPART_ARC
(18,14),0.818125 # DEPENDENCYPART_ARC
(18,15),0.951838 # DEPENDENCYPART_ARC
(18,16),0.0824665 # DEPENDENCYPART_ARC
(18,17),2.61412 # DEPENDENCYPART_ARC
(18,20),-0.599075 # DEPENDENCYPART_ARC
(19,2),-0.109249 # DEPENDENCYPART_ARC
(19,3),-1.63936 # DEPENDENCYPART_ARC
(19,4),-0.998185 # DEPENDENCYPART_ARC
(19,5),-6.61304 # DEPENDENCYPART_ARC
(19,6),-6.23881 # DEPENDENCYPART_ARC
(19,7),-0.84495 # DEPENDENCYPART_ARC
(19,8),0.610861 # DEPENDENCYPART_ARC
(19,9),0.08567 # DEPENDENCYPART_ARC
(19,10),-0.351741 # DEPENDENCYPART_ARC
(19,11),-2.88357 # DEPENDENCYPART_ARC
(19,12),-0.670615 # DEPENDENCYPART_ARC
(19,13),0.130683 # DEPENDENCYPART_ARC
(19,14),0.114807 # DEPENDENCYPART_ARC
(19,15),-0.143123 # DEPENDENCYPART_ARC
(19,16),-0.280321 # DEPENDENCYPART_ARC
(19,17),0.515456 # DEPENDENCYPART_ARC
(19,18),2.808 # DEPENDENCYPART_ARC
(19,20),1.75725 # DEPENDENCYPART_ARC
(19,21),-0.473566 # DEPENDENCYPART_ARC
(20,8),-0.772393 # DEPENDENCYPART_ARC
(20,9),-1.32411 # DEPENDENCYPART_ARC
(20,10),-0.361334 # DEPENDENCYPART_ARC
(20,13),-1.69242 # DEPENDENCYPART_ARC
(20,14),-0.0698166 # DEPENDENCYPART_ARC
(20,15),-0.579198 # DEPENDENCYPART_ARC
(20,16),-1.24944 # DEPENDENCYPART_ARC
(20,17),-0.144163 # DEPENDENCYPART_ARC
(20,18),0.548467 # DEPENDENCYPART_ARC
(20,19),0.438007 # DEPENDENCYPART_ARC
(20,21),0.0117622 # DEPENDENCYPART_ARC
(21,1),-0.871379 # DEPENDENCYPART_ARC
(21,5),-5.1438 # DEPENDENCYPART_ARC
(21,6),-4.7995 # DEPENDENCYPART_ARC
(21,7),-0.836238 # DEPENDENCYPART_ARC
(21,9),-0.676212 # DEPENDENCYPART_ARC
(21,11),-3.15298 # DEPENDENCYPART_ARC
(21,12),-0.779783 # DEPENDENCYPART_ARC
(21,13),-0.545595 # DEPENDENCYPART_ARC
(21,14),-0.191227 # DEPENDENCYPART_ARC
(21,15),-0.400694 # DEPENDENCYPART_ARC
(21,16),-0.376677 # DEPENDENCYPART_ARC
(21,17),-0.302865 # DEPENDENCYPART_ARC
(21,18),-0.063002 # DEPENDENCYPART_ARC
(21,19),1.7169 # DEPENDENCYPART_ARC
(21,20),-0.0229346 # DEPENDENCYPART_ARC
