# _root_ Kızaklarda _ _ _ kullanılan tahta , deri ve boynuzların dışında tek_tük halatlar , sicimler de dış dünyadan geliyor bu dağlara .
#goldHeads=4,3,4,5,6,7,8,9,10,11,19,13,14,15,19,15,18,19,22,21,19,0,
#predictedHeads=5,3,4,5,6,7,0,9,10,11,19,13,14,0,19,15,18,19,22,21,19,0,
(13,10),-0.408231 # DEPENDENCYPART_ARC
(13,11),-0.147026 # DEPENDENCYPART_ARC
(13,12),2.13181 # DEPENDENCYPART_ARC
(13,14),-0.0462033 # DEPENDENCYPART_ARC
(13,15),-0.514438 # DEPENDENCYPART_ARC
(13,16),-0.273931 # DEPENDENCYPART_ARC
(13,17),-1.12149 # DEPENDENCYPART_ARC
(13,18),-1.77478 # DEPENDENCYPART_ARC
(13,19),-2.04792 # DEPENDENCYPART_ARC
(13,20),-0.82276 # DEPENDENCYPART_ARC
(14,3),-4.07906 # DEPENDENCYPART_ARC
(14,4),-3.43117 # DEPENDENCYPART_ARC
(14,5),-1.17373 # DEPENDENCYPART_ARC
(14,8),0.0566684 # DEPENDENCYPART_ARC
(14,10),0.191223 # DEPENDENCYPART_ARC
(14,11),0.0610968 # DEPENDENCYPART_ARC
(14,12),0.271901 # DEPENDENCYPART_ARC
(14,13),0.836673 # DEPENDENCYPART_ARC
(14,15),-0.0483307 # DEPENDENCYPART_ARC
(14,18),-0.751119 # DEPENDENCYPART_ARC
(14,19),-0.76149 # DEPENDENCYPART_ARC
(14,21),-0.991487 # DEPENDENCYPART_ARC
(15,5),-0.706313 # DEPENDENCYPART_ARC
(15,6),-1.35823 # DEPENDENCYPART_ARC
(15,9),0.061394 # DEPENDENCYPART_ARC
(15,10),-2.25666 # DEPENDENCYPART_ARC
(15,11),-2.04552 # DEPENDENCYPART_ARC
(15,12),-0.141911 # DEPENDENCYPART_ARC
(15,13),-1.31082 # DEPENDENCYPART_ARC
(15,14),1.09164 # DEPENDENCYPART_ARC
(15,16),2.22228 # DEPENDENCYPART_ARC
(15,17),0.123434 # DEPENDENCYPART_ARC
(15,18),-0.817445 # DEPENDENCYPART_ARC
(15,19),-0.929952 # DEPENDENCYPART_ARC
(15,20),-0.108288 # DEPENDENCYPART_ARC
(15,21),0.109921 # DEPENDENCYPART_ARC
(16,13),-1.91467 # DEPENDENCYPART_ARC
(16,15),0.525579 # DEPENDENCYPART_ARC
(16,18),-0.755483 # DEPENDENCYPART_ARC
(17,13),-1.06554 # DEPENDENCYPART_ARC
(17,14),-0.501346 # DEPENDENCYPART_ARC
(17,15),0.317387 # DEPENDENCYPART_ARC
(17,16),0.0189917 # DEPENDENCYPART_ARC
(17,18),0.329855 # DEPENDENCYPART_ARC
(17,21),-0.26259 # DEPENDENCYPART_ARC
(18,1),-1.79578 # DEPENDENCYPART_ARC
(18,2),-6.95664 # DEPENDENCYPART_ARC
(18,5),-0.328801 # DEPENDENCYPART_ARC
(18,6),-0.833938 # DEPENDENCYPART_ARC
(18,7),-0.120665 # DEPENDENCYPART_ARC
(18,9),0.29012 # DEPENDENCYPART_ARC
(18,10),-1.72576 # DEPENDENCYPART_ARC
(18,11),-1.754 # DEPENDENCYPART_ARC
(18,12),-0.462228 # DEPENDENCYPART_ARC
(18,13),-1.53905 # DEPENDENCYPART_ARC
(18,14),0.244751 # DEPENDENCYPART_ARC
(18,15),-0.279355 # DEPENDENCYPART_ARC
(18,16),0.100091 # DEPENDENCYPART_ARC
(18,17),2.11017 # DEPENDENCYPART_ARC
(18,20),-0.300865 # DEPENDENCYPART_ARC
(18,21),-0.769539 # DEPENDENCYPART_ARC
(19,1),0.676843 # DEPENDENCYPART_ARC
(19,2),-7.83813 # DEPENDENCYPART_ARC
(19,3),-7.73644 # DEPENDENCYPART_ARC
(19,4),-7.89076 # DEPENDENCYPART_ARC
(19,6),0.561995 # DEPENDENCYPART_ARC
(19,7),-0.432762 # DEPENDENCYPART_ARC
(19,8),0.398759 # DEPENDENCYPART_ARC
(19,9),-0.401144 # DEPENDENCYPART_ARC
(19,10),-0.626106 # DEPENDENCYPART_ARC
(19,11),1.35574 # DEPENDENCYPART_ARC
(19,12),-0.477242 # DEPENDENCYPART_ARC
(19,13),0.520336 # DEPENDENCYPART_ARC
(19,14),0.550053 # DEPENDENCYPART_ARC
(19,15),1.2575 # DEPENDENCYPART_ARC
(19,16),-0.0976973 # DEPENDENCYPART_ARC
(19,17),0.652031 # DEPENDENCYPART_ARC
(19,18),2.40251 # DEPENDENCYPART_ARC
(19,21),2.81128 # DEPENDENCYPART_ARC
(20,16),-0.937074 # DEPENDENCYPART_ARC
(20,18),-0.844827 # DEPENDENCYPART_ARC
(21,5),-0.951902 # DEPENDENCYPART_ARC
(21,7),-0.00259447 # DEPENDENCYPART_ARC
(21,9),-0.256331 # DEPENDENCYPART_ARC
(21,11),-2.2625 # DEPENDENCYPART_ARC
(21,12),-1.07998 # DEPENDENCYPART_ARC
(21,13),-1.89425 # DEPENDENCYPART_ARC
(21,14),0.373628 # DEPENDENCYPART_ARC
(21,15),-0.706788 # DEPENDENCYPART_ARC
(21,16),-0.52844 # DEPENDENCYPART_ARC
(21,17),0.296763 # DEPENDENCYPART_ARC
(21,18),-0.223774 # DEPENDENCYPART_ARC
(21,19),-0.517819 # DEPENDENCYPART_ARC
(21,20),1.83051 # DEPENDENCYPART_ARC
(22,1),-0.785695 # DEPENDENCYPART_ARC
(22,3),-6.52226 # DEPENDENCYPART_ARC
(22,4),-5.97198 # DEPENDENCYPART_ARC
(22,6),-0.768305 # DEPENDENCYPART_ARC
(22,8),-0.521598 # DEPENDENCYPART_ARC
(22,10),-0.351893 # DEPENDENCYPART_ARC
(22,11),-0.284623 # DEPENDENCYPART_ARC
(22,12),-0.504164 # DEPENDENCYPART_ARC
(22,13),-0.451047 # DEPENDENCYPART_ARC
(22,14),0.0974296 # DEPENDENCYPART_ARC
(22,15),-0.0825634 # DEPENDENCYPART_ARC
(22,16),-0.741106 # DEPENDENCYPART_ARC
(22,17),-0.498277 # DEPENDENCYPART_ARC
(22,18),-0.0871819 # DEPENDENCYPART_ARC
(22,19),1.13629 # DEPENDENCYPART_ARC
(22,20),-0.166185 # DEPENDENCYPART_ARC
(22,21),0.255716 # DEPENDENCYPART_ARC
