# _root_ Değişik yasalarda _ _ yapılacak _ değişiklikler ile askeri , ticari , _ _ bankacılık ve benzeri _ alanlardaki " sırların " kapsamı yeniden _ belirlenecek .
#goldHeads=2,5,4,5,7,7,8,23,21,0,21,0,14,15,16,17,19,19,21,0,23,0,26,26,26,27,0,
#predictedHeads=2,4,4,5,7,7,8,9,10,11,12,0,14,15,16,21,18,19,21,0,22,0,26,26,26,27,0,
(15,10),-0.105361 # DEPENDENCYPART_ARC
(15,11),-0.170151 # DEPENDENCYPART_ARC
(15,12),0.248439 # DEPENDENCYPART_ARC
(15,13),1.00903 # DEPENDENCYPART_ARC
(15,14),2.59262 # DEPENDENCYPART_ARC
(15,16),-1.08399 # DEPENDENCYPART_ARC
(15,17),-2.16521 # DEPENDENCYPART_ARC
(15,19),-2.54566 # DEPENDENCYPART_ARC
(15,26),-2.86784 # DEPENDENCYPART_ARC
(16,7),-0.13285 # DEPENDENCYPART_ARC
(16,8),-0.268266 # DEPENDENCYPART_ARC
(16,13),-0.426947 # DEPENDENCYPART_ARC
(16,14),0.51684 # DEPENDENCYPART_ARC
(16,15),3.01134 # DEPENDENCYPART_ARC
(16,18),-0.804178 # DEPENDENCYPART_ARC
(17,12),-0.281284 # DEPENDENCYPART_ARC
(17,13),-0.0119106 # DEPENDENCYPART_ARC
(17,14),0.695099 # DEPENDENCYPART_ARC
(17,15),0.433324 # DEPENDENCYPART_ARC
(17,16),0.523142 # DEPENDENCYPART_ARC
(17,18),-0.0758595 # DEPENDENCYPART_ARC
(17,21),-0.909459 # DEPENDENCYPART_ARC
(17,23),-1.18327 # DEPENDENCYPART_ARC
(18,12),-0.246022 # DEPENDENCYPART_ARC
(18,13),-1.98693 # DEPENDENCYPART_ARC
(18,14),-1.57189 # DEPENDENCYPART_ARC
(18,15),0.460595 # DEPENDENCYPART_ARC
(18,16),0.644378 # DEPENDENCYPART_ARC
(18,17),1.15476 # DEPENDENCYPART_ARC
(18,19),-0.231269 # DEPENDENCYPART_ARC
(18,20),-0.300009 # DEPENDENCYPART_ARC
(18,26),-1.41244 # DEPENDENCYPART_ARC
(19,7),0.0788465 # DEPENDENCYPART_ARC
(19,10),0.275321 # DEPENDENCYPART_ARC
(19,12),0.523247 # DEPENDENCYPART_ARC
(19,13),-0.06981 # DEPENDENCYPART_ARC
(19,14),0.63732 # DEPENDENCYPART_ARC
(19,15),0.835683 # DEPENDENCYPART_ARC
(19,16),0.0689686 # DEPENDENCYPART_ARC
(19,17),0.492586 # DEPENDENCYPART_ARC
(19,18),3.41406 # DEPENDENCYPART_ARC
(19,21),-0.287162 # DEPENDENCYPART_ARC
(19,23),-0.693435 # DEPENDENCYPART_ARC
(20,4),-4.26938 # DEPENDENCYPART_ARC
(20,14),-2.75025 # DEPENDENCYPART_ARC
(20,15),-1.31299 # DEPENDENCYPART_ARC
(20,16),-0.848684 # DEPENDENCYPART_ARC
(20,17),-1.02513 # DEPENDENCYPART_ARC
(20,18),-1.67607 # DEPENDENCYPART_ARC
(20,19),0.0197528 # DEPENDENCYPART_ARC
(20,21),-0.528495 # DEPENDENCYPART_ARC
(20,22),-0.920282 # DEPENDENCYPART_ARC
(20,23),-0.84122 # DEPENDENCYPART_ARC
(20,25),-1.28525 # DEPENDENCYPART_ARC
(20,26),-1.05573 # DEPENDENCYPART_ARC
(20,27),-1.22343 # DEPENDENCYPART_ARC
(21,1),-1.08927 # DEPENDENCYPART_ARC
(21,6),-5.76643 # DEPENDENCYPART_ARC
(21,8),0.406 # DEPENDENCYPART_ARC
(21,9),-0.596905 # DEPENDENCYPART_ARC
(21,10),-0.144084 # DEPENDENCYPART_ARC
(21,11),-0.366726 # DEPENDENCYPART_ARC
(21,12),-0.0484537 # DEPENDENCYPART_ARC
(21,15),-0.517993 # DEPENDENCYPART_ARC
(21,16),0.859433 # DEPENDENCYPART_ARC
(21,17),0.283684 # DEPENDENCYPART_ARC
(21,18),-2.83861 # DEPENDENCYPART_ARC
(21,19),2.2874 # DEPENDENCYPART_ARC
(21,20),1.05492 # DEPENDENCYPART_ARC
(21,22),0.523561 # DEPENDENCYPART_ARC
(21,23),-0.733858 # DEPENDENCYPART_ARC
(21,25),-0.850959 # DEPENDENCYPART_ARC
(21,26),-1.41575 # DEPENDENCYPART_ARC
(22,4),-4.5901 # DEPENDENCYPART_ARC
(22,11),-1.69041 # DEPENDENCYPART_ARC
(22,17),-1.52599 # DEPENDENCYPART_ARC
(22,19),-1.1627 # DEPENDENCYPART_ARC
(22,20),-1.05511 # DEPENDENCYPART_ARC
(22,21),0.280236 # DEPENDENCYPART_ARC
(22,23),-0.376159 # DEPENDENCYPART_ARC
(22,24),-0.634635 # DEPENDENCYPART_ARC
(22,25),-0.936919 # DEPENDENCYPART_ARC
(22,26),-0.844372 # DEPENDENCYPART_ARC
(22,27),-1.18763 # DEPENDENCYPART_ARC
(23,6),-6.54139 # DEPENDENCYPART_ARC
(23,8),0.175998 # DEPENDENCYPART_ARC
(23,9),-0.888379 # DEPENDENCYPART_ARC
(23,10),-0.138006 # DEPENDENCYPART_ARC
(23,11),-0.650032 # DEPENDENCYPART_ARC
(23,12),-0.351677 # DEPENDENCYPART_ARC
(23,13),-4.15646 # DEPENDENCYPART_ARC
(23,14),-3.56113 # DEPENDENCYPART_ARC
(23,15),-0.470923 # DEPENDENCYPART_ARC
(23,16),0.553948 # DEPENDENCYPART_ARC
(23,17),0.127071 # DEPENDENCYPART_ARC
(23,18),-2.42809 # DEPENDENCYPART_ARC
(23,19),1.13073 # DEPENDENCYPART_ARC
(23,20),-0.197507 # DEPENDENCYPART_ARC
(23,21),-0.304826 # DEPENDENCYPART_ARC
(23,22),1.21214 # DEPENDENCYPART_ARC
(23,24),-0.494306 # DEPENDENCYPART_ARC
(23,25),-1.05152 # DEPENDENCYPART_ARC
(24,18),-1.24036 # DEPENDENCYPART_ARC
(24,20),-0.921288 # DEPENDENCYPART_ARC
(24,21),-1.29412 # DEPENDENCYPART_ARC
(24,22),-0.321877 # DEPENDENCYPART_ARC
(24,23),0.642631 # DEPENDENCYPART_ARC
(25,7),-0.390829 # DEPENDENCYPART_ARC
(25,13),-6.98609 # DEPENDENCYPART_ARC
(25,14),-5.82717 # DEPENDENCYPART_ARC
(25,15),-0.489473 # DEPENDENCYPART_ARC
(25,16),-0.954111 # DEPENDENCYPART_ARC
(25,18),-2.95415 # DEPENDENCYPART_ARC
(25,19),-1.48129 # DEPENDENCYPART_ARC
(25,20),-0.703252 # DEPENDENCYPART_ARC
(25,21),-0.31586 # DEPENDENCYPART_ARC
(25,22),-0.0990352 # DEPENDENCYPART_ARC
(25,23),1.11222 # DEPENDENCYPART_ARC
(25,24),0.793858 # DEPENDENCYPART_ARC
(25,26),0.150301 # DEPENDENCYPART_ARC
(26,2),1.31813 # DEPENDENCYPART_ARC
(26,3),-9.73777 # DEPENDENCYPART_ARC
(26,4),-9.65814 # DEPENDENCYPART_ARC
(26,7),1.76103 # DEPENDENCYPART_ARC
(26,8),-0.27185 # DEPENDENCYPART_ARC
(26,9),-0.258665 # DEPENDENCYPART_ARC
(26,10),-0.0218196 # DEPENDENCYPART_ARC
(26,11),-0.350812 # DEPENDENCYPART_ARC
(26,12),-0.0479817 # DEPENDENCYPART_ARC
(26,13),-5.15376 # DEPENDENCYPART_ARC
(26,14),-4.13662 # DEPENDENCYPART_ARC
(26,15),0.822003 # DEPENDENCYPART_ARC
(26,16),0.159077 # DEPENDENCYPART_ARC
(26,17),-0.173759 # DEPENDENCYPART_ARC
(26,18),-1.42329 # DEPENDENCYPART_ARC
(26,19),-0.239547 # DEPENDENCYPART_ARC
(26,20),-0.110437 # DEPENDENCYPART_ARC
(26,21),0.138105 # DEPENDENCYPART_ARC
(26,22),0.377587 # DEPENDENCYPART_ARC
(26,23),1.29729 # DEPENDENCYPART_ARC
(26,24),1.91635 # DEPENDENCYPART_ARC
(26,25),2.67533 # DEPENDENCYPART_ARC
(26,27),-0.8435 # DEPENDENCYPART_ARC
(27,1),-0.189874 # DEPENDENCYPART_ARC
(27,3),-7.10087 # DEPENDENCYPART_ARC
(27,4),-6.69224 # DEPENDENCYPART_ARC
(27,7),-0.873654 # DEPENDENCYPART_ARC
(27,8),-1.76523 # DEPENDENCYPART_ARC
(27,9),-0.535489 # DEPENDENCYPART_ARC
(27,11),-0.639112 # DEPENDENCYPART_ARC
(27,15),-0.364679 # DEPENDENCYPART_ARC
(27,16),-0.31884 # DEPENDENCYPART_ARC
(27,17),-0.683556 # DEPENDENCYPART_ARC
(27,18),-2.51749 # DEPENDENCYPART_ARC
(27,19),-0.739055 # DEPENDENCYPART_ARC
(27,20),-0.645009 # DEPENDENCYPART_ARC
(27,21),-0.0471772 # DEPENDENCYPART_ARC
(27,22),-0.272338 # DEPENDENCYPART_ARC
(27,23),0.332862 # DEPENDENCYPART_ARC
(27,24),-0.467424 # DEPENDENCYPART_ARC
(27,25),-0.700469 # DEPENDENCYPART_ARC
(27,26),1.55995 # DEPENDENCYPART_ARC
