# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,5,3,0,12,6,13,10,12,12,13,19,19,19,15,18,19,20,0,
(13,4),0.737741 # DEPENDENCYPART_ARC
(13,5),0.650312 # DEPENDENCYPART_ARC
(13,6),-0.440549 # DEPENDENCYPART_ARC
(13,7),0.15641 # DEPENDENCYPART_ARC
(13,8),0.97632 # DEPENDENCYPART_ARC
(13,9),0.476202 # DEPENDENCYPART_ARC
(13,10),0.272783 # DEPENDENCYPART_ARC
(13,11),0.692837 # DEPENDENCYPART_ARC
(13,12),3.83175 # DEPENDENCYPART_ARC
(13,14),-0.470967 # DEPENDENCYPART_ARC
(13,15),-0.800493 # DEPENDENCYPART_ARC
(13,16),-0.361623 # DEPENDENCYPART_ARC
(13,18),-1.86207 # DEPENDENCYPART_ARC
(13,19),-2.9527 # DEPENDENCYPART_ARC
(13,20),-1.95439 # DEPENDENCYPART_ARC
(14,1),0.14321 # DEPENDENCYPART_ARC
(14,2),-2.99618 # DEPENDENCYPART_ARC
(14,3),-1.6295 # DEPENDENCYPART_ARC
(14,4),-1.15814 # DEPENDENCYPART_ARC
(14,5),0.180818 # DEPENDENCYPART_ARC
(14,6),-0.461219 # DEPENDENCYPART_ARC
(14,7),-0.313319 # DEPENDENCYPART_ARC
(14,8),-0.409109 # DEPENDENCYPART_ARC
(14,9),-0.689898 # DEPENDENCYPART_ARC
(14,10),-0.528238 # DEPENDENCYPART_ARC
(14,11),-0.455112 # DEPENDENCYPART_ARC
(14,12),0.189387 # DEPENDENCYPART_ARC
(14,13),1.16543 # DEPENDENCYPART_ARC
(14,18),-0.3171 # DEPENDENCYPART_ARC
(14,19),-0.322644 # DEPENDENCYPART_ARC
(14,20),-0.477737 # DEPENDENCYPART_ARC
(15,12),-1.01796 # DEPENDENCYPART_ARC
(15,14),0.0188105 # DEPENDENCYPART_ARC
(15,16),2.03968 # DEPENDENCYPART_ARC
(16,9),-1.94851 # DEPENDENCYPART_ARC
(16,13),-1.35431 # DEPENDENCYPART_ARC
(16,15),0.0313396 # DEPENDENCYPART_ARC
(17,8),-0.738246 # DEPENDENCYPART_ARC
(17,11),-0.981396 # DEPENDENCYPART_ARC
(17,12),-0.34037 # DEPENDENCYPART_ARC
(17,13),-0.838744 # DEPENDENCYPART_ARC
(17,14),-0.547822 # DEPENDENCYPART_ARC
(17,15),0.286002 # DEPENDENCYPART_ARC
(17,16),-0.0311715 # DEPENDENCYPART_ARC
(18,3),-0.690273 # DEPENDENCYPART_ARC
(18,4),-0.816284 # DEPENDENCYPART_ARC
(18,5),0.38128 # DEPENDENCYPART_ARC
(18,6),-0.453315 # DEPENDENCYPART_ARC
(18,7),-0.932118 # DEPENDENCYPART_ARC
(18,8),-1.40804 # DEPENDENCYPART_ARC
(18,9),-0.347145 # DEPENDENCYPART_ARC
(18,11),0.0590798 # DEPENDENCYPART_ARC
(18,12),-1.04238 # DEPENDENCYPART_ARC
(18,13),-1.14407 # DEPENDENCYPART_ARC
(18,14),0.327107 # DEPENDENCYPART_ARC
(18,15),0.281896 # DEPENDENCYPART_ARC
(18,16),0.0225168 # DEPENDENCYPART_ARC
(18,17),2.32265 # DEPENDENCYPART_ARC
(19,1),-0.00538109 # DEPENDENCYPART_ARC
(19,2),-4.92704 # DEPENDENCYPART_ARC
(19,3),-0.884353 # DEPENDENCYPART_ARC
(19,4),0.70642 # DEPENDENCYPART_ARC
(19,5),-0.0474189 # DEPENDENCYPART_ARC
(19,6),-1.88561 # DEPENDENCYPART_ARC
(19,7),0.0399596 # DEPENDENCYPART_ARC
(19,8),0.144417 # DEPENDENCYPART_ARC
(19,9),-0.255574 # DEPENDENCYPART_ARC
(19,10),-0.383533 # DEPENDENCYPART_ARC
(19,11),-0.473906 # DEPENDENCYPART_ARC
(19,12),0.998242 # DEPENDENCYPART_ARC
(19,13),1.345 # DEPENDENCYPART_ARC
(19,14),1.75113 # DEPENDENCYPART_ARC
(19,15),1.67818 # DEPENDENCYPART_ARC
(19,16),-0.0815477 # DEPENDENCYPART_ARC
(19,17),0.0798791 # DEPENDENCYPART_ARC
(19,18),3.17017 # DEPENDENCYPART_ARC
(19,20),-0.975411 # DEPENDENCYPART_ARC
(20,1),-0.23705 # DEPENDENCYPART_ARC
(20,2),-3.94607 # DEPENDENCYPART_ARC
(20,3),-0.534063 # DEPENDENCYPART_ARC
(20,4),-0.373334 # DEPENDENCYPART_ARC
(20,7),-0.999712 # DEPENDENCYPART_ARC
(20,8),-0.376959 # DEPENDENCYPART_ARC
(20,9),-0.969224 # DEPENDENCYPART_ARC
(20,10),-1.15196 # DEPENDENCYPART_ARC
(20,11),-0.438756 # DEPENDENCYPART_ARC
(20,12),0.0301082 # DEPENDENCYPART_ARC
(20,13),-0.364791 # DEPENDENCYPART_ARC
(20,14),0.493451 # DEPENDENCYPART_ARC
(20,15),-0.405131 # DEPENDENCYPART_ARC
(20,16),0.0264008 # DEPENDENCYPART_ARC
(20,17),-1.2994 # DEPENDENCYPART_ARC
(20,18),0.0778847 # DEPENDENCYPART_ARC
(20,19),1.43168 # DEPENDENCYPART_ARC
