# _root_ Bu _ gerçeklik içinde bir nesne gibi _ bakabiliriz ona , öznel bir nesne , bir _ gerçeklik _ görünüşü var .
#goldHeads=2,3,4,8,6,7,8,9,11,8,0,14,14,19,0,17,18,19,20,21,22,0,
#predictedHeads=3,3,4,8,6,7,8,9,11,9,0,14,14,15,0,17,18,20,20,21,22,0,
(17,1),-0.793058 # DEPENDENCYPART_ARC
(17,5),-1.07937 # DEPENDENCYPART_ARC
(17,7),-0.356927 # DEPENDENCYPART_ARC
(17,10),-1.29484 # DEPENDENCYPART_ARC
(17,12),-0.507419 # DEPENDENCYPART_ARC
(17,13),-0.536773 # DEPENDENCYPART_ARC
(17,14),-0.870938 # DEPENDENCYPART_ARC
(17,15),0.388593 # DEPENDENCYPART_ARC
(17,16),1.47302 # DEPENDENCYPART_ARC
(17,18),0.00248988 # DEPENDENCYPART_ARC
(17,19),-0.769292 # DEPENDENCYPART_ARC
(18,1),-1.34988 # DEPENDENCYPART_ARC
(18,2),-5.62288 # DEPENDENCYPART_ARC
(18,3),-0.974592 # DEPENDENCYPART_ARC
(18,4),-1.25732 # DEPENDENCYPART_ARC
(18,5),-0.712233 # DEPENDENCYPART_ARC
(18,6),-0.171097 # DEPENDENCYPART_ARC
(18,7),-0.303464 # DEPENDENCYPART_ARC
(18,10),-1.4309 # DEPENDENCYPART_ARC
(18,11),-0.237465 # DEPENDENCYPART_ARC
(18,12),-0.279583 # DEPENDENCYPART_ARC
(18,13),0.0915184 # DEPENDENCYPART_ARC
(18,14),-0.282206 # DEPENDENCYPART_ARC
(18,15),0.377797 # DEPENDENCYPART_ARC
(18,16),1.19078 # DEPENDENCYPART_ARC
(18,17),2.73133 # DEPENDENCYPART_ARC
(18,19),-0.845109 # DEPENDENCYPART_ARC
(18,20),-0.496735 # DEPENDENCYPART_ARC
(19,3),-0.258977 # DEPENDENCYPART_ARC
(19,4),0.165804 # DEPENDENCYPART_ARC
(19,6),-0.761014 # DEPENDENCYPART_ARC
(19,7),-0.326289 # DEPENDENCYPART_ARC
(19,8),-5.20259 # DEPENDENCYPART_ARC
(19,9),-0.237584 # DEPENDENCYPART_ARC
(19,10),0.450566 # DEPENDENCYPART_ARC
(19,11),-1.6801 # DEPENDENCYPART_ARC
(19,12),-0.909507 # DEPENDENCYPART_ARC
(19,13),-0.876023 # DEPENDENCYPART_ARC
(19,14),-0.181355 # DEPENDENCYPART_ARC
(19,15),-0.509164 # DEPENDENCYPART_ARC
(19,16),-0.308821 # DEPENDENCYPART_ARC
(19,17),0.90856 # DEPENDENCYPART_ARC
(19,18),2.39901 # DEPENDENCYPART_ARC
(19,20),-0.624591 # DEPENDENCYPART_ARC
(19,21),-1.1862 # DEPENDENCYPART_ARC
(20,3),0.879231 # DEPENDENCYPART_ARC
(20,4),-0.226864 # DEPENDENCYPART_ARC
(20,6),0.410324 # DEPENDENCYPART_ARC
(20,11),0.0776043 # DEPENDENCYPART_ARC
(20,12),-0.0816794 # DEPENDENCYPART_ARC
(20,13),0.353062 # DEPENDENCYPART_ARC
(20,14),0.28286 # DEPENDENCYPART_ARC
(20,15),0.323641 # DEPENDENCYPART_ARC
(20,16),0.989468 # DEPENDENCYPART_ARC
(20,17),0.816622 # DEPENDENCYPART_ARC
(20,18),3.0356 # DEPENDENCYPART_ARC
(20,19),2.91828 # DEPENDENCYPART_ARC
(21,3),-2.04519 # DEPENDENCYPART_ARC
(21,4),-1.24331 # DEPENDENCYPART_ARC
(21,6),-1.57443 # DEPENDENCYPART_ARC
(21,7),0.0431078 # DEPENDENCYPART_ARC
(21,8),-6.07688 # DEPENDENCYPART_ARC
(21,9),-0.598557 # DEPENDENCYPART_ARC
(21,10),0.418152 # DEPENDENCYPART_ARC
(21,11),-0.358195 # DEPENDENCYPART_ARC
(21,12),-0.763911 # DEPENDENCYPART_ARC
(21,13),-0.297635 # DEPENDENCYPART_ARC
(21,14),-0.0247243 # DEPENDENCYPART_ARC
(21,15),0.266748 # DEPENDENCYPART_ARC
(21,16),0.0532868 # DEPENDENCYPART_ARC
(21,17),-1.47699 # DEPENDENCYPART_ARC
(21,18),0.449083 # DEPENDENCYPART_ARC
(21,19),-0.10978 # DEPENDENCYPART_ARC
(21,20),2.94424 # DEPENDENCYPART_ARC
(21,22),-0.952706 # DEPENDENCYPART_ARC
(22,2),-6.79811 # DEPENDENCYPART_ARC
(22,5),-0.43063 # DEPENDENCYPART_ARC
(22,7),-0.0384041 # DEPENDENCYPART_ARC
(22,8),-4.76736 # DEPENDENCYPART_ARC
(22,9),-0.679454 # DEPENDENCYPART_ARC
(22,11),-0.968339 # DEPENDENCYPART_ARC
(22,12),-1.55463 # DEPENDENCYPART_ARC
(22,13),-0.67933 # DEPENDENCYPART_ARC
(22,14),-0.280974 # DEPENDENCYPART_ARC
(22,15),-0.551259 # DEPENDENCYPART_ARC
(22,16),-0.531144 # DEPENDENCYPART_ARC
(22,17),-1.9858 # DEPENDENCYPART_ARC
(22,18),-0.22774 # DEPENDENCYPART_ARC
(22,19),-1.7088 # DEPENDENCYPART_ARC
(22,20),-0.319501 # DEPENDENCYPART_ARC
(22,21),1.32004 # DEPENDENCYPART_ARC
