# _root_ Odaya en büyük yeğen yerleşti , işin beyni o _ olduğuna göre , _ münasiptir .
#goldHeads=5,3,4,5,6,14,8,10,10,11,12,14,0,15,16,0,
#predictedHeads=5,3,4,5,6,15,8,10,10,11,12,15,0,15,16,0,
(13,7),0.343788 # DEPENDENCYPART_ARC
(13,8),0.348118 # DEPENDENCYPART_ARC
(13,9),-0.341097 # DEPENDENCYPART_ARC
(13,10),-0.740469 # DEPENDENCYPART_ARC
(13,11),0.084484 # DEPENDENCYPART_ARC
(13,12),0.333715 # DEPENDENCYPART_ARC
(13,15),-0.505715 # DEPENDENCYPART_ARC
(13,16),-0.621097 # DEPENDENCYPART_ARC
(14,5),-0.582745 # DEPENDENCYPART_ARC
(14,10),-0.591728 # DEPENDENCYPART_ARC
(14,11),-0.283786 # DEPENDENCYPART_ARC
(14,12),-0.468691 # DEPENDENCYPART_ARC
(14,13),0.777619 # DEPENDENCYPART_ARC
(15,1),0.0756597 # DEPENDENCYPART_ARC
(15,2),-1.88599 # DEPENDENCYPART_ARC
(15,4),0.00506123 # DEPENDENCYPART_ARC
(15,5),-1.1041 # DEPENDENCYPART_ARC
(15,6),0.584537 # DEPENDENCYPART_ARC
(15,7),-0.690154 # DEPENDENCYPART_ARC
(15,8),0.982906 # DEPENDENCYPART_ARC
(15,9),0.448998 # DEPENDENCYPART_ARC
(15,10),-1.50448 # DEPENDENCYPART_ARC
(15,11),0.552767 # DEPENDENCYPART_ARC
(15,12),0.774079 # DEPENDENCYPART_ARC
(15,13),0.602828 # DEPENDENCYPART_ARC
(15,14),2.11027 # DEPENDENCYPART_ARC
(16,1),-0.0644179 # DEPENDENCYPART_ARC
(16,2),-1.21774 # DEPENDENCYPART_ARC
(16,3),-1.10783 # DEPENDENCYPART_ARC
(16,4),-0.492024 # DEPENDENCYPART_ARC
(16,5),-0.366261 # DEPENDENCYPART_ARC
(16,10),-1.94203 # DEPENDENCYPART_ARC
(16,12),-0.905829 # DEPENDENCYPART_ARC
(16,13),-0.219336 # DEPENDENCYPART_ARC
(16,14),-1.18418 # DEPENDENCYPART_ARC
(16,15),1.44112 # DEPENDENCYPART_ARC
