# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=4,3,4,5,6,7,0,9,10,11,0,13,18,16,16,17,21,0,0,21,22,0,
(12,10),-0.0875427 # DEPENDENCYPART_ARC
(12,11),0.546579 # DEPENDENCYPART_ARC
(12,13),0.0134356 # DEPENDENCYPART_ARC
(12,14),0.425646 # DEPENDENCYPART_ARC
(12,15),-0.889702 # DEPENDENCYPART_ARC
(12,16),0.0435485 # DEPENDENCYPART_ARC
(12,17),0.17913 # DEPENDENCYPART_ARC
(12,18),-0.401789 # DEPENDENCYPART_ARC
(12,19),-0.516858 # DEPENDENCYPART_ARC
(12,20),-0.137381 # DEPENDENCYPART_ARC
(12,21),-0.293167 # DEPENDENCYPART_ARC
(12,22),-0.91003 # DEPENDENCYPART_ARC
(13,1),-0.0865514 # DEPENDENCYPART_ARC
(13,2),0.959404 # DEPENDENCYPART_ARC
(13,3),-4.51321 # DEPENDENCYPART_ARC
(13,4),-0.474219 # DEPENDENCYPART_ARC
(13,5),-1.00044 # DEPENDENCYPART_ARC
(13,6),-0.211536 # DEPENDENCYPART_ARC
(13,7),-0.727821 # DEPENDENCYPART_ARC
(13,8),-0.0650827 # DEPENDENCYPART_ARC
(13,9),-0.61428 # DEPENDENCYPART_ARC
(13,10),0.211673 # DEPENDENCYPART_ARC
(13,11),0.575175 # DEPENDENCYPART_ARC
(13,12),2.14997 # DEPENDENCYPART_ARC
(13,14),-0.32594 # DEPENDENCYPART_ARC
(13,15),-0.65142 # DEPENDENCYPART_ARC
(13,16),-0.38761 # DEPENDENCYPART_ARC
(13,17),0.717262 # DEPENDENCYPART_ARC
(13,18),-0.843188 # DEPENDENCYPART_ARC
(13,19),-0.932981 # DEPENDENCYPART_ARC
(13,20),-0.323891 # DEPENDENCYPART_ARC
(13,21),-1.46842 # DEPENDENCYPART_ARC
(13,22),-1.20367 # DEPENDENCYPART_ARC
(14,2),-1.48449 # DEPENDENCYPART_ARC
(14,4),-2.52367 # DEPENDENCYPART_ARC
(14,10),-1.09456 # DEPENDENCYPART_ARC
(14,11),-0.404852 # DEPENDENCYPART_ARC
(14,12),-0.198632 # DEPENDENCYPART_ARC
(14,13),1.17955 # DEPENDENCYPART_ARC
(14,15),0.086048 # DEPENDENCYPART_ARC
(14,16),-0.370305 # DEPENDENCYPART_ARC
(14,20),-0.628742 # DEPENDENCYPART_ARC
(15,10),-0.763372 # DEPENDENCYPART_ARC
(15,11),-0.121484 # DEPENDENCYPART_ARC
(15,12),-0.876309 # DEPENDENCYPART_ARC
(15,13),-0.273158 # DEPENDENCYPART_ARC
(15,14),1.18566 # DEPENDENCYPART_ARC
(15,17),0.0920419 # DEPENDENCYPART_ARC
(16,1),-0.0595049 # DEPENDENCYPART_ARC
(16,2),-0.34953 # DEPENDENCYPART_ARC
(16,5),-0.517573 # DEPENDENCYPART_ARC
(16,6),-0.465452 # DEPENDENCYPART_ARC
(16,7),-0.418495 # DEPENDENCYPART_ARC
(16,8),0.470691 # DEPENDENCYPART_ARC
(16,9),-0.180439 # DEPENDENCYPART_ARC
(16,10),0.266848 # DEPENDENCYPART_ARC
(16,11),0.392104 # DEPENDENCYPART_ARC
(16,12),-1.34113 # DEPENDENCYPART_ARC
(16,13),1.26081 # DEPENDENCYPART_ARC
(16,14),2.38172 # DEPENDENCYPART_ARC
(16,15),2.37579 # DEPENDENCYPART_ARC
(16,17),-0.587004 # DEPENDENCYPART_ARC
(17,2),-0.381236 # DEPENDENCYPART_ARC
(17,4),-0.895039 # DEPENDENCYPART_ARC
(17,5),0.25114 # DEPENDENCYPART_ARC
(17,6),-0.329199 # DEPENDENCYPART_ARC
(17,7),0.38843 # DEPENDENCYPART_ARC
(17,8),0.0757431 # DEPENDENCYPART_ARC
(17,9),0.573708 # DEPENDENCYPART_ARC
(17,10),-0.186919 # DEPENDENCYPART_ARC
(17,11),1.19183 # DEPENDENCYPART_ARC
(17,12),-1.67335 # DEPENDENCYPART_ARC
(17,13),1.28387 # DEPENDENCYPART_ARC
(17,14),1.32981 # DEPENDENCYPART_ARC
(17,15),0.890994 # DEPENDENCYPART_ARC
(17,16),2.9684 # DEPENDENCYPART_ARC
(17,18),-0.448329 # DEPENDENCYPART_ARC
(17,19),-0.81014 # DEPENDENCYPART_ARC
(17,20),-1.10754 # DEPENDENCYPART_ARC
(17,21),-1.58134 # DEPENDENCYPART_ARC
(18,3),-3.95297 # DEPENDENCYPART_ARC
(18,11),0.603409 # DEPENDENCYPART_ARC
(18,12),-1.48323 # DEPENDENCYPART_ARC
(18,13),1.48392 # DEPENDENCYPART_ARC
(18,14),0.398011 # DEPENDENCYPART_ARC
(18,15),-0.566916 # DEPENDENCYPART_ARC
(18,16),0.66716 # DEPENDENCYPART_ARC
(18,17),0.760022 # DEPENDENCYPART_ARC
(18,19),-0.254023 # DEPENDENCYPART_ARC
(18,20),-0.380226 # DEPENDENCYPART_ARC
(18,21),-0.454432 # DEPENDENCYPART_ARC
(18,22),-0.775886 # DEPENDENCYPART_ARC
(19,3),-4.25896 # DEPENDENCYPART_ARC
(19,12),-2.54993 # DEPENDENCYPART_ARC
(19,13),0.0287463 # DEPENDENCYPART_ARC
(19,14),-0.978313 # DEPENDENCYPART_ARC
(19,15),-1.92291 # DEPENDENCYPART_ARC
(19,16),-0.807686 # DEPENDENCYPART_ARC
(19,17),-0.820046 # DEPENDENCYPART_ARC
(19,18),0.604 # DEPENDENCYPART_ARC
(19,20),-0.896008 # DEPENDENCYPART_ARC
(19,21),-1.54997 # DEPENDENCYPART_ARC
(19,22),-1.60528 # DEPENDENCYPART_ARC
(20,14),0.19996 # DEPENDENCYPART_ARC
(20,16),0.638767 # DEPENDENCYPART_ARC
(20,17),0.412556 # DEPENDENCYPART_ARC
(20,18),1.44428 # DEPENDENCYPART_ARC
(20,19),1.74792 # DEPENDENCYPART_ARC
(21,1),0.272596 # DEPENDENCYPART_ARC
(21,2),-1.53 # DEPENDENCYPART_ARC
(21,4),0.180345 # DEPENDENCYPART_ARC
(21,5),-1.50188 # DEPENDENCYPART_ARC
(21,6),-0.192685 # DEPENDENCYPART_ARC
(21,7),-1.71666 # DEPENDENCYPART_ARC
(21,8),0.226955 # DEPENDENCYPART_ARC
(21,9),-1.22017 # DEPENDENCYPART_ARC
(21,10),0.195661 # DEPENDENCYPART_ARC
(21,11),-0.351568 # DEPENDENCYPART_ARC
(21,12),-3.8163 # DEPENDENCYPART_ARC
(21,13),-0.0536137 # DEPENDENCYPART_ARC
(21,14),0.254563 # DEPENDENCYPART_ARC
(21,15),-2.45237 # DEPENDENCYPART_ARC
(21,16),0.710117 # DEPENDENCYPART_ARC
(21,17),1.26036 # DEPENDENCYPART_ARC
(21,18),-0.895927 # DEPENDENCYPART_ARC
(21,19),0.428096 # DEPENDENCYPART_ARC
(21,20),2.29292 # DEPENDENCYPART_ARC
(21,22),-0.592861 # DEPENDENCYPART_ARC
(22,1),-1.05961 # DEPENDENCYPART_ARC
(22,3),-5.26817 # DEPENDENCYPART_ARC
(22,7),-1.21267 # DEPENDENCYPART_ARC
(22,12),-3.34214 # DEPENDENCYPART_ARC
(22,13),0.118243 # DEPENDENCYPART_ARC
(22,14),-0.696889 # DEPENDENCYPART_ARC
(22,15),-2.65158 # DEPENDENCYPART_ARC
(22,16),-0.497136 # DEPENDENCYPART_ARC
(22,17),-0.444517 # DEPENDENCYPART_ARC
(22,18),-0.150435 # DEPENDENCYPART_ARC
(22,19),-0.00427778 # DEPENDENCYPART_ARC
(22,20),-0.601154 # DEPENDENCYPART_ARC
(22,21),1.34746 # DEPENDENCYPART_ARC
