# _root_ Prens , " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye _ seslenince , cadı Rapunzel'den _ kestiği saç örgüsünü _ uzatmış aşağıya .
#goldHeads=17,0,0,5,6,9,0,9,14,12,12,13,0,16,0,17,18,27,0,27,22,23,25,25,27,27,29,27,0,
#predictedHeads=12,0,0,5,6,7,0,9,14,12,12,13,14,0,0,17,18,27,0,21,22,23,24,25,27,27,29,26,0,
(25,23),1.37556 # DEPENDENCYPART_ARC
(25,24),2.68128 # DEPENDENCYPART_ARC
(25,26),-0.270483 # DEPENDENCYPART_ARC
(25,28),0.0940567 # DEPENDENCYPART_ARC
(26,12),-0.788761 # DEPENDENCYPART_ARC
(26,13),-0.133782 # DEPENDENCYPART_ARC
(26,18),-0.506107 # DEPENDENCYPART_ARC
(26,20),0.178072 # DEPENDENCYPART_ARC
(26,21),0.456544 # DEPENDENCYPART_ARC
(26,22),-2.04153 # DEPENDENCYPART_ARC
(26,23),-0.284879 # DEPENDENCYPART_ARC
(26,24),1.31866 # DEPENDENCYPART_ARC
(26,25),1.66484 # DEPENDENCYPART_ARC
(26,27),0.0636004 # DEPENDENCYPART_ARC
(26,28),0.922153 # DEPENDENCYPART_ARC
(27,1),-1.00524 # DEPENDENCYPART_ARC
(27,2),-1.91989 # DEPENDENCYPART_ARC
(27,3),-2.6187 # DEPENDENCYPART_ARC
(27,4),-1.05692 # DEPENDENCYPART_ARC
(27,5),-1.60055 # DEPENDENCYPART_ARC
(27,6),-0.975004 # DEPENDENCYPART_ARC
(27,7),-0.215381 # DEPENDENCYPART_ARC
(27,8),-9.72402 # DEPENDENCYPART_ARC
(27,9),-1.33877 # DEPENDENCYPART_ARC
(27,10),-0.631761 # DEPENDENCYPART_ARC
(27,12),-0.706807 # DEPENDENCYPART_ARC
(27,13),0.404985 # DEPENDENCYPART_ARC
(27,14),-0.626527 # DEPENDENCYPART_ARC
(27,15),-1.38178 # DEPENDENCYPART_ARC
(27,16),-0.950937 # DEPENDENCYPART_ARC
(27,17),-6.28073 # DEPENDENCYPART_ARC
(27,18),0.321898 # DEPENDENCYPART_ARC
(27,19),-0.148307 # DEPENDENCYPART_ARC
(27,20),0.559693 # DEPENDENCYPART_ARC
(27,21),0.739198 # DEPENDENCYPART_ARC
(27,22),-2.89956 # DEPENDENCYPART_ARC
(27,23),-0.178681 # DEPENDENCYPART_ARC
(27,24),1.32838 # DEPENDENCYPART_ARC
(27,25),2.31796 # DEPENDENCYPART_ARC
(27,26),2.48638 # DEPENDENCYPART_ARC
(27,28),0.139579 # DEPENDENCYPART_ARC
(28,5),-1.47292 # DEPENDENCYPART_ARC
(28,14),-0.273917 # DEPENDENCYPART_ARC
(28,19),-1.19305 # DEPENDENCYPART_ARC
(28,20),-0.840368 # DEPENDENCYPART_ARC
(28,21),-1.52688 # DEPENDENCYPART_ARC
(28,22),-2.73768 # DEPENDENCYPART_ARC
(28,23),-0.623209 # DEPENDENCYPART_ARC
(28,24),-0.257984 # DEPENDENCYPART_ARC
(28,25),-1.65282 # DEPENDENCYPART_ARC
(28,26),-0.0915712 # DEPENDENCYPART_ARC
(28,27),0.343555 # DEPENDENCYPART_ARC
(29,1),-0.873411 # DEPENDENCYPART_ARC
(29,8),-6.6533 # DEPENDENCYPART_ARC
(29,9),0.627339 # DEPENDENCYPART_ARC
(29,11),-5.78964 # DEPENDENCYPART_ARC
(29,14),-0.262715 # DEPENDENCYPART_ARC
(29,15),-0.893239 # DEPENDENCYPART_ARC
(29,17),-4.26644 # DEPENDENCYPART_ARC
(29,18),-0.632616 # DEPENDENCYPART_ARC
(29,19),-0.39696 # DEPENDENCYPART_ARC
(29,20),0.253494 # DEPENDENCYPART_ARC
(29,21),0.0230607 # DEPENDENCYPART_ARC
(29,22),-2.51219 # DEPENDENCYPART_ARC
(29,24),0.100253 # DEPENDENCYPART_ARC
(29,25),0.072988 # DEPENDENCYPART_ARC
(29,26),-1.0051 # DEPENDENCYPART_ARC
(29,27),1.81802 # DEPENDENCYPART_ARC
(29,28),0.159763 # DEPENDENCYPART_ARC
