# _root_ Recep , pantolonunu giymiş , gömlek cebinden _ _ çıkardığı sigarayı ağzına koymuştu .
#goldHeads=13,0,4,5,13,7,9,9,10,11,13,13,14,0,
#predictedHeads=4,0,4,5,13,7,9,9,10,11,13,13,14,0,
(10,2),-0.537017 # DEPENDENCYPART_ARC
(10,3),0.236019 # DEPENDENCYPART_ARC
(10,5),-0.101067 # DEPENDENCYPART_ARC
(10,6),0.747696 # DEPENDENCYPART_ARC
(10,7),1.38401 # DEPENDENCYPART_ARC
(10,9),2.52253 # DEPENDENCYPART_ARC
(11,4),-0.972394 # DEPENDENCYPART_ARC
(11,5),-0.750528 # DEPENDENCYPART_ARC
(11,6),0.211938 # DEPENDENCYPART_ARC
(11,7),-0.045932 # DEPENDENCYPART_ARC
(11,8),-1.15613 # DEPENDENCYPART_ARC
(11,9),-0.650375 # DEPENDENCYPART_ARC
(11,10),2.08286 # DEPENDENCYPART_ARC
(11,12),-0.228592 # DEPENDENCYPART_ARC
(12,1),-0.809576 # DEPENDENCYPART_ARC
(12,2),-0.549635 # DEPENDENCYPART_ARC
(12,5),-0.380443 # DEPENDENCYPART_ARC
(12,6),0.662497 # DEPENDENCYPART_ARC
(12,7),-0.772657 # DEPENDENCYPART_ARC
(12,8),-1.75837 # DEPENDENCYPART_ARC
(12,9),-0.864329 # DEPENDENCYPART_ARC
(12,10),1.06591 # DEPENDENCYPART_ARC
(12,11),1.00387 # DEPENDENCYPART_ARC
(13,1),1.56233 # DEPENDENCYPART_ARC
(13,2),-0.99594 # DEPENDENCYPART_ARC
(13,3),-0.345131 # DEPENDENCYPART_ARC
(13,4),-0.501701 # DEPENDENCYPART_ARC
(13,5),1.36996 # DEPENDENCYPART_ARC
(13,6),1.34678 # DEPENDENCYPART_ARC
(13,7),0.950908 # DEPENDENCYPART_ARC
(13,8),-2.30166 # DEPENDENCYPART_ARC
(13,9),-1.8409 # DEPENDENCYPART_ARC
(13,10),0.0173984 # DEPENDENCYPART_ARC
(13,11),2.43336 # DEPENDENCYPART_ARC
(13,12),3.42243 # DEPENDENCYPART_ARC
(13,14),-0.85065 # DEPENDENCYPART_ARC
(14,2),-1.00511 # DEPENDENCYPART_ARC
(14,4),-0.636809 # DEPENDENCYPART_ARC
(14,5),-0.0935224 # DEPENDENCYPART_ARC
(14,6),-0.0594257 # DEPENDENCYPART_ARC
(14,7),-0.224517 # DEPENDENCYPART_ARC
(14,8),-2.97683 # DEPENDENCYPART_ARC
(14,9),-2.39976 # DEPENDENCYPART_ARC
(14,11),0.0928044 # DEPENDENCYPART_ARC
(14,12),-0.0935618 # DEPENDENCYPART_ARC
(14,13),1.2132 # DEPENDENCYPART_ARC
