# _root_ Bu yazarın dramlarında kişiler , durumlarına karşı_koymaz , onu _ _ değiştirmek için savaşmazlar .
#goldHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
#predictedHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
(7,1),-0.47479 # DEPENDENCYPART_ARC
(7,2),-0.725323 # DEPENDENCYPART_ARC
(7,3),0.896878 # DEPENDENCYPART_ARC
(7,4),0.933212 # DEPENDENCYPART_ARC
(7,5),0.254079 # DEPENDENCYPART_ARC
(7,6),3.14449 # DEPENDENCYPART_ARC
(7,8),-0.611167 # DEPENDENCYPART_ARC
(7,9),-0.0699619 # DEPENDENCYPART_ARC
(7,10),-1.07835 # DEPENDENCYPART_ARC
(7,11),-1.34387 # DEPENDENCYPART_ARC
(7,12),-1.03113 # DEPENDENCYPART_ARC
(7,13),-0.126601 # DEPENDENCYPART_ARC
(7,14),-0.962622 # DEPENDENCYPART_ARC
(7,15),-1.99103 # DEPENDENCYPART_ARC
(8,1),-0.757027 # DEPENDENCYPART_ARC
(8,4),-0.0190006 # DEPENDENCYPART_ARC
(8,5),-0.0381806 # DEPENDENCYPART_ARC
(8,6),0.48282 # DEPENDENCYPART_ARC
(8,7),1.3361 # DEPENDENCYPART_ARC
(8,10),-0.174394 # DEPENDENCYPART_ARC
(8,11),-0.120306 # DEPENDENCYPART_ARC
(8,14),-0.0274263 # DEPENDENCYPART_ARC
(8,15),-0.891024 # DEPENDENCYPART_ARC
(9,8),-0.313726 # DEPENDENCYPART_ARC
(10,1),-0.983424 # DEPENDENCYPART_ARC
(10,2),-0.51236 # DEPENDENCYPART_ARC
(10,3),-0.546391 # DEPENDENCYPART_ARC
(10,4),-0.472447 # DEPENDENCYPART_ARC
(10,6),-0.655053 # DEPENDENCYPART_ARC
(10,7),-0.713142 # DEPENDENCYPART_ARC
(10,8),0.570807 # DEPENDENCYPART_ARC
(10,9),1.51593 # DEPENDENCYPART_ARC
(10,11),-0.228422 # DEPENDENCYPART_ARC
(10,12),0.415046 # DEPENDENCYPART_ARC
(10,13),-0.327594 # DEPENDENCYPART_ARC
(10,14),-0.113699 # DEPENDENCYPART_ARC
(11,1),-0.333507 # DEPENDENCYPART_ARC
(11,2),0.268616 # DEPENDENCYPART_ARC
(11,3),-0.224777 # DEPENDENCYPART_ARC
(11,4),-0.402036 # DEPENDENCYPART_ARC
(11,5),-1.07465 # DEPENDENCYPART_ARC
(11,6),0.524174 # DEPENDENCYPART_ARC
(11,7),-1.00102 # DEPENDENCYPART_ARC
(11,8),0.445851 # DEPENDENCYPART_ARC
(11,9),2.49538 # DEPENDENCYPART_ARC
(11,10),2.43895 # DEPENDENCYPART_ARC
(11,12),-0.345207 # DEPENDENCYPART_ARC
(11,13),-0.657748 # DEPENDENCYPART_ARC
(12,2),-1.14848 # DEPENDENCYPART_ARC
(12,3),-1.28658 # DEPENDENCYPART_ARC
(12,4),-0.979838 # DEPENDENCYPART_ARC
(12,5),-0.0470622 # DEPENDENCYPART_ARC
(12,6),-0.642016 # DEPENDENCYPART_ARC
(12,8),0.0614486 # DEPENDENCYPART_ARC
(12,9),0.231212 # DEPENDENCYPART_ARC
(12,10),0.559724 # DEPENDENCYPART_ARC
(12,11),2.61793 # DEPENDENCYPART_ARC
(13,5),-0.154582 # DEPENDENCYPART_ARC
(13,6),-0.482701 # DEPENDENCYPART_ARC
(13,8),0.203936 # DEPENDENCYPART_ARC
(13,10),-0.344068 # DEPENDENCYPART_ARC
(13,11),0.117317 # DEPENDENCYPART_ARC
(13,12),3.30888 # DEPENDENCYPART_ARC
(14,2),-1.51646 # DEPENDENCYPART_ARC
(14,3),0.186584 # DEPENDENCYPART_ARC
(14,4),-0.0785728 # DEPENDENCYPART_ARC
(14,5),-0.914468 # DEPENDENCYPART_ARC
(14,6),0.171302 # DEPENDENCYPART_ARC
(14,7),-1.16877 # DEPENDENCYPART_ARC
(14,8),1.31983 # DEPENDENCYPART_ARC
(14,9),1.33659 # DEPENDENCYPART_ARC
(14,10),-1.08606 # DEPENDENCYPART_ARC
(14,11),-0.0946783 # DEPENDENCYPART_ARC
(14,12),1.4389 # DEPENDENCYPART_ARC
(14,13),1.90515 # DEPENDENCYPART_ARC
(14,15),-0.615145 # DEPENDENCYPART_ARC
(15,1),-0.236434 # DEPENDENCYPART_ARC
(15,2),-0.249039 # DEPENDENCYPART_ARC
(15,3),-0.31942 # DEPENDENCYPART_ARC
(15,7),-0.56653 # DEPENDENCYPART_ARC
(15,8),0.0614375 # DEPENDENCYPART_ARC
(15,10),-2.10376 # DEPENDENCYPART_ARC
(15,11),-1.52845 # DEPENDENCYPART_ARC
(15,12),-0.0120106 # DEPENDENCYPART_ARC
(15,13),-0.516583 # DEPENDENCYPART_ARC
(15,14),1.38563 # DEPENDENCYPART_ARC
