# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,9,5,8,8,8,9,10,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,28,26,0,33,31,33,33,34,0,
(31,30),1.66107 # DEPENDENCYPART_ARC
(31,32),0.0268514 # DEPENDENCYPART_ARC
(32,2),0.196682 # DEPENDENCYPART_ARC
(32,19),-1.0156 # DEPENDENCYPART_ARC
(32,22),-1.04652 # DEPENDENCYPART_ARC
(32,23),-4.14211 # DEPENDENCYPART_ARC
(32,24),-0.879629 # DEPENDENCYPART_ARC
(32,25),-0.353129 # DEPENDENCYPART_ARC
(32,26),-0.657598 # DEPENDENCYPART_ARC
(32,27),-0.957292 # DEPENDENCYPART_ARC
(32,28),-0.266537 # DEPENDENCYPART_ARC
(32,29),1.10012 # DEPENDENCYPART_ARC
(32,30),0.175179 # DEPENDENCYPART_ARC
(32,31),1.56331 # DEPENDENCYPART_ARC
(32,33),0.242075 # DEPENDENCYPART_ARC
(33,1),-0.141127 # DEPENDENCYPART_ARC
(33,2),-0.074577 # DEPENDENCYPART_ARC
(33,3),-0.659721 # DEPENDENCYPART_ARC
(33,4),-0.324472 # DEPENDENCYPART_ARC
(33,5),0.29215 # DEPENDENCYPART_ARC
(33,6),-1.0276 # DEPENDENCYPART_ARC
(33,7),-12.1006 # DEPENDENCYPART_ARC
(33,8),-12.4865 # DEPENDENCYPART_ARC
(33,9),-0.0699922 # DEPENDENCYPART_ARC
(33,10),-0.505606 # DEPENDENCYPART_ARC
(33,11),-1.19727 # DEPENDENCYPART_ARC
(33,13),0.0936342 # DEPENDENCYPART_ARC
(33,14),0.501212 # DEPENDENCYPART_ARC
(33,15),-0.428481 # DEPENDENCYPART_ARC
(33,16),-1.22086 # DEPENDENCYPART_ARC
(33,17),-0.944278 # DEPENDENCYPART_ARC
(33,19),0.110003 # DEPENDENCYPART_ARC
(33,20),-6.21822 # DEPENDENCYPART_ARC
(33,21),-6.82336 # DEPENDENCYPART_ARC
(33,22),0.703552 # DEPENDENCYPART_ARC
(33,23),-4.92756 # DEPENDENCYPART_ARC
(33,24),-0.365597 # DEPENDENCYPART_ARC
(33,25),0.0637011 # DEPENDENCYPART_ARC
(33,26),-0.463649 # DEPENDENCYPART_ARC
(33,27),-0.578483 # DEPENDENCYPART_ARC
(33,28),0.104504 # DEPENDENCYPART_ARC
(33,29),2.14976 # DEPENDENCYPART_ARC
(33,30),0.0478109 # DEPENDENCYPART_ARC
(33,31),2.85134 # DEPENDENCYPART_ARC
(33,32),2.23206 # DEPENDENCYPART_ARC
(34,6),-1.5692 # DEPENDENCYPART_ARC
(34,7),-8.03999 # DEPENDENCYPART_ARC
(34,8),-8.12278 # DEPENDENCYPART_ARC
(34,9),-1.29036 # DEPENDENCYPART_ARC
(34,15),-1.70642 # DEPENDENCYPART_ARC
(34,16),-1.64444 # DEPENDENCYPART_ARC
(34,17),-1.77384 # DEPENDENCYPART_ARC
(34,20),-4.55727 # DEPENDENCYPART_ARC
(34,21),-4.11365 # DEPENDENCYPART_ARC
(34,23),-3.61525 # DEPENDENCYPART_ARC
(34,24),-1.04985 # DEPENDENCYPART_ARC
(34,25),-0.197746 # DEPENDENCYPART_ARC
(34,27),-0.844586 # DEPENDENCYPART_ARC
(34,28),-0.0862115 # DEPENDENCYPART_ARC
(34,29),0.000321431 # DEPENDENCYPART_ARC
(34,30),0.0496953 # DEPENDENCYPART_ARC
(34,31),0.212099 # DEPENDENCYPART_ARC
(34,32),-0.868673 # DEPENDENCYPART_ARC
(34,33),1.56851 # DEPENDENCYPART_ARC
