# _root_ Sayın Bila bana , bu _ konuşmayla ilgili izlenimlerini köşesinde _ yazacağını ifade_etti , _ dediği gibi de yaptı .
#goldHeads=2,19,13,0,7,7,8,9,12,12,12,13,14,19,16,17,19,17,20,0,
#predictedHeads=2,13,4,0,7,7,8,9,11,11,12,13,14,19,16,17,19,17,20,0,
(12,10),1.76044 # DEPENDENCYPART_ARC
(12,11),2.36108 # DEPENDENCYPART_ARC
(13,1),-0.536542 # DEPENDENCYPART_ARC
(13,2),1.57302 # DEPENDENCYPART_ARC
(13,3),0.0384934 # DEPENDENCYPART_ARC
(13,4),0.121139 # DEPENDENCYPART_ARC
(13,5),0.135683 # DEPENDENCYPART_ARC
(13,6),-4.55414 # DEPENDENCYPART_ARC
(13,7),1.31014 # DEPENDENCYPART_ARC
(13,8),1.42955 # DEPENDENCYPART_ARC
(13,9),1.41441 # DEPENDENCYPART_ARC
(13,10),1.61608 # DEPENDENCYPART_ARC
(13,11),-0.179485 # DEPENDENCYPART_ARC
(13,12),2.91312 # DEPENDENCYPART_ARC
(13,14),-0.340431 # DEPENDENCYPART_ARC
(13,15),-1.054 # DEPENDENCYPART_ARC
(13,17),0.113967 # DEPENDENCYPART_ARC
(13,19),-1.87872 # DEPENDENCYPART_ARC
(13,20),-2.05634 # DEPENDENCYPART_ARC
(14,5),-0.710062 # DEPENDENCYPART_ARC
(14,6),-3.06666 # DEPENDENCYPART_ARC
(14,7),0.101434 # DEPENDENCYPART_ARC
(14,8),0.230143 # DEPENDENCYPART_ARC
(14,10),0.171389 # DEPENDENCYPART_ARC
(14,11),-1.10646 # DEPENDENCYPART_ARC
(14,13),1.71247 # DEPENDENCYPART_ARC
(14,15),-0.0465236 # DEPENDENCYPART_ARC
(14,17),0.230491 # DEPENDENCYPART_ARC
(14,19),-0.0329993 # DEPENDENCYPART_ARC
(14,20),-0.616208 # DEPENDENCYPART_ARC
(15,2),-0.388227 # DEPENDENCYPART_ARC
(15,5),-0.567526 # DEPENDENCYPART_ARC
(15,7),-0.723536 # DEPENDENCYPART_ARC
(15,8),-1.08548 # DEPENDENCYPART_ARC
(15,9),-0.114213 # DEPENDENCYPART_ARC
(15,10),-0.408278 # DEPENDENCYPART_ARC
(15,12),-0.057182 # DEPENDENCYPART_ARC
(15,13),-0.803244 # DEPENDENCYPART_ARC
(15,14),0.891968 # DEPENDENCYPART_ARC
(15,17),-0.0598191 # DEPENDENCYPART_ARC
(15,18),0.457405 # DEPENDENCYPART_ARC
(15,19),-1.27646 # DEPENDENCYPART_ARC
(16,2),-0.787736 # DEPENDENCYPART_ARC
(16,4),-0.54084 # DEPENDENCYPART_ARC
(16,8),-0.633235 # DEPENDENCYPART_ARC
(16,9),-0.0707858 # DEPENDENCYPART_ARC
(16,10),-0.318453 # DEPENDENCYPART_ARC
(16,14),0.181912 # DEPENDENCYPART_ARC
(16,15),2.46145 # DEPENDENCYPART_ARC
(17,9),-1.23274 # DEPENDENCYPART_ARC
(17,10),-0.66259 # DEPENDENCYPART_ARC
(17,12),-0.600544 # DEPENDENCYPART_ARC
(17,13),-0.171662 # DEPENDENCYPART_ARC
(17,14),0.434129 # DEPENDENCYPART_ARC
(17,15),0.204165 # DEPENDENCYPART_ARC
(17,16),2.33089 # DEPENDENCYPART_ARC
(17,18),1.60649 # DEPENDENCYPART_ARC
(18,11),-0.906412 # DEPENDENCYPART_ARC
(18,13),-0.590499 # DEPENDENCYPART_ARC
(18,15),-0.18204 # DEPENDENCYPART_ARC
(18,17),0.826637 # DEPENDENCYPART_ARC
(19,1),-0.717976 # DEPENDENCYPART_ARC
(19,2),0.942519 # DEPENDENCYPART_ARC
(19,3),-0.35916 # DEPENDENCYPART_ARC
(19,4),-0.359858 # DEPENDENCYPART_ARC
(19,6),-7.18222 # DEPENDENCYPART_ARC
(19,7),-0.115597 # DEPENDENCYPART_ARC
(19,8),-0.209541 # DEPENDENCYPART_ARC
(19,9),-0.262813 # DEPENDENCYPART_ARC
(19,10),0.0361912 # DEPENDENCYPART_ARC
(19,11),-3.63607 # DEPENDENCYPART_ARC
(19,12),-0.0829549 # DEPENDENCYPART_ARC
(19,13),-0.962794 # DEPENDENCYPART_ARC
(19,14),1.90874 # DEPENDENCYPART_ARC
(19,15),-0.311373 # DEPENDENCYPART_ARC
(19,16),0.280676 # DEPENDENCYPART_ARC
(19,17),1.69636 # DEPENDENCYPART_ARC
(19,18),0.482489 # DEPENDENCYPART_ARC
(19,20),-0.47193 # DEPENDENCYPART_ARC
(20,1),-1.35578 # DEPENDENCYPART_ARC
(20,2),-0.326953 # DEPENDENCYPART_ARC
(20,5),-0.907694 # DEPENDENCYPART_ARC
(20,6),-4.7258 # DEPENDENCYPART_ARC
(20,11),-2.79643 # DEPENDENCYPART_ARC
(20,13),-0.550904 # DEPENDENCYPART_ARC
(20,14),0.0566589 # DEPENDENCYPART_ARC
(20,15),-1.03134 # DEPENDENCYPART_ARC
(20,17),-0.282257 # DEPENDENCYPART_ARC
(20,18),-0.0679687 # DEPENDENCYPART_ARC
(20,19),1.43027 # DEPENDENCYPART_ARC
