# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,14,10,11,13,13,14,15,20,17,20,20,20,21,0,
(17,15),0.143107 # DEPENDENCYPART_ARC
(17,16),2.52838 # DEPENDENCYPART_ARC
(17,19),-0.865435 # DEPENDENCYPART_ARC
(18,6),-1.66734 # DEPENDENCYPART_ARC
(18,9),-1.71369 # DEPENDENCYPART_ARC
(18,11),-1.26089 # DEPENDENCYPART_ARC
(18,12),-0.971806 # DEPENDENCYPART_ARC
(18,13),-1.73099 # DEPENDENCYPART_ARC
(18,14),-1.36057 # DEPENDENCYPART_ARC
(18,15),-0.663222 # DEPENDENCYPART_ARC
(18,16),0.178611 # DEPENDENCYPART_ARC
(18,17),-0.137755 # DEPENDENCYPART_ARC
(18,19),-0.282923 # DEPENDENCYPART_ARC
(19,15),-0.181597 # DEPENDENCYPART_ARC
(19,17),-0.56748 # DEPENDENCYPART_ARC
(19,18),-0.813161 # DEPENDENCYPART_ARC
(20,1),0.049895 # DEPENDENCYPART_ARC
(20,2),-1.04545 # DEPENDENCYPART_ARC
(20,5),-7.66008 # DEPENDENCYPART_ARC
(20,7),-0.561287 # DEPENDENCYPART_ARC
(20,8),-0.184051 # DEPENDENCYPART_ARC
(20,9),-0.620465 # DEPENDENCYPART_ARC
(20,10),-4.72998 # DEPENDENCYPART_ARC
(20,11),-0.756602 # DEPENDENCYPART_ARC
(20,12),-0.895068 # DEPENDENCYPART_ARC
(20,13),-0.382312 # DEPENDENCYPART_ARC
(20,14),-0.400301 # DEPENDENCYPART_ARC
(20,15),1.55247 # DEPENDENCYPART_ARC
(20,16),-0.875813 # DEPENDENCYPART_ARC
(20,17),1.32099 # DEPENDENCYPART_ARC
(20,18),1.9936 # DEPENDENCYPART_ARC
(20,19),2.56312 # DEPENDENCYPART_ARC
(20,21),-0.77196 # DEPENDENCYPART_ARC
(21,5),-5.20677 # DEPENDENCYPART_ARC
(21,6),-1.41394 # DEPENDENCYPART_ARC
(21,9),-1.51023 # DEPENDENCYPART_ARC
(21,10),-3.56616 # DEPENDENCYPART_ARC
(21,11),-1.61013 # DEPENDENCYPART_ARC
(21,12),-0.546 # DEPENDENCYPART_ARC
(21,13),-0.250154 # DEPENDENCYPART_ARC
(21,14),-0.247629 # DEPENDENCYPART_ARC
(21,15),-0.0531974 # DEPENDENCYPART_ARC
(21,16),-1.84798 # DEPENDENCYPART_ARC
(21,17),-0.150536 # DEPENDENCYPART_ARC
(21,18),0.137587 # DEPENDENCYPART_ARC
(21,19),-0.104392 # DEPENDENCYPART_ARC
(21,20),1.19933 # DEPENDENCYPART_ARC
