# _root_ Ormanda atını oradan oraya sürmüş ve kuleye varmış sonunda . Fakat sağa bakmış , sola bakmış , ne merdiven görmüş ne de yukarıya _ _ çıkılacak başka bir şey .
#goldHeads=5,5,5,5,6,8,8,10,8,13,13,13,14,16,16,17,20,19,20,30,29,21,24,25,26,29,29,29,18,0,
#predictedHeads=2,5,5,5,6,8,8,10,8,0,13,13,14,16,16,17,20,20,20,21,26,21,25,25,26,29,29,29,30,0,
(15,28),-0.470862 # DEPENDENCYPART_ARC
(16,1),-0.0176163 # DEPENDENCYPART_ARC
(16,2),0.0380405 # DEPENDENCYPART_ARC
(16,3),-0.219339 # DEPENDENCYPART_ARC
(16,4),0.0545958 # DEPENDENCYPART_ARC
(16,5),-0.606439 # DEPENDENCYPART_ARC
(16,6),0.672459 # DEPENDENCYPART_ARC
(16,7),0.184556 # DEPENDENCYPART_ARC
(16,8),-0.693691 # DEPENDENCYPART_ARC
(16,9),0.554657 # DEPENDENCYPART_ARC
(16,10),-0.0285265 # DEPENDENCYPART_ARC
(16,11),0.251732 # DEPENDENCYPART_ARC
(16,12),0.718978 # DEPENDENCYPART_ARC
(16,13),-0.131936 # DEPENDENCYPART_ARC
(16,14),1.67934 # DEPENDENCYPART_ARC
(16,15),2.97712 # DEPENDENCYPART_ARC
(16,17),-0.703588 # DEPENDENCYPART_ARC
(16,18),-0.611058 # DEPENDENCYPART_ARC
(16,19),-1.1258 # DEPENDENCYPART_ARC
(16,20),-2.07151 # DEPENDENCYPART_ARC
(16,25),-1.83643 # DEPENDENCYPART_ARC
(16,29),-1.06804 # DEPENDENCYPART_ARC
(17,5),-1.35833 # DEPENDENCYPART_ARC
(17,8),-1.06042 # DEPENDENCYPART_ARC
(17,11),-0.350883 # DEPENDENCYPART_ARC
(17,13),-0.610259 # DEPENDENCYPART_ARC
(17,14),0.219758 # DEPENDENCYPART_ARC
(17,15),0.181867 # DEPENDENCYPART_ARC
(17,16),1.04242 # DEPENDENCYPART_ARC
(17,18),-0.328482 # DEPENDENCYPART_ARC
(17,24),-0.724018 # DEPENDENCYPART_ARC
(17,25),-0.591175 # DEPENDENCYPART_ARC
(17,29),-1.14183 # DEPENDENCYPART_ARC
(18,13),-0.217142 # DEPENDENCYPART_ARC
(18,15),-0.345771 # DEPENDENCYPART_ARC
(18,16),0.449833 # DEPENDENCYPART_ARC
(18,17),0.111071 # DEPENDENCYPART_ARC
(18,19),-0.334903 # DEPENDENCYPART_ARC
(19,15),-1.34479 # DEPENDENCYPART_ARC
(19,16),-0.573622 # DEPENDENCYPART_ARC
(19,17),-0.0781618 # DEPENDENCYPART_ARC
(19,18),0.0571511 # DEPENDENCYPART_ARC
(19,21),0.0363745 # DEPENDENCYPART_ARC
(19,22),-0.0597452 # DEPENDENCYPART_ARC
(19,28),-0.473279 # DEPENDENCYPART_ARC
(20,1),-0.351195 # DEPENDENCYPART_ARC
(20,2),-0.0575513 # DEPENDENCYPART_ARC
(20,3),-0.346078 # DEPENDENCYPART_ARC
(20,4),0.563158 # DEPENDENCYPART_ARC
(20,5),-1.02141 # DEPENDENCYPART_ARC
(20,6),-0.502126 # DEPENDENCYPART_ARC
(20,7),-0.0406079 # DEPENDENCYPART_ARC
(20,8),-1.10979 # DEPENDENCYPART_ARC
(20,9),-0.0373991 # DEPENDENCYPART_ARC
(20,10),-0.335299 # DEPENDENCYPART_ARC
(20,11),0.197776 # DEPENDENCYPART_ARC
(20,12),0.159015 # DEPENDENCYPART_ARC
(20,13),-0.76506 # DEPENDENCYPART_ARC
(20,14),0.501248 # DEPENDENCYPART_ARC
(20,15),0.389682 # DEPENDENCYPART_ARC
(20,16),-0.561009 # DEPENDENCYPART_ARC
(20,17),1.40421 # DEPENDENCYPART_ARC
(20,18),0.236434 # DEPENDENCYPART_ARC
(20,19),2.98683 # DEPENDENCYPART_ARC
(20,21),0.527523 # DEPENDENCYPART_ARC
(20,22),0.0927065 # DEPENDENCYPART_ARC
(20,23),-0.409269 # DEPENDENCYPART_ARC
(20,24),-1.13773 # DEPENDENCYPART_ARC
(20,25),-1.69104 # DEPENDENCYPART_ARC
(20,29),-0.0812418 # DEPENDENCYPART_ARC
(21,16),-0.0327261 # DEPENDENCYPART_ARC
(21,18),0.222875 # DEPENDENCYPART_ARC
(21,19),0.806684 # DEPENDENCYPART_ARC
(21,20),2.10132 # DEPENDENCYPART_ARC
(21,22),1.91586 # DEPENDENCYPART_ARC
(21,23),0.170978 # DEPENDENCYPART_ARC
(22,18),-0.826869 # DEPENDENCYPART_ARC
(22,19),-0.745357 # DEPENDENCYPART_ARC
(22,20),0.114964 # DEPENDENCYPART_ARC
(22,21),0.00387235 # DEPENDENCYPART_ARC
(22,23),-0.435677 # DEPENDENCYPART_ARC
(23,19),-0.379609 # DEPENDENCYPART_ARC
(23,20),-0.942237 # DEPENDENCYPART_ARC
(23,21),-0.283401 # DEPENDENCYPART_ARC
(23,22),-0.39241 # DEPENDENCYPART_ARC
(23,24),0.168763 # DEPENDENCYPART_ARC
(23,25),-0.808309 # DEPENDENCYPART_ARC
(23,26),0.154635 # DEPENDENCYPART_ARC
(23,27),-0.242472 # DEPENDENCYPART_ARC
(23,28),-0.524304 # DEPENDENCYPART_ARC
(23,29),-0.616485 # DEPENDENCYPART_ARC
(24,9),0.112496 # DEPENDENCYPART_ARC
(24,17),-0.0698412 # DEPENDENCYPART_ARC
(24,19),-0.00879819 # DEPENDENCYPART_ARC
(24,20),-0.388641 # DEPENDENCYPART_ARC
(24,21),-0.25018 # DEPENDENCYPART_ARC
(24,22),-0.460078 # DEPENDENCYPART_ARC
(24,23),1.10571 # DEPENDENCYPART_ARC
(24,27),-0.556146 # DEPENDENCYPART_ARC
(24,29),0.175595 # DEPENDENCYPART_ARC
(25,3),0.720745 # DEPENDENCYPART_ARC
(25,4),2.01632 # DEPENDENCYPART_ARC
(25,6),-1.24784 # DEPENDENCYPART_ARC
(25,7),-0.101034 # DEPENDENCYPART_ARC
(25,9),0.44473 # DEPENDENCYPART_ARC
(25,10),-0.951776 # DEPENDENCYPART_ARC
(25,12),-0.0660429 # DEPENDENCYPART_ARC
(25,14),-1.25252 # DEPENDENCYPART_ARC
(25,15),0.14793 # DEPENDENCYPART_ARC
(25,16),-0.925169 # DEPENDENCYPART_ARC
(25,17),-0.266435 # DEPENDENCYPART_ARC
(25,18),-1.34855 # DEPENDENCYPART_ARC
(25,19),0.542212 # DEPENDENCYPART_ARC
(25,20),-0.338798 # DEPENDENCYPART_ARC
(25,21),-0.223827 # DEPENDENCYPART_ARC
(25,22),-0.609889 # DEPENDENCYPART_ARC
(25,23),1.64085 # DEPENDENCYPART_ARC
(25,24),2.74378 # DEPENDENCYPART_ARC
(25,27),-0.529085 # DEPENDENCYPART_ARC
(25,29),-0.725646 # DEPENDENCYPART_ARC
(26,14),-0.445525 # DEPENDENCYPART_ARC
(26,17),-0.00558022 # DEPENDENCYPART_ARC
(26,19),0.575729 # DEPENDENCYPART_ARC
(26,21),0.379367 # DEPENDENCYPART_ARC
(26,22),0.200158 # DEPENDENCYPART_ARC
(26,23),1.22965 # DEPENDENCYPART_ARC
(26,24),0.799639 # DEPENDENCYPART_ARC
(26,25),2.2819 # DEPENDENCYPART_ARC
(27,21),-0.403881 # DEPENDENCYPART_ARC
(27,22),-0.85709 # DEPENDENCYPART_ARC
(27,23),-0.0211348 # DEPENDENCYPART_ARC
(27,24),-0.650727 # DEPENDENCYPART_ARC
(27,25),0.259733 # DEPENDENCYPART_ARC
(27,26),0.0187646 # DEPENDENCYPART_ARC
(27,29),-0.308373 # DEPENDENCYPART_ARC
(28,27),0.133799 # DEPENDENCYPART_ARC
(29,10),0.290811 # DEPENDENCYPART_ARC
(29,12),-0.790336 # DEPENDENCYPART_ARC
(29,14),0.187891 # DEPENDENCYPART_ARC
(29,15),-0.877476 # DEPENDENCYPART_ARC
(29,17),0.429469 # DEPENDENCYPART_ARC
(29,18),-0.110487 # DEPENDENCYPART_ARC
(29,19),0.193972 # DEPENDENCYPART_ARC
(29,21),0.0875818 # DEPENDENCYPART_ARC
(29,22),-0.410666 # DEPENDENCYPART_ARC
(29,23),0.119785 # DEPENDENCYPART_ARC
(29,24),-0.994395 # DEPENDENCYPART_ARC
(29,25),-0.631433 # DEPENDENCYPART_ARC
(29,26),1.76181 # DEPENDENCYPART_ARC
(29,27),2.42978 # DEPENDENCYPART_ARC
(29,28),2.47153 # DEPENDENCYPART_ARC
(29,30),-0.0559465 # DEPENDENCYPART_ARC
(30,5),-0.299347 # DEPENDENCYPART_ARC
(30,8),-0.237737 # DEPENDENCYPART_ARC
(30,9),-1.68497 # DEPENDENCYPART_ARC
(30,11),0.606144 # DEPENDENCYPART_ARC
(30,13),0.147917 # DEPENDENCYPART_ARC
(30,16),0.225578 # DEPENDENCYPART_ARC
(30,17),-0.239807 # DEPENDENCYPART_ARC
(30,18),-0.708376 # DEPENDENCYPART_ARC
(30,20),0.186196 # DEPENDENCYPART_ARC
(30,21),-0.834902 # DEPENDENCYPART_ARC
(30,22),-0.507689 # DEPENDENCYPART_ARC
(30,23),0.145233 # DEPENDENCYPART_ARC
(30,24),-1.89384 # DEPENDENCYPART_ARC
(30,25),-1.12985 # DEPENDENCYPART_ARC
(30,27),-0.079296 # DEPENDENCYPART_ARC
(30,28),-0.0176415 # DEPENDENCYPART_ARC
(30,29),0.457784 # DEPENDENCYPART_ARC
