# _root_ Böyle _ önemli bir görevin başına _ _ getirilen kişi , eski _ sakallı fotoğrafından da _ anlaşılıyor ki , bir bütün bürokrasiye _ _ yayılan zihniyetin bir örneği _ olabilir .
#goldHeads=3,3,5,5,6,8,8,9,10,31,0,15,14,15,18,15,18,31,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
#predictedHeads=3,3,5,5,6,8,8,9,10,11,0,13,14,15,18,15,18,20,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
(17,30),-1.53326 # DEPENDENCYPART_ARC
(17,31),-0.354962 # DEPENDENCYPART_ARC
(18,1),-1.53209 # DEPENDENCYPART_ARC
(18,2),-7.99603 # DEPENDENCYPART_ARC
(18,3),-0.994363 # DEPENDENCYPART_ARC
(18,5),-1.33111 # DEPENDENCYPART_ARC
(18,6),0.0501355 # DEPENDENCYPART_ARC
(18,7),-5.36897 # DEPENDENCYPART_ARC
(18,8),-5.59403 # DEPENDENCYPART_ARC
(18,9),-0.83944 # DEPENDENCYPART_ARC
(18,10),0.303568 # DEPENDENCYPART_ARC
(18,11),0.198894 # DEPENDENCYPART_ARC
(18,12),-0.386254 # DEPENDENCYPART_ARC
(18,13),-0.802255 # DEPENDENCYPART_ARC
(18,14),0.488055 # DEPENDENCYPART_ARC
(18,15),1.54795 # DEPENDENCYPART_ARC
(18,16),0.0492023 # DEPENDENCYPART_ARC
(18,17),1.81503 # DEPENDENCYPART_ARC
(18,19),1.34156 # DEPENDENCYPART_ARC
(18,20),-0.709531 # DEPENDENCYPART_ARC
(18,21),-0.696142 # DEPENDENCYPART_ARC
(18,23),-1.95356 # DEPENDENCYPART_ARC
(18,24),-1.21495 # DEPENDENCYPART_ARC
(18,25),-1.70294 # DEPENDENCYPART_ARC
(18,27),-3.31149 # DEPENDENCYPART_ARC
(18,29),-1.24385 # DEPENDENCYPART_ARC
(18,30),-1.76558 # DEPENDENCYPART_ARC
(18,31),-1.53732 # DEPENDENCYPART_ARC
(19,13),-1.64415 # DEPENDENCYPART_ARC
(19,15),-0.947672 # DEPENDENCYPART_ARC
(19,16),-0.888369 # DEPENDENCYPART_ARC
(19,17),-0.926882 # DEPENDENCYPART_ARC
(19,18),0.118055 # DEPENDENCYPART_ARC
(20,8),-3.80853 # DEPENDENCYPART_ARC
(20,9),-1.42174 # DEPENDENCYPART_ARC
(20,12),-1.15635 # DEPENDENCYPART_ARC
(20,14),-0.697975 # DEPENDENCYPART_ARC
(20,15),-0.211551 # DEPENDENCYPART_ARC
(20,16),-1.53647 # DEPENDENCYPART_ARC
(20,17),-1.29948 # DEPENDENCYPART_ARC
(20,18),0.376241 # DEPENDENCYPART_ARC
(20,19),-0.740587 # DEPENDENCYPART_ARC
(20,25),-1.42007 # DEPENDENCYPART_ARC
(20,30),-1.6248 # DEPENDENCYPART_ARC
(20,31),-1.56591 # DEPENDENCYPART_ARC
(21,20),-0.0869487 # DEPENDENCYPART_ARC
(22,13),-1.30738 # DEPENDENCYPART_ARC
(22,17),-0.921887 # DEPENDENCYPART_ARC
(22,18),-0.944495 # DEPENDENCYPART_ARC
(22,19),-0.907166 # DEPENDENCYPART_ARC
(22,20),0.0551995 # DEPENDENCYPART_ARC
(22,21),0.787716 # DEPENDENCYPART_ARC
(22,27),-0.357011 # DEPENDENCYPART_ARC
(22,29),-0.458212 # DEPENDENCYPART_ARC
(23,3),-0.550797 # DEPENDENCYPART_ARC
(23,9),-0.760962 # DEPENDENCYPART_ARC
(23,11),-0.064291 # DEPENDENCYPART_ARC
(23,12),-1.21149 # DEPENDENCYPART_ARC
(23,14),-0.762286 # DEPENDENCYPART_ARC
(23,16),-0.78697 # DEPENDENCYPART_ARC
(23,17),-1.54208 # DEPENDENCYPART_ARC
(23,18),-1.47535 # DEPENDENCYPART_ARC
(23,19),-0.737716 # DEPENDENCYPART_ARC
(23,20),0.0238528 # DEPENDENCYPART_ARC
(23,21),0.150819 # DEPENDENCYPART_ARC
(23,22),2.17308 # DEPENDENCYPART_ARC
(23,24),0.0224654 # DEPENDENCYPART_ARC
(23,25),-0.992989 # DEPENDENCYPART_ARC
(23,28),-0.716141 # DEPENDENCYPART_ARC
(23,29),-0.53048 # DEPENDENCYPART_ARC
(24,10),-0.315733 # DEPENDENCYPART_ARC
(24,15),-0.529197 # DEPENDENCYPART_ARC
(24,17),-3.79441 # DEPENDENCYPART_ARC
(24,18),-0.960491 # DEPENDENCYPART_ARC
(24,20),-0.158411 # DEPENDENCYPART_ARC
(24,21),0.200479 # DEPENDENCYPART_ARC
(24,22),-0.381939 # DEPENDENCYPART_ARC
(24,23),1.20079 # DEPENDENCYPART_ARC
(24,27),-0.0388302 # DEPENDENCYPART_ARC
(24,29),-0.544637 # DEPENDENCYPART_ARC
(24,30),-1.02061 # DEPENDENCYPART_ARC
(25,5),-0.0283113 # DEPENDENCYPART_ARC
(25,6),-0.93615 # DEPENDENCYPART_ARC
(25,10),-0.610033 # DEPENDENCYPART_ARC
(25,13),-6.73381 # DEPENDENCYPART_ARC
(25,15),-0.0168194 # DEPENDENCYPART_ARC
(25,17),-4.17502 # DEPENDENCYPART_ARC
(25,18),-1.56924 # DEPENDENCYPART_ARC
(25,19),-0.609572 # DEPENDENCYPART_ARC
(25,20),-0.276034 # DEPENDENCYPART_ARC
(25,21),0.0833249 # DEPENDENCYPART_ARC
(25,22),-0.113954 # DEPENDENCYPART_ARC
(25,23),1.80048 # DEPENDENCYPART_ARC
(25,24),2.6328 # DEPENDENCYPART_ARC
(25,27),-1.45638 # DEPENDENCYPART_ARC
(25,29),-0.976339 # DEPENDENCYPART_ARC
(25,30),-1.82086 # DEPENDENCYPART_ARC
(26,15),0.109551 # DEPENDENCYPART_ARC
(26,19),-0.169892 # DEPENDENCYPART_ARC
(26,20),0.226917 # DEPENDENCYPART_ARC
(26,21),0.207014 # DEPENDENCYPART_ARC
(26,22),0.297665 # DEPENDENCYPART_ARC
(26,23),1.3102 # DEPENDENCYPART_ARC
(26,24),0.634981 # DEPENDENCYPART_ARC
(26,25),2.18953 # DEPENDENCYPART_ARC
(27,12),-1.24647 # DEPENDENCYPART_ARC
(27,14),-0.361001 # DEPENDENCYPART_ARC
(27,20),-0.0646342 # DEPENDENCYPART_ARC
(27,22),0.541629 # DEPENDENCYPART_ARC
(27,23),-0.389162 # DEPENDENCYPART_ARC
(27,24),-0.866677 # DEPENDENCYPART_ARC
(27,25),-0.307986 # DEPENDENCYPART_ARC
(27,26),2.25632 # DEPENDENCYPART_ARC
(27,28),-0.316048 # DEPENDENCYPART_ARC
(27,29),-0.396749 # DEPENDENCYPART_ARC
(27,30),-1.0817 # DEPENDENCYPART_ARC
(28,27),-0.11066 # DEPENDENCYPART_ARC
(29,21),-0.0581956 # DEPENDENCYPART_ARC
(29,22),0.172949 # DEPENDENCYPART_ARC
(29,23),0.818554 # DEPENDENCYPART_ARC
(29,24),-1.50562 # DEPENDENCYPART_ARC
(29,25),-0.98783 # DEPENDENCYPART_ARC
(29,26),0.906276 # DEPENDENCYPART_ARC
(29,27),2.51968 # DEPENDENCYPART_ARC
(29,28),2.54524 # DEPENDENCYPART_ARC
(29,30),-0.344487 # DEPENDENCYPART_ARC
(30,10),-0.236678 # DEPENDENCYPART_ARC
(30,15),-0.476449 # DEPENDENCYPART_ARC
(30,21),0.0318728 # DEPENDENCYPART_ARC
(30,22),-0.875923 # DEPENDENCYPART_ARC
(30,23),0.443695 # DEPENDENCYPART_ARC
(30,24),-3.48929 # DEPENDENCYPART_ARC
(30,25),-2.67171 # DEPENDENCYPART_ARC
(30,26),-0.545354 # DEPENDENCYPART_ARC
(30,27),1.361 # DEPENDENCYPART_ARC
(30,28),-0.240873 # DEPENDENCYPART_ARC
(30,29),1.42449 # DEPENDENCYPART_ARC
(30,31),-0.0934664 # DEPENDENCYPART_ARC
(31,1),-2.8371 # DEPENDENCYPART_ARC
(31,2),-14.9702 # DEPENDENCYPART_ARC
(31,5),-2.30632 # DEPENDENCYPART_ARC
(31,6),-0.877598 # DEPENDENCYPART_ARC
(31,7),-12.5391 # DEPENDENCYPART_ARC
(31,8),-12.5429 # DEPENDENCYPART_ARC
(31,10),0.111525 # DEPENDENCYPART_ARC
(31,11),-0.353533 # DEPENDENCYPART_ARC
(31,13),-8.61544 # DEPENDENCYPART_ARC
(31,14),-0.6069 # DEPENDENCYPART_ARC
(31,15),0.119877 # DEPENDENCYPART_ARC
(31,16),-1.74154 # DEPENDENCYPART_ARC
(31,17),-7.03637 # DEPENDENCYPART_ARC
(31,18),-0.940625 # DEPENDENCYPART_ARC
(31,19),-0.285626 # DEPENDENCYPART_ARC
(31,20),0.704521 # DEPENDENCYPART_ARC
(31,21),0.345232 # DEPENDENCYPART_ARC
(31,22),-0.381552 # DEPENDENCYPART_ARC
(31,23),1.17441 # DEPENDENCYPART_ARC
(31,24),-3.07494 # DEPENDENCYPART_ARC
(31,25),-2.9219 # DEPENDENCYPART_ARC
(31,26),0.154087 # DEPENDENCYPART_ARC
(31,27),0.340154 # DEPENDENCYPART_ARC
(31,28),0.172054 # DEPENDENCYPART_ARC
(31,29),2.68153 # DEPENDENCYPART_ARC
(31,30),2.16623 # DEPENDENCYPART_ARC
(31,32),-1.42419 # DEPENDENCYPART_ARC
(32,1),-2.89641 # DEPENDENCYPART_ARC
(32,7),-7.8982 # DEPENDENCYPART_ARC
(32,8),-7.34167 # DEPENDENCYPART_ARC
(32,12),-1.30223 # DEPENDENCYPART_ARC
(32,16),-2.59942 # DEPENDENCYPART_ARC
(32,17),-5.23509 # DEPENDENCYPART_ARC
(32,18),-0.919549 # DEPENDENCYPART_ARC
(32,19),-0.447554 # DEPENDENCYPART_ARC
(32,21),0.28175 # DEPENDENCYPART_ARC
(32,22),-1.09372 # DEPENDENCYPART_ARC
(32,23),-0.0492287 # DEPENDENCYPART_ARC
(32,24),-3.28448 # DEPENDENCYPART_ARC
(32,25),-2.82763 # DEPENDENCYPART_ARC
(32,26),-0.720704 # DEPENDENCYPART_ARC
(32,27),0.0975679 # DEPENDENCYPART_ARC
(32,28),-0.296238 # DEPENDENCYPART_ARC
(32,29),0.187521 # DEPENDENCYPART_ARC
(32,30),-0.988038 # DEPENDENCYPART_ARC
(32,31),1.45887 # DEPENDENCYPART_ARC
