# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,18,18,19,20,0,
(8,1),0.118662 # DEPENDENCYPART_ARC
(8,2),-1.77924 # DEPENDENCYPART_ARC
(8,4),-1.01347 # DEPENDENCYPART_ARC
(8,6),-0.632046 # DEPENDENCYPART_ARC
(8,7),0.197694 # DEPENDENCYPART_ARC
(8,10),0.207724 # DEPENDENCYPART_ARC
(8,11),-0.306131 # DEPENDENCYPART_ARC
(8,12),-0.651847 # DEPENDENCYPART_ARC
(8,15),-0.314662 # DEPENDENCYPART_ARC
(8,18),-0.0543405 # DEPENDENCYPART_ARC
(8,19),-0.573834 # DEPENDENCYPART_ARC
(9,8),0.116167 # DEPENDENCYPART_ARC
(10,5),-1.46545 # DEPENDENCYPART_ARC
(10,6),-0.92286 # DEPENDENCYPART_ARC
(10,7),-0.787758 # DEPENDENCYPART_ARC
(10,8),-0.260663 # DEPENDENCYPART_ARC
(11,1),-1.53589 # DEPENDENCYPART_ARC
(11,2),-3.21511 # DEPENDENCYPART_ARC
(11,3),0.4732 # DEPENDENCYPART_ARC
(11,4),-1.80211 # DEPENDENCYPART_ARC
(11,5),0.15706 # DEPENDENCYPART_ARC
(11,6),1.86531 # DEPENDENCYPART_ARC
(11,7),0.96656 # DEPENDENCYPART_ARC
(11,8),0.964513 # DEPENDENCYPART_ARC
(11,9),2.35969 # DEPENDENCYPART_ARC
(11,10),1.74153 # DEPENDENCYPART_ARC
(11,12),-0.42695 # DEPENDENCYPART_ARC
(11,13),-0.344516 # DEPENDENCYPART_ARC
(11,14),-0.528122 # DEPENDENCYPART_ARC
(11,15),-1.06327 # DEPENDENCYPART_ARC
(11,16),-0.711145 # DEPENDENCYPART_ARC
(11,18),-1.19054 # DEPENDENCYPART_ARC
(11,19),-2.19 # DEPENDENCYPART_ARC
(11,20),-1.76988 # DEPENDENCYPART_ARC
(12,2),-3.1778 # DEPENDENCYPART_ARC
(12,4),-2.73594 # DEPENDENCYPART_ARC
(12,6),-1.13487 # DEPENDENCYPART_ARC
(12,7),-1.16257 # DEPENDENCYPART_ARC
(12,8),-0.19647 # DEPENDENCYPART_ARC
(12,10),-0.531784 # DEPENDENCYPART_ARC
(12,11),1.31831 # DEPENDENCYPART_ARC
(12,13),-0.194262 # DEPENDENCYPART_ARC
(12,15),-0.446771 # DEPENDENCYPART_ARC
(12,16),-0.389148 # DEPENDENCYPART_ARC
(12,18),-0.585295 # DEPENDENCYPART_ARC
(12,19),-0.784172 # DEPENDENCYPART_ARC
(13,7),-1.08641 # DEPENDENCYPART_ARC
(13,12),0.0226978 # DEPENDENCYPART_ARC
(13,14),2.25241 # DEPENDENCYPART_ARC
(14,11),-0.476716 # DEPENDENCYPART_ARC
(14,13),0.509416 # DEPENDENCYPART_ARC
(15,1),-2.30415 # DEPENDENCYPART_ARC
(15,2),-4.90326 # DEPENDENCYPART_ARC
(15,3),0.250643 # DEPENDENCYPART_ARC
(15,4),-3.05353 # DEPENDENCYPART_ARC
(15,5),-0.366463 # DEPENDENCYPART_ARC
(15,6),1.04924 # DEPENDENCYPART_ARC
(15,7),0.256911 # DEPENDENCYPART_ARC
(15,8),0.162104 # DEPENDENCYPART_ARC
(15,9),0.442274 # DEPENDENCYPART_ARC
(15,10),0.101868 # DEPENDENCYPART_ARC
(15,11),0.176515 # DEPENDENCYPART_ARC
(15,12),1.45906 # DEPENDENCYPART_ARC
(15,13),1.23977 # DEPENDENCYPART_ARC
(15,14),0.709855 # DEPENDENCYPART_ARC
(15,16),-0.142924 # DEPENDENCYPART_ARC
(15,18),-0.34424 # DEPENDENCYPART_ARC
(15,19),-1.18173 # DEPENDENCYPART_ARC
(15,20),-1.43065 # DEPENDENCYPART_ARC
(16,8),-0.36454 # DEPENDENCYPART_ARC
(16,10),-0.907924 # DEPENDENCYPART_ARC
(16,12),-0.18209 # DEPENDENCYPART_ARC
(16,13),-0.192207 # DEPENDENCYPART_ARC
(16,14),0.130753 # DEPENDENCYPART_ARC
(16,15),2.21412 # DEPENDENCYPART_ARC
(16,18),-0.133986 # DEPENDENCYPART_ARC
(17,14),-0.368963 # DEPENDENCYPART_ARC
(18,5),-1.22946 # DEPENDENCYPART_ARC
(18,6),-0.574288 # DEPENDENCYPART_ARC
(18,7),-0.73961 # DEPENDENCYPART_ARC
(18,8),0.13146 # DEPENDENCYPART_ARC
(18,9),-1.3319 # DEPENDENCYPART_ARC
(18,10),-0.426767 # DEPENDENCYPART_ARC
(18,11),-1.45274 # DEPENDENCYPART_ARC
(18,12),0.237787 # DEPENDENCYPART_ARC
(18,13),0.0735101 # DEPENDENCYPART_ARC
(18,14),-0.900528 # DEPENDENCYPART_ARC
(18,15),-1.08326 # DEPENDENCYPART_ARC
(18,16),1.31968 # DEPENDENCYPART_ARC
(18,17),2.28355 # DEPENDENCYPART_ARC
(19,1),-1.8604 # DEPENDENCYPART_ARC
(19,2),-6.46342 # DEPENDENCYPART_ARC
(19,3),-1.13159 # DEPENDENCYPART_ARC
(19,4),-4.93884 # DEPENDENCYPART_ARC
(19,5),-1.42753 # DEPENDENCYPART_ARC
(19,6),0.61701 # DEPENDENCYPART_ARC
(19,7),0.150173 # DEPENDENCYPART_ARC
(19,8),-0.149241 # DEPENDENCYPART_ARC
(19,9),-0.364274 # DEPENDENCYPART_ARC
(19,10),-1.03379 # DEPENDENCYPART_ARC
(19,11),-0.384733 # DEPENDENCYPART_ARC
(19,12),1.7255 # DEPENDENCYPART_ARC
(19,13),0.178913 # DEPENDENCYPART_ARC
(19,14),-0.218435 # DEPENDENCYPART_ARC
(19,15),0.606597 # DEPENDENCYPART_ARC
(19,16),1.11332 # DEPENDENCYPART_ARC
(19,17),0.510502 # DEPENDENCYPART_ARC
(19,18),2.45721 # DEPENDENCYPART_ARC
(19,20),-0.673696 # DEPENDENCYPART_ARC
(20,1),-0.116187 # DEPENDENCYPART_ARC
(20,2),-4.7091 # DEPENDENCYPART_ARC
(20,4),-3.98382 # DEPENDENCYPART_ARC
(20,6),-0.862247 # DEPENDENCYPART_ARC
(20,7),-0.730496 # DEPENDENCYPART_ARC
(20,10),-1.4651 # DEPENDENCYPART_ARC
(20,11),-0.430107 # DEPENDENCYPART_ARC
(20,12),-0.0482555 # DEPENDENCYPART_ARC
(20,13),-0.682608 # DEPENDENCYPART_ARC
(20,14),-0.306906 # DEPENDENCYPART_ARC
(20,15),0.0873664 # DEPENDENCYPART_ARC
(20,16),-0.188114 # DEPENDENCYPART_ARC
(20,17),-0.208912 # DEPENDENCYPART_ARC
(20,18),0.101104 # DEPENDENCYPART_ARC
(20,19),1.28909 # DEPENDENCYPART_ARC
