# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,18,4,0,8,19,11,11,12,19,0,15,18,17,18,19,20,0,
(18,13),0.0346003 # DEPENDENCYPART_ARC
(18,14),0.93379 # DEPENDENCYPART_ARC
(18,15),2.55225 # DEPENDENCYPART_ARC
(18,16),0.879696 # DEPENDENCYPART_ARC
(18,17),2.71398 # DEPENDENCYPART_ARC
(19,3),-0.153517 # DEPENDENCYPART_ARC
(19,4),-0.0599375 # DEPENDENCYPART_ARC
(19,5),-0.989848 # DEPENDENCYPART_ARC
(19,6),-0.574471 # DEPENDENCYPART_ARC
(19,7),-0.0709092 # DEPENDENCYPART_ARC
(19,8),1.07847 # DEPENDENCYPART_ARC
(19,9),-0.9003 # DEPENDENCYPART_ARC
(19,10),-0.500749 # DEPENDENCYPART_ARC
(19,11),-0.608308 # DEPENDENCYPART_ARC
(19,12),1.36252 # DEPENDENCYPART_ARC
(19,13),0.242225 # DEPENDENCYPART_ARC
(19,14),-0.143545 # DEPENDENCYPART_ARC
(19,15),-0.0594572 # DEPENDENCYPART_ARC
(19,16),-0.982457 # DEPENDENCYPART_ARC
(19,17),-0.132045 # DEPENDENCYPART_ARC
(19,18),3.52623 # DEPENDENCYPART_ARC
(19,20),-0.993743 # DEPENDENCYPART_ARC
(20,1),-0.809639 # DEPENDENCYPART_ARC
(20,3),0.409765 # DEPENDENCYPART_ARC
(20,5),-2.20491 # DEPENDENCYPART_ARC
(20,8),-0.542068 # DEPENDENCYPART_ARC
(20,9),-1.62973 # DEPENDENCYPART_ARC
(20,10),-0.585554 # DEPENDENCYPART_ARC
(20,12),-1.40955 # DEPENDENCYPART_ARC
(20,13),-0.504213 # DEPENDENCYPART_ARC
(20,14),-0.390532 # DEPENDENCYPART_ARC
(20,15),-0.00627472 # DEPENDENCYPART_ARC
(20,16),-2.04117 # DEPENDENCYPART_ARC
(20,17),-1.39601 # DEPENDENCYPART_ARC
(20,18),-0.235697 # DEPENDENCYPART_ARC
(20,19),1.28741 # DEPENDENCYPART_ARC
