# _root_ The FHA alone lost $ 4.2 billion in fiscal 1988 ; the government 's equity in the agency , essentially its reserve fund , fell to minus $ 2.9 billion .
#goldHeads=2,4,2,0,4,5,5,4,10,8,4,13,15,13,25,15,18,16,15,23,23,23,15,15,4,25,28,26,28,28,4,
#predictedHeads=2,4,4,0,4,5,5,5,10,8,4,13,15,13,25,15,18,16,15,23,23,23,25,15,4,25,28,26,28,28,4,
(6,8),-1.56705 # DEPENDENCYPART_ARC
(7,1),-2.27155 # DEPENDENCYPART_ARC
(7,2),-2.7873 # DEPENDENCYPART_ARC
(7,3),-2.03547 # DEPENDENCYPART_ARC
(7,6),-0.318283 # DEPENDENCYPART_ARC
(7,8),-1.14238 # DEPENDENCYPART_ARC
(7,9),-1.76642 # DEPENDENCYPART_ARC
(7,10),-2.44298 # DEPENDENCYPART_ARC
(7,11),-1.4761 # DEPENDENCYPART_ARC
(7,15),-2.41573 # DEPENDENCYPART_ARC
(8,5),-1.68801 # DEPENDENCYPART_ARC
(8,7),-1.87564 # DEPENDENCYPART_ARC
(8,9),-0.53907 # DEPENDENCYPART_ARC
(8,10),-0.0969863 # DEPENDENCYPART_ARC
(8,11),-1.25829 # DEPENDENCYPART_ARC
(8,13),-1.45931 # DEPENDENCYPART_ARC
(8,15),-1.42261 # DEPENDENCYPART_ARC
(8,16),-1.8557 # DEPENDENCYPART_ARC
(8,31),-3.34004 # DEPENDENCYPART_ARC
(9,8),-1.66501 # DEPENDENCYPART_ARC
(9,10),-0.737307 # DEPENDENCYPART_ARC
(9,11),-1.38064 # DEPENDENCYPART_ARC
(9,15),-2.39024 # DEPENDENCYPART_ARC
(9,16),-2.03483 # DEPENDENCYPART_ARC
(10,1),-2.21275 # DEPENDENCYPART_ARC
(10,2),-2.84856 # DEPENDENCYPART_ARC
(10,4),-1.88308 # DEPENDENCYPART_ARC
(10,5),-2.03294 # DEPENDENCYPART_ARC
(10,7),-1.46439 # DEPENDENCYPART_ARC
(10,8),-1.04015 # DEPENDENCYPART_ARC
(10,9),0.0529819 # DEPENDENCYPART_ARC
(10,11),-1.15946 # DEPENDENCYPART_ARC
(10,15),-2.60946 # DEPENDENCYPART_ARC
(11,9),-2.63576 # DEPENDENCYPART_ARC
(11,10),-1.93844 # DEPENDENCYPART_ARC
(11,15),-2.7926 # DEPENDENCYPART_ARC
(11,16),-2.88997 # DEPENDENCYPART_ARC
(13,1),-2.60476 # DEPENDENCYPART_ARC
(13,3),-2.38621 # DEPENDENCYPART_ARC
(13,5),-1.93955 # DEPENDENCYPART_ARC
(13,8),-1.86171 # DEPENDENCYPART_ARC
(13,9),-1.15192 # DEPENDENCYPART_ARC
(13,10),-1.61586 # DEPENDENCYPART_ARC
(13,11),-1.00972 # DEPENDENCYPART_ARC
(13,12),2.04875 # DEPENDENCYPART_ARC
(13,14),1.7257 # DEPENDENCYPART_ARC
(13,16),-0.792467 # DEPENDENCYPART_ARC
(13,18),-1.82964 # DEPENDENCYPART_ARC
(13,19),-1.32477 # DEPENDENCYPART_ARC
(13,23),-2.59995 # DEPENDENCYPART_ARC
(13,24),-1.47646 # DEPENDENCYPART_ARC
(13,25),-2.28351 # DEPENDENCYPART_ARC
(13,31),-2.54172 # DEPENDENCYPART_ARC
(15,1),-4.38742 # DEPENDENCYPART_ARC
(15,2),-3.24328 # DEPENDENCYPART_ARC
(15,3),-2.55687 # DEPENDENCYPART_ARC
(15,4),-2.75392 # DEPENDENCYPART_ARC
(15,5),-1.84265 # DEPENDENCYPART_ARC
(15,9),-2.05941 # DEPENDENCYPART_ARC
(15,10),-2.01829 # DEPENDENCYPART_ARC
(15,11),-1.64234 # DEPENDENCYPART_ARC
(15,12),-1.30542 # DEPENDENCYPART_ARC
(15,13),0.806598 # DEPENDENCYPART_ARC
(15,14),-0.428375 # DEPENDENCYPART_ARC
(15,16),0.504107 # DEPENDENCYPART_ARC
(15,18),-1.00846 # DEPENDENCYPART_ARC
(15,19),-1.01167 # DEPENDENCYPART_ARC
(15,20),-1.63793 # DEPENDENCYPART_ARC
(15,22),-1.80107 # DEPENDENCYPART_ARC
(15,23),-1.88824 # DEPENDENCYPART_ARC
(15,24),-0.994317 # DEPENDENCYPART_ARC
(15,25),-1.93931 # DEPENDENCYPART_ARC
(15,27),-2.23111 # DEPENDENCYPART_ARC
(15,28),-2.75325 # DEPENDENCYPART_ARC
(15,31),-2.33524 # DEPENDENCYPART_ARC
(16,15),-1.66265 # DEPENDENCYPART_ARC
(16,17),-1.19038 # DEPENDENCYPART_ARC
(16,18),1.6414 # DEPENDENCYPART_ARC
(16,19),-1.45749 # DEPENDENCYPART_ARC
(16,20),-1.82195 # DEPENDENCYPART_ARC
(16,23),-0.780997 # DEPENDENCYPART_ARC
(16,24),-2.02288 # DEPENDENCYPART_ARC
(16,25),-1.96397 # DEPENDENCYPART_ARC
(16,28),-2.97831 # DEPENDENCYPART_ARC
(18,13),-1.22085 # DEPENDENCYPART_ARC
(18,15),-1.78344 # DEPENDENCYPART_ARC
(18,17),1.82234 # DEPENDENCYPART_ARC
(18,19),-1.04301 # DEPENDENCYPART_ARC
(18,20),-1.55597 # DEPENDENCYPART_ARC
(18,22),-1.85237 # DEPENDENCYPART_ARC
(18,23),-1.70783 # DEPENDENCYPART_ARC
(18,24),-0.729583 # DEPENDENCYPART_ARC
(18,25),-2.10663 # DEPENDENCYPART_ARC
(18,27),-2.30495 # DEPENDENCYPART_ARC
(18,28),-2.65211 # DEPENDENCYPART_ARC
(18,31),-2.49744 # DEPENDENCYPART_ARC
(20,16),-2.12204 # DEPENDENCYPART_ARC
(20,18),-2.18302 # DEPENDENCYPART_ARC
(20,19),-1.60415 # DEPENDENCYPART_ARC
(20,21),-0.910357 # DEPENDENCYPART_ARC
(20,22),-1.10405 # DEPENDENCYPART_ARC
(20,23),-1.54966 # DEPENDENCYPART_ARC
(20,24),-1.62818 # DEPENDENCYPART_ARC
(20,25),-1.25404 # DEPENDENCYPART_ARC
(20,26),-1.90396 # DEPENDENCYPART_ARC
(20,27),-1.81707 # DEPENDENCYPART_ARC
(20,28),-2.18167 # DEPENDENCYPART_ARC
(20,30),-2.91908 # DEPENDENCYPART_ARC
(20,31),-1.95545 # DEPENDENCYPART_ARC
(21,18),-2.18787 # DEPENDENCYPART_ARC
(21,19),-2.14616 # DEPENDENCYPART_ARC
(21,20),-1.38338 # DEPENDENCYPART_ARC
(21,22),-1.4491 # DEPENDENCYPART_ARC
(22,20),-1.87679 # DEPENDENCYPART_ARC
(22,21),-0.0207843 # DEPENDENCYPART_ARC
(22,24),-1.69693 # DEPENDENCYPART_ARC
(22,25),-1.46095 # DEPENDENCYPART_ARC
(23,4),-2.68197 # DEPENDENCYPART_ARC
(23,5),-2.25887 # DEPENDENCYPART_ARC
(23,10),-3.33718 # DEPENDENCYPART_ARC
(23,13),-1.40564 # DEPENDENCYPART_ARC
(23,16),-1.82574 # DEPENDENCYPART_ARC
(23,17),-0.888761 # DEPENDENCYPART_ARC
(23,18),-0.979693 # DEPENDENCYPART_ARC
(23,19),-1.43929 # DEPENDENCYPART_ARC
(23,20),-0.565588 # DEPENDENCYPART_ARC
(23,21),1.40945 # DEPENDENCYPART_ARC
(23,22),1.84312 # DEPENDENCYPART_ARC
(23,24),-0.858489 # DEPENDENCYPART_ARC
(23,25),-1.5405 # DEPENDENCYPART_ARC
(23,26),-1.6677 # DEPENDENCYPART_ARC
(23,27),-2.08962 # DEPENDENCYPART_ARC
(23,28),-2.35577 # DEPENDENCYPART_ARC
(25,2),-1.89369 # DEPENDENCYPART_ARC
(25,3),-1.92887 # DEPENDENCYPART_ARC
(25,4),-1.99114 # DEPENDENCYPART_ARC
(25,5),-2.42988 # DEPENDENCYPART_ARC
(25,7),-2.56228 # DEPENDENCYPART_ARC
(25,8),-1.13676 # DEPENDENCYPART_ARC
(25,9),-2.13183 # DEPENDENCYPART_ARC
(25,10),-2.76079 # DEPENDENCYPART_ARC
(25,11),-1.47588 # DEPENDENCYPART_ARC
(25,13),-1.75945 # DEPENDENCYPART_ARC
(25,15),-1.28876 # DEPENDENCYPART_ARC
(25,16),-1.55045 # DEPENDENCYPART_ARC
(25,18),-1.30141 # DEPENDENCYPART_ARC
(25,19),-1.03806 # DEPENDENCYPART_ARC
(25,20),-1.51501 # DEPENDENCYPART_ARC
(25,21),-1.32722 # DEPENDENCYPART_ARC
(25,22),-0.802356 # DEPENDENCYPART_ARC
(25,23),-0.804517 # DEPENDENCYPART_ARC
(25,24),-0.665422 # DEPENDENCYPART_ARC
(25,26),2.01911 # DEPENDENCYPART_ARC
(25,27),0.299958 # DEPENDENCYPART_ARC
(25,28),-0.817877 # DEPENDENCYPART_ARC
(25,30),-1.8622 # DEPENDENCYPART_ARC
(25,31),0.503867 # DEPENDENCYPART_ARC
(26,23),-2.08313 # DEPENDENCYPART_ARC
(26,27),-0.430538 # DEPENDENCYPART_ARC
(26,28),-0.364013 # DEPENDENCYPART_ARC
(26,30),-1.50434 # DEPENDENCYPART_ARC
(27,26),-1.59042 # DEPENDENCYPART_ARC
(27,28),-0.0118922 # DEPENDENCYPART_ARC
(27,29),-1.55986 # DEPENDENCYPART_ARC
(27,30),-2.18766 # DEPENDENCYPART_ARC
(28,3),-3.54217 # DEPENDENCYPART_ARC
(28,4),-2.70573 # DEPENDENCYPART_ARC
(28,20),-2.34656 # DEPENDENCYPART_ARC
(28,23),-1.92339 # DEPENDENCYPART_ARC
(28,26),-1.248 # DEPENDENCYPART_ARC
(28,27),0.286617 # DEPENDENCYPART_ARC
(28,29),1.67607 # DEPENDENCYPART_ARC
(28,30),0.833883 # DEPENDENCYPART_ARC
(28,31),-1.49145 # DEPENDENCYPART_ARC
(29,27),-1.79811 # DEPENDENCYPART_ARC
(29,30),-0.947553 # DEPENDENCYPART_ARC
(30,27),-1.14276 # DEPENDENCYPART_ARC
(30,29),-0.118146 # DEPENDENCYPART_ARC
(31,28),-2.49009 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0800071 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.772597 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0714879 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.782446 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.703034 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.133659 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.716393 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.572227 # DEPENDENCYPART_SIBL
(0,4),(0,25),-1.65583 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.726167 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.123359 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.307548 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.231942 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.049679 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0102317 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0948866 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0306566 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0522148 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.523419 # DEPENDENCYPART_SIBL
(2,1),(2,31),-0.0551431 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00947527 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00498096 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0221201 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0783389 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00631982 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.064892 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0488658 # DEPENDENCYPART_SIBL
(2,3),(2,31),0.0295053 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0238112 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0180723 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0456979 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0505077 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.082305 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.003915 # DEPENDENCYPART_SIBL
(2,4),(2,31),0.0175931 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.169799 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.273043 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00337596 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00176538 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0357294 # DEPENDENCYPART_SIBL
(2,5),(2,31),0.203022 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0391521 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0578851 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00340052 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0734911 # DEPENDENCYPART_SIBL
(2,7),(2,31),-0.0677207 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0282507 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0946229 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.119323 # DEPENDENCYPART_SIBL
(2,8),(2,31),-0.00176399 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0063808 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00158305 # DEPENDENCYPART_SIBL
(2,9),(2,31),0.0178123 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.155415 # DEPENDENCYPART_SIBL
(2,11),(2,31),0.421608 # DEPENDENCYPART_SIBL
(2,14),(2,31),-0.0775939 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0425563 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.196226 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0457075 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0133229 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0171139 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0174015 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0417837 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0312844 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0168026 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0405749 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0447714 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.126337 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.108733 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.236197 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00977011 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.174466 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0490309 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.190927 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.185983 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.195239 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.057731 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.178644 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.183838 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.186955 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.199462 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.193899 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.171658 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.057731 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.120993 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.143203 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.121306 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.187256 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.143203 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.00184239 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.237113 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.144151 # DEPENDENCYPART_SIBL
(4,1),(4,31),-0.19293 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00707951 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0412779 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0106439 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00308213 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0148702 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0549566 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0145108 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0707601 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0142077 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0318417 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00423232 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0148702 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.027081 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0652979 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.000596141 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.00155324 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0652979 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0197749 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0121609 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0012773 # DEPENDENCYPART_SIBL
(4,2),(4,31),0.0174334 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0498654 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0698561 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.084265 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0504295 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.10483 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0856653 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0426467 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.118265 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.201853 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0947236 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0504295 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0619714 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.073276 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0752332 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0911002 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.073276 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0054804 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0159105 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0422844 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.0956089 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0338365 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00640191 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.000935005 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0443931 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.033693 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0389233 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.145049 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0331277 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.142935 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.000935005 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.146027 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.105576 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.165817 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.138386 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.105576 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0019309 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.252307 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0175283 # DEPENDENCYPART_SIBL
(4,5),(4,31),0.0210069 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.033773 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0178925 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.11121 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.106106 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00167859 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.164754 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0361637 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.166204 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0178925 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.165499 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0777282 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00414159 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.170192 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0777282 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0507658 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.00391172 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0306595 # DEPENDENCYPART_SIBL
(4,6),(4,31),-0.0155333 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0606762 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.117245 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.149464 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00713728 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.167347 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0323622 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.168798 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0606762 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.168093 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0303739 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.00460797 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.175907 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0303739 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0307876 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0263824 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0596704 # DEPENDENCYPART_SIBL
(4,7),(4,31),-0.0305506 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0953337 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.118195 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0639293 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0619085 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00187164 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0504742 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.247848 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0739144 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0291007 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.00584473 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0599804 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.0291007 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.00970468 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.111495 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0859438 # DEPENDENCYPART_SIBL
(4,8),(4,31),-0.0286722 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.188687 # DEPENDENCYPART_SIBL
