# _root_ `` When you 're in the groove , you see every ball tremendously , '' he lectured .
#goldHeads=17,4,4,10,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
#predictedHeads=17,4,4,17,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
(2,3),(2,12),0.0160407 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0792882 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0692282 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0561678 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0311657 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0279588 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0496641 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.215421 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0285587 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0496641 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0394727 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.139183 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0838215 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0182292 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0632568 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.082639 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0182292 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0317934 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0279551 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00829654 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.103343 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.149768 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00829654 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00107717 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.109151 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.133494 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.23899 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.123746 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0694784 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.178126 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0305488 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0989511 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0522422 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.138168 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.00224394 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00487467 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.109186 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0694784 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.178126 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0226769 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0642193 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0470998 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0106891 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0423024 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0657864 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.178014 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0903404 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0149953 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.317446 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.19512 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.131471 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0234315 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0253337 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0882236 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0105591 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0106993 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00419858 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0437715 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00730915 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00950395 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0106993 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.316484 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0617464 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.199896 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.128642 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.251358 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0616898 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.179185 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.239476 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0107675 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0603723 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.176665 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0398417 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.239476 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.133424 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0549472 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.39466 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0555783 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0846405 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0364961 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.16578 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0346675 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.04812 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.03331 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0830051 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.16578 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0318198 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0728932 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0499174 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0916266 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000574612 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0694739 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.119425 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.018923 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00296342 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.103057 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0694739 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0295187 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0463269 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.065945 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.120013 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0742919 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0745762 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0532592 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.12122 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0722458 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0742919 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0913284 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0829538 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.127355 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0375206 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0780399 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.000799938 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.116512 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0477882 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0375206 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00567239 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.110735 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0353388 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0823843 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.308739 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.121779 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.164825 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0467558 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.085464 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.14751 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0157039 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0522909 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00445223 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0247743 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0698363 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0538708 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0582975 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0406104 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.140992 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0578643 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0176237 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0305144 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.221872 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.00612149 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0455248 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0314185 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0116738 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.11082 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0434888 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0289463 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0532702 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.102458 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0331867 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.085464 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.14751 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0157039 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.108391 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.167859 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0413884 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0545117 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.168479 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.241985 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.109329 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.101396 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0395143 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.136968 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0814946 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.100664 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0705348 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0395143 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.231656 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.105234 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0320614 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0061605 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0406706 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0656618 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0629731 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0867085 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0975957 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.119774 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0629705 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0519287 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0867085 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.160887 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0718644 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.379233 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00794418 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0835552 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0357177 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.069455 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.139511 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00924252 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0363867 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0521618 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.069455 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0617993 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0282269 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0542085 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0415487 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0861168 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0604258 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0758528 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0517958 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0849676 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0468673 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0604258 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0629529 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0167361 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0258077 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.702132 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.115124 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.222053 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.430735 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.702361 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.152556 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.115124 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.173493 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.404466 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.129917 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0798312 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.309059 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.474964 # DEPENDENCYPART_SIBL
(5,7),(5,12),-1.01615 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0707475 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0798312 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0896093 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.480456 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0968833 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0612585 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.207478 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0365209 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.508839 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0166881 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.141749 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.37014 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.395117 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.394157 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.656452 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.175586 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.214924 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.227098 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.419469 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0969456 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.560554 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.030244 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.230207 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0524477 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.374431 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.276809 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0729615 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0737782 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0955613 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.480492 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0887827 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.020938 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.067278 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.300635 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0596387 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.141749 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.37014 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.395117 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.224462 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0211434 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.405142 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0477241 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.113857 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.21886 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00485135 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0260503 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0610049 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00566784 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0199773 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0431912 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0407858 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0610049 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.728149 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.00122864 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.191958 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0918858 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.139409 # DEPENDENCYPART_SIBL
