# _root_ Boeing has declined to say how many employees are working at its giant Renton , Wash. , plant .
#goldHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
#predictedHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
(11,8),-1.92956 # DEPENDENCYPART_ARC
(11,10),-1.68116 # DEPENDENCYPART_ARC
(11,12),-0.878386 # DEPENDENCYPART_ARC
(11,13),-0.717161 # DEPENDENCYPART_ARC
(11,14),-1.02129 # DEPENDENCYPART_ARC
(11,15),-1.35208 # DEPENDENCYPART_ARC
(11,16),-1.87444 # DEPENDENCYPART_ARC
(11,17),-1.27999 # DEPENDENCYPART_ARC
(11,18),-0.831017 # DEPENDENCYPART_ARC
(11,19),-3.18895 # DEPENDENCYPART_ARC
(12,11),-1.83885 # DEPENDENCYPART_ARC
(12,13),-1.59491 # DEPENDENCYPART_ARC
(13,12),-0.970071 # DEPENDENCYPART_ARC
(13,14),-1.45762 # DEPENDENCYPART_ARC
(13,15),-1.56711 # DEPENDENCYPART_ARC
(13,16),-2.13505 # DEPENDENCYPART_ARC
(13,17),-1.33159 # DEPENDENCYPART_ARC
(13,18),-2.18422 # DEPENDENCYPART_ARC
(14,7),-2.69252 # DEPENDENCYPART_ARC
(14,10),-2.21941 # DEPENDENCYPART_ARC
(14,11),-1.93878 # DEPENDENCYPART_ARC
(14,12),-0.598447 # DEPENDENCYPART_ARC
(14,13),0.712046 # DEPENDENCYPART_ARC
(14,15),0.088927 # DEPENDENCYPART_ARC
(14,16),-0.517405 # DEPENDENCYPART_ARC
(14,17),-0.771345 # DEPENDENCYPART_ARC
(14,18),-1.95653 # DEPENDENCYPART_ARC
(14,19),-1.91757 # DEPENDENCYPART_ARC
(16,6),-2.94431 # DEPENDENCYPART_ARC
(16,7),-2.77855 # DEPENDENCYPART_ARC
(16,12),-1.26125 # DEPENDENCYPART_ARC
(16,13),-0.601065 # DEPENDENCYPART_ARC
(16,14),-0.215068 # DEPENDENCYPART_ARC
(16,15),0.23255 # DEPENDENCYPART_ARC
(16,17),0.717719 # DEPENDENCYPART_ARC
(16,18),-1.65496 # DEPENDENCYPART_ARC
(16,19),-1.98221 # DEPENDENCYPART_ARC
(18,8),-2.04852 # DEPENDENCYPART_ARC
(18,12),0.0727965 # DEPENDENCYPART_ARC
(18,13),-0.439578 # DEPENDENCYPART_ARC
(18,14),-1.39427 # DEPENDENCYPART_ARC
(18,15),-1.25495 # DEPENDENCYPART_ARC
(18,16),0.162898 # DEPENDENCYPART_ARC
(18,17),-0.552726 # DEPENDENCYPART_ARC
(18,19),-1.60852 # DEPENDENCYPART_ARC
(19,18),-2.638 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.69628 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.138708 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.441283 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.630936 # DEPENDENCYPART_SIBL
(0,2),(0,9),-1.15914 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.35238 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0897764 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.193252 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0078525 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.138086 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0600645 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0117769 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0817461 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0299375 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0529328 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0366969 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00512366 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0130547 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0267449 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0843444 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0225803 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0843444 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.111461 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.388305 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.367147 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.292583 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.443205 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.57734 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.187793 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.3393 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.402182 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.274834 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.104315 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.433219 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.104315 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0601536 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.199076 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0905983 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.218151 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.259036 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0349074 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0404038 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0556475 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0691652 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00259364 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.141181 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00259364 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.039945 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.142849 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.299508 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.312915 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.108873 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.162995 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.165078 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.138791 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.124211 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.289674 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.124211 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0936126 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.172876 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.264514 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0491703 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0495121 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.114163 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0850857 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.091234 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.177306 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.091234 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.12215 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.341469 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.155281 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0840426 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0806066 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.108454 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0636929 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.201953 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0636929 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.147825 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0598563 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0417008 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0585213 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.014402 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0178763 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.147588 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0178763 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0146779 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.128266 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.188852 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.143202 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.107336 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.232695 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.107336 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.016313 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.215501 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.139724 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0256155 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.273653 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0256155 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0221494 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0715992 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0299554 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.170402 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0299554 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0735462 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.119802 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.171142 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.119802 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.182867 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.100292 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0971298 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.000682224 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0131457 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0230796 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.000682224 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0260821 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0756893 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0143903 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0150182 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0481676 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0547818 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0355715 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0316108 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0467846 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0156543 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0511128 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0166535 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00201485 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0114471 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00201485 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.031909 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.216588 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.101317 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0742689 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0495643 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0761379 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0333206 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0783526 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0505446 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0785954 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0519378 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0731203 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0182948 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.065246 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0182685 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.065246 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0300589 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0771095 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0578727 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00255017 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.076068 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0841509 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0425061 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0502388 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0283218 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00433846 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0672055 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00667412 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0759455 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00665356 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0759455 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0181082 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.186125 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0741156 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.162058 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.158715 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.121669 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0872486 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.059389 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.086829 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.157206 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.190117 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.136931 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.190118 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.136931 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.211011 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0271139 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0639613 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.136657 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0814498 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.000500714 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0387595 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0555619 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0591375 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.103125 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0583233 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.103127 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0583233 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.130007 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.039428 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.179616 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.154155 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0149087 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0665972 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0678953 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.142054 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.100041 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0446103 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.100043 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0446103 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.158863 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0695779 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0530104 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.09183 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.129979 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0141295 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0769118 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0845797 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0434659 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.084581 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0434659 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.070943 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.121092 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0473081 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.077387 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0833312 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.119074 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.128657 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0157004 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.128658 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0157004 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.137514 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0469826 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.132842 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.117299 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.165743 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.203928 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0527111 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.203929 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0527111 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.237743 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00421137 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0608721 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.065978 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0777442 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.175622 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0784827 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.175622 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0119806 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.00223381 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0939116 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.124326 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.125601 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.124327 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.125601 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.094133 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.116304 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0988029 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0486978 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0988042 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0486978 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.144614 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.031036 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.028743 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.214466 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.028743 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.108074 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0281496 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.181316 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.00397124 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.216313 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0795767 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0217529 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.111545 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0260248 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.216313 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0795767 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.038049 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.115163 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0552966 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0629295 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0374954 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00740077 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0597356 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.116676 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.239474 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.416182 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.697235 # DEPENDENCYPART_SIBL
