# _root_ Using black and white , `` we can make housewives look like stars , '' says John Perrin .
#goldHeads=8,1,2,3,8,8,8,16,8,9,9,11,12,8,8,0,18,16,16,
#predictedHeads=8,1,2,3,8,8,8,16,8,9,9,11,12,16,16,0,18,16,16,
(6,1),-3.21125 # DEPENDENCYPART_ARC
(6,2),-3.05093 # DEPENDENCYPART_ARC
(6,4),-2.71682 # DEPENDENCYPART_ARC
(6,5),-1.90714 # DEPENDENCYPART_ARC
(6,7),-2.02494 # DEPENDENCYPART_ARC
(6,8),-2.21871 # DEPENDENCYPART_ARC
(7,1),-2.83411 # DEPENDENCYPART_ARC
(7,2),-2.95205 # DEPENDENCYPART_ARC
(7,6),-1.5396 # DEPENDENCYPART_ARC
(7,9),-1.85901 # DEPENDENCYPART_ARC
(8,1),-0.531422 # DEPENDENCYPART_ARC
(8,2),-1.11118 # DEPENDENCYPART_ARC
(8,3),-1.43649 # DEPENDENCYPART_ARC
(8,4),-1.14957 # DEPENDENCYPART_ARC
(8,5),-0.48999 # DEPENDENCYPART_ARC
(8,6),-0.268239 # DEPENDENCYPART_ARC
(8,7),1.58153 # DEPENDENCYPART_ARC
(8,9),2.23333 # DEPENDENCYPART_ARC
(8,10),-0.330842 # DEPENDENCYPART_ARC
(8,11),-0.303466 # DEPENDENCYPART_ARC
(8,12),-1.24629 # DEPENDENCYPART_ARC
(8,13),-1.43023 # DEPENDENCYPART_ARC
(8,14),-0.973409 # DEPENDENCYPART_ARC
(8,15),-1.23859 # DEPENDENCYPART_ARC
(8,16),-1.48935 # DEPENDENCYPART_ARC
(8,18),-2.26403 # DEPENDENCYPART_ARC
(8,19),-1.17042 # DEPENDENCYPART_ARC
(9,1),-2.02799 # DEPENDENCYPART_ARC
(9,2),-1.82079 # DEPENDENCYPART_ARC
(9,4),-1.6885 # DEPENDENCYPART_ARC
(9,5),-1.87766 # DEPENDENCYPART_ARC
(9,6),-1.33718 # DEPENDENCYPART_ARC
(9,7),-1.19908 # DEPENDENCYPART_ARC
(9,10),1.35344 # DEPENDENCYPART_ARC
(9,11),0.477069 # DEPENDENCYPART_ARC
(9,12),-0.185177 # DEPENDENCYPART_ARC
(9,13),-0.150125 # DEPENDENCYPART_ARC
(9,14),-0.835256 # DEPENDENCYPART_ARC
(9,15),-0.897359 # DEPENDENCYPART_ARC
(9,16),-1.23419 # DEPENDENCYPART_ARC
(9,18),-1.76662 # DEPENDENCYPART_ARC
(9,19),-1.88843 # DEPENDENCYPART_ARC
(10,1),-2.5569 # DEPENDENCYPART_ARC
(10,2),-2.09868 # DEPENDENCYPART_ARC
(10,5),-2.39996 # DEPENDENCYPART_ARC
(10,6),-1.65572 # DEPENDENCYPART_ARC
(10,7),-2.11082 # DEPENDENCYPART_ARC
(10,8),-0.960354 # DEPENDENCYPART_ARC
(10,9),-0.298796 # DEPENDENCYPART_ARC
(10,11),-1.55862 # DEPENDENCYPART_ARC
(10,12),-1.17333 # DEPENDENCYPART_ARC
(10,13),-1.75344 # DEPENDENCYPART_ARC
(10,14),-2.018 # DEPENDENCYPART_ARC
(10,16),-2.00209 # DEPENDENCYPART_ARC
(10,18),-3.19711 # DEPENDENCYPART_ARC
(11,1),-1.96338 # DEPENDENCYPART_ARC
(11,2),-1.72335 # DEPENDENCYPART_ARC
(11,3),-2.1956 # DEPENDENCYPART_ARC
(11,4),-1.62975 # DEPENDENCYPART_ARC
(11,5),-2.05769 # DEPENDENCYPART_ARC
(11,6),-1.69305 # DEPENDENCYPART_ARC
(11,7),-1.88357 # DEPENDENCYPART_ARC
(11,8),-1.25557 # DEPENDENCYPART_ARC
(11,9),-1.4402 # DEPENDENCYPART_ARC
(11,10),-0.065749 # DEPENDENCYPART_ARC
(11,12),0.864572 # DEPENDENCYPART_ARC
(11,13),0.0871335 # DEPENDENCYPART_ARC
(11,14),-0.933933 # DEPENDENCYPART_ARC
(11,15),-1.14518 # DEPENDENCYPART_ARC
(11,16),-1.06031 # DEPENDENCYPART_ARC
(11,17),-1.98142 # DEPENDENCYPART_ARC
(11,18),-1.84012 # DEPENDENCYPART_ARC
(11,19),-1.73489 # DEPENDENCYPART_ARC
(12,10),-1.67176 # DEPENDENCYPART_ARC
(12,11),-0.909372 # DEPENDENCYPART_ARC
(12,13),1.35543 # DEPENDENCYPART_ARC
(12,14),-1.20707 # DEPENDENCYPART_ARC
(12,15),-1.18845 # DEPENDENCYPART_ARC
(12,16),-0.899555 # DEPENDENCYPART_ARC
(12,18),-2.49588 # DEPENDENCYPART_ARC
(13,10),-1.82659 # DEPENDENCYPART_ARC
(13,11),-1.71664 # DEPENDENCYPART_ARC
(13,12),-1.31502 # DEPENDENCYPART_ARC
(13,14),-0.450718 # DEPENDENCYPART_ARC
(13,15),-0.744649 # DEPENDENCYPART_ARC
(13,16),-0.880176 # DEPENDENCYPART_ARC
(13,17),-1.75579 # DEPENDENCYPART_ARC
(13,18),-1.90012 # DEPENDENCYPART_ARC
(13,19),-1.66675 # DEPENDENCYPART_ARC
(14,13),-2.05232 # DEPENDENCYPART_ARC
(16,1),-2.05815 # DEPENDENCYPART_ARC
(16,2),-2.89089 # DEPENDENCYPART_ARC
(16,3),-2.30477 # DEPENDENCYPART_ARC
(16,4),-2.57041 # DEPENDENCYPART_ARC
(16,5),-2.97642 # DEPENDENCYPART_ARC
(16,6),-0.872335 # DEPENDENCYPART_ARC
(16,7),-2.84867 # DEPENDENCYPART_ARC
(16,8),-0.763087 # DEPENDENCYPART_ARC
(16,9),-1.83383 # DEPENDENCYPART_ARC
(16,10),-2.1545 # DEPENDENCYPART_ARC
(16,11),-1.94256 # DEPENDENCYPART_ARC
(16,12),-1.87246 # DEPENDENCYPART_ARC
(16,13),-1.88106 # DEPENDENCYPART_ARC
(16,14),0.0150769 # DEPENDENCYPART_ARC
(16,15),0.460474 # DEPENDENCYPART_ARC
(16,17),-0.493421 # DEPENDENCYPART_ARC
(16,18),-0.54249 # DEPENDENCYPART_ARC
(16,19),0.754505 # DEPENDENCYPART_ARC
(17,18),-1.44117 # DEPENDENCYPART_ARC
(18,1),-3.0547 # DEPENDENCYPART_ARC
(18,2),-3.51286 # DEPENDENCYPART_ARC
(18,8),-2.74419 # DEPENDENCYPART_ARC
(18,11),-2.79217 # DEPENDENCYPART_ARC
(18,12),-2.29874 # DEPENDENCYPART_ARC
(18,13),-1.57705 # DEPENDENCYPART_ARC
(18,14),-1.86063 # DEPENDENCYPART_ARC
(18,15),-1.78595 # DEPENDENCYPART_ARC
(18,17),1.13988 # DEPENDENCYPART_ARC
(18,19),-1.07862 # DEPENDENCYPART_ARC
(19,18),-2.35254 # DEPENDENCYPART_ARC
(0,8),(0,16),-1.32089 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0123624 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.172797 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00711741 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.000926305 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.05622 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.226021 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0237351 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.317392 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0290548 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0751797 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.3174 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.127817 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00895901 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0971965 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0354262 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0547727 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.155702 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.128461 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0176358 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.106046 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0656938 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0176387 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0597992 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0210056 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00845543 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0637468 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.235125 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0146308 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.333334 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0199506 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0705543 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.333341 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.116437 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.353584 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0346844 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.139698 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.198622 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0421041 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.205974 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.265366 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0392451 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.239641 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0300235 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.17227 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.292121 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.100717 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.266073 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.128501 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.101082 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.528543 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.107267 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0930985 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.160584 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.127386 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0171001 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.160584 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0178631 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0484369 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.143384 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.029967 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0590653 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.143384 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0755788 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.182383 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.36943 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0259037 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.182383 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.114444 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.103327 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0421163 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.351539 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.124554 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.100791 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.193176 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.146084 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.204879 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0187386 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.10986 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.005469 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0497553 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0389851 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00551013 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0323172 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0648414 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0422812 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00170062 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0835277 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0389851 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00175829 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00810577 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0597467 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0793903 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0231546 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0836996 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0570757 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.108595 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00698352 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.117791 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0473364 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0231546 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0180966 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0368993 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0557566 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000290874 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0280727 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0511365 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.235582 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.140939 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0196435 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0724963 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.000290874 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0202905 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0430939 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0074583 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.36066 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.207337 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.256436 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.64698 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.337806 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.42033 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.151795 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.392229 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.701308 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0206834 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0379891 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.196339 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.244451 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.239516 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0960513 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0379905 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.363923 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.211046 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0919037 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0931505 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0228995 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.110974 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0258377 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0137443 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0868693 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0195402 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0966487 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0273093 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00456882 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0268877 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.115571 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00753622 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0537347 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0396113 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0364743 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0715383 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0223466 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00244421 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0603797 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00726112 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0593426 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.102892 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0813277 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0465703 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0234152 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0923329 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.00159473 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.00482958 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0877199 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.392229 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.701308 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0206834 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.136926 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0544975 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0425902 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.301331 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.304724 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.641984 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.360454 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.603894 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.358066 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.110875 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00532513 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.095603 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0930913 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0873367 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0683535 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.104505 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0533938 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0613504 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.292514 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.324701 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.278696 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.46096 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.732089 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.28682 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0982211 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.000435137 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0233096 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00554826 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0322632 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0631935 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0425038 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0877196 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0428836 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0233096 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00182049 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0380307 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0402012 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0204018 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00970864 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0410835 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.027044 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0416784 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0266336 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0402012 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.074427 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.013229 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0105982 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0323421 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0188903 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0192111 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0385682 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0188313 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.013229 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0270934 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.360421 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.207242 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.267522 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.646157 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.420995 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.641969 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.211906 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.391072 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0379294 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.201073 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.244264 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0949662 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.244028 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0795337 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.363276 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0883568 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0230263 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.026863 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0236198 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.055371 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0874189 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0268815 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0282139 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.026288 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.156897 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00668574 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.07395 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.249055 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0174408 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.000821487 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0230194 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.12287 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00120327 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0330909 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0103924 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.391072 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00603664 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.000977404 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.280761 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0157591 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0215065 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.152135 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0138947 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0468572 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0388129 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0239269 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0460138 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0351345 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0104771 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0263119 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0439538 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00600784 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0014291 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00694312 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.13531 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0255756 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00934001 # DEPENDENCYPART_SIBL
