# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,3,11,9,9,14,12,3,0,18,16,20,21,18,16,24,22,24,31,31,27,31,31,25,31,32,16,
(13,21),-2.62667 # DEPENDENCYPART_ARC
(13,28),-2.78334 # DEPENDENCYPART_ARC
(14,1),-4.21114 # DEPENDENCYPART_ARC
(14,2),-3.12215 # DEPENDENCYPART_ARC
(14,5),-3.32186 # DEPENDENCYPART_ARC
(14,7),-3.48526 # DEPENDENCYPART_ARC
(14,10),-1.30405 # DEPENDENCYPART_ARC
(14,11),-1.593 # DEPENDENCYPART_ARC
(14,12),-1.65212 # DEPENDENCYPART_ARC
(14,13),1.43539 # DEPENDENCYPART_ARC
(14,15),-1.1153 # DEPENDENCYPART_ARC
(14,16),-2.11828 # DEPENDENCYPART_ARC
(14,17),-2.12581 # DEPENDENCYPART_ARC
(14,18),-2.02016 # DEPENDENCYPART_ARC
(14,19),-3.04397 # DEPENDENCYPART_ARC
(14,21),-2.80407 # DEPENDENCYPART_ARC
(14,24),-2.96209 # DEPENDENCYPART_ARC
(16,2),-2.39206 # DEPENDENCYPART_ARC
(16,3),-1.85052 # DEPENDENCYPART_ARC
(16,4),-2.2494 # DEPENDENCYPART_ARC
(16,5),-2.13191 # DEPENDENCYPART_ARC
(16,6),-2.76056 # DEPENDENCYPART_ARC
(16,7),-2.00393 # DEPENDENCYPART_ARC
(16,8),-2.09096 # DEPENDENCYPART_ARC
(16,9),-2.03046 # DEPENDENCYPART_ARC
(16,10),-2.02781 # DEPENDENCYPART_ARC
(16,11),-1.61477 # DEPENDENCYPART_ARC
(16,12),-2.22114 # DEPENDENCYPART_ARC
(16,13),-1.55633 # DEPENDENCYPART_ARC
(16,14),-0.861078 # DEPENDENCYPART_ARC
(16,15),-0.851172 # DEPENDENCYPART_ARC
(16,17),0.110941 # DEPENDENCYPART_ARC
(16,18),1.20954 # DEPENDENCYPART_ARC
(16,19),-1.89272 # DEPENDENCYPART_ARC
(16,20),-1.1916 # DEPENDENCYPART_ARC
(16,21),-1.54545 # DEPENDENCYPART_ARC
(16,22),-0.420941 # DEPENDENCYPART_ARC
(16,23),-2.01943 # DEPENDENCYPART_ARC
(16,24),-0.0325956 # DEPENDENCYPART_ARC
(16,25),-1.551 # DEPENDENCYPART_ARC
(16,27),-2.26023 # DEPENDENCYPART_ARC
(16,31),-2.5443 # DEPENDENCYPART_ARC
(16,34),0.554545 # DEPENDENCYPART_ARC
(17,19),-2.24983 # DEPENDENCYPART_ARC
(18,2),-1.89726 # DEPENDENCYPART_ARC
(18,3),-2.01229 # DEPENDENCYPART_ARC
(18,4),-2.31324 # DEPENDENCYPART_ARC
(18,5),-2.13949 # DEPENDENCYPART_ARC
(18,6),-2.53855 # DEPENDENCYPART_ARC
(18,7),-2.61989 # DEPENDENCYPART_ARC
(18,8),-1.63013 # DEPENDENCYPART_ARC
(18,9),-1.90432 # DEPENDENCYPART_ARC
(18,10),-2.28604 # DEPENDENCYPART_ARC
(18,11),-1.04829 # DEPENDENCYPART_ARC
(18,12),-1.98254 # DEPENDENCYPART_ARC
(18,13),-2.0854 # DEPENDENCYPART_ARC
(18,14),-2.08025 # DEPENDENCYPART_ARC
(18,15),-1.25699 # DEPENDENCYPART_ARC
(18,16),-1.44484 # DEPENDENCYPART_ARC
(18,17),0.919606 # DEPENDENCYPART_ARC
(18,19),-0.46737 # DEPENDENCYPART_ARC
(18,20),-0.0196406 # DEPENDENCYPART_ARC
(18,21),-0.639988 # DEPENDENCYPART_ARC
(18,22),-0.529764 # DEPENDENCYPART_ARC
(18,23),-1.82828 # DEPENDENCYPART_ARC
(18,24),-1.1013 # DEPENDENCYPART_ARC
(18,25),-1.10212 # DEPENDENCYPART_ARC
(18,27),-2.67991 # DEPENDENCYPART_ARC
(18,28),-2.09534 # DEPENDENCYPART_ARC
(18,34),0.472734 # DEPENDENCYPART_ARC
(19,17),-1.79138 # DEPENDENCYPART_ARC
(19,20),-1.29691 # DEPENDENCYPART_ARC
(19,22),-1.39011 # DEPENDENCYPART_ARC
(20,10),-1.55639 # DEPENDENCYPART_ARC
(20,17),-2.14003 # DEPENDENCYPART_ARC
(20,18),-1.13061 # DEPENDENCYPART_ARC
(20,19),1.19668 # DEPENDENCYPART_ARC
(20,21),-0.805519 # DEPENDENCYPART_ARC
(20,22),-0.782037 # DEPENDENCYPART_ARC
(20,23),-1.77863 # DEPENDENCYPART_ARC
(20,24),-0.907699 # DEPENDENCYPART_ARC
(20,25),-1.32818 # DEPENDENCYPART_ARC
(20,27),-2.46488 # DEPENDENCYPART_ARC
(20,28),-1.7717 # DEPENDENCYPART_ARC
(20,32),-2.71467 # DEPENDENCYPART_ARC
(21,3),-2.52094 # DEPENDENCYPART_ARC
(21,5),-2.5477 # DEPENDENCYPART_ARC
(21,12),-1.91431 # DEPENDENCYPART_ARC
(21,14),-1.95531 # DEPENDENCYPART_ARC
(21,17),-2.30386 # DEPENDENCYPART_ARC
(21,19),-0.994456 # DEPENDENCYPART_ARC
(21,20),0.217594 # DEPENDENCYPART_ARC
(21,22),0.482719 # DEPENDENCYPART_ARC
(21,23),-1.19646 # DEPENDENCYPART_ARC
(21,24),-1.02498 # DEPENDENCYPART_ARC
(21,25),-1.23941 # DEPENDENCYPART_ARC
(21,27),-2.39359 # DEPENDENCYPART_ARC
(21,28),-1.57174 # DEPENDENCYPART_ARC
(21,32),-2.01437 # DEPENDENCYPART_ARC
(22,21),-1.81694 # DEPENDENCYPART_ARC
(22,23),-0.0368785 # DEPENDENCYPART_ARC
(22,24),0.794262 # DEPENDENCYPART_ARC
(22,25),-1.23127 # DEPENDENCYPART_ARC
(22,26),-2.68253 # DEPENDENCYPART_ARC
(22,27),-1.82153 # DEPENDENCYPART_ARC
(22,28),-1.79529 # DEPENDENCYPART_ARC
(22,30),-2.62976 # DEPENDENCYPART_ARC
(22,31),-2.61161 # DEPENDENCYPART_ARC
(22,33),-2.94747 # DEPENDENCYPART_ARC
(23,25),-1.7551 # DEPENDENCYPART_ARC
(24,2),-2.76345 # DEPENDENCYPART_ARC
(24,3),-2.59495 # DEPENDENCYPART_ARC
(24,4),-2.41105 # DEPENDENCYPART_ARC
(24,5),-2.80354 # DEPENDENCYPART_ARC
(24,6),-3.25901 # DEPENDENCYPART_ARC
(24,7),-2.33144 # DEPENDENCYPART_ARC
(24,8),-2.07131 # DEPENDENCYPART_ARC
(24,9),-1.68727 # DEPENDENCYPART_ARC
(24,11),-1.90409 # DEPENDENCYPART_ARC
(24,12),-1.57852 # DEPENDENCYPART_ARC
(24,14),-2.28429 # DEPENDENCYPART_ARC
(24,17),-1.80787 # DEPENDENCYPART_ARC
(24,19),-2.06357 # DEPENDENCYPART_ARC
(24,20),-1.12956 # DEPENDENCYPART_ARC
(24,21),-1.49964 # DEPENDENCYPART_ARC
(24,22),-1.16506 # DEPENDENCYPART_ARC
(24,23),1.39425 # DEPENDENCYPART_ARC
(24,25),1.66466 # DEPENDENCYPART_ARC
(24,26),-1.43823 # DEPENDENCYPART_ARC
(24,27),-0.908077 # DEPENDENCYPART_ARC
(24,28),-0.386132 # DEPENDENCYPART_ARC
(24,29),-1.67768 # DEPENDENCYPART_ARC
(24,30),-1.91862 # DEPENDENCYPART_ARC
(24,31),-1.63315 # DEPENDENCYPART_ARC
(24,32),-0.530367 # DEPENDENCYPART_ARC
(24,33),-1.9576 # DEPENDENCYPART_ARC
(24,34),-1.14913 # DEPENDENCYPART_ARC
(25,23),-2.14612 # DEPENDENCYPART_ARC
(25,26),-1.01889 # DEPENDENCYPART_ARC
(25,27),-0.254572 # DEPENDENCYPART_ARC
(25,28),-1.33925 # DEPENDENCYPART_ARC
(25,29),-1.82125 # DEPENDENCYPART_ARC
(25,30),-1.817 # DEPENDENCYPART_ARC
(25,31),-1.07955 # DEPENDENCYPART_ARC
(25,33),-2.08012 # DEPENDENCYPART_ARC
(27,23),-2.70182 # DEPENDENCYPART_ARC
(27,25),-1.66709 # DEPENDENCYPART_ARC
(27,26),0.63236 # DEPENDENCYPART_ARC
(27,28),1.02772 # DEPENDENCYPART_ARC
(27,29),-1.04569 # DEPENDENCYPART_ARC
(27,30),-1.41271 # DEPENDENCYPART_ARC
(27,31),-1.60295 # DEPENDENCYPART_ARC
(27,32),-0.799498 # DEPENDENCYPART_ARC
(27,33),-2.50505 # DEPENDENCYPART_ARC
(28,26),-2.28018 # DEPENDENCYPART_ARC
(28,29),0.510374 # DEPENDENCYPART_ARC
(28,30),-0.353886 # DEPENDENCYPART_ARC
(28,31),-0.631323 # DEPENDENCYPART_ARC
(28,32),-1.86144 # DEPENDENCYPART_ARC
(28,33),-0.845892 # DEPENDENCYPART_ARC
(29,30),-1.78579 # DEPENDENCYPART_ARC
(29,31),-2.3815 # DEPENDENCYPART_ARC
(29,32),-1.70088 # DEPENDENCYPART_ARC
(29,33),-3.28069 # DEPENDENCYPART_ARC
(30,26),-2.18501 # DEPENDENCYPART_ARC
(30,27),-1.91072 # DEPENDENCYPART_ARC
(30,29),0.219668 # DEPENDENCYPART_ARC
(30,31),-0.743198 # DEPENDENCYPART_ARC
(30,32),-0.968656 # DEPENDENCYPART_ARC
(30,33),-2.63417 # DEPENDENCYPART_ARC
(31,1),-4.92522 # DEPENDENCYPART_ARC
(31,21),-2.91028 # DEPENDENCYPART_ARC
(31,26),-0.122708 # DEPENDENCYPART_ARC
(31,27),-0.599474 # DEPENDENCYPART_ARC
(31,28),-1.68145 # DEPENDENCYPART_ARC
(31,29),0.687294 # DEPENDENCYPART_ARC
(31,30),0.96786 # DEPENDENCYPART_ARC
(31,32),0.612885 # DEPENDENCYPART_ARC
(31,33),-1.11009 # DEPENDENCYPART_ARC
(32,33),1.27384 # DEPENDENCYPART_ARC
(33,26),-2.61499 # DEPENDENCYPART_ARC
(33,29),-1.75155 # DEPENDENCYPART_ARC
(33,30),-1.48408 # DEPENDENCYPART_ARC
(33,31),-0.952466 # DEPENDENCYPART_ARC
(33,32),-0.594506 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.138366 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.749413 # DEPENDENCYPART_SIBL
(0,2),(0,16),-1.17566 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.70088 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.747087 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.770828 # DEPENDENCYPART_SIBL
(0,3),(0,16),-1.16705 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.69722 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.768311 # DEPENDENCYPART_SIBL
(0,9),(0,16),-2.27145 # DEPENDENCYPART_SIBL
(0,9),(0,18),-1.48695 # DEPENDENCYPART_SIBL
(0,9),(0,24),-1.6453 # DEPENDENCYPART_SIBL
(0,16),(0,18),-1.77018 # DEPENDENCYPART_SIBL
(0,16),(0,24),-1.91484 # DEPENDENCYPART_SIBL
(0,18),(0,24),-1.63977 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0693425 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0556334 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0685575 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0835044 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00155139 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.25822 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0276006 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0408532 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0835044 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0902137 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0988913 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0732519 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.12732 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0803694 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0417001 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0471934 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0761927 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0248758 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0803694 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0327298 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0253805 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00883038 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0687405 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0698634 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.104456 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0590247 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0815201 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0687405 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0994233 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0889459 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0359964 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.052529 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0580127 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0876938 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0367186 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0359964 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0435502 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0364318 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.348843 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.514268 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.728745 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.172453 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.162926 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.326816 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.556869 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00245001 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0716367 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0960756 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0399591 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0355225 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0703047 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00680892 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0167256 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.296906 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.310397 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.132793 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0482424 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0110745 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0792092 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.049871 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.110187 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0146259 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.128971 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.326816 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.556869 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.199423 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.294485 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.172388 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0358026 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0458093 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.022261 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0601475 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.159378 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0115094 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0430164 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0458093 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0732044 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00867944 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0220517 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0336092 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0134446 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.169048 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.152018 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.152018 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0348141 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0132552 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0799643 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0673682 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0368507 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0137834 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0078048 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0432166 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0799643 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0310154 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0474738 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0428214 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0377776 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0741228 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0211093 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0528257 # DEPENDENCYPART_SIBL
(3,2),(3,32),-0.0528257 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0179809 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0541942 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.108763 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0335143 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0235969 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00695203 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0522239 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0541942 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0357083 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0983043 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0728181 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0194226 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.849091 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0359073 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.111166 # DEPENDENCYPART_SIBL
(3,4),(3,32),0.111166 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0194881 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.117484 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0426021 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0662329 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0506398 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00293305 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0194881 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0788802 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0273914 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.03038 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0317421 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0369534 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0756522 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.00947547 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.00947547 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0419406 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.316379 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.478197 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.62805 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.124302 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0396275 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.25496 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.445292 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.344446 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.464963 # DEPENDENCYPART_SIBL
