# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(6,7),-0.478086 # DEPENDENCYPART_ARC
(6,8),0.353558 # DEPENDENCYPART_ARC
(6,9),0.498634 # DEPENDENCYPART_ARC
(6,10),-1.52168 # DEPENDENCYPART_ARC
(6,11),-1.32022 # DEPENDENCYPART_ARC
(6,13),-1.67966 # DEPENDENCYPART_ARC
(6,14),-1.60087 # DEPENDENCYPART_ARC
(6,17),-2.78524 # DEPENDENCYPART_ARC
(6,24),-2.54712 # DEPENDENCYPART_ARC
(7,2),-2.70184 # DEPENDENCYPART_ARC
(7,6),-1.36524 # DEPENDENCYPART_ARC
(7,8),-0.940841 # DEPENDENCYPART_ARC
(7,10),-1.40009 # DEPENDENCYPART_ARC
(8,4),-2.15716 # DEPENDENCYPART_ARC
(8,7),-0.63194 # DEPENDENCYPART_ARC
(8,9),-0.984993 # DEPENDENCYPART_ARC
(8,10),-1.65639 # DEPENDENCYPART_ARC
(8,11),-1.65075 # DEPENDENCYPART_ARC
(8,13),-2.37415 # DEPENDENCYPART_ARC
(8,14),-1.73536 # DEPENDENCYPART_ARC
(9,1),-1.3769 # DEPENDENCYPART_ARC
(9,2),-1.84728 # DEPENDENCYPART_ARC
(9,3),-2.15025 # DEPENDENCYPART_ARC
(9,4),-1.10616 # DEPENDENCYPART_ARC
(9,5),-0.888794 # DEPENDENCYPART_ARC
(9,6),-1.49009 # DEPENDENCYPART_ARC
(9,7),1.22876 # DEPENDENCYPART_ARC
(9,8),2.23753 # DEPENDENCYPART_ARC
(9,10),-0.877082 # DEPENDENCYPART_ARC
(9,11),-1.44198 # DEPENDENCYPART_ARC
(9,12),-1.79373 # DEPENDENCYPART_ARC
(9,13),-2.12032 # DEPENDENCYPART_ARC
(9,14),-1.53947 # DEPENDENCYPART_ARC
(9,17),-2.60934 # DEPENDENCYPART_ARC
(9,18),-2.53546 # DEPENDENCYPART_ARC
(9,24),-2.83985 # DEPENDENCYPART_ARC
(10,9),-2.07509 # DEPENDENCYPART_ARC
(11,1),-1.04451 # DEPENDENCYPART_ARC
(11,2),-0.966085 # DEPENDENCYPART_ARC
(11,3),-1.07432 # DEPENDENCYPART_ARC
(11,4),-2.08804 # DEPENDENCYPART_ARC
(11,5),-0.264412 # DEPENDENCYPART_ARC
(11,6),-1.64727 # DEPENDENCYPART_ARC
(11,7),-1.56043 # DEPENDENCYPART_ARC
(11,8),-0.277596 # DEPENDENCYPART_ARC
(11,9),-1.53635 # DEPENDENCYPART_ARC
(11,10),-0.605905 # DEPENDENCYPART_ARC
(11,12),0.559724 # DEPENDENCYPART_ARC
(11,13),0.472739 # DEPENDENCYPART_ARC
(11,14),-0.409969 # DEPENDENCYPART_ARC
(11,15),-2.05918 # DEPENDENCYPART_ARC
(11,16),-1.59965 # DEPENDENCYPART_ARC
(11,17),-1.88156 # DEPENDENCYPART_ARC
(11,18),-1.39382 # DEPENDENCYPART_ARC
(11,20),-2.1753 # DEPENDENCYPART_ARC
(11,21),-0.209417 # DEPENDENCYPART_ARC
(11,23),-2.44704 # DEPENDENCYPART_ARC
(11,24),1.30698 # DEPENDENCYPART_ARC
(12,2),-2.96849 # DEPENDENCYPART_ARC
(12,9),-2.25486 # DEPENDENCYPART_ARC
(12,10),-1.9835 # DEPENDENCYPART_ARC
(12,13),-0.919563 # DEPENDENCYPART_ARC
(12,14),-1.26818 # DEPENDENCYPART_ARC
(13,4),-1.76958 # DEPENDENCYPART_ARC
(13,5),-2.26678 # DEPENDENCYPART_ARC
(13,6),-2.26482 # DEPENDENCYPART_ARC
(13,7),-1.27197 # DEPENDENCYPART_ARC
(13,8),-1.01898 # DEPENDENCYPART_ARC
(13,9),-1.43761 # DEPENDENCYPART_ARC
(13,10),-1.63398 # DEPENDENCYPART_ARC
(13,12),1.39663 # DEPENDENCYPART_ARC
(13,14),0.832709 # DEPENDENCYPART_ARC
(13,15),-1.70786 # DEPENDENCYPART_ARC
(13,16),-1.3975 # DEPENDENCYPART_ARC
(13,17),-1.27771 # DEPENDENCYPART_ARC
(13,18),-1.28927 # DEPENDENCYPART_ARC
(13,20),-1.78302 # DEPENDENCYPART_ARC
(13,21),-0.622227 # DEPENDENCYPART_ARC
(13,23),-2.03953 # DEPENDENCYPART_ARC
(13,24),-1.77732 # DEPENDENCYPART_ARC
(14,12),-2.43627 # DEPENDENCYPART_ARC
(14,13),-1.60385 # DEPENDENCYPART_ARC
(14,15),-1.15768 # DEPENDENCYPART_ARC
(14,16),-0.723458 # DEPENDENCYPART_ARC
(14,17),-0.281929 # DEPENDENCYPART_ARC
(14,18),-1.8368 # DEPENDENCYPART_ARC
(14,19),-1.79125 # DEPENDENCYPART_ARC
(14,20),-1.24644 # DEPENDENCYPART_ARC
(14,22),-2.56397 # DEPENDENCYPART_ARC
(14,23),-1.01606 # DEPENDENCYPART_ARC
(15,18),-1.65634 # DEPENDENCYPART_ARC
(16,15),-0.824413 # DEPENDENCYPART_ARC
(16,17),-1.37947 # DEPENDENCYPART_ARC
(16,18),-1.07284 # DEPENDENCYPART_ARC
(16,20),-2.5951 # DEPENDENCYPART_ARC
(16,21),-1.54687 # DEPENDENCYPART_ARC
(16,23),-4.05953 # DEPENDENCYPART_ARC
(17,7),-2.92801 # DEPENDENCYPART_ARC
(17,9),-2.58697 # DEPENDENCYPART_ARC
(17,12),-1.64316 # DEPENDENCYPART_ARC
(17,13),-1.82192 # DEPENDENCYPART_ARC
(17,15),0.936902 # DEPENDENCYPART_ARC
(17,16),1.44733 # DEPENDENCYPART_ARC
(17,18),0.574278 # DEPENDENCYPART_ARC
(17,19),-1.3667 # DEPENDENCYPART_ARC
(17,20),-1.24166 # DEPENDENCYPART_ARC
(17,21),-0.508899 # DEPENDENCYPART_ARC
(17,22),-2.48495 # DEPENDENCYPART_ARC
(17,23),-2.51198 # DEPENDENCYPART_ARC
(17,24),-1.98933 # DEPENDENCYPART_ARC
(18,19),0.419336 # DEPENDENCYPART_ARC
(18,20),0.361409 # DEPENDENCYPART_ARC
(18,21),-1.0776 # DEPENDENCYPART_ARC
(18,22),-1.7145 # DEPENDENCYPART_ARC
(18,23),-0.588919 # DEPENDENCYPART_ARC
(19,15),-2.96668 # DEPENDENCYPART_ARC
(19,16),-2.44988 # DEPENDENCYPART_ARC
(19,20),-0.844148 # DEPENDENCYPART_ARC
(19,21),-0.549971 # DEPENDENCYPART_ARC
(19,23),-2.92428 # DEPENDENCYPART_ARC
(20,12),-2.82277 # DEPENDENCYPART_ARC
(20,15),-0.718769 # DEPENDENCYPART_ARC
(20,16),-1.17305 # DEPENDENCYPART_ARC
(20,17),-1.37792 # DEPENDENCYPART_ARC
(20,18),-1.53523 # DEPENDENCYPART_ARC
(20,19),1.35056 # DEPENDENCYPART_ARC
(20,21),1.61363 # DEPENDENCYPART_ARC
(20,22),-1.6026 # DEPENDENCYPART_ARC
(20,23),-1.44185 # DEPENDENCYPART_ARC
(21,20),-1.38523 # DEPENDENCYPART_ARC
(21,22),0.326574 # DEPENDENCYPART_ARC
(21,23),-0.311863 # DEPENDENCYPART_ARC
(22,23),-1.26629 # DEPENDENCYPART_ARC
(23,12),-3.05815 # DEPENDENCYPART_ARC
(23,15),-1.73845 # DEPENDENCYPART_ARC
(23,16),-2.43399 # DEPENDENCYPART_ARC
(23,17),-2.6351 # DEPENDENCYPART_ARC
(23,19),-0.901576 # DEPENDENCYPART_ARC
(23,20),-1.2006 # DEPENDENCYPART_ARC
(23,22),1.00703 # DEPENDENCYPART_ARC
(23,24),-1.27819 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.218109 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.697166 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.697166 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0063009 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0543162 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0528387 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0403544 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0063009 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.026466 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0301227 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0108191 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.00559257 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.63559 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.294531 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.383421 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0760941 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.479543 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.943275 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.449513 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.00421491 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0337762 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0912474 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.254729 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0168285 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.237975 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0595589 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0873505 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0692274 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.106536 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0208471 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.145812 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.193122 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.126221 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0382105 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.102152 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0675741 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0359073 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0895165 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.479543 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.943275 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.449513 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.00421491 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.00393108 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.100071 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.193216 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0648854 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0685225 # DEPENDENCYPART_SIBL
(1,21),(1,24),-0.175504 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.118152 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00105003 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0760823 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0845134 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0207878 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0359275 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0497147 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.118152 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0321347 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0306455 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.157027 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0811912 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00535452 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0811912 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0182772 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0946398 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0548225 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.151041 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.635666 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.294627 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.336382 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.643463 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.383481 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0761993 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.479598 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.32562 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.943355 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.347133 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.712039 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.347133 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.696342 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.449565 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.00426558 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0385382 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0181555 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0463732 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.044016 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0297565 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0143684 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0546964 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0446224 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00256043 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.022861 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0222105 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.022861 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0072381 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.060802 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0282778 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0338189 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0218239 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.274484 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0912441 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.25477 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0168268 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0200731 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.237964 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.037883 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00998756 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.037883 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00346208 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0595599 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0873507 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0617211 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.108208 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0692307 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.106577 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0208487 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0596009 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.145822 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0174971 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.137232 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0174971 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.125136 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.193123 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.126221 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0835532 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0370271 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0431216 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0497602 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0798855 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0478929 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0176235 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.034402 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0176235 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0194433 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0173097 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0308612 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.109524 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.229679 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0470605 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0224947 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.257095 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0507973 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.00636843 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0507973 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0198181 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0404347 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0705249 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0382512 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.102151 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00885201 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0675638 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0689729 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00388577 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0689729 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0130562 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0359066 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0895165 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.479598 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.32562 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.943355 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.347133 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.712039 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.347133 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.696342 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.449565 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.00426558 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0163068 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00394245 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.070262 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0252131 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.070262 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0103008 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.100073 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.193217 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0527891 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0246117 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0327803 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0246117 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0178215 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0183462 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.020073 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0577311 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.00599533 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0577311 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0191194 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0648863 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0685227 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0706134 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.357333 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.062497 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.27609 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.020456 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0269553 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0604139 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.00732232 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.00104356 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.062497 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.27609 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.020456 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.036952 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.00379594 # DEPENDENCYPART_SIBL
(2,21),(2,24),-0.175504 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0101019 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0643484 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0427145 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0770994 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00936308 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.107937 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.371722 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00661266 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0482208 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0168747 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0435405 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0484605 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0414774 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0385012 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0894517 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00960317 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0894517 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.014696 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0208732 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.105145 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.37529 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00280513 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0418953 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00968709 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0392851 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0368992 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0401924 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0442541 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0965286 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.000861598 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0965286 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0122738 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0137927 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0852138 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0386337 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0214509 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0241543 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0515364 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00158274 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.017684 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0166938 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0412008 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0466662 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0412008 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0687102 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0624238 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.104903 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.158899 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0328012 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0158047 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0091239 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0988609 # DEPENDENCYPART_SIBL
