# _root_ But then , as quickly as the Dow had fallen , it began to turn around .
#goldHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
#predictedHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
(6,10),-0.997548 # DEPENDENCYPART_ARC
(6,11),-1.44126 # DEPENDENCYPART_ARC
(6,13),-0.424155 # DEPENDENCYPART_ARC
(6,14),-2.28572 # DEPENDENCYPART_ARC
(6,15),-1.91552 # DEPENDENCYPART_ARC
(6,16),-2.07092 # DEPENDENCYPART_ARC
(6,17),-1.80652 # DEPENDENCYPART_ARC
(7,9),-1.6216 # DEPENDENCYPART_ARC
(7,10),-2.29941 # DEPENDENCYPART_ARC
(7,13),-2.26307 # DEPENDENCYPART_ARC
(8,3),-2.07916 # DEPENDENCYPART_ARC
(8,5),-1.65509 # DEPENDENCYPART_ARC
(8,6),-1.35069 # DEPENDENCYPART_ARC
(8,7),1.01376 # DEPENDENCYPART_ARC
(8,9),-1.15653 # DEPENDENCYPART_ARC
(8,10),-1.69937 # DEPENDENCYPART_ARC
(8,11),-1.6079 # DEPENDENCYPART_ARC
(8,13),-2.30961 # DEPENDENCYPART_ARC
(9,1),-1.60742 # DEPENDENCYPART_ARC
(9,2),-1.60322 # DEPENDENCYPART_ARC
(9,3),-1.27129 # DEPENDENCYPART_ARC
(9,4),-1.71952 # DEPENDENCYPART_ARC
(9,5),-1.71342 # DEPENDENCYPART_ARC
(9,6),-1.44567 # DEPENDENCYPART_ARC
(9,7),-1.50801 # DEPENDENCYPART_ARC
(9,8),0.274553 # DEPENDENCYPART_ARC
(9,10),1.845 # DEPENDENCYPART_ARC
(9,11),-1.34411 # DEPENDENCYPART_ARC
(9,12),-1.54315 # DEPENDENCYPART_ARC
(9,13),-0.561913 # DEPENDENCYPART_ARC
(9,14),-1.20483 # DEPENDENCYPART_ARC
(9,15),-2.0677 # DEPENDENCYPART_ARC
(9,16),-1.75472 # DEPENDENCYPART_ARC
(9,17),-0.832548 # DEPENDENCYPART_ARC
(10,1),-2.41383 # DEPENDENCYPART_ARC
(10,2),-1.85708 # DEPENDENCYPART_ARC
(10,3),-2.10365 # DEPENDENCYPART_ARC
(10,4),-1.72832 # DEPENDENCYPART_ARC
(10,5),-1.5332 # DEPENDENCYPART_ARC
(10,6),-1.50169 # DEPENDENCYPART_ARC
(10,7),-1.55839 # DEPENDENCYPART_ARC
(10,8),-1.55656 # DEPENDENCYPART_ARC
(10,9),-1.03298 # DEPENDENCYPART_ARC
(10,11),-0.833915 # DEPENDENCYPART_ARC
(10,12),-0.963732 # DEPENDENCYPART_ARC
(10,13),-0.802423 # DEPENDENCYPART_ARC
(10,14),-0.640964 # DEPENDENCYPART_ARC
(10,15),-1.5802 # DEPENDENCYPART_ARC
(10,16),-1.2299 # DEPENDENCYPART_ARC
(10,17),-1.97462 # DEPENDENCYPART_ARC
(12,11),-0.98745 # DEPENDENCYPART_ARC
(12,14),-1.25399 # DEPENDENCYPART_ARC
(13,1),-1.40973 # DEPENDENCYPART_ARC
(13,2),-1.29466 # DEPENDENCYPART_ARC
(13,3),-1.68458 # DEPENDENCYPART_ARC
(13,4),-1.34546 # DEPENDENCYPART_ARC
(13,5),-1.59639 # DEPENDENCYPART_ARC
(13,6),-0.986011 # DEPENDENCYPART_ARC
(13,7),-2.10684 # DEPENDENCYPART_ARC
(13,8),-1.7721 # DEPENDENCYPART_ARC
(13,9),-1.47052 # DEPENDENCYPART_ARC
(13,10),-1.56074 # DEPENDENCYPART_ARC
(13,11),0.148336 # DEPENDENCYPART_ARC
(13,12),1.81458 # DEPENDENCYPART_ARC
(13,14),1.70519 # DEPENDENCYPART_ARC
(13,15),-0.0990881 # DEPENDENCYPART_ARC
(13,16),-0.626471 # DEPENDENCYPART_ARC
(13,17),-0.911389 # DEPENDENCYPART_ARC
(14,4),-2.44073 # DEPENDENCYPART_ARC
(14,8),-2.66411 # DEPENDENCYPART_ARC
(14,10),-2.39379 # DEPENDENCYPART_ARC
(14,11),-1.76167 # DEPENDENCYPART_ARC
(14,12),-1.6926 # DEPENDENCYPART_ARC
(14,15),1.75361 # DEPENDENCYPART_ARC
(14,16),-0.607805 # DEPENDENCYPART_ARC
(14,17),-1.98207 # DEPENDENCYPART_ARC
(15,1),-2.97505 # DEPENDENCYPART_ARC
(15,2),-2.17697 # DEPENDENCYPART_ARC
(15,3),-2.35035 # DEPENDENCYPART_ARC
(15,4),-2.09374 # DEPENDENCYPART_ARC
(15,5),-2.0055 # DEPENDENCYPART_ARC
(15,6),-1.71275 # DEPENDENCYPART_ARC
(15,8),-2.30902 # DEPENDENCYPART_ARC
(15,10),-1.9498 # DEPENDENCYPART_ARC
(15,11),-1.70532 # DEPENDENCYPART_ARC
(15,12),-1.76 # DEPENDENCYPART_ARC
(15,16),0.907125 # DEPENDENCYPART_ARC
(15,17),-1.23045 # DEPENDENCYPART_ARC
(16,1),-2.79159 # DEPENDENCYPART_ARC
(16,6),-1.61028 # DEPENDENCYPART_ARC
(16,8),-2.52502 # DEPENDENCYPART_ARC
(16,17),-1.88815 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.0524147 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0956571 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.029009 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.693669 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0456064 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.718186 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.106225 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.191398 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.713107 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.136148 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.743399 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0398879 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.698848 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.070134 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.721218 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.764198 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.158181 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.749304 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.622055 # DEPENDENCYPART_SIBL
(0,9),(0,13),-1.67849 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.713524 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0798745 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0635038 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0557621 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.296459 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.30838 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.591006 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.349879 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.191645 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.239483 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.018011 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.220076 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.237773 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.269296 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.279071 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.821669 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.153376 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0858524 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0457701 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0357304 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.056204 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0124458 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.012767 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.1712 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.393307 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.230795 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.360811 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.236619 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.35075 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.359771 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.193491 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00691336 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.126398 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.06129 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0284029 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0608304 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0284352 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.430203 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0288255 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00287687 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0285267 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.075146 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.091995 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0391192 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0302772 # DEPENDENCYPART_SIBL
(2,6),(2,17),-2.10742e-05 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0886278 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0968951 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0440851 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.252997 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.267733 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.204407 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.102818 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.377785 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.102725 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.143231 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.121207 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0464298 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0127661 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0147341 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.056967 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.219134 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0130291 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0178495 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.052211 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00495497 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.216149 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.173722 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0310626 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.121544 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0169563 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0621842 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0133246 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.116044 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.230668 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0685989 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0322896 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.278233 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0432459 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0983386 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0542594 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0670054 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0238625 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.000466684 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0341809 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00339267 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.84799 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0138981 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00408945 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0770244 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0419355 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0566851 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.660784 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0111252 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0750684 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.102059 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00234441 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0816609 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0339707 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.113376 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.116106 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.00441642 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.113887 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.075217 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.154149 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0929164 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00538419 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0557375 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0350733 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.069656 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0442613 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.038201 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0341309 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0487425 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.107866 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00518234 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0455959 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0138342 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0929823 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00444346 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0177045 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.132121 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.209385 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.114313 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0864293 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.109989 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.204301 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0189856 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0704422 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.114153 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0430666 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.226005 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0108039 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.355844 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0258808 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00127797 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.214031 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0529188 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0516237 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.125872 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0280653 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.042822 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.048462 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.10167 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.178613 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0308617 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0755167 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0793518 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.142573 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00709542 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0455435 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.135875 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0222984 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0164907 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.156533 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0942603 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0776785 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0727832 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.270659 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0523608 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.188106 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0876301 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0558852 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.026816 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.043453 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0661304 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.167876 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0437693 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.216692 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.087836 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.209933 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.194086 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0280905 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0738694 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.030692 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.166463 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.219492 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0759932 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.163818 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0825217 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0690592 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0794682 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0444829 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00973995 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.015359 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.483654 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0533054 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.000748572 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.701657 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0779206 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0870972 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0862294 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.197165 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.193724 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.132757 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.233631 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0974349 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0984623 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0317271 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.034447 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0393749 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0229008 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0326908 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0547541 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00136589 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0567529 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0200913 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.000667418 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0501766 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0887324 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0491429 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0430416 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0970154 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.019144 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0089921 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.233702 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.248331 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.300048 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.135796 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0159103 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.146139 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.378735 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.247436 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.234143 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.387398 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0679904 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.343673 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.338932 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0444683 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00133291 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.035539 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.000135739 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.118183 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.035516 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0316615 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0765627 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00400931 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.300138 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0830415 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.282319 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.159575 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0859777 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0121848 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.13896 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00444126 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0694704 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0174007 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.106981 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0246321 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0276883 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.107286 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.130473 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0861019 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.080651 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0425532 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.027843 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0268176 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.978259 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00840831 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.032688 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0518398 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.065184 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.140345 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.156441 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.026711 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0282836 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0814539 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.035314 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0354268 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0412992 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.222386 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0139478 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00669697 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.179268 # DEPENDENCYPART_SIBL
