# _root_ When he came to Applied , `` I did n't have the power to execute as I do today , '' he says .
#goldHeads=3,3,9,3,4,9,9,9,23,9,9,13,11,13,14,15,18,16,18,9,9,23,0,23,
#predictedHeads=3,3,9,3,4,5,23,9,23,9,9,13,11,13,14,15,18,16,18,23,23,23,0,23,
(7,6),-1.96714 # DEPENDENCYPART_ARC
(7,8),-2.02057 # DEPENDENCYPART_ARC
(7,9),-1.96966 # DEPENDENCYPART_ARC
(8,7),-1.67785 # DEPENDENCYPART_ARC
(8,11),-2.5245 # DEPENDENCYPART_ARC
(9,1),-0.861223 # DEPENDENCYPART_ARC
(9,2),-1.31314 # DEPENDENCYPART_ARC
(9,3),-1.28734 # DEPENDENCYPART_ARC
(9,4),-1.93502 # DEPENDENCYPART_ARC
(9,5),-1.87033 # DEPENDENCYPART_ARC
(9,6),-1.02101 # DEPENDENCYPART_ARC
(9,7),-0.806436 # DEPENDENCYPART_ARC
(9,8),1.43966 # DEPENDENCYPART_ARC
(9,10),1.34547 # DEPENDENCYPART_ARC
(9,11),0.908417 # DEPENDENCYPART_ARC
(9,12),-1.8975 # DEPENDENCYPART_ARC
(9,13),-0.477748 # DEPENDENCYPART_ARC
(9,14),-0.515972 # DEPENDENCYPART_ARC
(9,15),-1.20608 # DEPENDENCYPART_ARC
(9,16),-0.889661 # DEPENDENCYPART_ARC
(9,17),-1.76701 # DEPENDENCYPART_ARC
(9,18),-0.901759 # DEPENDENCYPART_ARC
(9,19),-1.50844 # DEPENDENCYPART_ARC
(9,20),-1.11443 # DEPENDENCYPART_ARC
(9,21),-0.608771 # DEPENDENCYPART_ARC
(9,22),-2.31875 # DEPENDENCYPART_ARC
(9,23),-1.10943 # DEPENDENCYPART_ARC
(9,24),-1.00972 # DEPENDENCYPART_ARC
(10,8),-1.97413 # DEPENDENCYPART_ARC
(10,11),-1.52507 # DEPENDENCYPART_ARC
(10,13),-2.43447 # DEPENDENCYPART_ARC
(10,14),-2.41409 # DEPENDENCYPART_ARC
(10,16),-2.25163 # DEPENDENCYPART_ARC
(11,1),-1.06782 # DEPENDENCYPART_ARC
(11,3),-2.38313 # DEPENDENCYPART_ARC
(11,4),-2.31977 # DEPENDENCYPART_ARC
(11,5),-2.40511 # DEPENDENCYPART_ARC
(11,6),-2.0864 # DEPENDENCYPART_ARC
(11,7),-1.97873 # DEPENDENCYPART_ARC
(11,8),-1.86796 # DEPENDENCYPART_ARC
(11,9),-1.95813 # DEPENDENCYPART_ARC
(11,10),-0.809108 # DEPENDENCYPART_ARC
(11,12),-0.637829 # DEPENDENCYPART_ARC
(11,13),0.546831 # DEPENDENCYPART_ARC
(11,14),-0.0760183 # DEPENDENCYPART_ARC
(11,15),-0.549299 # DEPENDENCYPART_ARC
(11,16),-0.0629296 # DEPENDENCYPART_ARC
(11,17),-1.46513 # DEPENDENCYPART_ARC
(11,18),-0.87727 # DEPENDENCYPART_ARC
(11,19),-0.630327 # DEPENDENCYPART_ARC
(11,20),-1.21004 # DEPENDENCYPART_ARC
(11,21),-1.07204 # DEPENDENCYPART_ARC
(11,22),-1.90047 # DEPENDENCYPART_ARC
(11,23),-1.36549 # DEPENDENCYPART_ARC
(11,24),-1.10143 # DEPENDENCYPART_ARC
(12,14),-1.94996 # DEPENDENCYPART_ARC
(13,10),-1.59297 # DEPENDENCYPART_ARC
(13,11),-1.61737 # DEPENDENCYPART_ARC
(13,12),1.41716 # DEPENDENCYPART_ARC
(13,14),0.105171 # DEPENDENCYPART_ARC
(13,15),-1.01454 # DEPENDENCYPART_ARC
(13,16),-1.09359 # DEPENDENCYPART_ARC
(13,17),-1.92508 # DEPENDENCYPART_ARC
(13,18),-1.03986 # DEPENDENCYPART_ARC
(13,19),-1.61691 # DEPENDENCYPART_ARC
(13,20),-1.61467 # DEPENDENCYPART_ARC
(13,21),-1.49358 # DEPENDENCYPART_ARC
(13,23),-1.67532 # DEPENDENCYPART_ARC
(13,24),-1.78908 # DEPENDENCYPART_ARC
(14,1),-1.92936 # DEPENDENCYPART_ARC
(14,7),-2.3151 # DEPENDENCYPART_ARC
(14,10),-1.87359 # DEPENDENCYPART_ARC
(14,12),-1.93321 # DEPENDENCYPART_ARC
(14,13),-1.50174 # DEPENDENCYPART_ARC
(14,15),1.95252 # DEPENDENCYPART_ARC
(14,16),-0.922709 # DEPENDENCYPART_ARC
(14,17),-1.18562 # DEPENDENCYPART_ARC
(14,18),-1.33367 # DEPENDENCYPART_ARC
(14,19),-1.18872 # DEPENDENCYPART_ARC
(14,20),-1.34963 # DEPENDENCYPART_ARC
(15,1),-1.40862 # DEPENDENCYPART_ARC
(15,3),-2.09731 # DEPENDENCYPART_ARC
(15,7),-2.13119 # DEPENDENCYPART_ARC
(15,10),-1.73767 # DEPENDENCYPART_ARC
(15,11),-1.70139 # DEPENDENCYPART_ARC
(15,12),-1.25282 # DEPENDENCYPART_ARC
(15,13),-1.43298 # DEPENDENCYPART_ARC
(15,16),0.605451 # DEPENDENCYPART_ARC
(15,17),-0.917939 # DEPENDENCYPART_ARC
(15,18),-0.533883 # DEPENDENCYPART_ARC
(15,19),-0.598612 # DEPENDENCYPART_ARC
(15,20),-1.52964 # DEPENDENCYPART_ARC
(15,21),-1.38586 # DEPENDENCYPART_ARC
(15,22),-1.96386 # DEPENDENCYPART_ARC
(15,23),-1.44551 # DEPENDENCYPART_ARC
(15,24),-2.04548 # DEPENDENCYPART_ARC
(16,14),-1.98111 # DEPENDENCYPART_ARC
(16,15),-1.16341 # DEPENDENCYPART_ARC
(16,17),0.150819 # DEPENDENCYPART_ARC
(16,18),1.02278 # DEPENDENCYPART_ARC
(16,19),-1.05013 # DEPENDENCYPART_ARC
(16,20),-1.03895 # DEPENDENCYPART_ARC
(16,21),-1.24593 # DEPENDENCYPART_ARC
(16,22),-2.32834 # DEPENDENCYPART_ARC
(16,23),-0.71796 # DEPENDENCYPART_ARC
(16,24),-2.13843 # DEPENDENCYPART_ARC
(17,19),-1.97249 # DEPENDENCYPART_ARC
(18,1),-0.791656 # DEPENDENCYPART_ARC
(18,2),-2.33786 # DEPENDENCYPART_ARC
(18,3),-1.70112 # DEPENDENCYPART_ARC
(18,4),-1.76277 # DEPENDENCYPART_ARC
(18,5),-2.36409 # DEPENDENCYPART_ARC
(18,6),-1.99578 # DEPENDENCYPART_ARC
(18,7),-1.08895 # DEPENDENCYPART_ARC
(18,8),-1.65632 # DEPENDENCYPART_ARC
(18,9),-1.46308 # DEPENDENCYPART_ARC
(18,10),-1.28845 # DEPENDENCYPART_ARC
(18,11),-1.83728 # DEPENDENCYPART_ARC
(18,12),-1.52816 # DEPENDENCYPART_ARC
(18,13),-1.27563 # DEPENDENCYPART_ARC
(18,14),-1.0511 # DEPENDENCYPART_ARC
(18,15),-1.18624 # DEPENDENCYPART_ARC
(18,16),-0.531588 # DEPENDENCYPART_ARC
(18,17),1.89759 # DEPENDENCYPART_ARC
(18,19),0.747933 # DEPENDENCYPART_ARC
(18,20),-0.694355 # DEPENDENCYPART_ARC
(18,21),-1.06575 # DEPENDENCYPART_ARC
(18,22),-1.60159 # DEPENDENCYPART_ARC
(18,23),-0.802975 # DEPENDENCYPART_ARC
(18,24),-1.72871 # DEPENDENCYPART_ARC
(19,16),-2.69931 # DEPENDENCYPART_ARC
(19,17),-2.26849 # DEPENDENCYPART_ARC
(19,18),-1.89765 # DEPENDENCYPART_ARC
(19,20),-1.16892 # DEPENDENCYPART_ARC
(19,21),-1.5118 # DEPENDENCYPART_ARC
(19,22),-2.21712 # DEPENDENCYPART_ARC
(19,23),-1.88279 # DEPENDENCYPART_ARC
(21,22),-1.87268 # DEPENDENCYPART_ARC
(22,19),-2.15712 # DEPENDENCYPART_ARC
(22,21),-1.49005 # DEPENDENCYPART_ARC
(23,1),-2.2863 # DEPENDENCYPART_ARC
(23,2),-3.72994 # DEPENDENCYPART_ARC
(23,3),-0.661333 # DEPENDENCYPART_ARC
(23,4),-2.15332 # DEPENDENCYPART_ARC
(23,5),-2.73014 # DEPENDENCYPART_ARC
(23,6),-3.76464 # DEPENDENCYPART_ARC
(23,7),-0.225109 # DEPENDENCYPART_ARC
(23,8),-2.98966 # DEPENDENCYPART_ARC
(23,9),-0.401829 # DEPENDENCYPART_ARC
(23,10),-2.12257 # DEPENDENCYPART_ARC
(23,11),-1.60189 # DEPENDENCYPART_ARC
(23,13),-1.81843 # DEPENDENCYPART_ARC
(23,14),-1.83175 # DEPENDENCYPART_ARC
(23,15),-1.6718 # DEPENDENCYPART_ARC
(23,16),-1.70334 # DEPENDENCYPART_ARC
(23,17),-1.91923 # DEPENDENCYPART_ARC
(23,18),-0.801078 # DEPENDENCYPART_ARC
(23,19),-1.46015 # DEPENDENCYPART_ARC
(23,20),-0.0323133 # DEPENDENCYPART_ARC
(23,21),0.175943 # DEPENDENCYPART_ARC
(23,22),1.82053 # DEPENDENCYPART_ARC
(23,24),0.306232 # DEPENDENCYPART_ARC
(0,3),(0,9),-1.67627 # DEPENDENCYPART_SIBL
(0,3),(0,23),-1.84457 # DEPENDENCYPART_SIBL
(0,9),(0,23),-1.8703 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0564441 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0369428 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0495803 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0462299 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0550425 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.065056 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0589479 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.115451 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.316801 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0385186 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00121755 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0415512 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00416062 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0929272 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0911452 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00852552 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00155156 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0476726 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0438602 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00664009 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0391231 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0298912 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.448133 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.298278 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0373539 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.234674 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0509221 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.231078 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.104359 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.186135 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.134036 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.03165 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.134211 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.104081 # DEPENDENCYPART_SIBL
(3,1),(3,7),-5.12804e-05 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.023365 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0521207 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0511243 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.260824 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.172117 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.03165 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0565679 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0640035 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.104081 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0468829 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0149989 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.640715 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.11499 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.108832 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0673599 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0145361 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0693414 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.031154 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0977805 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.126263 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0723272 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.11499 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0317468 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0712317 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0673599 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0368736 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0737843 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0962199 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0792991 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.104345 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0143536 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.118534 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0103604 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0378254 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.225465 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0132069 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.446691 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.132161 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0659054 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.104345 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0513361 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0370327 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.041061 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00955027 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0351822 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0916302 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0709833 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0485553 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0248159 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0892184 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0277874 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0906705 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0592594 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.00955027 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0784753 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.000264628 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0322207 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.193812 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0341009 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.261095 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.120798 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0294487 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.176209 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.133802 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.412386 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.288734 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0842502 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0591269 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.129862 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0689384 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.113147 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.190155 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0355552 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.112569 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0509921 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0127899 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0216338 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.221861 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0979278 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0105138 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0869835 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0254969 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00992336 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0514163 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0431871 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0384753 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.00779764 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0415962 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0259341 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0331095 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.119384 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.00735988 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0528887 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.141115 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.227742 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.227753 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.216387 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.108196 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.219629 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0674921 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.107375 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.289694 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.00515833 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.136148 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0616413 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.209343 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.176368 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.199515 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.119254 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.129931 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0633745 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.148427 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.359109 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.245453 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.107476 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.191999 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0685613 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0588058 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0899913 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.100949 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0315532 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0971834 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0987773 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.00992177 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0838217 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0345212 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0608615 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.132161 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0659054 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.104345 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.0513361 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0370327 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.041061 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.125489 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0626392 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0672025 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.059953 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0400189 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.144785 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.118697 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.268423 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0753179 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0591269 # DEPENDENCYPART_SIBL
(3,20),(3,23),0.129862 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.0689384 # DEPENDENCYPART_SIBL
(3,21),(3,23),0.0148572 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.13583 # DEPENDENCYPART_SIBL
(3,23),(3,24),-0.0296479 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0217563 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0273205 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.111321 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.021516 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.000507194 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0314074 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.102985 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.105758 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.06504 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0226615 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0514684 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.19689 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0299107 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00586243 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0828835 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00953325 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0331278 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0459338 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0582666 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.121031 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0380647 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0806392 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.224921 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.263448 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.292856 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.121643 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.282429 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.612915 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0691972 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.269079 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.250657 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0613304 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.234616 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.490378 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.134657 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0680607 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.659713 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.19333 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.000198047 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.217957 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.178111 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.184877 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.110734 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.206041 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.130243 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.186661 # DEPENDENCYPART_SIBL
