# _root_ Mr. Freund , former chief economist of the New York Stock Exchange , is a professor of economics at Pace University 's business school in New York .
#goldHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
#predictedHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
(12,9),0.462705 # DEPENDENCYPART_ARC
(12,10),0.660973 # DEPENDENCYPART_ARC
(12,11),1.35767 # DEPENDENCYPART_ARC
(12,13),-1.10442 # DEPENDENCYPART_ARC
(12,14),-1.95075 # DEPENDENCYPART_ARC
(12,16),-2.42533 # DEPENDENCYPART_ARC
(12,17),-2.80013 # DEPENDENCYPART_ARC
(12,19),-2.86751 # DEPENDENCYPART_ARC
(12,22),-3.52013 # DEPENDENCYPART_ARC
(13,12),-2.24549 # DEPENDENCYPART_ARC
(14,1),-1.68045 # DEPENDENCYPART_ARC
(14,2),-1.32152 # DEPENDENCYPART_ARC
(14,3),-1.35096 # DEPENDENCYPART_ARC
(14,4),-1.90115 # DEPENDENCYPART_ARC
(14,5),-2.06217 # DEPENDENCYPART_ARC
(14,6),-0.936024 # DEPENDENCYPART_ARC
(14,7),-2.14691 # DEPENDENCYPART_ARC
(14,9),-1.65266 # DEPENDENCYPART_ARC
(14,10),-1.48672 # DEPENDENCYPART_ARC
(14,11),-1.20445 # DEPENDENCYPART_ARC
(14,12),-0.55721 # DEPENDENCYPART_ARC
(14,13),-0.774792 # DEPENDENCYPART_ARC
(14,15),-0.621582 # DEPENDENCYPART_ARC
(14,16),0.547562 # DEPENDENCYPART_ARC
(14,17),-0.814994 # DEPENDENCYPART_ARC
(14,18),-0.900421 # DEPENDENCYPART_ARC
(14,19),-0.927893 # DEPENDENCYPART_ARC
(14,21),-2.24976 # DEPENDENCYPART_ARC
(14,24),-1.81688 # DEPENDENCYPART_ARC
(14,25),-1.59565 # DEPENDENCYPART_ARC
(14,27),-2.82852 # DEPENDENCYPART_ARC
(14,28),1.05872 # DEPENDENCYPART_ARC
(15,17),-1.37083 # DEPENDENCYPART_ARC
(16,8),-2.57256 # DEPENDENCYPART_ARC
(16,12),-2.72672 # DEPENDENCYPART_ARC
(16,15),1.32329 # DEPENDENCYPART_ARC
(16,17),1.01201 # DEPENDENCYPART_ARC
(16,18),-0.756782 # DEPENDENCYPART_ARC
(16,19),-0.126507 # DEPENDENCYPART_ARC
(16,21),-1.40386 # DEPENDENCYPART_ARC
(16,22),-2.26631 # DEPENDENCYPART_ARC
(16,23),-1.79747 # DEPENDENCYPART_ARC
(16,24),-1.65118 # DEPENDENCYPART_ARC
(16,25),-0.920041 # DEPENDENCYPART_ARC
(16,27),-2.41331 # DEPENDENCYPART_ARC
(16,28),-2.1946 # DEPENDENCYPART_ARC
(17,18),1.82545 # DEPENDENCYPART_ARC
(17,19),-1.40549 # DEPENDENCYPART_ARC
(17,21),-1.61085 # DEPENDENCYPART_ARC
(17,23),-1.57672 # DEPENDENCYPART_ARC
(17,24),-1.42049 # DEPENDENCYPART_ARC
(17,27),-2.20608 # DEPENDENCYPART_ARC
(18,19),0.0992956 # DEPENDENCYPART_ARC
(18,21),-1.72943 # DEPENDENCYPART_ARC
(18,22),-1.40719 # DEPENDENCYPART_ARC
(18,24),-2.0976 # DEPENDENCYPART_ARC
(18,25),-1.41242 # DEPENDENCYPART_ARC
(18,27),-2.47765 # DEPENDENCYPART_ARC
(18,28),-2.28906 # DEPENDENCYPART_ARC
(19,17),-1.87666 # DEPENDENCYPART_ARC
(19,18),-1.60591 # DEPENDENCYPART_ARC
(19,20),-0.26454 # DEPENDENCYPART_ARC
(19,21),-0.427105 # DEPENDENCYPART_ARC
(19,23),-0.411328 # DEPENDENCYPART_ARC
(19,24),0.039383 # DEPENDENCYPART_ARC
(19,25),-1.87932 # DEPENDENCYPART_ARC
(19,26),-2.7629 # DEPENDENCYPART_ARC
(19,27),-2.02503 # DEPENDENCYPART_ARC
(20,21),-2.22949 # DEPENDENCYPART_ARC
(20,22),-1.98556 # DEPENDENCYPART_ARC
(21,4),-3.79539 # DEPENDENCYPART_ARC
(21,8),-3.84221 # DEPENDENCYPART_ARC
(21,11),-3.02718 # DEPENDENCYPART_ARC
(21,18),-1.49767 # DEPENDENCYPART_ARC
(21,19),-1.83973 # DEPENDENCYPART_ARC
(21,20),2.51635 # DEPENDENCYPART_ARC
(21,22),2.16066 # DEPENDENCYPART_ARC
(21,23),-1.54302 # DEPENDENCYPART_ARC
(21,24),-1.73614 # DEPENDENCYPART_ARC
(21,25),-1.48703 # DEPENDENCYPART_ARC
(21,27),-2.74266 # DEPENDENCYPART_ARC
(23,20),-1.4052 # DEPENDENCYPART_ARC
(23,21),-0.515643 # DEPENDENCYPART_ARC
(23,25),-1.33772 # DEPENDENCYPART_ARC
(23,27),-2.28189 # DEPENDENCYPART_ARC
(24,2),-5.53421 # DEPENDENCYPART_ARC
(24,9),-3.16851 # DEPENDENCYPART_ARC
(24,15),-2.87422 # DEPENDENCYPART_ARC
(24,16),-2.37913 # DEPENDENCYPART_ARC
(24,18),-1.44657 # DEPENDENCYPART_ARC
(24,19),-1.79757 # DEPENDENCYPART_ARC
(24,20),-0.582121 # DEPENDENCYPART_ARC
(24,21),0.198951 # DEPENDENCYPART_ARC
(24,22),-0.879239 # DEPENDENCYPART_ARC
(24,23),1.517 # DEPENDENCYPART_ARC
(24,25),0.33191 # DEPENDENCYPART_ARC
(24,26),-1.64866 # DEPENDENCYPART_ARC
(24,27),-1.59697 # DEPENDENCYPART_ARC
(24,28),-1.76444 # DEPENDENCYPART_ARC
(25,24),-1.6298 # DEPENDENCYPART_ARC
(25,26),-0.326739 # DEPENDENCYPART_ARC
(25,27),0.266843 # DEPENDENCYPART_ARC
(26,27),-1.50274 # DEPENDENCYPART_ARC
(27,4),-4.2621 # DEPENDENCYPART_ARC
(27,20),-2.56408 # DEPENDENCYPART_ARC
(27,21),-2.65203 # DEPENDENCYPART_ARC
(27,23),-1.10888 # DEPENDENCYPART_ARC
(27,24),-1.53461 # DEPENDENCYPART_ARC
(27,25),-1.47368 # DEPENDENCYPART_ARC
(27,26),0.828718 # DEPENDENCYPART_ARC
(27,28),-1.45496 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.179775 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.697166 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.700749 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0122182 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0475783 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0463012 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0358162 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0579841 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0122182 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0600974 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.00140003 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.313982 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.747002 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.354403 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.713171 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0717663 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.673064 # DEPENDENCYPART_SIBL
(1,3),(1,28),-0.0015518 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0646311 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0087398 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0196688 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0479688 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0828374 # DEPENDENCYPART_SIBL
(1,4),(1,28),0.022013 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0654861 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0345413 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.178868 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.322986 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.0475601 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0923733 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0743677 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.216557 # DEPENDENCYPART_SIBL
(1,7),(1,28),0.00846025 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0167724 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.070888 # DEPENDENCYPART_SIBL
(1,12),(1,28),-0.0242675 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.673064 # DEPENDENCYPART_SIBL
(1,13),(1,28),-0.0015518 # DEPENDENCYPART_SIBL
(1,16),(1,28),0.119769 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.051898 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0482374 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00634554 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.027284 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0403279 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0226929 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0017127 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.030336 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0167167 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0120655 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0909924 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0532418 # DEPENDENCYPART_SIBL
(2,1),(2,28),-0.0946449 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.320245 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.362588 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.761946 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.347133 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.869808 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.721064 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0761993 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.479598 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.688008 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.383148 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.152392 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.642614 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.226792 # DEPENDENCYPART_SIBL
(2,3),(2,28),0.00426558 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0748617 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0612931 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0218502 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0823558 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0205228 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0354353 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0516726 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0794993 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0382961 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0240396 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0884361 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0835921 # DEPENDENCYPART_SIBL
(2,4),(2,28),0.0221834 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.077802 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0452583 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0667731 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00491692 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0135184 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0632145 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0960082 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0486898 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00546343 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.104945 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0667722 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.000572883 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0773661 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0130419 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0324569 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.169915 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0672956 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.318417 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.129208 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00894247 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.329855 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.00722751 # DEPENDENCYPART_SIBL
(2,6),(2,28),0.0489627 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.114046 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0641444 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0107424 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0374688 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.190824 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.144963 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.112649 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.196982 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.138015 # DEPENDENCYPART_SIBL
(2,7),(2,28),-0.020456 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0453392 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.161976 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0049328 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0388581 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0235499 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00639544 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0498967 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.0168338 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.00394887 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0225671 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0279975 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0633672 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.046765 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0204022 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.0744058 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.0512254 # DEPENDENCYPART_SIBL
(2,12),(2,28),-0.0200168 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.479598 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.688008 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.383148 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.152392 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.642614 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.226792 # DEPENDENCYPART_SIBL
(2,13),(2,28),0.00426558 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0260769 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00859024 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0430773 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0350114 # DEPENDENCYPART_SIBL
(2,14),(2,25),0.0563915 # DEPENDENCYPART_SIBL
(2,14),(2,28),0.193217 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0901745 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0122561 # DEPENDENCYPART_SIBL
(2,16),(2,24),-0.281189 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0142479 # DEPENDENCYPART_SIBL
(2,16),(2,28),0.121172 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.00272554 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.110806 # DEPENDENCYPART_SIBL
(2,18),(2,25),0.053853 # DEPENDENCYPART_SIBL
(2,18),(2,28),0.0893638 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.0549579 # DEPENDENCYPART_SIBL
(2,19),(2,25),0.176608 # DEPENDENCYPART_SIBL
(2,19),(2,28),-0.00707185 # DEPENDENCYPART_SIBL
(2,24),(2,25),0.0113454 # DEPENDENCYPART_SIBL
(2,24),(2,28),0.0576605 # DEPENDENCYPART_SIBL
(2,25),(2,28),-0.00169471 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.575595 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0813368 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0434735 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0761176 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0375338 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.107918 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.102887 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0434995 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0544254 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0689173 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00466215 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.04895 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0171238 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0101006 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0944088 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.583873 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0182633 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00725864 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0194367 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.144711 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.108297 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00309596 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.068202 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0655917 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00752768 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.144872 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0538494 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0527532 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0972286 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.164274 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.103957 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.046616 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0223458 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.043241 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0309698 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.000188542 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0127724 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0375315 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.164274 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.16529 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0790293 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.145375 # DEPENDENCYPART_SIBL
(6,1),(6,28),-0.129433 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0874397 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00554008 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0501287 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.108875 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0760499 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0038976 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0199912 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.000919716 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0113547 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0496594 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0326127 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0197166 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.108875 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.107036 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0214769 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.0565688 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.0179788 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0797186 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0191077 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0568816 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.084635 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0624652 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0400212 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0375863 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0634174 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0091681 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00806252 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0295605 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0568816 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0813606 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0409736 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.000897447 # DEPENDENCYPART_SIBL
(6,3),(6,28),0.0561386 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.101211 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0615584 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.019161 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.101197 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0998993 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0898136 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0980411 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.111093 # DEPENDENCYPART_SIBL
