# _root_ MRA Staffing Systems signs up nurses for paid travel , promising annual income up to $ 50,000 and free or subsidized housing .
#goldHeads=3,3,4,0,4,4,4,9,7,4,4,13,11,13,14,15,16,13,22,19,20,18,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,4,4,13,11,13,14,15,16,13,18,19,20,21,4,
(4,18),-1.46537 # DEPENDENCYPART_ARC
(4,19),-2.49853 # DEPENDENCYPART_ARC
(4,20),-1.70838 # DEPENDENCYPART_ARC
(4,21),-2.48123 # DEPENDENCYPART_ARC
(4,23),-0.383302 # DEPENDENCYPART_ARC
(5,3),-2.22963 # DEPENDENCYPART_ARC
(5,6),-1.13004 # DEPENDENCYPART_ARC
(5,7),-1.91343 # DEPENDENCYPART_ARC
(5,8),-2.32116 # DEPENDENCYPART_ARC
(5,9),-2.45876 # DEPENDENCYPART_ARC
(5,11),-2.72447 # DEPENDENCYPART_ARC
(6,1),-1.48802 # DEPENDENCYPART_ARC
(6,2),-1.36159 # DEPENDENCYPART_ARC
(6,3),-1.29904 # DEPENDENCYPART_ARC
(6,5),-0.861821 # DEPENDENCYPART_ARC
(6,7),0.506832 # DEPENDENCYPART_ARC
(6,8),-0.737453 # DEPENDENCYPART_ARC
(6,9),-1.2525 # DEPENDENCYPART_ARC
(6,10),-1.29509 # DEPENDENCYPART_ARC
(6,11),-1.34371 # DEPENDENCYPART_ARC
(6,12),-1.96362 # DEPENDENCYPART_ARC
(6,13),-2.21595 # DEPENDENCYPART_ARC
(6,14),-1.3624 # DEPENDENCYPART_ARC
(6,15),-1.71226 # DEPENDENCYPART_ARC
(6,16),-2.30082 # DEPENDENCYPART_ARC
(6,18),-1.45766 # DEPENDENCYPART_ARC
(6,21),-2.21839 # DEPENDENCYPART_ARC
(6,23),-2.85059 # DEPENDENCYPART_ARC
(7,5),-2.01044 # DEPENDENCYPART_ARC
(7,6),-1.35843 # DEPENDENCYPART_ARC
(7,8),-0.328013 # DEPENDENCYPART_ARC
(7,9),1.00551 # DEPENDENCYPART_ARC
(7,10),-1.58351 # DEPENDENCYPART_ARC
(7,11),-1.56628 # DEPENDENCYPART_ARC
(7,13),-1.30187 # DEPENDENCYPART_ARC
(7,15),-2.21897 # DEPENDENCYPART_ARC
(8,5),-2.09716 # DEPENDENCYPART_ARC
(8,6),-2.02873 # DEPENDENCYPART_ARC
(8,7),-1.25975 # DEPENDENCYPART_ARC
(8,9),-0.300517 # DEPENDENCYPART_ARC
(8,10),-1.40399 # DEPENDENCYPART_ARC
(8,11),-0.958217 # DEPENDENCYPART_ARC
(8,12),-1.84825 # DEPENDENCYPART_ARC
(8,13),-1.68699 # DEPENDENCYPART_ARC
(8,14),-1.1921 # DEPENDENCYPART_ARC
(8,15),-1.21983 # DEPENDENCYPART_ARC
(8,18),-1.89025 # DEPENDENCYPART_ARC
(8,23),-2.71037 # DEPENDENCYPART_ARC
(9,1),-2.09262 # DEPENDENCYPART_ARC
(9,2),-1.9879 # DEPENDENCYPART_ARC
(9,3),-1.9624 # DEPENDENCYPART_ARC
(9,5),-1.78181 # DEPENDENCYPART_ARC
(9,6),-0.99777 # DEPENDENCYPART_ARC
(9,7),-0.957874 # DEPENDENCYPART_ARC
(9,8),0.875297 # DEPENDENCYPART_ARC
(9,10),-1.08361 # DEPENDENCYPART_ARC
(9,11),-1.44072 # DEPENDENCYPART_ARC
(9,12),-1.75584 # DEPENDENCYPART_ARC
(9,13),-1.8212 # DEPENDENCYPART_ARC
(9,14),-1.58882 # DEPENDENCYPART_ARC
(9,15),-1.67152 # DEPENDENCYPART_ARC
(9,18),-1.77252 # DEPENDENCYPART_ARC
(9,21),-2.76337 # DEPENDENCYPART_ARC
(9,23),-2.74085 # DEPENDENCYPART_ARC
(10,11),-1.75141 # DEPENDENCYPART_ARC
(11,5),-2.54731 # DEPENDENCYPART_ARC
(11,6),-2.16353 # DEPENDENCYPART_ARC
(11,7),-1.85402 # DEPENDENCYPART_ARC
(11,8),-2.04473 # DEPENDENCYPART_ARC
(11,9),-2.14723 # DEPENDENCYPART_ARC
(11,10),-1.53746 # DEPENDENCYPART_ARC
(11,12),-0.105043 # DEPENDENCYPART_ARC
(11,13),0.527967 # DEPENDENCYPART_ARC
(11,14),-0.0354077 # DEPENDENCYPART_ARC
(11,15),-0.228863 # DEPENDENCYPART_ARC
(11,16),-1.23812 # DEPENDENCYPART_ARC
(11,17),-2.20493 # DEPENDENCYPART_ARC
(11,18),-0.616958 # DEPENDENCYPART_ARC
(11,19),-1.87539 # DEPENDENCYPART_ARC
(11,20),-0.996257 # DEPENDENCYPART_ARC
(11,21),-1.58655 # DEPENDENCYPART_ARC
(11,22),-1.75361 # DEPENDENCYPART_ARC
(11,23),-2.18213 # DEPENDENCYPART_ARC
(12,10),-1.84666 # DEPENDENCYPART_ARC
(12,11),-1.23541 # DEPENDENCYPART_ARC
(12,14),-1.19497 # DEPENDENCYPART_ARC
(13,3),-2.65045 # DEPENDENCYPART_ARC
(13,5),-2.69461 # DEPENDENCYPART_ARC
(13,6),-1.93298 # DEPENDENCYPART_ARC
(13,7),-2.02678 # DEPENDENCYPART_ARC
(13,8),-1.03885 # DEPENDENCYPART_ARC
(13,9),-1.14176 # DEPENDENCYPART_ARC
(13,10),-1.77656 # DEPENDENCYPART_ARC
(13,11),-0.694363 # DEPENDENCYPART_ARC
(13,12),1.43161 # DEPENDENCYPART_ARC
(13,14),-0.0205881 # DEPENDENCYPART_ARC
(13,15),-0.978935 # DEPENDENCYPART_ARC
(13,16),-1.50244 # DEPENDENCYPART_ARC
(13,17),-1.68109 # DEPENDENCYPART_ARC
(13,18),-0.688979 # DEPENDENCYPART_ARC
(13,19),-2.10771 # DEPENDENCYPART_ARC
(13,20),-1.57303 # DEPENDENCYPART_ARC
(13,21),-2.00748 # DEPENDENCYPART_ARC
(13,22),-2.14898 # DEPENDENCYPART_ARC
(13,23),-2.57251 # DEPENDENCYPART_ARC
(14,11),-1.89123 # DEPENDENCYPART_ARC
(14,12),-1.91317 # DEPENDENCYPART_ARC
(14,13),-1.17477 # DEPENDENCYPART_ARC
(14,15),0.18856 # DEPENDENCYPART_ARC
(14,16),-0.993527 # DEPENDENCYPART_ARC
(14,17),-2.20745 # DEPENDENCYPART_ARC
(14,18),-1.59291 # DEPENDENCYPART_ARC
(14,19),-2.1819 # DEPENDENCYPART_ARC
(14,20),-1.59014 # DEPENDENCYPART_ARC
(14,22),-1.57139 # DEPENDENCYPART_ARC
(15,14),-1.44767 # DEPENDENCYPART_ARC
(15,16),-0.0483563 # DEPENDENCYPART_ARC
(15,17),-1.01199 # DEPENDENCYPART_ARC
(15,18),-1.29728 # DEPENDENCYPART_ARC
(15,19),-1.99225 # DEPENDENCYPART_ARC
(15,20),-1.81269 # DEPENDENCYPART_ARC
(15,22),-1.41348 # DEPENDENCYPART_ARC
(16,7),-2.33383 # DEPENDENCYPART_ARC
(16,12),-1.79677 # DEPENDENCYPART_ARC
(16,13),-1.44956 # DEPENDENCYPART_ARC
(16,14),-0.457919 # DEPENDENCYPART_ARC
(16,15),-0.209836 # DEPENDENCYPART_ARC
(16,17),1.26901 # DEPENDENCYPART_ARC
(16,18),-0.583988 # DEPENDENCYPART_ARC
(16,19),-0.672048 # DEPENDENCYPART_ARC
(16,20),-1.11912 # DEPENDENCYPART_ARC
(16,21),-1.26815 # DEPENDENCYPART_ARC
(16,22),-1.91998 # DEPENDENCYPART_ARC
(16,23),-1.82142 # DEPENDENCYPART_ARC
(17,14),-1.18556 # DEPENDENCYPART_ARC
(17,15),-1.47055 # DEPENDENCYPART_ARC
(17,16),-0.894039 # DEPENDENCYPART_ARC
(17,18),-0.357907 # DEPENDENCYPART_ARC
(17,19),-1.53859 # DEPENDENCYPART_ARC
(17,20),-1.05525 # DEPENDENCYPART_ARC
(17,22),-2.14211 # DEPENDENCYPART_ARC
(18,16),-2.12051 # DEPENDENCYPART_ARC
(18,17),-1.90564 # DEPENDENCYPART_ARC
(18,19),0.0394579 # DEPENDENCYPART_ARC
(18,20),-0.733458 # DEPENDENCYPART_ARC
(18,21),-0.97895 # DEPENDENCYPART_ARC
(18,22),-1.20885 # DEPENDENCYPART_ARC
(19,16),-1.98238 # DEPENDENCYPART_ARC
(19,17),-2.12683 # DEPENDENCYPART_ARC
(19,20),0.91378 # DEPENDENCYPART_ARC
(19,21),-0.705171 # DEPENDENCYPART_ARC
(19,22),-1.48899 # DEPENDENCYPART_ARC
(20,19),-1.7386 # DEPENDENCYPART_ARC
(20,21),1.24317 # DEPENDENCYPART_ARC
(20,22),0.134067 # DEPENDENCYPART_ARC
(20,23),-1.56992 # DEPENDENCYPART_ARC
(21,22),-0.20702 # DEPENDENCYPART_ARC
(21,23),-1.67404 # DEPENDENCYPART_ARC
(22,12),-2.03302 # DEPENDENCYPART_ARC
(22,16),-1.5896 # DEPENDENCYPART_ARC
(22,17),-1.76068 # DEPENDENCYPART_ARC
(22,19),-0.479232 # DEPENDENCYPART_ARC
(22,20),-1.08703 # DEPENDENCYPART_ARC
(22,21),0.550371 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.224105 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.655475 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.655856 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0621145 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00251416 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0402931 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0164091 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0532105 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.206734 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.000534794 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0374828 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0551979 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0487739 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0362059 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0401657 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0332972 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0788217 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0151496 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0545876 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.046212 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0164091 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0532105 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0706486 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.108673 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.080942 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0140501 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0958188 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0243767 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0244856 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00211807 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0549076 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0811662 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0474794 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.284611 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0552413 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.165848 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.206734 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0549743 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0645188 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.138571 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0670888 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.12523 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0120338 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00581887 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0683719 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.108591 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0389974 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.113975 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0895363 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0434848 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.205077 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.180252 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.199182 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.139982 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.188747 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.1666 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.197719 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0230206 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.223651 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.324567 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0659241 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.6426 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.00426558 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0615501 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0474473 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0698523 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0911905 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0815875 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0682271 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0697206 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0676416 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.1573 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0494925 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0698523 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0911905 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0815871 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0592816 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.07006 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0676414 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.156889 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0494923 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0242875 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00706483 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0663964 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.087221 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0297782 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.243071 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0375427 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.211878 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.066728 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0703765 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.156929 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0242408 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.143585 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.000612582 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0773295 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.093333 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00748799 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0987193 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0140955 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.201032 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0998846 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.195134 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.176353 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.116726 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.185328 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.158742 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.313409 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.664124 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.374612 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.395266 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0261186 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00952693 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0211321 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0283265 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0263093 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.030108 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00498036 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0355174 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0349487 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0424818 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0146732 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0189107 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00328592 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0376032 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0269571 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.020921 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0203712 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.395266 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0261186 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00952727 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0300776 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0286659 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0263094 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0305188 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00498036 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0355174 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0349489 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0335362 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0146776 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0189107 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00325099 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0376032 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0269396 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0205816 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0202289 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0389256 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.000721918 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0073251 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0463672 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0053096 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00143309 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0112161 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0183738 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.01395 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0495163 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00774642 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0317215 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00421533 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0204597 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0366534 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.00288039 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0444951 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0417377 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0219305 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.110106 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00952958 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0710455 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0396004 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.120584 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00484148 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0218597 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00833811 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0214811 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0156825 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.122801 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0392174 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.109782 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0284228 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0696895 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0386542 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.134978 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0620962 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0724831 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0320338 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.131792 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.10926 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.174526 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0737719 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0305072 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.034707 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0383256 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.045017 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0224707 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0675968 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0328175 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0254151 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0143838 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.130963 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.02962 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.113116 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.141673 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.191658 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0198916 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.134142 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.133563 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0488562 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.018505 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.451361 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0394779 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.231705 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.286157 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.451681 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.318538 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.227942 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.249113 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.113602 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.287603 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0384114 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.532505 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0470334 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00239985 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00377518 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0350546 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.27459 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0408694 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.074786 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0757389 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0214122 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0359365 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0533409 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0637742 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0172602 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.565667 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0768275 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0503295 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.387523 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0170587 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0146242 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.479302 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0899744 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.629539 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.242802 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0354815 # DEPENDENCYPART_SIBL
