# _root_ The carnage on the Chicago Board Options Exchange , the nation 's major options market , was heavy after the trading in S&P 100 stock-index options was halted Friday .
#goldHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
#predictedHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
(15,5),-1.68066 # DEPENDENCYPART_ARC
(15,6),-1.99998 # DEPENDENCYPART_ARC
(15,7),-2.03434 # DEPENDENCYPART_ARC
(15,8),-2.26204 # DEPENDENCYPART_ARC
(15,9),-2.36212 # DEPENDENCYPART_ARC
(15,10),-0.268966 # DEPENDENCYPART_ARC
(15,11),0.639437 # DEPENDENCYPART_ARC
(15,12),-0.879016 # DEPENDENCYPART_ARC
(15,13),0.821593 # DEPENDENCYPART_ARC
(15,14),1.52593 # DEPENDENCYPART_ARC
(15,16),-1.26767 # DEPENDENCYPART_ARC
(15,17),-1.95149 # DEPENDENCYPART_ARC
(15,18),-2.12602 # DEPENDENCYPART_ARC
(15,19),-2.4142 # DEPENDENCYPART_ARC
(15,21),-2.85682 # DEPENDENCYPART_ARC
(17,2),-1.05098 # DEPENDENCYPART_ARC
(17,3),-1.7209 # DEPENDENCYPART_ARC
(17,5),-1.59506 # DEPENDENCYPART_ARC
(17,6),-1.15153 # DEPENDENCYPART_ARC
(17,7),-1.20777 # DEPENDENCYPART_ARC
(17,8),-0.940706 # DEPENDENCYPART_ARC
(17,9),-1.03427 # DEPENDENCYPART_ARC
(17,11),-0.747968 # DEPENDENCYPART_ARC
(17,12),-1.79696 # DEPENDENCYPART_ARC
(17,13),-1.52324 # DEPENDENCYPART_ARC
(17,14),-1.08905 # DEPENDENCYPART_ARC
(17,15),-0.682476 # DEPENDENCYPART_ARC
(17,16),-0.655158 # DEPENDENCYPART_ARC
(17,18),0.978049 # DEPENDENCYPART_ARC
(17,19),0.429998 # DEPENDENCYPART_ARC
(17,21),-0.457968 # DEPENDENCYPART_ARC
(17,22),-0.126613 # DEPENDENCYPART_ARC
(17,23),-1.4605 # DEPENDENCYPART_ARC
(17,25),-2.04884 # DEPENDENCYPART_ARC
(17,26),-1.77514 # DEPENDENCYPART_ARC
(17,27),-0.696005 # DEPENDENCYPART_ARC
(17,28),-1.25859 # DEPENDENCYPART_ARC
(17,29),-1.66293 # DEPENDENCYPART_ARC
(17,30),0.997456 # DEPENDENCYPART_ARC
(18,15),-1.6591 # DEPENDENCYPART_ARC
(18,16),-1.57505 # DEPENDENCYPART_ARC
(18,17),-1.006 # DEPENDENCYPART_ARC
(18,19),-0.170618 # DEPENDENCYPART_ARC
(18,21),-1.52877 # DEPENDENCYPART_ARC
(18,22),-1.55852 # DEPENDENCYPART_ARC
(18,23),-2.18915 # DEPENDENCYPART_ARC
(18,24),-2.52568 # DEPENDENCYPART_ARC
(19,2),-2.53689 # DEPENDENCYPART_ARC
(19,15),-1.98292 # DEPENDENCYPART_ARC
(19,18),-1.34956 # DEPENDENCYPART_ARC
(19,20),-1.09219 # DEPENDENCYPART_ARC
(19,21),0.814956 # DEPENDENCYPART_ARC
(19,22),-1.40192 # DEPENDENCYPART_ARC
(19,23),-2.05323 # DEPENDENCYPART_ARC
(19,24),-2.61995 # DEPENDENCYPART_ARC
(19,26),-1.28378 # DEPENDENCYPART_ARC
(19,27),0.193666 # DEPENDENCYPART_ARC
(19,28),-1.50509 # DEPENDENCYPART_ARC
(21,18),-1.51602 # DEPENDENCYPART_ARC
(21,19),-1.19052 # DEPENDENCYPART_ARC
(21,20),1.4913 # DEPENDENCYPART_ARC
(21,22),0.529762 # DEPENDENCYPART_ARC
(21,23),-1.37329 # DEPENDENCYPART_ARC
(21,24),-1.63271 # DEPENDENCYPART_ARC
(21,26),-1.83418 # DEPENDENCYPART_ARC
(21,27),-1.38672 # DEPENDENCYPART_ARC
(21,28),-1.86857 # DEPENDENCYPART_ARC
(21,29),-2.35067 # DEPENDENCYPART_ARC
(22,21),-1.60012 # DEPENDENCYPART_ARC
(22,23),1.17451 # DEPENDENCYPART_ARC
(22,24),-1.05304 # DEPENDENCYPART_ARC
(22,25),-1.66874 # DEPENDENCYPART_ARC
(22,26),0.254277 # DEPENDENCYPART_ARC
(22,27),-1.02209 # DEPENDENCYPART_ARC
(22,29),-1.90072 # DEPENDENCYPART_ARC
(23,24),0.211603 # DEPENDENCYPART_ARC
(23,25),-1.1523 # DEPENDENCYPART_ARC
(23,26),-1.88234 # DEPENDENCYPART_ARC
(23,27),-1.60195 # DEPENDENCYPART_ARC
(23,28),-2.21326 # DEPENDENCYPART_ARC
(23,29),-2.81572 # DEPENDENCYPART_ARC
(23,30),-2.24923 # DEPENDENCYPART_ARC
(24,19),-2.35827 # DEPENDENCYPART_ARC
(24,22),-1.56427 # DEPENDENCYPART_ARC
(24,23),-1.48554 # DEPENDENCYPART_ARC
(24,25),-1.17199 # DEPENDENCYPART_ARC
(24,26),-1.86039 # DEPENDENCYPART_ARC
(24,27),-1.54809 # DEPENDENCYPART_ARC
(24,29),-2.72053 # DEPENDENCYPART_ARC
(25,23),-1.37855 # DEPENDENCYPART_ARC
(25,24),-0.860991 # DEPENDENCYPART_ARC
(25,27),-1.2178 # DEPENDENCYPART_ARC
(25,28),-1.80815 # DEPENDENCYPART_ARC
(25,29),-2.54978 # DEPENDENCYPART_ARC
(26,18),-2.39758 # DEPENDENCYPART_ARC
(26,20),-1.56985 # DEPENDENCYPART_ARC
(26,21),-1.70939 # DEPENDENCYPART_ARC
(26,22),-1.91183 # DEPENDENCYPART_ARC
(26,23),-0.369267 # DEPENDENCYPART_ARC
(26,24),0.544953 # DEPENDENCYPART_ARC
(26,25),1.53032 # DEPENDENCYPART_ARC
(26,27),-0.981738 # DEPENDENCYPART_ARC
(26,28),-1.2693 # DEPENDENCYPART_ARC
(26,29),-2.04833 # DEPENDENCYPART_ARC
(27,2),-0.855348 # DEPENDENCYPART_ARC
(27,3),-1.95176 # DEPENDENCYPART_ARC
(27,5),-2.30107 # DEPENDENCYPART_ARC
(27,6),-2.03922 # DEPENDENCYPART_ARC
(27,7),-2.21394 # DEPENDENCYPART_ARC
(27,8),-1.80043 # DEPENDENCYPART_ARC
(27,9),-1.09528 # DEPENDENCYPART_ARC
(27,11),-0.943451 # DEPENDENCYPART_ARC
(27,13),-1.72436 # DEPENDENCYPART_ARC
(27,14),-2.42066 # DEPENDENCYPART_ARC
(27,15),-1.24617 # DEPENDENCYPART_ARC
(27,16),-1.8106 # DEPENDENCYPART_ARC
(27,17),-1.86534 # DEPENDENCYPART_ARC
(27,18),-1.5358 # DEPENDENCYPART_ARC
(27,19),-1.47856 # DEPENDENCYPART_ARC
(27,21),0.296188 # DEPENDENCYPART_ARC
(27,22),-1.32019 # DEPENDENCYPART_ARC
(27,23),-1.57635 # DEPENDENCYPART_ARC
(27,24),-1.35374 # DEPENDENCYPART_ARC
(27,25),-1.06459 # DEPENDENCYPART_ARC
(27,26),0.420169 # DEPENDENCYPART_ARC
(27,28),1.77013 # DEPENDENCYPART_ARC
(27,29),-0.797883 # DEPENDENCYPART_ARC
(27,30),-0.533187 # DEPENDENCYPART_ARC
(28,2),-2.42872 # DEPENDENCYPART_ARC
(28,3),-2.25529 # DEPENDENCYPART_ARC
(28,19),-1.68982 # DEPENDENCYPART_ARC
(28,21),-1.58511 # DEPENDENCYPART_ARC
(28,22),-1.21467 # DEPENDENCYPART_ARC
(28,24),-2.00908 # DEPENDENCYPART_ARC
(28,25),-1.28286 # DEPENDENCYPART_ARC
(28,26),-1.31994 # DEPENDENCYPART_ARC
(28,29),0.219682 # DEPENDENCYPART_ARC
(28,30),-1.35236 # DEPENDENCYPART_ARC
(29,23),-3.27453 # DEPENDENCYPART_ARC
(29,24),-2.43897 # DEPENDENCYPART_ARC
(29,25),-1.70268 # DEPENDENCYPART_ARC
(29,26),-1.83333 # DEPENDENCYPART_ARC
(29,28),-0.977163 # DEPENDENCYPART_ARC
(29,30),-1.11336 # DEPENDENCYPART_ARC
(30,29),-2.196 # DEPENDENCYPART_ARC
(0,2),(0,17),-0.750115 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.750115 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0916928 # DEPENDENCYPART_SIBL
(0,17),(0,27),-1.88017 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.669914 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.669914 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0436311 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0868075 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0450743 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00398585 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.040171 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0503846 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0514199 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00664005 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.463004 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0682048 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0514199 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.101512 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0809959 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.07768 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.00769091 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.113725 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00219581 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.100836 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0805666 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0802869 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0805181 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0440916 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0723663 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0103839 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.122791 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0440916 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0110194 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0536324 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.152744 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.17953 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.162152 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.105988 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.109206 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.112717 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.112714 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.063044 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0978636 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.12266 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0715905 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.063044 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.108234 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0317344 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0953253 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.122211 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.193948 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.141025 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.140451 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.143247 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.100888 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0923142 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.128954 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0694334 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.100888 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0272755 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0250253 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00788734 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0173808 # DEPENDENCYPART_SIBL
(2,5),(2,30),-0.0302959 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.144532 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.147328 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0348182 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0783596 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.13218 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0554789 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0348182 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0423008 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0286912 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0292184 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0462378 # DEPENDENCYPART_SIBL
(2,6),(2,30),-0.0376367 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.141322 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0556564 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0920573 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.130257 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0691766 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0556564 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0433808 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0288442 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0417415 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.070827 # DEPENDENCYPART_SIBL
(2,7),(2,30),-0.0231839 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0404403 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0957853 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.132214 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0729161 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0404403 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0509622 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.029122 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.021439 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0374627 # DEPENDENCYPART_SIBL
(2,8),(2,30),-0.0626105 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.702291 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0140167 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.704705 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.119574 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.509976 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.409266 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.401574 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.153709 # DEPENDENCYPART_SIBL
(2,9),(2,30),-0.00473053 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0844025 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.102073 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0191673 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0183887 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0178229 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0482772 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0237778 # DEPENDENCYPART_SIBL
(2,11),(2,30),0.00173726 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.121668 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.228062 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.077476 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0515388 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0510846 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.148102 # DEPENDENCYPART_SIBL
(2,12),(2,30),-0.16207 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00554879 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.038599 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0242928 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.045821 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.00836813 # DEPENDENCYPART_SIBL
(2,15),(2,30),-0.022685 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.509976 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.409266 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.401574 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.153709 # DEPENDENCYPART_SIBL
(2,16),(2,30),-0.00473053 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0977939 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0117326 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.00636609 # DEPENDENCYPART_SIBL
(2,17),(2,30),-0.0243786 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0840816 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.110781 # DEPENDENCYPART_SIBL
(2,18),(2,30),-0.0561219 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.131438 # DEPENDENCYPART_SIBL
(2,19),(2,30),0.185569 # DEPENDENCYPART_SIBL
(2,22),(2,30),0.0218828 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.109322 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0870325 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.053699 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.078508 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0702343 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0527345 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.122772 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0183266 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.0417251 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.360701 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.367871 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.367927 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.370842 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0541314 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.3827 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.556484 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.109477 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.695669 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.691504 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.698521 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0890527 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.740156 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.830011 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0713892 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.694395 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.701411 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.153146 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.737982 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.815498 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.0776056 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.654777 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0701078 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.707922 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.786283 # DEPENDENCYPART_SIBL
(3,7),(3,30),-0.00133254 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.176956 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.760684 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.850676 # DEPENDENCYPART_SIBL
(3,8),(3,30),-0.124693 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0645044 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0467864 # DEPENDENCYPART_SIBL
(3,9),(3,30),0.152733 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.695612 # DEPENDENCYPART_SIBL
(3,14),(3,30),0.149592 # DEPENDENCYPART_SIBL
(3,15),(3,30),-0.0225114 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0540402 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0323771 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0457443 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0328966 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0486626 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.612002 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.188448 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0748019 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0249717 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0472315 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00424587 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0472315 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0143114 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.007202 # DEPENDENCYPART_SIBL
