# _root_ Yes , the broader exchanges got caught up in the spiral , but they rode the tiger up all year .
#goldHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,15,20,15,6,
#predictedHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,17,20,15,6,
(5,13),-1.93433 # DEPENDENCYPART_ARC
(5,15),-2.07715 # DEPENDENCYPART_ARC
(5,21),-2.99209 # DEPENDENCYPART_ARC
(6,1),-1.33753 # DEPENDENCYPART_ARC
(6,2),-0.415627 # DEPENDENCYPART_ARC
(6,3),-1.36547 # DEPENDENCYPART_ARC
(6,4),-0.881258 # DEPENDENCYPART_ARC
(6,5),0.823461 # DEPENDENCYPART_ARC
(6,7),1.63948 # DEPENDENCYPART_ARC
(6,8),-0.390221 # DEPENDENCYPART_ARC
(6,9),-0.556647 # DEPENDENCYPART_ARC
(6,11),-1.45969 # DEPENDENCYPART_ARC
(6,12),-0.617275 # DEPENDENCYPART_ARC
(6,13),-0.535763 # DEPENDENCYPART_ARC
(6,15),-1.42836 # DEPENDENCYPART_ARC
(6,17),-2.81755 # DEPENDENCYPART_ARC
(6,18),-2.31619 # DEPENDENCYPART_ARC
(6,20),-2.85684 # DEPENDENCYPART_ARC
(6,21),-0.344292 # DEPENDENCYPART_ARC
(7,1),-1.74777 # DEPENDENCYPART_ARC
(7,2),-1.89383 # DEPENDENCYPART_ARC
(7,3),-1.91933 # DEPENDENCYPART_ARC
(7,4),-1.2379 # DEPENDENCYPART_ARC
(7,5),-1.44516 # DEPENDENCYPART_ARC
(7,6),-1.10639 # DEPENDENCYPART_ARC
(7,8),1.18476 # DEPENDENCYPART_ARC
(7,9),0.532927 # DEPENDENCYPART_ARC
(7,11),-0.282038 # DEPENDENCYPART_ARC
(7,12),-1.20113 # DEPENDENCYPART_ARC
(7,13),-0.966083 # DEPENDENCYPART_ARC
(7,14),-1.39391 # DEPENDENCYPART_ARC
(7,15),-1.05996 # DEPENDENCYPART_ARC
(7,17),-1.31762 # DEPENDENCYPART_ARC
(7,18),-1.2466 # DEPENDENCYPART_ARC
(7,20),-1.36362 # DEPENDENCYPART_ARC
(7,21),-1.50037 # DEPENDENCYPART_ARC
(8,1),-2.27696 # DEPENDENCYPART_ARC
(8,2),-2.4111 # DEPENDENCYPART_ARC
(8,3),-2.18653 # DEPENDENCYPART_ARC
(8,4),-2.05239 # DEPENDENCYPART_ARC
(8,5),-1.71555 # DEPENDENCYPART_ARC
(8,7),-1.15117 # DEPENDENCYPART_ARC
(8,9),-1.29772 # DEPENDENCYPART_ARC
(8,11),-2.15857 # DEPENDENCYPART_ARC
(8,12),-2.23847 # DEPENDENCYPART_ARC
(8,13),-2.0899 # DEPENDENCYPART_ARC
(8,15),-2.30541 # DEPENDENCYPART_ARC
(9,8),-1.80224 # DEPENDENCYPART_ARC
(9,10),-1.24846 # DEPENDENCYPART_ARC
(9,11),1.52246 # DEPENDENCYPART_ARC
(9,12),-1.27892 # DEPENDENCYPART_ARC
(9,13),-1.41619 # DEPENDENCYPART_ARC
(9,14),-1.82127 # DEPENDENCYPART_ARC
(9,15),-1.21165 # DEPENDENCYPART_ARC
(9,17),-2.06234 # DEPENDENCYPART_ARC
(9,18),-2.494 # DEPENDENCYPART_ARC
(9,21),-1.78532 # DEPENDENCYPART_ARC
(11,1),-2.59548 # DEPENDENCYPART_ARC
(11,4),-2.3782 # DEPENDENCYPART_ARC
(11,8),-2.04357 # DEPENDENCYPART_ARC
(11,9),-1.33315 # DEPENDENCYPART_ARC
(11,10),1.48777 # DEPENDENCYPART_ARC
(11,12),-0.999648 # DEPENDENCYPART_ARC
(11,13),-1.01549 # DEPENDENCYPART_ARC
(11,14),-1.84229 # DEPENDENCYPART_ARC
(11,15),-1.45889 # DEPENDENCYPART_ARC
(11,17),-2.44218 # DEPENDENCYPART_ARC
(11,18),-1.88979 # DEPENDENCYPART_ARC
(11,20),-2.53065 # DEPENDENCYPART_ARC
(11,21),-2.53852 # DEPENDENCYPART_ARC
(13,12),-1.72994 # DEPENDENCYPART_ARC
(13,14),-0.581596 # DEPENDENCYPART_ARC
(13,15),1.29563 # DEPENDENCYPART_ARC
(13,17),-2.11099 # DEPENDENCYPART_ARC
(13,18),-2.36387 # DEPENDENCYPART_ARC
(13,20),-2.80412 # DEPENDENCYPART_ARC
(13,21),-2.27298 # DEPENDENCYPART_ARC
(14,17),-1.93664 # DEPENDENCYPART_ARC
(15,1),-1.89807 # DEPENDENCYPART_ARC
(15,2),-2.19169 # DEPENDENCYPART_ARC
(15,4),-2.32409 # DEPENDENCYPART_ARC
(15,5),-1.55792 # DEPENDENCYPART_ARC
(15,6),-1.79161 # DEPENDENCYPART_ARC
(15,7),-2.08711 # DEPENDENCYPART_ARC
(15,8),-2.0488 # DEPENDENCYPART_ARC
(15,9),-1.12031 # DEPENDENCYPART_ARC
(15,11),-1.29739 # DEPENDENCYPART_ARC
(15,12),-1.43694 # DEPENDENCYPART_ARC
(15,13),-1.18671 # DEPENDENCYPART_ARC
(15,14),1.4575 # DEPENDENCYPART_ARC
(15,16),-0.882764 # DEPENDENCYPART_ARC
(15,17),0.337524 # DEPENDENCYPART_ARC
(15,18),-0.438891 # DEPENDENCYPART_ARC
(15,19),-2.05158 # DEPENDENCYPART_ARC
(15,20),-0.359562 # DEPENDENCYPART_ARC
(15,21),-0.279361 # DEPENDENCYPART_ARC
(16,18),-2.39977 # DEPENDENCYPART_ARC
(16,20),-2.57533 # DEPENDENCYPART_ARC
(17,14),-2.037 # DEPENDENCYPART_ARC
(17,16),1.51897 # DEPENDENCYPART_ARC
(17,18),-0.402573 # DEPENDENCYPART_ARC
(17,19),-1.7376 # DEPENDENCYPART_ARC
(17,20),-1.13579 # DEPENDENCYPART_ARC
(17,21),-1.8788 # DEPENDENCYPART_ARC
(18,9),-1.94638 # DEPENDENCYPART_ARC
(18,16),-1.42393 # DEPENDENCYPART_ARC
(18,17),-0.799175 # DEPENDENCYPART_ARC
(18,19),-0.586739 # DEPENDENCYPART_ARC
(18,20),-0.833705 # DEPENDENCYPART_ARC
(18,21),-2.23375 # DEPENDENCYPART_ARC
(19,17),-2.4567 # DEPENDENCYPART_ARC
(19,18),-1.45662 # DEPENDENCYPART_ARC
(19,20),-1.58978 # DEPENDENCYPART_ARC
(20,16),-1.54387 # DEPENDENCYPART_ARC
(20,17),-1.49133 # DEPENDENCYPART_ARC
(20,18),-0.435423 # DEPENDENCYPART_ARC
(20,19),0.733447 # DEPENDENCYPART_ARC
(20,21),-1.49847 # DEPENDENCYPART_ARC
(21,20),-2.99903 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0664795 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.657235 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0673054 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.660395 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.771294 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.112066 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.761074 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.612036 # DEPENDENCYPART_SIBL
(0,6),(0,15),-1.65322 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.709343 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0768533 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0522517 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.157911 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.214762 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.268293 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0987339 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0356662 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0812129 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.636288 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.229058 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0495292 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0149501 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0504857 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0315931 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0215825 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.118002 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0557388 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.104085 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0545824 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.122537 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0466736 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0603062 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0543207 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.013263 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0044204 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0220281 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0519456 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.117904 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0499928 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0504565 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0455683 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00443878 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0428673 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.107631 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0760712 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0591364 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0318341 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.101414 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0431473 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.30969 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0857615 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.11577 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.116349 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.08529 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.06999 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.019234 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.054731 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0245434 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0635967 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0172949 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0807975 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0269266 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.636288 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.229058 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.00653434 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.163824 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0204897 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0124829 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0678297 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0105588 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0181634 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0424224 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0634612 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.129984 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0130416 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.10186 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0298368 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0780962 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0357714 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.056702 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.215725 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00434392 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0272156 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0182574 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00652387 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0141485 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0294855 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00804067 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0236315 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0182473 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00909372 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0746314 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00354594 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0645512 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0264926 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0680208 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.067015 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.180592 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0445917 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0890616 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.140699 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0375197 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.223154 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00494469 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00149367 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.148389 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.13741 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.122499 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0588265 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0429694 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0179435 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00646022 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0467131 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.112454 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0794718 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0611903 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0497387 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.108529 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.053734 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.30908 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0871423 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.133001 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.123939 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.097052 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0687069 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00984027 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0460892 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0381539 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0595142 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0651932 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.194981 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0528733 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.766246 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.309727 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0182947 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.260234 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.21192 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0641565 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0530835 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0266651 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0432755 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0166421 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0499086 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.012545 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0536453 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0106233 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.190115 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0755913 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.017619 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0384357 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.045052 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0294568 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0236741 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0874717 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0273369 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.144393 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0517569 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.166247 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.124607 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.252153 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0895066 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.041449 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.110533 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.14721 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.118641 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0303222 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00666325 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0204443 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0391342 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0326112 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0721148 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0294153 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0278864 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0368369 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00914999 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0385328 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.239985 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0117484 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.254412 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0874198 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0403763 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0390188 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.245498 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0403425 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0170835 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.040259 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.081171 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0694785 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00127297 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00359931 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.00659508 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0375925 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.107188 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0698196 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0342244 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.682834 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.551141 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0392829 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.066269 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.161427 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.0712123 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.267034 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0361108 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0059487 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0240784 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0468418 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00327029 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0350966 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0211185 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0305559 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0318227 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0133755 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0226638 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0300497 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0324296 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0346809 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0741809 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0823365 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.108745 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0030912 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.156909 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0645334 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0283303 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.01184 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0228483 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0328506 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0267885 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.04912 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00874924 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0813783 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.090778 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.222371 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0531818 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.330092 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.116666 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.220986 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.181067 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.228678 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.012775 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.219441 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.201546 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.264671 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.216724 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0789914 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.017392 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0492086 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.054225 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0321256 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0262307 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0221558 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0622593 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0305803 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0468882 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0174433 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0155496 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0648025 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0124737 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0737281 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0237259 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0236889 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0759158 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0122992 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0221842 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0308918 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0134684 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0323749 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.180354 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.136777 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.350707 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.213432 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.197925 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0240916 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.350707 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.283912 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.281089 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.123868 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.166807 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0538593 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00961795 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0655539 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0761309 # DEPENDENCYPART_SIBL
