# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(7,11),0.52992 # DEPENDENCYPART_ARC
(7,12),-1.99888 # DEPENDENCYPART_ARC
(7,13),-2.21973 # DEPENDENCYPART_ARC
(7,14),-1.1529 # DEPENDENCYPART_ARC
(7,15),-0.404191 # DEPENDENCYPART_ARC
(7,16),-1.3061 # DEPENDENCYPART_ARC
(7,18),-0.101024 # DEPENDENCYPART_ARC
(7,19),-0.0558037 # DEPENDENCYPART_ARC
(7,20),-0.755394 # DEPENDENCYPART_ARC
(7,21),-1.81534 # DEPENDENCYPART_ARC
(7,24),-1.23625 # DEPENDENCYPART_ARC
(7,26),-0.49144 # DEPENDENCYPART_ARC
(7,27),-2.2851 # DEPENDENCYPART_ARC
(7,32),-2.77618 # DEPENDENCYPART_ARC
(7,33),0.0568424 # DEPENDENCYPART_ARC
(8,6),-1.93927 # DEPENDENCYPART_ARC
(8,7),-1.36403 # DEPENDENCYPART_ARC
(8,9),1.10588 # DEPENDENCYPART_ARC
(8,10),-0.774496 # DEPENDENCYPART_ARC
(8,11),-1.00969 # DEPENDENCYPART_ARC
(8,12),-1.70104 # DEPENDENCYPART_ARC
(8,13),-0.946916 # DEPENDENCYPART_ARC
(8,14),-2.2859 # DEPENDENCYPART_ARC
(8,15),-1.66856 # DEPENDENCYPART_ARC
(8,17),-2.13182 # DEPENDENCYPART_ARC
(8,18),-1.34215 # DEPENDENCYPART_ARC
(8,22),-2.36919 # DEPENDENCYPART_ARC
(9,2),-2.78136 # DEPENDENCYPART_ARC
(9,3),-1.73241 # DEPENDENCYPART_ARC
(9,5),-2.0729 # DEPENDENCYPART_ARC
(9,6),-1.72895 # DEPENDENCYPART_ARC
(9,7),-1.46774 # DEPENDENCYPART_ARC
(9,8),-0.537023 # DEPENDENCYPART_ARC
(9,10),-1.2971 # DEPENDENCYPART_ARC
(9,11),-1.64445 # DEPENDENCYPART_ARC
(10,1),-3.1199 # DEPENDENCYPART_ARC
(10,2),-2.65787 # DEPENDENCYPART_ARC
(10,4),-2.43142 # DEPENDENCYPART_ARC
(10,5),-0.940018 # DEPENDENCYPART_ARC
(10,6),-1.5873 # DEPENDENCYPART_ARC
(10,7),-1.6932 # DEPENDENCYPART_ARC
(10,8),0.830261 # DEPENDENCYPART_ARC
(10,9),0.85866 # DEPENDENCYPART_ARC
(10,11),-0.342263 # DEPENDENCYPART_ARC
(10,13),-1.80395 # DEPENDENCYPART_ARC
(10,14),-1.49582 # DEPENDENCYPART_ARC
(10,15),-1.51661 # DEPENDENCYPART_ARC
(10,16),-2.55307 # DEPENDENCYPART_ARC
(10,18),-1.90337 # DEPENDENCYPART_ARC
(10,20),-2.26725 # DEPENDENCYPART_ARC
(10,23),-2.8572 # DEPENDENCYPART_ARC
(10,26),-2.20887 # DEPENDENCYPART_ARC
(11,8),-1.99456 # DEPENDENCYPART_ARC
(11,10),-1.83226 # DEPENDENCYPART_ARC
(11,12),-1.10965 # DEPENDENCYPART_ARC
(11,13),-0.659183 # DEPENDENCYPART_ARC
(11,14),0.59548 # DEPENDENCYPART_ARC
(11,15),-1.32008 # DEPENDENCYPART_ARC
(11,16),-1.32042 # DEPENDENCYPART_ARC
(11,17),-2.12866 # DEPENDENCYPART_ARC
(11,20),-1.71662 # DEPENDENCYPART_ARC
(12,13),-1.43126 # DEPENDENCYPART_ARC
(13,9),-2.39118 # DEPENDENCYPART_ARC
(13,11),-1.92526 # DEPENDENCYPART_ARC
(13,12),-0.642838 # DEPENDENCYPART_ARC
(13,14),-1.47252 # DEPENDENCYPART_ARC
(13,15),-1.55691 # DEPENDENCYPART_ARC
(13,16),-2.48309 # DEPENDENCYPART_ARC
(14,4),-2.18428 # DEPENDENCYPART_ARC
(14,6),-2.39138 # DEPENDENCYPART_ARC
(14,8),-0.324482 # DEPENDENCYPART_ARC
(14,9),-1.67514 # DEPENDENCYPART_ARC
(14,10),-2.1757 # DEPENDENCYPART_ARC
(14,11),-1.34042 # DEPENDENCYPART_ARC
(14,12),1.38232 # DEPENDENCYPART_ARC
(14,13),1.19828 # DEPENDENCYPART_ARC
(14,15),0.292106 # DEPENDENCYPART_ARC
(14,16),-1.53963 # DEPENDENCYPART_ARC
(14,17),-1.63552 # DEPENDENCYPART_ARC
(14,18),-1.54696 # DEPENDENCYPART_ARC
(14,19),-1.48078 # DEPENDENCYPART_ARC
(14,20),-1.5007 # DEPENDENCYPART_ARC
(14,21),-1.49025 # DEPENDENCYPART_ARC
(14,23),-2.36364 # DEPENDENCYPART_ARC
(14,24),-1.7471 # DEPENDENCYPART_ARC
(14,26),-1.62834 # DEPENDENCYPART_ARC
(15,2),-2.4702 # DEPENDENCYPART_ARC
(15,6),-2.03602 # DEPENDENCYPART_ARC
(15,8),-2.22098 # DEPENDENCYPART_ARC
(15,10),-1.78463 # DEPENDENCYPART_ARC
(15,11),-1.53448 # DEPENDENCYPART_ARC
(15,12),-1.6854 # DEPENDENCYPART_ARC
(15,13),-1.88951 # DEPENDENCYPART_ARC
(15,14),-0.965785 # DEPENDENCYPART_ARC
(15,16),0.147154 # DEPENDENCYPART_ARC
(15,17),-1.18354 # DEPENDENCYPART_ARC
(15,18),-1.01119 # DEPENDENCYPART_ARC
(15,19),-0.77647 # DEPENDENCYPART_ARC
(15,20),-1.26433 # DEPENDENCYPART_ARC
(15,21),-1.33412 # DEPENDENCYPART_ARC
(15,23),-1.1217 # DEPENDENCYPART_ARC
(15,24),-1.35356 # DEPENDENCYPART_ARC
(15,25),-1.93418 # DEPENDENCYPART_ARC
(15,26),-1.42611 # DEPENDENCYPART_ARC
(15,29),-2.45602 # DEPENDENCYPART_ARC
(15,32),-2.47527 # DEPENDENCYPART_ARC
(16,12),-1.86685 # DEPENDENCYPART_ARC
(16,13),-2.40024 # DEPENDENCYPART_ARC
(16,14),-1.84691 # DEPENDENCYPART_ARC
(16,15),-1.50335 # DEPENDENCYPART_ARC
(16,17),1.23614 # DEPENDENCYPART_ARC
(16,18),-0.745933 # DEPENDENCYPART_ARC
(16,19),-1.21677 # DEPENDENCYPART_ARC
(16,20),-1.52742 # DEPENDENCYPART_ARC
(16,21),-1.61706 # DEPENDENCYPART_ARC
(16,22),-2.31878 # DEPENDENCYPART_ARC
(16,23),-2.2486 # DEPENDENCYPART_ARC
(16,24),-1.68645 # DEPENDENCYPART_ARC
(16,25),-2.68858 # DEPENDENCYPART_ARC
(16,26),-1.3441 # DEPENDENCYPART_ARC
(16,27),-2.08785 # DEPENDENCYPART_ARC
(16,29),-3.91846 # DEPENDENCYPART_ARC
(16,32),-4.18371 # DEPENDENCYPART_ARC
(16,33),-2.05558 # DEPENDENCYPART_ARC
(17,12),-1.91897 # DEPENDENCYPART_ARC
(17,13),-1.97739 # DEPENDENCYPART_ARC
(17,14),-1.84856 # DEPENDENCYPART_ARC
(17,15),-1.60672 # DEPENDENCYPART_ARC
(17,16),-1.40324 # DEPENDENCYPART_ARC
(17,18),-1.3847 # DEPENDENCYPART_ARC
(17,19),-1.97051 # DEPENDENCYPART_ARC
(17,21),-2.01125 # DEPENDENCYPART_ARC
(19,17),-2.2389 # DEPENDENCYPART_ARC
(19,18),-1.21989 # DEPENDENCYPART_ARC
(19,20),1.49639 # DEPENDENCYPART_ARC
(19,21),-1.24194 # DEPENDENCYPART_ARC
(19,22),-2.19589 # DEPENDENCYPART_ARC
(19,23),-1.36731 # DEPENDENCYPART_ARC
(19,24),-1.68381 # DEPENDENCYPART_ARC
(19,26),-1.30356 # DEPENDENCYPART_ARC
(19,27),-0.471964 # DEPENDENCYPART_ARC
(20,2),-2.70692 # DEPENDENCYPART_ARC
(20,14),-2.0753 # DEPENDENCYPART_ARC
(20,16),-2.20683 # DEPENDENCYPART_ARC
(20,17),-2.01342 # DEPENDENCYPART_ARC
(20,19),-1.19123 # DEPENDENCYPART_ARC
(20,21),0.567569 # DEPENDENCYPART_ARC
(20,22),-0.849649 # DEPENDENCYPART_ARC
(20,23),0.260934 # DEPENDENCYPART_ARC
(20,24),-0.18624 # DEPENDENCYPART_ARC
(20,25),-1.07001 # DEPENDENCYPART_ARC
(20,26),-0.871131 # DEPENDENCYPART_ARC
(20,27),-1.10872 # DEPENDENCYPART_ARC
(20,29),-1.71436 # DEPENDENCYPART_ARC
(20,31),-2.10331 # DEPENDENCYPART_ARC
(20,32),-1.96768 # DEPENDENCYPART_ARC
(21,22),1.18055 # DEPENDENCYPART_ARC
(21,23),-0.601171 # DEPENDENCYPART_ARC
(21,24),-1.06121 # DEPENDENCYPART_ARC
(21,25),-1.80985 # DEPENDENCYPART_ARC
(21,27),-1.41436 # DEPENDENCYPART_ARC
(22,17),-2.10623 # DEPENDENCYPART_ARC
(22,19),-1.32822 # DEPENDENCYPART_ARC
(22,21),-0.688061 # DEPENDENCYPART_ARC
(22,23),-1.39085 # DEPENDENCYPART_ARC
(23,8),-1.68318 # DEPENDENCYPART_ARC
(23,12),-2.76381 # DEPENDENCYPART_ARC
(23,13),-3.04884 # DEPENDENCYPART_ARC
(23,16),-3.00912 # DEPENDENCYPART_ARC
(23,17),-2.55296 # DEPENDENCYPART_ARC
(23,19),-1.65788 # DEPENDENCYPART_ARC
(23,20),-1.30966 # DEPENDENCYPART_ARC
(23,21),0.945701 # DEPENDENCYPART_ARC
(23,22),1.06242 # DEPENDENCYPART_ARC
(23,24),-0.249045 # DEPENDENCYPART_ARC
(23,25),-1.53271 # DEPENDENCYPART_ARC
(23,26),-1.24224 # DEPENDENCYPART_ARC
(23,27),-1.24352 # DEPENDENCYPART_ARC
(23,29),-2.44718 # DEPENDENCYPART_ARC
(23,31),-2.82858 # DEPENDENCYPART_ARC
(23,32),-2.71199 # DEPENDENCYPART_ARC
(24,23),-1.81969 # DEPENDENCYPART_ARC
(24,25),1.69721 # DEPENDENCYPART_ARC
(24,27),-0.828943 # DEPENDENCYPART_ARC
(24,29),-1.92958 # DEPENDENCYPART_ARC
(24,31),-2.84638 # DEPENDENCYPART_ARC
(24,32),-2.13611 # DEPENDENCYPART_ARC
(25,26),-1.21179 # DEPENDENCYPART_ARC
(25,27),-1.95659 # DEPENDENCYPART_ARC
(25,29),-3.23576 # DEPENDENCYPART_ARC
(25,30),-2.74986 # DEPENDENCYPART_ARC
(25,32),-4.07288 # DEPENDENCYPART_ARC
(27,2),-3.12868 # DEPENDENCYPART_ARC
(27,4),-2.97157 # DEPENDENCYPART_ARC
(27,6),-3.43458 # DEPENDENCYPART_ARC
(27,7),-0.193241 # DEPENDENCYPART_ARC
(27,8),-2.46295 # DEPENDENCYPART_ARC
(27,10),-2.78521 # DEPENDENCYPART_ARC
(27,11),-2.61675 # DEPENDENCYPART_ARC
(27,14),-2.42862 # DEPENDENCYPART_ARC
(27,15),-2.18859 # DEPENDENCYPART_ARC
(27,16),-1.79807 # DEPENDENCYPART_ARC
(27,17),-2.75112 # DEPENDENCYPART_ARC
(27,18),-1.47407 # DEPENDENCYPART_ARC
(27,19),-1.23385 # DEPENDENCYPART_ARC
(27,20),-1.76081 # DEPENDENCYPART_ARC
(27,21),-1.76456 # DEPENDENCYPART_ARC
(27,22),-2.22082 # DEPENDENCYPART_ARC
(27,23),-1.46205 # DEPENDENCYPART_ARC
(27,24),-1.4514 # DEPENDENCYPART_ARC
(27,25),-0.998289 # DEPENDENCYPART_ARC
(27,26),-0.195289 # DEPENDENCYPART_ARC
(27,28),-0.443238 # DEPENDENCYPART_ARC
(27,29),-0.588239 # DEPENDENCYPART_ARC
(27,30),-1.49185 # DEPENDENCYPART_ARC
(27,31),-1.66031 # DEPENDENCYPART_ARC
(27,32),-1.24028 # DEPENDENCYPART_ARC
(27,33),0.751747 # DEPENDENCYPART_ARC
(28,29),-2.02023 # DEPENDENCYPART_ARC
(28,30),-1.60795 # DEPENDENCYPART_ARC
(28,32),-3.20616 # DEPENDENCYPART_ARC
(29,25),-1.29939 # DEPENDENCYPART_ARC
(29,27),-1.12911 # DEPENDENCYPART_ARC
(29,28),2.71268 # DEPENDENCYPART_ARC
(29,30),2.27855 # DEPENDENCYPART_ARC
(29,31),-1.54874 # DEPENDENCYPART_ARC
(29,32),-1.67107 # DEPENDENCYPART_ARC
(31,25),-3.84376 # DEPENDENCYPART_ARC
(31,28),-1.56072 # DEPENDENCYPART_ARC
(31,29),-1.00687 # DEPENDENCYPART_ARC
(31,30),-1.51252 # DEPENDENCYPART_ARC
(32,7),-3.2457 # DEPENDENCYPART_ARC
(32,25),-2.90661 # DEPENDENCYPART_ARC
(32,28),-0.317361 # DEPENDENCYPART_ARC
(32,29),-0.39521 # DEPENDENCYPART_ARC
(32,30),-0.959975 # DEPENDENCYPART_ARC
(32,31),1.39692 # DEPENDENCYPART_ARC
(32,33),-1.35266 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.764297 # DEPENDENCYPART_SIBL
(0,2),(0,27),-1.17575 # DEPENDENCYPART_SIBL
(0,7),(0,27),-2.28691 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.519124 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0605825 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0191182 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0306135 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.240594 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.04452 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0374657 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00823459 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.170922 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.273674 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.103469 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.176412 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.091103 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.170922 # DEPENDENCYPART_SIBL
(2,1),(2,33),-0.06544 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00828262 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00936045 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.061865 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.191034 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.124777 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0395866 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.103582 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.217143 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0256696 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0237271 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0174634 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00383611 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.217143 # DEPENDENCYPART_SIBL
(2,3),(2,33),-0.0719285 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0434965 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0826171 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0579349 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0934649 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0278593 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.110092 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.049326 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0835281 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00696111 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.060172 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0680726 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.049326 # DEPENDENCYPART_SIBL
(2,4),(2,33),-0.0819017 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0341114 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0604689 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.134727 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0429181 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0497964 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0789095 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0200472 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00509946 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.038747 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00496697 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0789095 # DEPENDENCYPART_SIBL
(2,5),(2,33),-0.0601014 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.10862 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0673642 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0420488 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0823231 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.069903 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0380408 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.103679 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00171421 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0104085 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.069903 # DEPENDENCYPART_SIBL
(2,6),(2,33),-0.0312461 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0873106 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0143894 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0598507 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0159218 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0105298 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.198901 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0385379 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.00652183 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0159218 # DEPENDENCYPART_SIBL
(2,7),(2,33),0.0327203 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.024526 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.154249 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0981029 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0600342 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.00354014 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0650571 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0515647 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0981029 # DEPENDENCYPART_SIBL
(2,8),(2,33),-0.139744 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00858925 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0674473 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.038905 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0329165 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0160898 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.021772 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0674473 # DEPENDENCYPART_SIBL
(2,9),(2,33),-0.0677784 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0234584 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.00550294 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0539264 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0155301 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0260257 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0234584 # DEPENDENCYPART_SIBL
(2,10),(2,33),0.0071957 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.021944 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0590174 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.215252 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0452826 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.0229767 # DEPENDENCYPART_SIBL
(2,11),(2,33),0.00546161 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.131157 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0205621 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.102899 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.0361405 # DEPENDENCYPART_SIBL
(2,15),(2,33),0.0270544 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.429829 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.640018 # DEPENDENCYPART_SIBL
(2,18),(2,24),0.201831 # DEPENDENCYPART_SIBL
(2,18),(2,33),0.0365021 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0813056 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.149932 # DEPENDENCYPART_SIBL
(2,19),(2,33),0.16672 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.0382355 # DEPENDENCYPART_SIBL
(2,20),(2,33),0.0230242 # DEPENDENCYPART_SIBL
(2,24),(2,33),0.00546161 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.433129 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.865844 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.633151 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.985434 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.534405 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.399711 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.621347 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.592303 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.952788 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.53698 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0230467 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.035066 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00458914 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.131256 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0459522 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0664 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0165674 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.100464 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0514066 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0384108 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.185959 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0158314 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0484385 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.206076 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.135266 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.106738 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.196017 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.16016 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.113096 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00699959 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.103471 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0991339 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0875554 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.115214 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.047214 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0401089 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.131134 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0196406 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0277129 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0146048 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0376538 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0262782 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0540298 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.057092 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0503669 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0438758 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0504686 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0200634 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.144526 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.157731 # DEPENDENCYPART_SIBL
