# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,17,10,
(17,22),-0.545101 # DEPENDENCYPART_ARC
(17,23),-0.590446 # DEPENDENCYPART_ARC
(17,24),-2.32794 # DEPENDENCYPART_ARC
(17,25),-1.45627 # DEPENDENCYPART_ARC
(17,26),-1.66152 # DEPENDENCYPART_ARC
(17,27),-1.50826 # DEPENDENCYPART_ARC
(17,28),-0.232985 # DEPENDENCYPART_ARC
(17,29),-0.0934978 # DEPENDENCYPART_ARC
(19,15),-1.68896 # DEPENDENCYPART_ARC
(19,16),-1.94089 # DEPENDENCYPART_ARC
(19,18),1.98138 # DEPENDENCYPART_ARC
(19,20),-0.669591 # DEPENDENCYPART_ARC
(19,21),-0.902839 # DEPENDENCYPART_ARC
(19,22),-1.29445 # DEPENDENCYPART_ARC
(19,23),-1.10951 # DEPENDENCYPART_ARC
(19,25),-1.90519 # DEPENDENCYPART_ARC
(19,27),-1.86246 # DEPENDENCYPART_ARC
(19,28),-1.2824 # DEPENDENCYPART_ARC
(19,29),-2.08822 # DEPENDENCYPART_ARC
(20,1),-2.85738 # DEPENDENCYPART_ARC
(20,3),-1.81702 # DEPENDENCYPART_ARC
(20,15),-2.25614 # DEPENDENCYPART_ARC
(20,18),-1.25568 # DEPENDENCYPART_ARC
(20,19),-0.627569 # DEPENDENCYPART_ARC
(20,21),-0.703142 # DEPENDENCYPART_ARC
(20,22),-1.24515 # DEPENDENCYPART_ARC
(20,23),-1.626 # DEPENDENCYPART_ARC
(20,27),-2.62314 # DEPENDENCYPART_ARC
(21,2),-2.2974 # DEPENDENCYPART_ARC
(21,19),-1.80299 # DEPENDENCYPART_ARC
(21,20),-0.65557 # DEPENDENCYPART_ARC
(21,22),0.957909 # DEPENDENCYPART_ARC
(21,23),-1.06144 # DEPENDENCYPART_ARC
(21,24),-2.7118 # DEPENDENCYPART_ARC
(21,25),-2.0709 # DEPENDENCYPART_ARC
(21,26),-2.17286 # DEPENDENCYPART_ARC
(21,27),-2.16912 # DEPENDENCYPART_ARC
(21,28),-1.2715 # DEPENDENCYPART_ARC
(22,1),-3.18389 # DEPENDENCYPART_ARC
(22,19),-1.6201 # DEPENDENCYPART_ARC
(22,20),-1.51619 # DEPENDENCYPART_ARC
(22,21),-1.35131 # DEPENDENCYPART_ARC
(22,23),1.06639 # DEPENDENCYPART_ARC
(22,24),-1.41034 # DEPENDENCYPART_ARC
(22,25),-0.621926 # DEPENDENCYPART_ARC
(22,26),-1.46949 # DEPENDENCYPART_ARC
(22,27),-0.700496 # DEPENDENCYPART_ARC
(22,28),-0.901323 # DEPENDENCYPART_ARC
(23,19),-2.07399 # DEPENDENCYPART_ARC
(23,20),-1.76785 # DEPENDENCYPART_ARC
(23,21),-1.63823 # DEPENDENCYPART_ARC
(23,22),-1.71069 # DEPENDENCYPART_ARC
(23,24),-0.848595 # DEPENDENCYPART_ARC
(23,25),-1.29503 # DEPENDENCYPART_ARC
(23,26),-1.6078 # DEPENDENCYPART_ARC
(23,27),0.0767137 # DEPENDENCYPART_ARC
(23,28),-1.16185 # DEPENDENCYPART_ARC
(23,29),-2.52658 # DEPENDENCYPART_ARC
(24,25),-1.5447 # DEPENDENCYPART_ARC
(24,26),-2.14202 # DEPENDENCYPART_ARC
(25,23),-1.47658 # DEPENDENCYPART_ARC
(25,24),-0.862975 # DEPENDENCYPART_ARC
(25,26),-0.528713 # DEPENDENCYPART_ARC
(25,27),-1.28679 # DEPENDENCYPART_ARC
(25,28),-1.16294 # DEPENDENCYPART_ARC
(26,24),-1.22678 # DEPENDENCYPART_ARC
(26,25),0.86746 # DEPENDENCYPART_ARC
(27,20),-2.20636 # DEPENDENCYPART_ARC
(27,22),-1.373 # DEPENDENCYPART_ARC
(27,23),-1.36173 # DEPENDENCYPART_ARC
(27,24),1.11175 # DEPENDENCYPART_ARC
(27,25),0.0654914 # DEPENDENCYPART_ARC
(27,26),1.37414 # DEPENDENCYPART_ARC
(27,28),-0.398503 # DEPENDENCYPART_ARC
(27,29),-1.54465 # DEPENDENCYPART_ARC
(28,26),-2.28159 # DEPENDENCYPART_ARC
(28,27),-1.76071 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.18407 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.145526 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.704877 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.604441 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.310158 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.163518 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.702792 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.687161 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.401251 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.762876 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.646929 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.360823 # DEPENDENCYPART_SIBL
(0,6),(0,10),-1.3799 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.910886 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.917769 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.128223 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.11388 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0378119 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0138848 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00233165 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0743087 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.121961 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.104265 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.00233165 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0326908 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.142459 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0971192 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.128223 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0154939 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0423198 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.107321 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0965426 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.131183 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0415048 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.151469 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0786256 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.12651 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0415048 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0562638 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.104615 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.12889 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.297224 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0594265 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.026066 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0736961 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0453964 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0644405 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0757913 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0886944 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.171074 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0644405 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0151792 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0940902 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0313898 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0274853 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.00505412 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0279784 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0909084 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0527358 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0799485 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.20753 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.168892 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0527358 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0410634 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.156987 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.110795 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0425507 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.0376586 # DEPENDENCYPART_SIBL
(1,6),(1,29),0.0120044 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.107685 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0348349 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0469163 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.187073 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.107685 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0472002 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0561096 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0705734 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.212637 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0507196 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0930328 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0189603 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.242361 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.189672 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0287053 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.287925 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.171286 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.186131 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.478871 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.629642 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0369741 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0198752 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.00618297 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.00590441 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0956836 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0166727 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.025821 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0412962 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.0672292 # DEPENDENCYPART_SIBL
(1,9),(1,29),-0.0113514 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.152656 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0189833 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0561686 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.227822 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.104824 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.119989 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.0438404 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.0546625 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.00469171 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.00184042 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.11312 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.0108172 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0103835 # DEPENDENCYPART_SIBL
(1,13),(1,22),-0.0316124 # DEPENDENCYPART_SIBL
(1,13),(1,29),0.0126755 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.287925 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.171286 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.186131 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.478871 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.629642 # DEPENDENCYPART_SIBL
(1,14),(1,29),0.0369741 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.121728 # DEPENDENCYPART_SIBL
(1,15),(1,20),0.0123311 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.0334771 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.0144417 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.0531963 # DEPENDENCYPART_SIBL
(1,17),(1,20),-0.100905 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.110944 # DEPENDENCYPART_SIBL
(1,17),(1,22),-0.0619041 # DEPENDENCYPART_SIBL
(1,17),(1,29),0.015819 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.0352126 # DEPENDENCYPART_SIBL
(1,20),(1,22),-0.0245088 # DEPENDENCYPART_SIBL
(1,20),(1,29),0.0110475 # DEPENDENCYPART_SIBL
(1,21),(1,22),-0.0594265 # DEPENDENCYPART_SIBL
(1,21),(1,29),0.026066 # DEPENDENCYPART_SIBL
(1,22),(1,29),-0.0425189 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0242671 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0174874 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0144924 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0110133 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.110006 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0619541 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.088245 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.263676 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0341578 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.395917 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0551238 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0811345 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.0730654 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.139603 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0979541 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.000131429 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.109433 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.115501 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00717304 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.103192 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.128505 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.19517 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0177291 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.118261 # DEPENDENCYPART_SIBL
(2,7),(2,29),-0.120771 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.293977 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.183343 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.228417 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.015129 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0134525 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.110333 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0111365 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0998623 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0415795 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0262369 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0737763 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0415795 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0184527 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.110283 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0579464 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0451843 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.270618 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0562135 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.217734 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.362948 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0593871 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.217734 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.132 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.22894 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.498754 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.544342 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.472531 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0678219 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.56111 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.490338 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0678219 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.471869 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.258042 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.838369 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.751682 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00938845 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.764191 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.838251 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00938845 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.665041 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.187989 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.362244 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.126846 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.564641 # DEPENDENCYPART_SIBL
