# _root_ In London , a midday rally left the market 's major index off 3.2 % , and Tokyo 's leading stock index fell only 1.8 % in surprisingly lackluster trading .
#goldHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
(10,7),-1.67465 # DEPENDENCYPART_ARC
(11,9),-1.80636 # DEPENDENCYPART_ARC
(11,10),-1.72989 # DEPENDENCYPART_ARC
(11,13),-1.32352 # DEPENDENCYPART_ARC
(11,14),-1.98036 # DEPENDENCYPART_ARC
(11,15),-2.20754 # DEPENDENCYPART_ARC
(12,1),-2.00122 # DEPENDENCYPART_ARC
(12,2),-3.64065 # DEPENDENCYPART_ARC
(12,3),-3.02844 # DEPENDENCYPART_ARC
(12,4),-2.87342 # DEPENDENCYPART_ARC
(12,5),-1.32769 # DEPENDENCYPART_ARC
(12,6),-1.96735 # DEPENDENCYPART_ARC
(12,7),-1.81783 # DEPENDENCYPART_ARC
(12,8),-0.835064 # DEPENDENCYPART_ARC
(12,9),0.549467 # DEPENDENCYPART_ARC
(12,10),-0.474623 # DEPENDENCYPART_ARC
(12,11),1.63555 # DEPENDENCYPART_ARC
(12,13),0.307887 # DEPENDENCYPART_ARC
(12,14),-0.898912 # DEPENDENCYPART_ARC
(12,15),-0.990921 # DEPENDENCYPART_ARC
(12,16),-1.1944 # DEPENDENCYPART_ARC
(12,17),-1.34736 # DEPENDENCYPART_ARC
(12,18),-2.30158 # DEPENDENCYPART_ARC
(12,19),-2.56206 # DEPENDENCYPART_ARC
(12,20),-1.64356 # DEPENDENCYPART_ARC
(12,22),-2.17268 # DEPENDENCYPART_ARC
(12,23),-1.95997 # DEPENDENCYPART_ARC
(12,27),-2.14474 # DEPENDENCYPART_ARC
(12,28),-2.185 # DEPENDENCYPART_ARC
(12,31),-2.45736 # DEPENDENCYPART_ARC
(13,12),-1.4957 # DEPENDENCYPART_ARC
(13,14),-0.72853 # DEPENDENCYPART_ARC
(13,15),0.424015 # DEPENDENCYPART_ARC
(13,16),-1.54216 # DEPENDENCYPART_ARC
(13,17),-1.79257 # DEPENDENCYPART_ARC
(13,22),-1.96042 # DEPENDENCYPART_ARC
(13,23),-1.63367 # DEPENDENCYPART_ARC
(14,12),-2.28205 # DEPENDENCYPART_ARC
(14,13),-1.01889 # DEPENDENCYPART_ARC
(14,15),-1.28394 # DEPENDENCYPART_ARC
(14,16),-1.78155 # DEPENDENCYPART_ARC
(14,17),-1.89213 # DEPENDENCYPART_ARC
(14,23),-2.15943 # DEPENDENCYPART_ARC
(15,9),-1.43458 # DEPENDENCYPART_ARC
(15,11),-0.888251 # DEPENDENCYPART_ARC
(15,12),-1.50252 # DEPENDENCYPART_ARC
(15,13),-1.20554 # DEPENDENCYPART_ARC
(15,14),1.4375 # DEPENDENCYPART_ARC
(15,16),-0.745329 # DEPENDENCYPART_ARC
(15,17),-1.28898 # DEPENDENCYPART_ARC
(15,18),-2.1528 # DEPENDENCYPART_ARC
(15,19),-2.10456 # DEPENDENCYPART_ARC
(15,20),-2.05846 # DEPENDENCYPART_ARC
(15,22),-2.70599 # DEPENDENCYPART_ARC
(15,23),-2.54761 # DEPENDENCYPART_ARC
(15,24),-2.27402 # DEPENDENCYPART_ARC
(15,26),-3.57659 # DEPENDENCYPART_ARC
(15,31),-2.61838 # DEPENDENCYPART_ARC
(17,18),-0.0949892 # DEPENDENCYPART_ARC
(17,19),-0.739916 # DEPENDENCYPART_ARC
(17,20),-1.24794 # DEPENDENCYPART_ARC
(17,21),-1.66893 # DEPENDENCYPART_ARC
(17,22),-1.48802 # DEPENDENCYPART_ARC
(17,23),0.0870456 # DEPENDENCYPART_ARC
(17,26),-2.15789 # DEPENDENCYPART_ARC
(17,27),-1.81291 # DEPENDENCYPART_ARC
(17,30),-3.08221 # DEPENDENCYPART_ARC
(18,17),-1.45395 # DEPENDENCYPART_ARC
(18,19),1.71777 # DEPENDENCYPART_ARC
(18,20),-1.11733 # DEPENDENCYPART_ARC
(18,21),-1.43874 # DEPENDENCYPART_ARC
(18,25),-2.57961 # DEPENDENCYPART_ARC
(19,15),-2.16433 # DEPENDENCYPART_ARC
(20,1),-2.32639 # DEPENDENCYPART_ARC
(20,7),-1.92564 # DEPENDENCYPART_ARC
(20,12),-2.00343 # DEPENDENCYPART_ARC
(20,13),-1.54606 # DEPENDENCYPART_ARC
(20,15),-1.89991 # DEPENDENCYPART_ARC
(20,18),-1.62285 # DEPENDENCYPART_ARC
(20,19),-0.962646 # DEPENDENCYPART_ARC
(20,21),-0.60404 # DEPENDENCYPART_ARC
(20,22),-0.719751 # DEPENDENCYPART_ARC
(20,23),-1.29592 # DEPENDENCYPART_ARC
(20,24),-1.78206 # DEPENDENCYPART_ARC
(20,25),-2.714 # DEPENDENCYPART_ARC
(20,26),-1.9069 # DEPENDENCYPART_ARC
(20,27),-1.60628 # DEPENDENCYPART_ARC
(20,28),-2.28155 # DEPENDENCYPART_ARC
(20,30),-2.49234 # DEPENDENCYPART_ARC
(21,18),-0.825914 # DEPENDENCYPART_ARC
(21,20),-0.534021 # DEPENDENCYPART_ARC
(22,4),-4.39723 # DEPENDENCYPART_ARC
(22,5),-1.59799 # DEPENDENCYPART_ARC
(22,6),-2.45879 # DEPENDENCYPART_ARC
(22,9),-1.08637 # DEPENDENCYPART_ARC
(22,11),-1.36954 # DEPENDENCYPART_ARC
(22,12),-1.80391 # DEPENDENCYPART_ARC
(22,13),-1.47347 # DEPENDENCYPART_ARC
(22,14),-1.57683 # DEPENDENCYPART_ARC
(22,15),-1.52763 # DEPENDENCYPART_ARC
(22,16),-1.92933 # DEPENDENCYPART_ARC
(22,17),-1.35859 # DEPENDENCYPART_ARC
(22,18),0.954837 # DEPENDENCYPART_ARC
(22,19),-0.442909 # DEPENDENCYPART_ARC
(22,20),0.623917 # DEPENDENCYPART_ARC
(22,21),2.4958 # DEPENDENCYPART_ARC
(22,23),-1.06099 # DEPENDENCYPART_ARC
(22,24),-1.69487 # DEPENDENCYPART_ARC
(22,25),-1.86761 # DEPENDENCYPART_ARC
(22,26),-1.8547 # DEPENDENCYPART_ARC
(22,27),-1.74346 # DEPENDENCYPART_ARC
(23,1),-0.646247 # DEPENDENCYPART_ARC
(23,2),-2.10165 # DEPENDENCYPART_ARC
(23,3),-0.82421 # DEPENDENCYPART_ARC
(23,5),-1.42348 # DEPENDENCYPART_ARC
(23,6),-1.29171 # DEPENDENCYPART_ARC
(23,7),-1.77882 # DEPENDENCYPART_ARC
(23,9),-1.41038 # DEPENDENCYPART_ARC
(23,10),-2.13717 # DEPENDENCYPART_ARC
(23,12),-0.967998 # DEPENDENCYPART_ARC
(23,13),-1.37114 # DEPENDENCYPART_ARC
(23,14),-2.47746 # DEPENDENCYPART_ARC
(23,15),-1.30811 # DEPENDENCYPART_ARC
(23,16),-1.62626 # DEPENDENCYPART_ARC
(23,17),-1.76608 # DEPENDENCYPART_ARC
(23,18),-1.61295 # DEPENDENCYPART_ARC
(23,19),-1.62253 # DEPENDENCYPART_ARC
(23,20),-1.06968 # DEPENDENCYPART_ARC
(23,21),-0.624247 # DEPENDENCYPART_ARC
(23,22),0.429037 # DEPENDENCYPART_ARC
(23,24),0.46002 # DEPENDENCYPART_ARC
(23,25),-0.953223 # DEPENDENCYPART_ARC
(23,26),-0.181851 # DEPENDENCYPART_ARC
(23,27),0.222615 # DEPENDENCYPART_ARC
(23,28),-0.75734 # DEPENDENCYPART_ARC
(23,29),-1.10803 # DEPENDENCYPART_ARC
(23,30),-1.25517 # DEPENDENCYPART_ARC
(23,31),0.413192 # DEPENDENCYPART_ARC
(24,25),0.664085 # DEPENDENCYPART_ARC
(24,26),-0.757825 # DEPENDENCYPART_ARC
(24,27),-1.31449 # DEPENDENCYPART_ARC
(24,28),-1.22975 # DEPENDENCYPART_ARC
(24,29),-1.71643 # DEPENDENCYPART_ARC
(24,30),-2.1697 # DEPENDENCYPART_ARC
(24,31),-2.48401 # DEPENDENCYPART_ARC
(25,22),-2.00754 # DEPENDENCYPART_ARC
(25,24),-0.59402 # DEPENDENCYPART_ARC
(25,26),-1.14228 # DEPENDENCYPART_ARC
(25,27),-1.51453 # DEPENDENCYPART_ARC
(25,28),-1.84093 # DEPENDENCYPART_ARC
(25,30),-2.41231 # DEPENDENCYPART_ARC
(26,9),-3.11134 # DEPENDENCYPART_ARC
(26,14),-2.86338 # DEPENDENCYPART_ARC
(26,18),-2.19981 # DEPENDENCYPART_ARC
(26,20),-1.75553 # DEPENDENCYPART_ARC
(26,21),-0.966249 # DEPENDENCYPART_ARC
(26,22),-1.28771 # DEPENDENCYPART_ARC
(26,24),0.97874 # DEPENDENCYPART_ARC
(26,25),1.05358 # DEPENDENCYPART_ARC
(26,27),-0.698751 # DEPENDENCYPART_ARC
(26,28),-1.51509 # DEPENDENCYPART_ARC
(26,29),-1.39604 # DEPENDENCYPART_ARC
(26,30),-1.87612 # DEPENDENCYPART_ARC
(27,24),-1.59437 # DEPENDENCYPART_ARC
(27,25),-2.47387 # DEPENDENCYPART_ARC
(27,26),-1.64249 # DEPENDENCYPART_ARC
(27,28),-0.510807 # DEPENDENCYPART_ARC
(27,29),0.387834 # DEPENDENCYPART_ARC
(27,30),0.548577 # DEPENDENCYPART_ARC
(27,31),-2.76737 # DEPENDENCYPART_ARC
(28,29),-0.891884 # DEPENDENCYPART_ARC
(28,30),-1.51871 # DEPENDENCYPART_ARC
(29,24),-2.12497 # DEPENDENCYPART_ARC
(29,25),-2.54048 # DEPENDENCYPART_ARC
(29,28),-0.585588 # DEPENDENCYPART_ARC
(29,30),-1.18731 # DEPENDENCYPART_ARC
(30,9),-2.81718 # DEPENDENCYPART_ARC
(30,18),-1.89232 # DEPENDENCYPART_ARC
(30,20),-1.58746 # DEPENDENCYPART_ARC
(30,21),-1.43619 # DEPENDENCYPART_ARC
(30,22),-2.12641 # DEPENDENCYPART_ARC
(30,24),-1.4651 # DEPENDENCYPART_ARC
(30,25),-1.45488 # DEPENDENCYPART_ARC
(30,26),-1.41857 # DEPENDENCYPART_ARC
(30,27),-1.20617 # DEPENDENCYPART_ARC
(30,28),-0.100176 # DEPENDENCYPART_ARC
(30,29),1.57402 # DEPENDENCYPART_ARC
(30,31),-1.5607 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.111815 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.726728 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.749387 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.758669 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.771552 # DEPENDENCYPART_SIBL
(0,7),(0,23),-1.66758 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.148777 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.985623 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.986976 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.6162 # DEPENDENCYPART_SIBL
(1,2),(1,31),-0.0766738 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0367788 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0395706 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.311546 # DEPENDENCYPART_SIBL
(1,3),(1,31),0.395117 # DEPENDENCYPART_SIBL
(1,5),(1,6),-1.01593 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.496923 # DEPENDENCYPART_SIBL
(1,5),(1,31),0.114099 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.512904 # DEPENDENCYPART_SIBL
(1,6),(1,31),0.0966944 # DEPENDENCYPART_SIBL
(1,7),(1,31),0.385382 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0229293 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0035593 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0154081 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00568687 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.186354 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0264472 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0229293 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0721577 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.5692 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.566375 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.375512 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0308595 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.505395 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0117037 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.40188 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.307593 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0583093 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0217485 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.319653 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.222611 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0354232 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0659805 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.022101 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.298974 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.200131 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0525404 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00253911 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.126683 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.395974 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.084252 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.25606 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.111088 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.100778 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.194668 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0120936 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.40188 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.239192 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0995647 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0672986 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0181566 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00763019 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0534456 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.236925 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.000875164 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.299912 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.13749 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0678167 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0819096 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0422655 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0571841 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.224598 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0420764 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.109174 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0354648 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0130986 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.148314 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00570827 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00105247 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0357374 # DEPENDENCYPART_SIBL
(6,1),(6,31),-0.00561706 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.137458 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.342128 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.16926 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0224302 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0435947 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0805245 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0152734 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0597223 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0139203 # DEPENDENCYPART_SIBL
(6,2),(6,31),-0.0228696 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0267843 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0989574 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0549564 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0354485 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.271819 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0178917 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0311029 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00595246 # DEPENDENCYPART_SIBL
(6,3),(6,31),0.0545584 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.274284 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.255042 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00544887 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0417447 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0743599 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0531422 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0667388 # DEPENDENCYPART_SIBL
(6,4),(6,31),-0.0467473 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0544842 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0303636 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.110133 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.000270471 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0164474 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0201616 # DEPENDENCYPART_SIBL
(6,5),(6,31),-0.0315412 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00322504 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0445782 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0139912 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00752438 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.208256 # DEPENDENCYPART_SIBL
(6,7),(6,31),0.0286813 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0959035 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0847974 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0382229 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0213717 # DEPENDENCYPART_SIBL
(6,9),(6,31),-0.0412826 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.173097 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.00924253 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.27035 # DEPENDENCYPART_SIBL
(6,10),(6,31),-0.188009 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.04996 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0368014 # DEPENDENCYPART_SIBL
(6,12),(6,31),-0.0409865 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0429429 # DEPENDENCYPART_SIBL
(6,13),(6,31),0.0948502 # DEPENDENCYPART_SIBL
(6,16),(6,31),-0.0194276 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0563719 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.317204 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0138041 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0362087 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0145796 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0850663 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0434925 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.102345 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0778519 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00827521 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0469137 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0280824 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0910249 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0311842 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0910616 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.102345 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.106434 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.00827521 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0380187 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0464204 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0280824 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.186522 # DEPENDENCYPART_SIBL
(7,1),(7,28),-0.0253537 # DEPENDENCYPART_SIBL
(7,1),(7,30),-0.0542067 # DEPENDENCYPART_SIBL
(7,1),(7,31),0.0362768 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0269071 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.252877 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.18772 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.169474 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0202038 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0212936 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0620521 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00582649 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0555967 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0419259 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0295789 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0661958 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0552896 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0231678 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0620521 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.00310363 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0555967 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.0780947 # DEPENDENCYPART_SIBL
(7,2),(7,24),-0.0146903 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.0295789 # DEPENDENCYPART_SIBL
(7,2),(7,27),0.0185493 # DEPENDENCYPART_SIBL
(7,2),(7,28),0.0628479 # DEPENDENCYPART_SIBL
(7,2),(7,30),0.0587952 # DEPENDENCYPART_SIBL
(7,2),(7,31),0.0688152 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0995979 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0231462 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0141582 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0525355 # DEPENDENCYPART_SIBL
