# _root_ Asked what stocks the computer bought , the money manager says , `` I do n't know . ''
#goldHeads=11,3,6,5,6,1,11,10,10,11,0,11,15,15,11,15,15,11,11,
#predictedHeads=11,3,1,5,3,3,11,10,10,11,0,11,11,15,11,15,15,15,15,
(15,11),-1.5413 # DEPENDENCYPART_ARC
(15,12),-0.981709 # DEPENDENCYPART_ARC
(15,13),-0.614072 # DEPENDENCYPART_ARC
(15,14),1.60148 # DEPENDENCYPART_ARC
(15,16),1.54173 # DEPENDENCYPART_ARC
(15,17),0.895873 # DEPENDENCYPART_ARC
(15,18),-0.367583 # DEPENDENCYPART_ARC
(15,19),-0.591105 # DEPENDENCYPART_ARC
(16,14),-1.9363 # DEPENDENCYPART_ARC
(16,17),-1.3551 # DEPENDENCYPART_ARC
(17,1),-2.29839 # DEPENDENCYPART_ARC
(17,2),-0.958939 # DEPENDENCYPART_ARC
(17,3),-2.25863 # DEPENDENCYPART_ARC
(17,5),-2.02937 # DEPENDENCYPART_ARC
(17,6),-1.95124 # DEPENDENCYPART_ARC
(17,7),-2.10755 # DEPENDENCYPART_ARC
(17,10),-1.66221 # DEPENDENCYPART_ARC
(17,11),-1.5721 # DEPENDENCYPART_ARC
(17,12),-1.57888 # DEPENDENCYPART_ARC
(17,13),-1.41863 # DEPENDENCYPART_ARC
(17,14),-1.52054 # DEPENDENCYPART_ARC
(17,16),-0.533735 # DEPENDENCYPART_ARC
(17,18),-1.23812 # DEPENDENCYPART_ARC
(17,19),-1.15841 # DEPENDENCYPART_ARC
(18,17),-1.93363 # DEPENDENCYPART_ARC
(18,19),-1.8368 # DEPENDENCYPART_ARC
(19,17),-2.36362 # DEPENDENCYPART_ARC
(19,18),-1.89331 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.607324 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.715674 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.947327 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.313828 # DEPENDENCYPART_SIBL
(0,3),(0,6),-1.38447 # DEPENDENCYPART_SIBL
(0,3),(0,11),-1.84967 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.928416 # DEPENDENCYPART_SIBL
(0,6),(0,11),-1.83689 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.924105 # DEPENDENCYPART_SIBL
(0,11),(0,15),-1.04762 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0908652 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0621023 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.190854 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0354721 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.135873 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.196091 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.190812 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0968379 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.135873 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0256483 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.10179 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0826571 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.052774 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.030884 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0549274 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.102244 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.172578 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.191903 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0738674 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.178212 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.173495 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.355469 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0738674 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0749372 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.254213 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.106292 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.104023 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0954814 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0189593 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.156915 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.031385 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.109769 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.169975 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.15657 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.117695 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.109769 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0850878 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.143983 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0885768 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0556704 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0784984 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.103786 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0130013 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0363372 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.200526 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.191978 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0787995 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0363372 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0204917 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0887757 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0250386 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.00381701 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0622161 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0149088 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0138993 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.189274 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.183788 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.263871 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0138993 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0529796 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.178757 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.10433 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0745105 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.00602112 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0153734 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.164841 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.179433 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0401612 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.096301 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.218772 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.173176 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.168962 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.150749 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0498679 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.15067 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.200345 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0483714 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0594672 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0375271 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0679949 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0429963 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0180981 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0731885 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.000275679 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0773382 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0516126 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0153951 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0873773 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0223111 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.00735927 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0818935 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.00628605 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.00226312 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0644404 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.252872 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.106125 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0971938 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0843718 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.00237918 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.218772 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.173176 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.168962 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.150749 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0498679 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.15067 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.130163 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.00097426 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.10674 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0738576 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.179682 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.088395 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.108458 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0813388 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.068091 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.166598 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0576702 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0869039 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.010705 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.0286066 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.606721 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.000440319 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0334714 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0385383 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0454592 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0614853 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.181213 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.023716 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0952465 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0155971 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0850457 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0247569 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00191072 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00494286 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0104892 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0474785 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00271823 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0213989 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00298433 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0474785 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.106256 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0960859 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0726284 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0272947 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.153177 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0904682 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.154459 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0353387 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0437955 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.07051 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0206043 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0101422 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.17736 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.07051 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.047369 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0810737 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.014397 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.128591 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.413735 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0767938 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.201316 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.115841 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.133458 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.18937 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.197842 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.13953 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.133458 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.135797 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.145406 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.123725 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.121737 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.156194 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.115595 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0578115 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00192222 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.187957 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.201279 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0456887 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00192222 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00810364 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0358851 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0471601 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00922604 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00710306 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0184837 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.105703 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.23709 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.253482 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.292335 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.105703 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.149858 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.198794 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.164084 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.151747 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0693187 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0290267 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.11874 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0755982 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0114915 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.176221 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.108577 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.136312 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0280473 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0423689 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0494627 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0330985 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.24673 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0602154 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0345098 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0295655 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0520134 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0134021 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0171255 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0015368 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.00547957 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0492449 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0188284 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0222436 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0380079 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0458671 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0092462 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0425791 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0318225 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0496583 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.104511 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.220196 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0969892 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.116058 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0400164 # DEPENDENCYPART_SIBL
(3,11),(3,19),-8.28756e-05 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.108577 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.136312 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0280473 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0423689 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0494627 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0330985 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0858072 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0329236 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0501954 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0214851 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0257601 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0700851 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.115486 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.119159 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.167166 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.266054 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0790333 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.142024 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0632298 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.034339 # DEPENDENCYPART_SIBL
(3,18),(3,19),1.16996 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00181161 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.001939 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0448327 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0117604 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0563834 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0488557 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0360197 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0524291 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.399584 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0198075 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0745136 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0115987 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.074325 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0745136 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0197421 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0173291 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.114545 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0406413 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.124855 # DEPENDENCYPART_SIBL
