# _root_ Bear Stearns 's chief economist , Lawrence Kudlow , in the Sept. 29 issue of the firm 's Global Spectator :
#goldHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
#predictedHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
(0,2),(0,10),-0.113961 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.176729 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.142126 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0527512 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.076718 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.076718 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0527512 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.00147471 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.144095 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0405134 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.138565 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.138565 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0405134 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0858539 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.259654 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0919632 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0920015 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.152089 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.106447 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.125558 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.220557 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0601051 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.12811 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.174152 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0599968 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.128072 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.174151 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.106447 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.125558 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.11176 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.108977 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0429346 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.000617718 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.050924 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.000617718 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0434146 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0625755 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.218409 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0921457 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0385914 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0921457 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.269576 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.246208 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.133505 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0696247 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.133505 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0514394 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.361591 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.655912 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0706757 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.228703 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.601655 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00391343 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0107774 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0670014 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.228703 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.601655 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0108515 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00787342 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.068992 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0516996 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0293558 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0618832 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0649709 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0293558 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0129116 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0970792 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0038303 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0288413 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0242366 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00787342 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0492711 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.135442 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.208256 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.118802 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0339638 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0339595 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.118802 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.263841 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00552907 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.236056 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.234884 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.230652 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.200782 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.104337 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0795306 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0445884 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00473881 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00473445 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0445884 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0549977 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0243425 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.107998 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0516559 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0836748 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0100692 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0204446 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.138625 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0447675 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0447632 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.138625 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0190764 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0145499 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.331178 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0838381 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.333108 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0403088 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.00307889 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.703381 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.703431 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0438069 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.214859 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.77423 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.634769 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.340479 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.599985 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0117924 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.00864103 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0793605 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0450066 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0522902 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0618193 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0718121 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0101488 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0283539 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.13825 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0291234 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0448809 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0522464 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0593652 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0718043 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0102016 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.028346 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.138244 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0291298 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.214859 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.77423 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.634769 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.340479 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.599985 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0117924 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00864103 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.048811 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0413267 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0965613 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.014988 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.119208 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.115631 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0627307 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.00481727 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0192724 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.13175 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0469744 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0448022 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.318147 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0367451 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0229319 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.153024 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.470535 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.198601 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00690852 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0388192 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.104337 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0364436 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0525948 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0128078 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0634742 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0124145 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0634742 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0158167 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0406547 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.029277 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0459358 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.029277 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0247022 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0180416 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0528292 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0180416 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0720534 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.41887 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0631875 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0807529 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.12533 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0542226 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0807529 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0885815 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0291533 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0528404 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0529297 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0394446 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0405157 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0529297 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0539573 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0524761 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00568408 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0178667 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.106056 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0254378 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.14321 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0382495 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.036384 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0289702 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0530129 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0314598 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0210431 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0221142 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0314598 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.058785 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0340726 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00056664 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0283007 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.111099 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0358718 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.136115 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.019848 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0429861 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.102209 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00773331 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0250811 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0250622 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00773331 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0359219 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0111069 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0571985 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0561855 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00941615 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.05518 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0175948 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0250623 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.036879 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0154951 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0363906 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0363787 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0154951 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0842242 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0164748 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0660403 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0265842 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.13784 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0183924 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0400669 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0363788 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0238947 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.666076 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.666147 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.157195 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.169469 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.754069 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.351174 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.706522 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.305508 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.646643 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00218871 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.666147 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.00416232 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.121717 # DEPENDENCYPART_SIBL
