# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(10,7),-1.95351 # DEPENDENCYPART_ARC
(10,9),-0.481523 # DEPENDENCYPART_ARC
(10,11),-0.627873 # DEPENDENCYPART_ARC
(10,12),0.0438665 # DEPENDENCYPART_ARC
(10,13),-1.48798 # DEPENDENCYPART_ARC
(10,14),-0.21748 # DEPENDENCYPART_ARC
(10,15),-1.05316 # DEPENDENCYPART_ARC
(10,16),-0.49978 # DEPENDENCYPART_ARC
(10,17),-1.00576 # DEPENDENCYPART_ARC
(10,18),-1.35317 # DEPENDENCYPART_ARC
(10,19),-1.28985 # DEPENDENCYPART_ARC
(10,20),-1.31937 # DEPENDENCYPART_ARC
(10,21),-1.94926 # DEPENDENCYPART_ARC
(10,22),-1.89212 # DEPENDENCYPART_ARC
(10,23),-1.82814 # DEPENDENCYPART_ARC
(10,24),-1.78181 # DEPENDENCYPART_ARC
(10,26),-2.05639 # DEPENDENCYPART_ARC
(10,27),-1.75007 # DEPENDENCYPART_ARC
(12,9),-1.27211 # DEPENDENCYPART_ARC
(12,10),-0.728911 # DEPENDENCYPART_ARC
(12,11),2.06514 # DEPENDENCYPART_ARC
(12,13),1.7591 # DEPENDENCYPART_ARC
(12,14),-1.32665 # DEPENDENCYPART_ARC
(12,15),-1.01148 # DEPENDENCYPART_ARC
(12,16),-1.4684 # DEPENDENCYPART_ARC
(12,17),-1.27665 # DEPENDENCYPART_ARC
(12,18),-1.26982 # DEPENDENCYPART_ARC
(12,19),-1.65948 # DEPENDENCYPART_ARC
(12,20),-2.0111 # DEPENDENCYPART_ARC
(12,22),-2.6994 # DEPENDENCYPART_ARC
(12,23),-1.90295 # DEPENDENCYPART_ARC
(14,2),-3.35322 # DEPENDENCYPART_ARC
(14,4),-2.65641 # DEPENDENCYPART_ARC
(14,5),-2.83973 # DEPENDENCYPART_ARC
(14,9),-1.53446 # DEPENDENCYPART_ARC
(14,10),-1.51749 # DEPENDENCYPART_ARC
(14,11),-0.958369 # DEPENDENCYPART_ARC
(14,12),0.960536 # DEPENDENCYPART_ARC
(14,13),-0.465816 # DEPENDENCYPART_ARC
(14,15),-0.954681 # DEPENDENCYPART_ARC
(14,16),-1.0989 # DEPENDENCYPART_ARC
(14,17),-1.44818 # DEPENDENCYPART_ARC
(14,18),-1.34094 # DEPENDENCYPART_ARC
(14,19),-1.8894 # DEPENDENCYPART_ARC
(14,20),-2.26559 # DEPENDENCYPART_ARC
(14,21),-2.6908 # DEPENDENCYPART_ARC
(14,22),-2.78286 # DEPENDENCYPART_ARC
(14,23),-2.47955 # DEPENDENCYPART_ARC
(14,24),-2.37083 # DEPENDENCYPART_ARC
(14,26),-2.94595 # DEPENDENCYPART_ARC
(16,14),-1.87504 # DEPENDENCYPART_ARC
(16,15),-1.5668 # DEPENDENCYPART_ARC
(16,17),1.98256 # DEPENDENCYPART_ARC
(16,18),-1.13545 # DEPENDENCYPART_ARC
(16,23),-0.452407 # DEPENDENCYPART_ARC
(17,2),-2.80737 # DEPENDENCYPART_ARC
(17,3),-3.3602 # DEPENDENCYPART_ARC
(17,5),-2.76181 # DEPENDENCYPART_ARC
(17,6),-2.61332 # DEPENDENCYPART_ARC
(17,7),-2.70607 # DEPENDENCYPART_ARC
(17,8),-2.60264 # DEPENDENCYPART_ARC
(17,9),-2.93048 # DEPENDENCYPART_ARC
(17,10),-2.704 # DEPENDENCYPART_ARC
(17,14),-1.90001 # DEPENDENCYPART_ARC
(17,15),-1.96828 # DEPENDENCYPART_ARC
(17,16),-1.2907 # DEPENDENCYPART_ARC
(17,18),0.750586 # DEPENDENCYPART_ARC
(17,19),-0.42127 # DEPENDENCYPART_ARC
(17,20),-1.31159 # DEPENDENCYPART_ARC
(17,21),-1.9419 # DEPENDENCYPART_ARC
(17,22),-1.8753 # DEPENDENCYPART_ARC
(17,23),-1.1414 # DEPENDENCYPART_ARC
(17,24),-1.39295 # DEPENDENCYPART_ARC
(17,26),-2.37784 # DEPENDENCYPART_ARC
(17,27),-1.47532 # DEPENDENCYPART_ARC
(19,18),-1.85593 # DEPENDENCYPART_ARC
(19,20),-1.80469 # DEPENDENCYPART_ARC
(20,19),-1.70211 # DEPENDENCYPART_ARC
(20,21),-1.25016 # DEPENDENCYPART_ARC
(20,22),-1.86799 # DEPENDENCYPART_ARC
(20,23),-1.25213 # DEPENDENCYPART_ARC
(20,24),-1.5694 # DEPENDENCYPART_ARC
(20,26),-2.60757 # DEPENDENCYPART_ARC
(21,19),-1.89086 # DEPENDENCYPART_ARC
(21,20),-1.07598 # DEPENDENCYPART_ARC
(21,22),-0.907125 # DEPENDENCYPART_ARC
(21,24),-2.10345 # DEPENDENCYPART_ARC
(21,26),-2.83995 # DEPENDENCYPART_ARC
(22,19),-1.32063 # DEPENDENCYPART_ARC
(22,20),-0.849471 # DEPENDENCYPART_ARC
(22,21),1.14224 # DEPENDENCYPART_ARC
(22,23),-0.438053 # DEPENDENCYPART_ARC
(22,24),-1.38523 # DEPENDENCYPART_ARC
(22,26),-2.29427 # DEPENDENCYPART_ARC
(23,2),-2.12895 # DEPENDENCYPART_ARC
(23,3),-2.53487 # DEPENDENCYPART_ARC
(23,4),-2.16336 # DEPENDENCYPART_ARC
(23,5),-1.84147 # DEPENDENCYPART_ARC
(23,6),-1.53715 # DEPENDENCYPART_ARC
(23,7),-3.28175 # DEPENDENCYPART_ARC
(23,8),-1.21163 # DEPENDENCYPART_ARC
(23,9),-1.90857 # DEPENDENCYPART_ARC
(23,10),-2.0121 # DEPENDENCYPART_ARC
(23,12),-1.67826 # DEPENDENCYPART_ARC
(23,14),-1.66747 # DEPENDENCYPART_ARC
(23,15),-2.64809 # DEPENDENCYPART_ARC
(23,16),-2.02664 # DEPENDENCYPART_ARC
(23,17),-1.30692 # DEPENDENCYPART_ARC
(23,18),-1.26149 # DEPENDENCYPART_ARC
(23,19),-1.06878 # DEPENDENCYPART_ARC
(23,20),-0.828632 # DEPENDENCYPART_ARC
(23,21),-0.756642 # DEPENDENCYPART_ARC
(23,22),0.455363 # DEPENDENCYPART_ARC
(23,24),1.13374 # DEPENDENCYPART_ARC
(23,25),-0.923098 # DEPENDENCYPART_ARC
(23,26),-0.2593 # DEPENDENCYPART_ARC
(23,27),0.105511 # DEPENDENCYPART_ARC
(24,22),-2.49334 # DEPENDENCYPART_ARC
(24,25),-0.821588 # DEPENDENCYPART_ARC
(24,26),0.717933 # DEPENDENCYPART_ARC
(25,24),-1.91879 # DEPENDENCYPART_ARC
(26,21),-1.59597 # DEPENDENCYPART_ARC
(26,22),-1.7047 # DEPENDENCYPART_ARC
(26,24),-1.40495 # DEPENDENCYPART_ARC
(26,25),1.66995 # DEPENDENCYPART_ARC
(27,26),-2.61358 # DEPENDENCYPART_ARC
(0,2),(0,6),-1.17703 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.759086 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.760596 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.667618 # DEPENDENCYPART_SIBL
(0,6),(0,8),-1.92475 # DEPENDENCYPART_SIBL
(0,6),(0,17),-1.93285 # DEPENDENCYPART_SIBL
(0,6),(0,23),-1.64816 # DEPENDENCYPART_SIBL
(0,8),(0,17),-1.69228 # DEPENDENCYPART_SIBL
(0,8),(0,23),-1.40207 # DEPENDENCYPART_SIBL
(0,17),(0,23),-1.40566 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0162908 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0832352 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00978059 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.000381205 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0934873 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0372946 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.174792 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0217626 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.391901 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0955408 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0316815 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0414039 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00473037 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0696071 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0414039 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0201484 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0370538 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00109937 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.045264 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0636203 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0197563 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0379271 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0143549 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.140843 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0866777 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0326331 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0222895 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0866777 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.111433 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0366751 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0443764 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0526809 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0567583 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0631977 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.124485 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0735097 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0855626 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0800038 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0565157 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0855626 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.02976 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0375644 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0457658 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0499781 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0564096 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.117673 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0664279 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.135864 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0741385 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0496006 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.135864 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0271785 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.30985 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0643499 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0746541 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0613652 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0340853 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.331981 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0378696 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.313457 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.331981 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0743664 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0481757 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0181001 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.031017 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0269444 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0647105 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.128755 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0604197 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0647105 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0313579 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0510684 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.033921 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0117351 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.391049 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0389986 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.247865 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.391049 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0880001 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0487046 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.100425 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0337683 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.150631 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00639774 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0337683 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0318305 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.111519 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.235369 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0117404 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0549566 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.235369 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.141246 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.197622 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.028839 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.114292 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.197622 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0548334 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0522167 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0499673 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0548334 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.658115 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.436138 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.147174 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0927172 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.046847 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.274833 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0811235 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0998306 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0203673 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.189125 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.090323 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0701618 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0663129 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.155377 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0470553 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.116447 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.70875 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.56953 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.372315 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.639463 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.223562 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.424224 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.863429 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0751654 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0239434 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.562747 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.365577 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.63268 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.216855 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.417497 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.854088 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0398344 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0181058 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0688134 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.661367 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0269547 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.138832 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.453737 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.263772 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.241345 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.490228 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.174826 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.281572 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.599226 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.11451 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0283757 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0153637 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.17382 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.489993 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.234027 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.278429 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00458979 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.366858 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0789325 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.356191 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.633505 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0983645 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.132889 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0581918 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0934089 # DEPENDENCYPART_SIBL
(3,15),(3,16),1.02663 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.197842 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.033883 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0264429 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.102464 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0480321 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0851054 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0260991 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0515441 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0290669 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.08413 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0905623 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0914563 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0285751 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.307223 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0710674 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.180427 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.285239 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0538585 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.260178 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0337253 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.310052 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.197175 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.132769 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0269773 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.102449 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0485681 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0735167 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0266151 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.051547 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0295846 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0132321 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00905313 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0592635 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0292318 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.308389 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0715768 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.051477 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.526997 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.569464 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.117444 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.189059 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0392268 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00706187 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0244387 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0285812 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.171746 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0837603 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0285812 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0762956 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0422313 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.111759 # DEPENDENCYPART_SIBL
(6,2),(6,27),0.420344 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00518739 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0137024 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.154259 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.198216 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.162678 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0840456 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0370906 # DEPENDENCYPART_SIBL
