# _root_ The new expiration date is the date on which DIG 's financing commitments , which total about $ 240 million , are to expire .
#goldHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
#predictedHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
(24,15),-1.06409 # DEPENDENCYPART_ARC
(24,17),-1.54618 # DEPENDENCYPART_ARC
(24,18),-1.53395 # DEPENDENCYPART_ARC
(24,20),-1.4293 # DEPENDENCYPART_ARC
(24,21),-1.01062 # DEPENDENCYPART_ARC
(24,23),-0.479723 # DEPENDENCYPART_ARC
(24,25),-1.63412 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.700486 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.362884 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.414051 # DEPENDENCYPART_SIBL
(0,5),(0,16),-1.1105 # DEPENDENCYPART_SIBL
(0,5),(0,22),-1.24137 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.942033 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.174623 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.140526 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0797126 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0797126 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0506304 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0581379 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0925104 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0188381 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0188381 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.111614 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.119247 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.167995 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0776923 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.057264 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0325676 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0253524 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.057264 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0325676 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0253524 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0701574 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0440108 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.146346 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.157721 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.245982 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0753636 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00490526 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0109007 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.066456 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.263647 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.14708 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0379686 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.13883 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.218385 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0381365 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.035602 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0534017 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.025007 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0368823 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0132579 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.164063 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0247684 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00295238 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0598254 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.155228 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.240938 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.247622 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.235918 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.161477 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.204532 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.223355 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.219625 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.170201 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.254003 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.241279 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.105403 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.223355 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0132 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.228415 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.245548 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.105403 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.037307 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.320996 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.318463 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.105333 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.106385 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0927481 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.052298 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0783794 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.14712 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0584138 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0218486 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0830765 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0992232 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.140169 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.14712 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.084327 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0961509 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0452462 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.140169 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.096069 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.146123 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0373212 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.988898 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0770266 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0449192 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0644959 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.103434 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00523587 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0346507 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0165307 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0222003 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00883158 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.103434 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0410516 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0742132 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0180358 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.00883158 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0093743 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0648646 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0107968 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0706772 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0338317 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0555402 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0970846 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00197953 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0410075 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0119753 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0159225 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0486902 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0970846 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0347271 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0661058 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0116864 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0486902 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00304988 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0611756 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.00676365 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.203064 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.220572 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.103086 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.197076 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.117047 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.16116 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.159301 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.114324 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.103086 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0927452 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.114212 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.204653 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.114324 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0894381 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.114302 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.112994 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.103957 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.111729 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.179945 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0751657 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0500526 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.308851 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00397673 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.111729 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0266691 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0235303 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.109911 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.00397673 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.00490855 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0603326 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.0178198 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0652124 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.10363 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0593172 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0503016 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.162785 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0346646 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0652124 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0167678 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0821861 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.192635 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0346646 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0305008 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0001971 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0238028 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.19388 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.105632 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.097535 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.254466 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.18661 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.10194 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.064103 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.127805 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.153023 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.18661 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0571778 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0958678 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.151245 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.097912 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0513444 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.202991 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0147476 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0753456 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0102155 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0822999 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.037201 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0147476 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00263788 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0431727 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.00216605 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0103913 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.210976 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.147152 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0490942 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0116435 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.103016 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.146289 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.147152 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0295695 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0820689 # DEPENDENCYPART_SIBL
(5,11),(5,25),-0.0831862 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.369123 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.025954 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.20183 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.124752 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.287131 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.270839 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.025954 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0652885 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.125747 # DEPENDENCYPART_SIBL
(5,12),(5,25),-0.00806383 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0140256 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.115414 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0697667 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0513176 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.161722 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0140256 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.0788502 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0500561 # DEPENDENCYPART_SIBL
(5,13),(5,25),-0.0878158 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0715528 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.33753 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.122083 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.0679876 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0283337 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.426923 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.124876 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.0047359 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.064103 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.127805 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.153023 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.18661 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.0571778 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.0958678 # DEPENDENCYPART_SIBL
(5,15),(5,25),-0.151245 # DEPENDENCYPART_SIBL
