# _root_ Isao Ushikubo , general manager of the investment research department at Toyo Trust & Banking Co. , also was optimistic .
#goldHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
#predictedHeads=2,19,2,5,2,5,10,10,10,6,5,13,11,13,14,15,2,19,0,19,19,
(20,2),-2.89293 # DEPENDENCYPART_ARC
(20,15),-1.98505 # DEPENDENCYPART_ARC
(20,16),-1.89597 # DEPENDENCYPART_ARC
(20,18),-1.12613 # DEPENDENCYPART_ARC
(20,21),-1.34203 # DEPENDENCYPART_ARC
(21,20),-2.70692 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.218109 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.18047 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.188214 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.807419 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.18047 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.188214 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.807419 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.260587 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.74666 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.751836 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00642347 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0399614 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0398355 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.027905 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0733493 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00631519 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.189506 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00642347 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.00565068 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.310652 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.739526 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.347133 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.646384 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.152392 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.391822 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0761993 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.00426558 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.063946 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00497601 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0869887 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0366833 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.102413 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0148438 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0134615 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.055351 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.300641 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0179682 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0919564 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.263888 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0763523 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.214996 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.112649 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0511034 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0107424 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.020456 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0151033 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0889003 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.228646 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0775092 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0139494 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.115525 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.00707185 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0572227 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.350342 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.00426558 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0788217 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0268854 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0963572 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0548532 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00653158 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0129263 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.11935 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0792418 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0136712 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0895324 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.290306 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0788217 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0590692 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0724143 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0545876 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.310652 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.739526 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.347133 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.64939 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.579432 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.646384 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.152392 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.742822 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.391822 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.475397 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0761993 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.317263 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.474243 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.00426558 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.063946 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00497601 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.109975 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0875856 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0869887 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0366833 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0218633 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.102413 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0631323 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0148438 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0430616 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0690356 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0134615 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.055351 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.316846 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.303135 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.300641 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0179682 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0109236 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0919564 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0820167 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.263888 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0415078 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0294214 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0763523 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.201136 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.192527 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.214996 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.112649 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0590785 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0511034 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0207137 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0107424 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0138934 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.055884 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.020456 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.285211 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.282715 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00128968 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0193277 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0902417 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0901102 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.216485 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0434042 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0437087 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0420553 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.308692 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0466861 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.019417 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.111728 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0905101 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.227373 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0526843 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0449551 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0695919 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0151033 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0104274 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0889003 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0815205 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.228646 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0336706 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0327033 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0775092 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0150309 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0139494 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.065967 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.115525 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0222519 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0263712 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.00707185 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.190556 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.160202 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0172412 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0598728 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0883138 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0122006 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.300086 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0572227 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0201605 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0102508 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.350342 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0343922 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.00896989 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0264483 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0515477 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.317263 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.474243 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.00426558 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.00172687 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0431083 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0148896 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00354047 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0961169 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.595548 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0671285 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0862578 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.595548 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0671285 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0862578 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.113012 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0284241 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0292626 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0323877 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0911655 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0218251 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.228035 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0923201 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0281725 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0266395 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00170055 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.15976 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0112524 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0572342 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.030905 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0469486 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.115885 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0242901 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0682153 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0350315 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0911655 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0218251 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.228035 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0923201 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0281725 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0266395 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00170055 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.15976 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0112524 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0572342 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.030905 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0469486 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.115885 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0242901 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0682153 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0350315 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0761132 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.145772 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0894289 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.000539883 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0418687 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0156616 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.113539 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0351659 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.215467 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0738335 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0141319 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.127945 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0115224 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0351867 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0505228 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0524626 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0451442 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00830201 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0296051 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0336638 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0297573 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.054648 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00361777 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00374416 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0659274 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0821117 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0101505 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0187857 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0112617 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.067083 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0348801 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00707748 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0250281 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.214549 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0257624 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.160553 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0285669 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0150177 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.067187 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.244797 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0198197 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0649436 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0946296 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.105448 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0899253 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.093792 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0881729 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.122406 # DEPENDENCYPART_SIBL
