# _root_ The ad would have run during the World Series tomorrow , replacing the debut commercial of Shearson 's new ad campaign , `` Leadership by Example . ''
#goldHeads=2,3,0,3,4,5,9,9,6,5,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
#predictedHeads=2,3,0,3,4,5,10,10,10,6,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
(10,27),-3.09726 # DEPENDENCYPART_ARC
(11,12),-1.76817 # DEPENDENCYPART_ARC
(12,9),-1.93967 # DEPENDENCYPART_ARC
(12,10),-2.10516 # DEPENDENCYPART_ARC
(12,11),-1.45043 # DEPENDENCYPART_ARC
(12,13),-0.424247 # DEPENDENCYPART_ARC
(12,14),0.337821 # DEPENDENCYPART_ARC
(12,15),0.593456 # DEPENDENCYPART_ARC
(12,16),-0.789177 # DEPENDENCYPART_ARC
(12,17),-1.08194 # DEPENDENCYPART_ARC
(12,18),-1.93924 # DEPENDENCYPART_ARC
(12,19),-1.37277 # DEPENDENCYPART_ARC
(12,20),-0.964216 # DEPENDENCYPART_ARC
(12,21),-0.471546 # DEPENDENCYPART_ARC
(12,22),-0.88743 # DEPENDENCYPART_ARC
(12,23),-1.66933 # DEPENDENCYPART_ARC
(12,24),-1.30907 # DEPENDENCYPART_ARC
(12,25),-1.12765 # DEPENDENCYPART_ARC
(12,26),-1.86146 # DEPENDENCYPART_ARC
(12,27),-2.08587 # DEPENDENCYPART_ARC
(12,28),-1.10873 # DEPENDENCYPART_ARC
(14,13),-0.256173 # DEPENDENCYPART_ARC
(14,15),-1.16362 # DEPENDENCYPART_ARC
(14,16),-0.828136 # DEPENDENCYPART_ARC
(14,18),-2.61928 # DEPENDENCYPART_ARC
(14,21),-2.95899 # DEPENDENCYPART_ARC
(15,7),-2.21973 # DEPENDENCYPART_ARC
(15,8),-2.2982 # DEPENDENCYPART_ARC
(15,9),-2.41417 # DEPENDENCYPART_ARC
(15,10),-1.97089 # DEPENDENCYPART_ARC
(15,11),-2.15631 # DEPENDENCYPART_ARC
(15,12),-1.52444 # DEPENDENCYPART_ARC
(15,13),0.727449 # DEPENDENCYPART_ARC
(15,14),1.65339 # DEPENDENCYPART_ARC
(15,16),1.09393 # DEPENDENCYPART_ARC
(15,17),-1.13613 # DEPENDENCYPART_ARC
(15,18),-1.13443 # DEPENDENCYPART_ARC
(15,19),-1.17437 # DEPENDENCYPART_ARC
(15,20),-1.20172 # DEPENDENCYPART_ARC
(15,21),-1.2022 # DEPENDENCYPART_ARC
(15,22),-0.50689 # DEPENDENCYPART_ARC
(15,23),-1.43822 # DEPENDENCYPART_ARC
(15,24),-2.00523 # DEPENDENCYPART_ARC
(15,25),-1.35958 # DEPENDENCYPART_ARC
(15,26),-2.74519 # DEPENDENCYPART_ARC
(15,27),-1.73772 # DEPENDENCYPART_ARC
(15,28),-1.40997 # DEPENDENCYPART_ARC
(16,17),0.367224 # DEPENDENCYPART_ARC
(16,18),-1.30708 # DEPENDENCYPART_ARC
(16,19),-2.07641 # DEPENDENCYPART_ARC
(16,20),-0.771965 # DEPENDENCYPART_ARC
(16,21),-0.00197253 # DEPENDENCYPART_ARC
(16,23),-2.05799 # DEPENDENCYPART_ARC
(16,24),-1.95568 # DEPENDENCYPART_ARC
(16,25),-1.94016 # DEPENDENCYPART_ARC
(16,26),-2.11161 # DEPENDENCYPART_ARC
(17,13),-2.17952 # DEPENDENCYPART_ARC
(17,18),1.93364 # DEPENDENCYPART_ARC
(17,19),-1.01983 # DEPENDENCYPART_ARC
(17,20),-1.66158 # DEPENDENCYPART_ARC
(17,21),-1.86548 # DEPENDENCYPART_ARC
(17,22),-1.26341 # DEPENDENCYPART_ARC
(17,24),-2.99905 # DEPENDENCYPART_ARC
(18,19),-1.61818 # DEPENDENCYPART_ARC
(19,17),-1.56409 # DEPENDENCYPART_ARC
(19,18),-1.7529 # DEPENDENCYPART_ARC
(19,20),-1.03444 # DEPENDENCYPART_ARC
(19,24),-2.49817 # DEPENDENCYPART_ARC
(20,17),-1.1333 # DEPENDENCYPART_ARC
(20,19),-0.360353 # DEPENDENCYPART_ARC
(20,21),-1.19779 # DEPENDENCYPART_ARC
(20,23),-1.81147 # DEPENDENCYPART_ARC
(20,24),-2.58748 # DEPENDENCYPART_ARC
(20,25),-2.11623 # DEPENDENCYPART_ARC
(21,7),-4.46661 # DEPENDENCYPART_ARC
(21,8),-2.50812 # DEPENDENCYPART_ARC
(21,10),-2.89887 # DEPENDENCYPART_ARC
(21,13),-2.73308 # DEPENDENCYPART_ARC
(21,14),-0.660593 # DEPENDENCYPART_ARC
(21,15),-1.80564 # DEPENDENCYPART_ARC
(21,17),0.348622 # DEPENDENCYPART_ARC
(21,18),-0.947494 # DEPENDENCYPART_ARC
(21,19),1.02043 # DEPENDENCYPART_ARC
(21,20),1.91559 # DEPENDENCYPART_ARC
(21,22),-0.374389 # DEPENDENCYPART_ARC
(21,23),-1.13958 # DEPENDENCYPART_ARC
(21,24),-1.57306 # DEPENDENCYPART_ARC
(21,25),-1.65517 # DEPENDENCYPART_ARC
(21,26),-2.13202 # DEPENDENCYPART_ARC
(21,27),-1.88993 # DEPENDENCYPART_ARC
(21,28),-1.49472 # DEPENDENCYPART_ARC
(24,17),-2.35467 # DEPENDENCYPART_ARC
(24,19),-1.16825 # DEPENDENCYPART_ARC
(24,20),-1.17684 # DEPENDENCYPART_ARC
(24,21),-1.65583 # DEPENDENCYPART_ARC
(24,22),-1.63192 # DEPENDENCYPART_ARC
(24,23),-0.813524 # DEPENDENCYPART_ARC
(24,25),0.383549 # DEPENDENCYPART_ARC
(24,26),-1.00759 # DEPENDENCYPART_ARC
(24,27),-1.59168 # DEPENDENCYPART_ARC
(24,28),-1.41872 # DEPENDENCYPART_ARC
(25,23),-1.71391 # DEPENDENCYPART_ARC
(25,24),-1.30969 # DEPENDENCYPART_ARC
(25,26),1.75596 # DEPENDENCYPART_ARC
(25,27),-2.23025 # DEPENDENCYPART_ARC
(25,28),-1.21476 # DEPENDENCYPART_ARC
(26,17),-3.06261 # DEPENDENCYPART_ARC
(26,23),-2.0456 # DEPENDENCYPART_ARC
(26,24),-1.48208 # DEPENDENCYPART_ARC
(26,25),-0.804277 # DEPENDENCYPART_ARC
(26,28),-1.77146 # DEPENDENCYPART_ARC
(27,25),-2.80653 # DEPENDENCYPART_ARC
(27,26),-2.45786 # DEPENDENCYPART_ARC
(27,28),-2.18561 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.338983 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.174347 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.384404 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0843336 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.081596 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.100347 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0840974 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0323739 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.000398063 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00909071 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0180476 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0201757 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0047311 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00560577 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0871866 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0156871 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0747103 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00232369 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0856848 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0806535 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0622971 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0361005 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.115186 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.21173 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0241979 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.144892 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.172755 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0611724 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0436669 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0448625 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.531695 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.222879 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.124563 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0922746 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.125136 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.114895 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.103287 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.154075 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.141972 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.103287 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.174144 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.00622847 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0489718 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.142598 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0615456 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0295606 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0266202 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0858378 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0647034 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0266202 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.00504503 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0287693 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.307012 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.146402 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.277187 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0613196 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.282576 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.275165 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0613196 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.0453765 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0212749 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.108528 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.216265 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0322329 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.178082 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.211672 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0322329 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0641841 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0621015 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.072225 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0574244 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0314525 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00290875 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0574244 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0330512 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0493958 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0082883 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0261446 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0973232 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0082883 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0187872 # DEPENDENCYPART_SIBL
(3,10),(3,28),0.0233682 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.455435 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.406254 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0518988 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.00797503 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.0371521 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.136872 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.00916551 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0418696 # DEPENDENCYPART_SIBL
(3,12),(3,28),0.0213256 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0186018 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0462196 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.0261358 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.00797503 # DEPENDENCYPART_SIBL
(3,22),(3,28),0.0371521 # DEPENDENCYPART_SIBL
(3,27),(3,28),0.970477 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0794816 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0619291 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0318484 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.10901 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0803004 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.138794 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.107515 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.064562 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.139524 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.133089 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.064562 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.108281 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.125798 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.130119 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0189236 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0219774 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0253945 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0257847 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.000917798 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00663053 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0415398 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0441398 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0384927 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0079876 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0441398 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0528118 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0171405 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0369561 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.0314084 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0746257 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.176849 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0257245 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0523976 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.176025 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0755033 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.162815 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.172633 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0755033 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.111574 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.191757 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0786961 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0798431 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.242544 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.251226 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.263866 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.436259 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0201315 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.217176 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.516411 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0201315 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.167705 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.231607 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.1584 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0450248 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.135889 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.147497 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00867596 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.133936 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0349647 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.188564 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.133936 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0102901 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0341187 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0693574 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0770629 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.11283 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0242494 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0464394 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00940979 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.112503 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0464394 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.00122477 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0980446 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.000744774 # DEPENDENCYPART_SIBL
(4,8),(4,28),0.0356911 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0657481 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.033539 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0338625 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.154002 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.033539 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0375251 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.010539 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.0308871 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.0114046 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0931669 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0220994 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.368136 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0931669 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0816997 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.080068 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.105058 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.02869 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.76367 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.207613 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.00124746 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.31601 # DEPENDENCYPART_SIBL
(4,11),(4,25),0.23052 # DEPENDENCYPART_SIBL
(4,11),(4,27),0.0403305 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.137658 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.35765 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.06292 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.133563 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0322832 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.089279 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0649147 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.0369976 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0533468 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0848028 # DEPENDENCYPART_SIBL
(4,15),(4,27),-0.0490768 # DEPENDENCYPART_SIBL
(4,15),(4,28),-0.0020154 # DEPENDENCYPART_SIBL
(4,22),(4,23),0.31601 # DEPENDENCYPART_SIBL
(4,22),(4,25),0.23052 # DEPENDENCYPART_SIBL
(4,22),(4,27),0.0403305 # DEPENDENCYPART_SIBL
(4,22),(4,28),0.137658 # DEPENDENCYPART_SIBL
(4,23),(4,25),0.147109 # DEPENDENCYPART_SIBL
(4,23),(4,27),-0.0162544 # DEPENDENCYPART_SIBL
(4,23),(4,28),0.136557 # DEPENDENCYPART_SIBL
(4,25),(4,27),-0.184414 # DEPENDENCYPART_SIBL
(4,25),(4,28),-0.159708 # DEPENDENCYPART_SIBL
(4,27),(4,28),0.694527 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0116639 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0108239 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00887117 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00758641 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0309697 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.017267 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.007283 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00438529 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0615542 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00488226 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.017267 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0385361 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.193378 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.0472964 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0603237 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.104126 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.102711 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00620529 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0806131 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0144658 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0764769 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.257376 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0768254 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0806131 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0272496 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.0550797 # DEPENDENCYPART_SIBL
