# _root_ Within about six months , `` things will be moving in the right direction , '' he predicts .
#goldHeads=8,4,2,1,8,8,8,18,8,9,10,14,14,11,8,8,18,0,18,
#predictedHeads=18,4,2,1,8,8,8,18,8,9,10,14,14,11,18,18,18,0,18,
(9,13),-1.61637 # DEPENDENCYPART_ARC
(9,14),-1.06001 # DEPENDENCYPART_ARC
(9,15),-1.34559 # DEPENDENCYPART_ARC
(9,16),-1.64277 # DEPENDENCYPART_ARC
(9,18),-1.52593 # DEPENDENCYPART_ARC
(9,19),-2.15095 # DEPENDENCYPART_ARC
(10,1),-1.82301 # DEPENDENCYPART_ARC
(10,2),-2.05052 # DEPENDENCYPART_ARC
(10,4),-1.82639 # DEPENDENCYPART_ARC
(10,5),-1.99364 # DEPENDENCYPART_ARC
(10,6),-1.68851 # DEPENDENCYPART_ARC
(10,7),-1.29415 # DEPENDENCYPART_ARC
(10,8),-1.57069 # DEPENDENCYPART_ARC
(10,9),-0.948238 # DEPENDENCYPART_ARC
(10,11),1.53412 # DEPENDENCYPART_ARC
(10,12),-1.14323 # DEPENDENCYPART_ARC
(10,13),-0.801127 # DEPENDENCYPART_ARC
(10,14),-0.158281 # DEPENDENCYPART_ARC
(10,15),-0.956383 # DEPENDENCYPART_ARC
(10,16),-0.809666 # DEPENDENCYPART_ARC
(10,17),-1.22012 # DEPENDENCYPART_ARC
(10,18),-1.17763 # DEPENDENCYPART_ARC
(10,19),-1.95157 # DEPENDENCYPART_ARC
(11,10),-1.90401 # DEPENDENCYPART_ARC
(11,12),-1.20671 # DEPENDENCYPART_ARC
(11,13),-0.789063 # DEPENDENCYPART_ARC
(11,14),1.01574 # DEPENDENCYPART_ARC
(11,15),-1.52522 # DEPENDENCYPART_ARC
(11,16),-1.57503 # DEPENDENCYPART_ARC
(11,17),-1.96829 # DEPENDENCYPART_ARC
(11,18),-1.32826 # DEPENDENCYPART_ARC
(11,19),-2.27033 # DEPENDENCYPART_ARC
(13,12),-0.944244 # DEPENDENCYPART_ARC
(14,2),-2.16716 # DEPENDENCYPART_ARC
(14,6),-2.15419 # DEPENDENCYPART_ARC
(14,7),-1.92996 # DEPENDENCYPART_ARC
(14,10),-1.29502 # DEPENDENCYPART_ARC
(14,12),1.26472 # DEPENDENCYPART_ARC
(14,13),1.92582 # DEPENDENCYPART_ARC
(14,15),-0.969574 # DEPENDENCYPART_ARC
(14,16),-1.30971 # DEPENDENCYPART_ARC
(14,17),-1.96986 # DEPENDENCYPART_ARC
(14,18),-1.62171 # DEPENDENCYPART_ARC
(14,19),-2.39998 # DEPENDENCYPART_ARC
(16,17),-1.87268 # DEPENDENCYPART_ARC
(17,1),-2.72177 # DEPENDENCYPART_ARC
(17,8),-2.86465 # DEPENDENCYPART_ARC
(17,16),-1.53763 # DEPENDENCYPART_ARC
(18,1),-1.0983 # DEPENDENCYPART_ARC
(18,2),-2.20312 # DEPENDENCYPART_ARC
(18,3),-2.26579 # DEPENDENCYPART_ARC
(18,4),-2.25895 # DEPENDENCYPART_ARC
(18,5),-2.04554 # DEPENDENCYPART_ARC
(18,6),-1.12051 # DEPENDENCYPART_ARC
(18,7),-2.03763 # DEPENDENCYPART_ARC
(18,8),-1.06938 # DEPENDENCYPART_ARC
(18,9),-1.78913 # DEPENDENCYPART_ARC
(18,10),-1.22834 # DEPENDENCYPART_ARC
(18,11),-1.18912 # DEPENDENCYPART_ARC
(18,12),-2.05702 # DEPENDENCYPART_ARC
(18,13),-1.72638 # DEPENDENCYPART_ARC
(18,14),-1.27085 # DEPENDENCYPART_ARC
(18,15),-0.231429 # DEPENDENCYPART_ARC
(18,16),0.247492 # DEPENDENCYPART_ARC
(18,17),1.80661 # DEPENDENCYPART_ARC
(18,19),0.15902 # DEPENDENCYPART_ARC
(0,1),(0,8),-0.349728 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.66451 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.988827 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.207558 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.399703 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0173254 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0912231 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.406203 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.385624 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0974654 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.344275 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0781332 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0173254 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.00967474 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.430965 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0690946 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.656042 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0733412 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.232141 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.635258 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.500048 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.338227 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.464793 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0643576 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0733412 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.126052 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.503681 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.140595 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.133592 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.24735 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.891576 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.625679 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.384659 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.537834 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0317192 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.133592 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0805833 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.656904 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.118322 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.290201 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.012527 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.126057 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.15984 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.242496 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.408803 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00213808 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.158684 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0992106 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.150421 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.044912 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0870908 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0063299 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0596676 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.186871 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0205915 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.374856 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0354172 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.216867 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.593054 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.351449 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.522052 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0228698 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0609883 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0124038 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.622409 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0603344 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.242242 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.261496 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.100181 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.14856 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0677434 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.477012 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.194606 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.342626 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0843525 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.171765 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.102554 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.325735 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0889851 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00883202 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0748761 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0179063 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.484778 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.00472528 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0149858 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0231616 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.362234 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0419643 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.158684 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0992106 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.150421 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.337759 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0366042 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.185503 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0534675 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0380548 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0080368 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0782178 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.05224 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0659324 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0523295 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0317449 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0080368 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00164879 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0212869 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.158243 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0386995 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0066128 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.153623 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0386242 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0436792 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0854414 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0386995 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0127436 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0238514 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0695382 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0250864 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.298735 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.134465 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.026233 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0941423 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0695382 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0836643 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0138619 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.300922 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.178859 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.319 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.38045 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.134267 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.109392 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.274413 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.181483 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.202444 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.237669 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0355269 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.180309 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.038464 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0977654 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.159301 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.131161 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0396433 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.126693 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0432904 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0788531 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.00124158 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0472304 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.168519 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.121188 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0306265 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.23186 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.157966 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.103931 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00194823 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.072358 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00358606 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0427574 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.163036 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.274413 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.181483 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.236782 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0687049 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0165669 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0345134 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0536256 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0153688 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0379971 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0121058 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0415464 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0365753 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00132468 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0481129 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0231228 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0315525 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00839076 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0556827 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.221005 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0950734 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00836083 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.366561 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.470845 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.518701 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.631873 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.218276 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.189469 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0133027 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0962188 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0262205 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0371489 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0905725 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0878092 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.072589 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.103763 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0785436 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0485102 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.10664 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.13675 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0230602 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00675099 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.072589 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.000628967 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.02549 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0358614 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0873287 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0206664 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0406366 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00661978 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0930358 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0625295 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.121678 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0479734 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0802713 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0206664 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0448451 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00832057 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0447945 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0375289 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0720964 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0340686 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.097473 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0480705 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0286471 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0540693 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0142136 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0375289 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0311337 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00681383 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.000956801 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.290758 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.611371 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.522504 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.356911 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.356032 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.133026 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.482019 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00360217 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.315523 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.22646 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0553686 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.316045 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.324675 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.192974 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0527723 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0914323 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.154629 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00904581 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.276944 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.134619 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.124937 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0570361 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0209408 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0737083 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0596113 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0675283 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0476584 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.000834832 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0800295 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0209193 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0727902 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0710323 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0137731 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00476326 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.1166 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0253353 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.129659 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0416765 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.141203 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0359231 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0978854 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0866911 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.081521 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00896429 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0820854 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0158045 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0792161 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.117718 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0580823 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0240862 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0558381 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0342044 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0114849 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0454301 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.01687 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.00305502 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00859997 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0185451 # DEPENDENCYPART_SIBL
