# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
(5,9),-1.46044 # DEPENDENCYPART_ARC
(5,10),-1.04184 # DEPENDENCYPART_ARC
(5,11),-1.34852 # DEPENDENCYPART_ARC
(5,12),-1.1299 # DEPENDENCYPART_ARC
(5,14),-2.58219 # DEPENDENCYPART_ARC
(5,15),-1.58092 # DEPENDENCYPART_ARC
(5,16),-2.1829 # DEPENDENCYPART_ARC
(5,20),-1.47248 # DEPENDENCYPART_ARC
(5,24),-3.39496 # DEPENDENCYPART_ARC
(5,25),-1.26988 # DEPENDENCYPART_ARC
(6,1),-2.09534 # DEPENDENCYPART_ARC
(6,2),-1.55118 # DEPENDENCYPART_ARC
(6,3),-1.80553 # DEPENDENCYPART_ARC
(6,4),-1.76003 # DEPENDENCYPART_ARC
(6,5),-0.794859 # DEPENDENCYPART_ARC
(6,7),-0.810312 # DEPENDENCYPART_ARC
(6,8),-1.50869 # DEPENDENCYPART_ARC
(6,9),-1.78134 # DEPENDENCYPART_ARC
(6,10),-1.33844 # DEPENDENCYPART_ARC
(6,11),-1.7027 # DEPENDENCYPART_ARC
(6,12),-1.44713 # DEPENDENCYPART_ARC
(6,14),-2.2672 # DEPENDENCYPART_ARC
(6,15),-1.72281 # DEPENDENCYPART_ARC
(7,1),-2.01498 # DEPENDENCYPART_ARC
(7,3),-2.30463 # DEPENDENCYPART_ARC
(7,4),-1.95551 # DEPENDENCYPART_ARC
(7,5),-1.24718 # DEPENDENCYPART_ARC
(7,6),-0.919476 # DEPENDENCYPART_ARC
(7,8),-1.04766 # DEPENDENCYPART_ARC
(7,11),-1.65742 # DEPENDENCYPART_ARC
(7,12),-1.78791 # DEPENDENCYPART_ARC
(7,15),-1.84416 # DEPENDENCYPART_ARC
(8,4),-2.22681 # DEPENDENCYPART_ARC
(8,5),-1.92209 # DEPENDENCYPART_ARC
(8,6),-1.6362 # DEPENDENCYPART_ARC
(8,7),-0.174196 # DEPENDENCYPART_ARC
(8,11),-1.6085 # DEPENDENCYPART_ARC
(8,12),-1.73836 # DEPENDENCYPART_ARC
(9,1),-2.08111 # DEPENDENCYPART_ARC
(9,2),-0.526537 # DEPENDENCYPART_ARC
(9,3),-2.01896 # DEPENDENCYPART_ARC
(9,4),-1.79253 # DEPENDENCYPART_ARC
(9,5),-0.286657 # DEPENDENCYPART_ARC
(9,6),0.129629 # DEPENDENCYPART_ARC
(9,7),1.32393 # DEPENDENCYPART_ARC
(9,8),1.80708 # DEPENDENCYPART_ARC
(9,10),-0.790913 # DEPENDENCYPART_ARC
(9,11),-1.94911 # DEPENDENCYPART_ARC
(9,12),-1.40527 # DEPENDENCYPART_ARC
(9,14),-2.13103 # DEPENDENCYPART_ARC
(9,15),-2.00475 # DEPENDENCYPART_ARC
(9,16),-2.29647 # DEPENDENCYPART_ARC
(9,19),-2.50187 # DEPENDENCYPART_ARC
(10,1),-1.46483 # DEPENDENCYPART_ARC
(10,3),-1.167 # DEPENDENCYPART_ARC
(10,4),-0.752411 # DEPENDENCYPART_ARC
(10,5),-1.60342 # DEPENDENCYPART_ARC
(10,6),-1.56676 # DEPENDENCYPART_ARC
(10,7),-1.24025 # DEPENDENCYPART_ARC
(10,8),-1.09915 # DEPENDENCYPART_ARC
(10,9),0.703086 # DEPENDENCYPART_ARC
(10,11),0.474245 # DEPENDENCYPART_ARC
(10,12),-0.959355 # DEPENDENCYPART_ARC
(10,14),-1.76744 # DEPENDENCYPART_ARC
(10,15),-1.34631 # DEPENDENCYPART_ARC
(10,16),-1.63532 # DEPENDENCYPART_ARC
(10,19),-2.29811 # DEPENDENCYPART_ARC
(10,20),-2.05957 # DEPENDENCYPART_ARC
(10,21),-2.37795 # DEPENDENCYPART_ARC
(10,22),-2.56191 # DEPENDENCYPART_ARC
(10,23),-2.95699 # DEPENDENCYPART_ARC
(10,25),-1.23174 # DEPENDENCYPART_ARC
(12,13),-1.26484 # DEPENDENCYPART_ARC
(12,14),-0.738689 # DEPENDENCYPART_ARC
(12,15),0.962012 # DEPENDENCYPART_ARC
(12,16),-1.10672 # DEPENDENCYPART_ARC
(12,19),-2.99435 # DEPENDENCYPART_ARC
(12,20),-1.61612 # DEPENDENCYPART_ARC
(12,21),-0.136501 # DEPENDENCYPART_ARC
(12,22),-2.57151 # DEPENDENCYPART_ARC
(14,5),-2.05555 # DEPENDENCYPART_ARC
(14,7),-2.04184 # DEPENDENCYPART_ARC
(14,9),-1.75493 # DEPENDENCYPART_ARC
(14,10),-1.82659 # DEPENDENCYPART_ARC
(14,11),-1.54461 # DEPENDENCYPART_ARC
(14,12),-1.23231 # DEPENDENCYPART_ARC
(14,13),1.56571 # DEPENDENCYPART_ARC
(14,15),-0.813556 # DEPENDENCYPART_ARC
(14,16),-1.2891 # DEPENDENCYPART_ARC
(14,19),-1.97132 # DEPENDENCYPART_ARC
(14,20),-1.56674 # DEPENDENCYPART_ARC
(14,21),-2.05679 # DEPENDENCYPART_ARC
(15,1),-0.967573 # DEPENDENCYPART_ARC
(15,3),-1.7028 # DEPENDENCYPART_ARC
(15,4),-1.99598 # DEPENDENCYPART_ARC
(15,5),-1.81756 # DEPENDENCYPART_ARC
(15,6),-2.22485 # DEPENDENCYPART_ARC
(15,7),-1.86381 # DEPENDENCYPART_ARC
(15,8),-1.87151 # DEPENDENCYPART_ARC
(15,9),-0.876115 # DEPENDENCYPART_ARC
(15,10),-1.82279 # DEPENDENCYPART_ARC
(15,11),-1.58011 # DEPENDENCYPART_ARC
(15,12),-1.24719 # DEPENDENCYPART_ARC
(15,13),-1.16034 # DEPENDENCYPART_ARC
(15,14),0.704158 # DEPENDENCYPART_ARC
(15,16),1.85145 # DEPENDENCYPART_ARC
(15,17),-1.63557 # DEPENDENCYPART_ARC
(15,18),-1.94301 # DEPENDENCYPART_ARC
(15,19),-0.884396 # DEPENDENCYPART_ARC
(15,20),-0.262998 # DEPENDENCYPART_ARC
(15,21),-1.10299 # DEPENDENCYPART_ARC
(15,22),-1.52734 # DEPENDENCYPART_ARC
(15,23),-2.09829 # DEPENDENCYPART_ARC
(15,24),-3.01927 # DEPENDENCYPART_ARC
(15,25),-0.290569 # DEPENDENCYPART_ARC
(16,1),-2.27387 # DEPENDENCYPART_ARC
(16,9),-1.94823 # DEPENDENCYPART_ARC
(16,10),-1.94664 # DEPENDENCYPART_ARC
(16,14),-1.55744 # DEPENDENCYPART_ARC
(16,17),-0.891762 # DEPENDENCYPART_ARC
(16,18),-0.652745 # DEPENDENCYPART_ARC
(16,19),-0.623187 # DEPENDENCYPART_ARC
(16,20),-0.42824 # DEPENDENCYPART_ARC
(16,21),-0.877981 # DEPENDENCYPART_ARC
(16,22),-0.821743 # DEPENDENCYPART_ARC
(16,23),-1.29503 # DEPENDENCYPART_ARC
(16,24),-2.2098 # DEPENDENCYPART_ARC
(16,25),-1.41584 # DEPENDENCYPART_ARC
(17,16),-1.42571 # DEPENDENCYPART_ARC
(17,18),-1.58977 # DEPENDENCYPART_ARC
(17,20),-1.25189 # DEPENDENCYPART_ARC
(17,21),-1.43825 # DEPENDENCYPART_ARC
(18,16),-1.85338 # DEPENDENCYPART_ARC
(18,17),-0.205827 # DEPENDENCYPART_ARC
(18,20),-1.11634 # DEPENDENCYPART_ARC
(18,21),-1.41756 # DEPENDENCYPART_ARC
(18,22),-2.16991 # DEPENDENCYPART_ARC
(18,23),-2.17216 # DEPENDENCYPART_ARC
(19,5),-1.86664 # DEPENDENCYPART_ARC
(19,6),-2.02747 # DEPENDENCYPART_ARC
(19,7),-1.6758 # DEPENDENCYPART_ARC
(19,9),-2.43666 # DEPENDENCYPART_ARC
(19,13),-1.54202 # DEPENDENCYPART_ARC
(19,14),-0.931402 # DEPENDENCYPART_ARC
(19,16),-0.648591 # DEPENDENCYPART_ARC
(19,17),1.02419 # DEPENDENCYPART_ARC
(19,18),1.75534 # DEPENDENCYPART_ARC
(19,20),-0.301318 # DEPENDENCYPART_ARC
(19,21),-0.843744 # DEPENDENCYPART_ARC
(19,22),-1.65409 # DEPENDENCYPART_ARC
(19,23),-1.51708 # DEPENDENCYPART_ARC
(19,24),-2.25189 # DEPENDENCYPART_ARC
(19,25),-2.00682 # DEPENDENCYPART_ARC
(20,17),-2.07281 # DEPENDENCYPART_ARC
(20,19),-1.26324 # DEPENDENCYPART_ARC
(20,21),1.54423 # DEPENDENCYPART_ARC
(20,22),-1.62326 # DEPENDENCYPART_ARC
(20,23),-2.39177 # DEPENDENCYPART_ARC
(20,24),-2.49855 # DEPENDENCYPART_ARC
(21,1),-1.86439 # DEPENDENCYPART_ARC
(21,4),-3.80012 # DEPENDENCYPART_ARC
(21,10),-2.56679 # DEPENDENCYPART_ARC
(21,14),-1.2849 # DEPENDENCYPART_ARC
(21,17),-2.26902 # DEPENDENCYPART_ARC
(21,19),-1.41954 # DEPENDENCYPART_ARC
(21,20),-1.14127 # DEPENDENCYPART_ARC
(21,22),0.873287 # DEPENDENCYPART_ARC
(21,23),-0.507698 # DEPENDENCYPART_ARC
(21,24),-1.85743 # DEPENDENCYPART_ARC
(21,25),-0.388203 # DEPENDENCYPART_ARC
(22,23),-0.400173 # DEPENDENCYPART_ARC
(22,24),-1.0302 # DEPENDENCYPART_ARC
(22,25),-2.05547 # DEPENDENCYPART_ARC
(23,22),-0.929201 # DEPENDENCYPART_ARC
(23,24),0.962336 # DEPENDENCYPART_ARC
(24,6),-3.13285 # DEPENDENCYPART_ARC
(24,17),-1.86941 # DEPENDENCYPART_ARC
(24,19),-2.17858 # DEPENDENCYPART_ARC
(24,22),-1.25524 # DEPENDENCYPART_ARC
(24,23),-0.173811 # DEPENDENCYPART_ARC
(24,25),-1.72053 # DEPENDENCYPART_ARC
(25,24),-2.33819 # DEPENDENCYPART_ARC
(0,1),(0,9),-0.132497 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.721468 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.734551 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.75606 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.757966 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.764196 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.814533 # DEPENDENCYPART_SIBL
(0,10),(0,15),-1.65642 # DEPENDENCYPART_SIBL
(0,10),(0,21),-1.73826 # DEPENDENCYPART_SIBL
(0,15),(0,21),-1.75986 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.370234 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0541314 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0939294 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.277195 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.17695 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.379539 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.460299 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0541314 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.119835 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.472398 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.109477 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0126064 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0416724 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.367521 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.261275 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.86701 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.571168 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0126064 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.02142 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.575239 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0634737 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.440931 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00858262 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.131069 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0469496 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.12031 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0480974 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.905707 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.07844 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.152733 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.172931 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0857343 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.358379 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.305616 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0229095 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0327985 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.266953 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.104952 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.327355 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.677404 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.508453 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0504059 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0921145 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.532856 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.0780705 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.497074 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.485728 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0165949 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00888868 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.491561 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.00844006 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.568872 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0597054 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0272883 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.572944 # DEPENDENCYPART_SIBL
(1,9),(1,25),0.0769328 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.100907 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.146226 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.703104 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.318822 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.905707 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.07844 # DEPENDENCYPART_SIBL
(1,11),(1,25),0.152733 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.312922 # DEPENDENCYPART_SIBL
(1,12),(1,25),0.204307 # DEPENDENCYPART_SIBL
(1,15),(1,25),0.374504 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.164976 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0975601 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0523381 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00637228 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0417918 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0418613 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0111333 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0991823 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0975601 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0734658 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0358201 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0889697 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.107906 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0185344 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0432172 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.0169135 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0343856 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0910583 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0415434 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00323899 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00324206 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0622591 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.149824 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0343856 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0843884 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0595856 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.158915 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0864627 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0859953 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.126436 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.109246 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.177153 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.299328 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.319942 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.308587 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.711607 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.487332 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0742393 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.661064 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.499679 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.453761 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.442822 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.655773 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.225184 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.0110916 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0160085 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00125722 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00125434 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0810941 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0557592 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0973087 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.125056 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0110666 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0198641 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0889825 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0770763 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.11633 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0123215 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0658892 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0658921 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0649704 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0238806 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00280267 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.104658 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.024974 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0331103 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0586268 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0697258 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0213767 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.0118757 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0938397 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00567026 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0417753 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0767803 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0285044 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0372535 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.034907 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0267179 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.00138905 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0605371 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.0187057 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00566859 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0417769 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0643739 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0285811 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0372646 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0349086 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0267164 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.00139072 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0637012 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.0186587 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0689975 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0386721 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0474824 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0620343 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0575027 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0300543 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.210382 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0379951 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0193255 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.212917 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.000939818 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0219698 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.253299 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0425049 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00647575 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0253115 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0573316 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.661064 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.499679 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.453761 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.442822 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.655773 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.225184 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.0110916 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0933126 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0629752 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0492681 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0283947 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0607981 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.158917 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0453588 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0239859 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.111578 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0237735 # DEPENDENCYPART_SIBL
(3,14),(3,25),0.0454107 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.00721372 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0510392 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0208973 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.126892 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0065419 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.104795 # DEPENDENCYPART_SIBL
(3,16),(3,25),0.0381717 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0535932 # DEPENDENCYPART_SIBL
(3,19),(3,25),-0.0178881 # DEPENDENCYPART_SIBL
(3,23),(3,25),-0.0620011 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00690788 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.220153 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.010419 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0357298 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0356603 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0101798 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.037179 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.012255 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.045297 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0432475 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0179015 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0389015 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0606419 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0236651 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0176431 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0228873 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0544904 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00801755 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00801888 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0717439 # DEPENDENCYPART_SIBL
