# _root_ Fidelity , for example , prepared ads several months ago in case of a market plunge .
#goldHeads=6,6,6,3,6,0,6,9,10,6,6,11,12,16,16,13,6,
#predictedHeads=6,1,1,3,1,0,6,9,10,6,6,11,12,16,16,13,6,
(12,9),-1.87613 # DEPENDENCYPART_ARC
(12,10),-1.28464 # DEPENDENCYPART_ARC
(12,11),-1.18546 # DEPENDENCYPART_ARC
(12,13),0.69359 # DEPENDENCYPART_ARC
(12,15),-1.0627 # DEPENDENCYPART_ARC
(12,16),-1.26009 # DEPENDENCYPART_ARC
(12,17),-1.94535 # DEPENDENCYPART_ARC
(13,10),-1.79749 # DEPENDENCYPART_ARC
(13,14),-0.944437 # DEPENDENCYPART_ARC
(13,15),0.0819345 # DEPENDENCYPART_ARC
(13,16),0.436882 # DEPENDENCYPART_ARC
(15,14),0.0471061 # DEPENDENCYPART_ARC
(16,6),-1.92895 # DEPENDENCYPART_ARC
(16,7),-1.68944 # DEPENDENCYPART_ARC
(16,8),-2.61673 # DEPENDENCYPART_ARC
(16,9),-1.51722 # DEPENDENCYPART_ARC
(16,14),0.993271 # DEPENDENCYPART_ARC
(16,15),1.63103 # DEPENDENCYPART_ARC
(16,17),-1.51956 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0600841 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.119133 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.177945 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.136099 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.179094 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.180999 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.089574 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.128078 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.168045 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.187663 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.110957 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.108674 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.168904 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0647034 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0608248 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0435265 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.106447 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.10956 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.122631 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0633984 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.109217 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.108018 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0847794 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.105592 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0241856 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0333679 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0510167 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0958022 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.280219 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.269025 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.108348 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0971474 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.252966 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.259027 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.15286 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.151962 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.192866 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.172925 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.255899 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.255808 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.34667 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0622346 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0354601 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.191374 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.185118 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0937122 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0504429 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.221122 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.214867 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0500395 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0816502 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0904931 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0755918 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.111854 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.254063 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.105909 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.622334 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.076034 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.42984 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.379614 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.325381 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.357584 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.28072 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.22667 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.614923 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.347011 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.004143 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.186944 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.180212 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0657821 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.120367 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0898944 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.133993 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0466114 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.372599 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.224244 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0784264 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.139982 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.212004 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0534107 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.11403 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0248282 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.112421 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0897892 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0015826 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.295199 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0676606 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0806868 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.42984 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.379614 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.325381 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.357584 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.28072 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.22667 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.614923 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.347011 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.004143 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0502817 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0773116 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0589697 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.178417 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0621773 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.191457 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.113035 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0828571 # DEPENDENCYPART_SIBL
(1,7),(1,8),-3.02955e-05 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.244543 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0526387 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.109885 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.110484 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0239955 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0856646 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.053333 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0480226 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0845976 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0889729 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0306552 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0133199 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0851215 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0216591 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.141797 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0963884 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0830736 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0707885 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0621861 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0329186 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0263528 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0826288 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0899945 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.00169505 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0722686 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0594574 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0204564 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0710652 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0232909 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.511299 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0610788 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0727532 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0497845 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0413663 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0590372 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0811628 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0747219 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0353087 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0150601 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0454323 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0935093 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0289519 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.791994 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0355512 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0502052 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0431546 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0548896 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0471354 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0832805 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0438433 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.157267 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0531317 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.388189 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.946844 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.401161 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.950114 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.20942 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0601871 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0609206 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0207459 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.263133 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0655451 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.125129 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0778228 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.466486 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.308985 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.41167 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.199741 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.484139 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.256968 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.494198 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.156745 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.060857 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0843901 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.115184 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.35259 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.9686 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.152873 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00502393 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0965752 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0297542 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.504758 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0571439 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00122705 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0750517 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0275168 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.25366 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.150489 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.236315 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.116959 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0816264 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.116349 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0557852 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.212512 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.00535704 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0516937 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0879207 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0512361 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0640424 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0333737 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0303466 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0361737 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0261757 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0449701 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0736046 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0173511 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.115164 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0134608 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00927956 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.284193 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0315774 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0189828 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0630406 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0392613 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0391188 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.048697 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0352027 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00622057 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0682099 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0270385 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0714481 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.107998 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0591461 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0603166 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0327133 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0452799 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0766709 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.15786 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0693583 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0161875 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.070524 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0198909 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.532159 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.518134 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.320726 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.525932 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.131105 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0644071 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.602153 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.207647 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.604748 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0325417 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0304875 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0439692 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0144906 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.15497 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0741598 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.112763 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0853836 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.120856 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.040158 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0035567 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.246364 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0484465 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0964449 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0940501 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0090845 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0959978 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0258732 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0441432 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0836945 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0782929 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0378913 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00388495 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0431581 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0110855 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.11553 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0266589 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.180522 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.116358 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.18247 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0126392 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0973291 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0932893 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.109429 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0762766 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00452205 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.16578 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00360861 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.123415 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0598244 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0277482 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.111583 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0329425 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0187391 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0157256 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0401592 # DEPENDENCYPART_SIBL
