# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=9,1,4,2,11,1,9,9,0,9,15,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(8,6),-1.92215 # DEPENDENCYPART_ARC
(8,7),-1.35785 # DEPENDENCYPART_ARC
(8,9),-0.734779 # DEPENDENCYPART_ARC
(8,10),-1.34146 # DEPENDENCYPART_ARC
(8,11),-1.45121 # DEPENDENCYPART_ARC
(8,12),-1.00291 # DEPENDENCYPART_ARC
(8,15),-2.68258 # DEPENDENCYPART_ARC
(8,16),-2.04894 # DEPENDENCYPART_ARC
(9,1),-1.93534 # DEPENDENCYPART_ARC
(9,2),-2.01892 # DEPENDENCYPART_ARC
(9,3),-1.95664 # DEPENDENCYPART_ARC
(9,4),-0.698285 # DEPENDENCYPART_ARC
(9,5),-1.29855 # DEPENDENCYPART_ARC
(9,6),-1.24153 # DEPENDENCYPART_ARC
(9,7),0.660344 # DEPENDENCYPART_ARC
(9,8),1.76709 # DEPENDENCYPART_ARC
(9,10),0.213397 # DEPENDENCYPART_ARC
(9,11),-0.943371 # DEPENDENCYPART_ARC
(9,12),-1.01396 # DEPENDENCYPART_ARC
(9,14),-1.71288 # DEPENDENCYPART_ARC
(9,15),-0.495902 # DEPENDENCYPART_ARC
(9,16),-1.80363 # DEPENDENCYPART_ARC
(9,17),-2.01243 # DEPENDENCYPART_ARC
(9,18),-2.46112 # DEPENDENCYPART_ARC
(9,19),-2.77177 # DEPENDENCYPART_ARC
(9,20),-2.07172 # DEPENDENCYPART_ARC
(9,23),-2.78218 # DEPENDENCYPART_ARC
(9,25),-1.29441 # DEPENDENCYPART_ARC
(11,1),-2.91858 # DEPENDENCYPART_ARC
(11,2),-2.35522 # DEPENDENCYPART_ARC
(11,3),-1.43289 # DEPENDENCYPART_ARC
(11,4),-2.23559 # DEPENDENCYPART_ARC
(11,5),-2.30494 # DEPENDENCYPART_ARC
(11,6),-2.20568 # DEPENDENCYPART_ARC
(11,7),-1.87103 # DEPENDENCYPART_ARC
(11,8),-1.21167 # DEPENDENCYPART_ARC
(11,9),-1.19755 # DEPENDENCYPART_ARC
(11,10),-0.843349 # DEPENDENCYPART_ARC
(11,12),-0.171377 # DEPENDENCYPART_ARC
(11,13),-1.94333 # DEPENDENCYPART_ARC
(11,14),-1.25822 # DEPENDENCYPART_ARC
(11,15),-0.873909 # DEPENDENCYPART_ARC
(11,16),-1.69698 # DEPENDENCYPART_ARC
(11,17),-1.24895 # DEPENDENCYPART_ARC
(11,19),-1.50618 # DEPENDENCYPART_ARC
(11,20),-1.46939 # DEPENDENCYPART_ARC
(11,22),-2.01443 # DEPENDENCYPART_ARC
(11,23),-2.83304 # DEPENDENCYPART_ARC
(11,25),-1.94724 # DEPENDENCYPART_ARC
(12,11),-2.21028 # DEPENDENCYPART_ARC
(12,14),-2.22322 # DEPENDENCYPART_ARC
(12,15),-2.03856 # DEPENDENCYPART_ARC
(13,11),-2.79695 # DEPENDENCYPART_ARC
(14,9),-2.63717 # DEPENDENCYPART_ARC
(14,10),-2.08955 # DEPENDENCYPART_ARC
(14,11),-1.44663 # DEPENDENCYPART_ARC
(14,12),-1.36567 # DEPENDENCYPART_ARC
(14,13),1.42065 # DEPENDENCYPART_ARC
(14,15),-1.03272 # DEPENDENCYPART_ARC
(14,16),-1.14568 # DEPENDENCYPART_ARC
(14,17),-0.998923 # DEPENDENCYPART_ARC
(14,20),-1.12563 # DEPENDENCYPART_ARC
(14,23),-1.7071 # DEPENDENCYPART_ARC
(15,1),-2.0987 # DEPENDENCYPART_ARC
(15,2),-1.38553 # DEPENDENCYPART_ARC
(15,4),-1.52336 # DEPENDENCYPART_ARC
(15,5),-1.83005 # DEPENDENCYPART_ARC
(15,6),-1.53506 # DEPENDENCYPART_ARC
(15,7),-0.502909 # DEPENDENCYPART_ARC
(15,8),-0.14913 # DEPENDENCYPART_ARC
(15,9),-1.53186 # DEPENDENCYPART_ARC
(15,10),-0.360557 # DEPENDENCYPART_ARC
(15,11),-1.39069 # DEPENDENCYPART_ARC
(15,12),-0.909189 # DEPENDENCYPART_ARC
(15,13),-1.09957 # DEPENDENCYPART_ARC
(15,14),1.38404 # DEPENDENCYPART_ARC
(15,16),2.07185 # DEPENDENCYPART_ARC
(15,17),-0.349122 # DEPENDENCYPART_ARC
(15,18),-1.3234 # DEPENDENCYPART_ARC
(15,19),-1.21066 # DEPENDENCYPART_ARC
(15,20),-1.11129 # DEPENDENCYPART_ARC
(15,22),-1.95029 # DEPENDENCYPART_ARC
(15,23),-1.65427 # DEPENDENCYPART_ARC
(15,24),-2.59513 # DEPENDENCYPART_ARC
(15,25),-0.895363 # DEPENDENCYPART_ARC
(16,1),-2.45437 # DEPENDENCYPART_ARC
(16,2),-2.45187 # DEPENDENCYPART_ARC
(16,4),-2.2336 # DEPENDENCYPART_ARC
(16,5),-2.30982 # DEPENDENCYPART_ARC
(16,6),-2.70734 # DEPENDENCYPART_ARC
(16,7),-2.36103 # DEPENDENCYPART_ARC
(16,8),-2.04141 # DEPENDENCYPART_ARC
(16,9),-1.8862 # DEPENDENCYPART_ARC
(16,10),-2.07959 # DEPENDENCYPART_ARC
(16,11),-1.79116 # DEPENDENCYPART_ARC
(16,13),-1.75168 # DEPENDENCYPART_ARC
(16,14),-1.54641 # DEPENDENCYPART_ARC
(16,17),1.25161 # DEPENDENCYPART_ARC
(16,18),-0.494891 # DEPENDENCYPART_ARC
(16,19),-0.676822 # DEPENDENCYPART_ARC
(16,20),-0.353203 # DEPENDENCYPART_ARC
(16,22),-1.3427 # DEPENDENCYPART_ARC
(16,23),-1.16756 # DEPENDENCYPART_ARC
(16,24),-1.6597 # DEPENDENCYPART_ARC
(16,25),-1.52515 # DEPENDENCYPART_ARC
(17,14),-1.7788 # DEPENDENCYPART_ARC
(17,18),1.53414 # DEPENDENCYPART_ARC
(17,19),-0.263114 # DEPENDENCYPART_ARC
(17,20),-1.05719 # DEPENDENCYPART_ARC
(17,22),-1.61566 # DEPENDENCYPART_ARC
(18,2),-2.22588 # DEPENDENCYPART_ARC
(18,14),-1.30757 # DEPENDENCYPART_ARC
(18,19),0.824992 # DEPENDENCYPART_ARC
(18,20),-0.022339 # DEPENDENCYPART_ARC
(18,22),-0.815683 # DEPENDENCYPART_ARC
(18,23),-1.34892 # DEPENDENCYPART_ARC
(18,24),-1.7529 # DEPENDENCYPART_ARC
(18,25),-1.70598 # DEPENDENCYPART_ARC
(19,13),-1.81894 # DEPENDENCYPART_ARC
(19,14),-1.54803 # DEPENDENCYPART_ARC
(19,18),-0.629849 # DEPENDENCYPART_ARC
(19,20),0.341242 # DEPENDENCYPART_ARC
(19,22),-0.823459 # DEPENDENCYPART_ARC
(19,23),-0.841194 # DEPENDENCYPART_ARC
(19,24),-1.78381 # DEPENDENCYPART_ARC
(19,25),-1.58516 # DEPENDENCYPART_ARC
(20,19),-1.35089 # DEPENDENCYPART_ARC
(20,21),-1.48756 # DEPENDENCYPART_ARC
(20,22),0.357028 # DEPENDENCYPART_ARC
(20,23),-1.48031 # DEPENDENCYPART_ARC
(20,24),-1.65571 # DEPENDENCYPART_ARC
(21,23),-1.85091 # DEPENDENCYPART_ARC
(22,20),-1.26966 # DEPENDENCYPART_ARC
(22,21),1.52484 # DEPENDENCYPART_ARC
(22,23),0.969064 # DEPENDENCYPART_ARC
(22,24),-1.2724 # DEPENDENCYPART_ARC
(22,25),-1.30887 # DEPENDENCYPART_ARC
(23,22),-1.42498 # DEPENDENCYPART_ARC
(23,24),1.16076 # DEPENDENCYPART_ARC
(24,21),-1.55751 # DEPENDENCYPART_ARC
(24,25),-1.45212 # DEPENDENCYPART_ARC
(25,24),-2.31662 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0604975 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.12578 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.439579 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.354602 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0201745 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.594305 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.521462 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.471179 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.400837 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.892598 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0767274 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0732127 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0443939 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0895115 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0903502 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0579249 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.170334 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0903502 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.171354 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0443939 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.174725 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0145293 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0158888 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0267216 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0767612 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0488776 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0153433 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.089191 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0488776 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0647484 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0267216 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.094378 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.00806398 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0517666 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0610721 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.121828 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.248171 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0493222 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.121828 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0632291 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0517666 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0516886 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.104739 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.236388 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.102043 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.125063 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.194275 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.102043 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.267199 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.475864 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.199354 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.055517 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0163706 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0161532 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0102536 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0163706 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00182736 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0990313 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0523006 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0111909 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.247557 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.164017 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0378054 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.472671 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00743515 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.259953 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.127727 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0477536 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0818647 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0608157 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0614573 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0501199 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.127786 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.256357 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.04709 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.131306 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.19889 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.00723344 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.472671 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.00743515 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.259953 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.127727 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0532297 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.111632 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0503214 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.199354 # DEPENDENCYPART_SIBL
(1,12),(1,20),0.055517 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.014837 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0420477 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.146836 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0964273 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.12458 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.101232 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.136836 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0953302 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.101232 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0964273 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.127836 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.019897 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.391362 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0251663 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.133982 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00482386 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.387749 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.392723 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00482386 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0251663 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.404748 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0780031 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.147422 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.155063 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0104095 # DEPENDENCYPART_SIBL
(2,4),(2,8),-1.13141 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.60935 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0104095 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.147422 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.628766 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0565261 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.424911 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0233018 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.176061 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0359632 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0233018 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.374845 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0307693 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.16098 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0472712 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.167364 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.120633 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0472712 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.181843 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.170261 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0475423 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0192781 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.108608 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.156116 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.183881 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.208584 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.407798 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.60139 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0409441 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.13134 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.620806 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0295648 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.48456 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.20424 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.451584 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.261309 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.183881 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.208584 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.407798 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0307693 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.16098 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.198684 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.136653 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0253046 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.555573 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0420829 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0196494 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.058356 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0209796 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0457062 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.058356 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0406526 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0420829 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.024774 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00731481 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0408931 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0416925 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0931523 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.155632 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00702439 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0491175 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.120735 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00148589 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.01253 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.120735 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0224509 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00702439 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00431718 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0261466 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0207336 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0313451 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.104664 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.025933 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.027611 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.173646 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.1104 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.207788 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.173646 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.103722 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.025933 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.119718 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.263238 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.11733 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.133028 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.128572 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.209017 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0538745 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.456067 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.195759 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0538745 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.438614 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.702045 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.452874 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.222431 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0162478 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.433017 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.037968 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.053711 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.000486556 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0282067 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.053711 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0152164 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00304962 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00402197 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0283062 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00179406 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.00763378 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0689008 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.740003 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.344397 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0811275 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.574719 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00927008 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.730991 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.520702 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.455642 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.585655 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0208372 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0776477 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0204508 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0656008 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0114436 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.184938 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0509356 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0380603 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0574938 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.00698108 # DEPENDENCYPART_SIBL
