# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,7,10,11,12,4,4,18,18,15,18,19,20,26,20,25,26,21,4,
(6,4),-1.19372 # DEPENDENCYPART_ARC
(6,5),-0.473357 # DEPENDENCYPART_ARC
(6,7),1.33372 # DEPENDENCYPART_ARC
(6,9),-0.657146 # DEPENDENCYPART_ARC
(6,10),-0.67554 # DEPENDENCYPART_ARC
(6,11),-1.26367 # DEPENDENCYPART_ARC
(6,12),-0.999148 # DEPENDENCYPART_ARC
(6,13),-1.98015 # DEPENDENCYPART_ARC
(6,14),-1.4482 # DEPENDENCYPART_ARC
(6,15),-1.53713 # DEPENDENCYPART_ARC
(6,18),-1.829 # DEPENDENCYPART_ARC
(6,20),-1.41401 # DEPENDENCYPART_ARC
(6,27),-1.33687 # DEPENDENCYPART_ARC
(7,1),-2.16688 # DEPENDENCYPART_ARC
(7,3),-1.59951 # DEPENDENCYPART_ARC
(7,4),-1.29098 # DEPENDENCYPART_ARC
(7,5),-1.12164 # DEPENDENCYPART_ARC
(7,6),-1.23383 # DEPENDENCYPART_ARC
(7,8),-0.550695 # DEPENDENCYPART_ARC
(7,9),0.166515 # DEPENDENCYPART_ARC
(7,10),0.197668 # DEPENDENCYPART_ARC
(7,11),-0.6916 # DEPENDENCYPART_ARC
(7,12),-0.362164 # DEPENDENCYPART_ARC
(7,13),-1.0777 # DEPENDENCYPART_ARC
(7,14),-0.970149 # DEPENDENCYPART_ARC
(7,15),-0.967889 # DEPENDENCYPART_ARC
(7,16),-1.52513 # DEPENDENCYPART_ARC
(7,17),-1.29939 # DEPENDENCYPART_ARC
(7,18),-1.25886 # DEPENDENCYPART_ARC
(7,19),-1.95401 # DEPENDENCYPART_ARC
(7,20),-1.78451 # DEPENDENCYPART_ARC
(7,21),-1.19528 # DEPENDENCYPART_ARC
(7,22),-1.91013 # DEPENDENCYPART_ARC
(7,23),-1.21835 # DEPENDENCYPART_ARC
(7,24),-1.74337 # DEPENDENCYPART_ARC
(7,26),-2.45145 # DEPENDENCYPART_ARC
(7,27),-2.07922 # DEPENDENCYPART_ARC
(9,1),-2.4143 # DEPENDENCYPART_ARC
(9,5),-1.6588 # DEPENDENCYPART_ARC
(9,7),-1.01021 # DEPENDENCYPART_ARC
(9,8),1.23155 # DEPENDENCYPART_ARC
(9,10),0.287535 # DEPENDENCYPART_ARC
(9,11),-1.15887 # DEPENDENCYPART_ARC
(9,12),-0.459052 # DEPENDENCYPART_ARC
(9,13),-1.50059 # DEPENDENCYPART_ARC
(9,14),-1.51147 # DEPENDENCYPART_ARC
(9,15),-1.34686 # DEPENDENCYPART_ARC
(9,16),-2.15916 # DEPENDENCYPART_ARC
(9,17),-2.06436 # DEPENDENCYPART_ARC
(9,18),-1.45708 # DEPENDENCYPART_ARC
(9,20),-2.19434 # DEPENDENCYPART_ARC
(9,21),-1.93335 # DEPENDENCYPART_ARC
(9,27),-2.21722 # DEPENDENCYPART_ARC
(10,9),-1.67955 # DEPENDENCYPART_ARC
(10,11),1.86118 # DEPENDENCYPART_ARC
(10,12),-1.13277 # DEPENDENCYPART_ARC
(10,13),-0.73494 # DEPENDENCYPART_ARC
(10,14),-1.09239 # DEPENDENCYPART_ARC
(10,15),-1.40757 # DEPENDENCYPART_ARC
(10,18),-1.02783 # DEPENDENCYPART_ARC
(10,27),-2.01389 # DEPENDENCYPART_ARC
(11,8),-2.12344 # DEPENDENCYPART_ARC
(11,9),-1.59793 # DEPENDENCYPART_ARC
(11,12),0.373896 # DEPENDENCYPART_ARC
(11,13),-1.72176 # DEPENDENCYPART_ARC
(11,14),-1.37665 # DEPENDENCYPART_ARC
(11,15),-1.46747 # DEPENDENCYPART_ARC
(11,17),-1.72323 # DEPENDENCYPART_ARC
(11,18),-1.43516 # DEPENDENCYPART_ARC
(11,20),-1.82161 # DEPENDENCYPART_ARC
(11,21),-1.35014 # DEPENDENCYPART_ARC
(11,23),-1.57458 # DEPENDENCYPART_ARC
(11,26),-2.99714 # DEPENDENCYPART_ARC
(12,9),-1.54436 # DEPENDENCYPART_ARC
(12,10),-1.47613 # DEPENDENCYPART_ARC
(12,11),-1.2103 # DEPENDENCYPART_ARC
(12,13),1.18905 # DEPENDENCYPART_ARC
(12,14),-1.25063 # DEPENDENCYPART_ARC
(12,15),-1.45244 # DEPENDENCYPART_ARC
(12,16),-1.95409 # DEPENDENCYPART_ARC
(12,18),-0.826929 # DEPENDENCYPART_ARC
(12,26),-1.86322 # DEPENDENCYPART_ARC
(13,11),-2.25179 # DEPENDENCYPART_ARC
(13,14),-1.3256 # DEPENDENCYPART_ARC
(13,15),-1.4207 # DEPENDENCYPART_ARC
(13,16),-1.77356 # DEPENDENCYPART_ARC
(13,18),-2.01039 # DEPENDENCYPART_ARC
(13,20),-2.57141 # DEPENDENCYPART_ARC
(15,13),-2.03571 # DEPENDENCYPART_ARC
(15,16),-0.707491 # DEPENDENCYPART_ARC
(15,17),-1.32033 # DEPENDENCYPART_ARC
(15,18),-0.53863 # DEPENDENCYPART_ARC
(15,19),-1.70183 # DEPENDENCYPART_ARC
(15,20),-1.53271 # DEPENDENCYPART_ARC
(15,21),-2.08584 # DEPENDENCYPART_ARC
(15,22),-2.27126 # DEPENDENCYPART_ARC
(15,24),-2.59035 # DEPENDENCYPART_ARC
(16,17),-1.10188 # DEPENDENCYPART_ARC
(16,19),-2.30665 # DEPENDENCYPART_ARC
(16,20),-2.20115 # DEPENDENCYPART_ARC
(17,16),-1.55825 # DEPENDENCYPART_ARC
(17,19),-1.57184 # DEPENDENCYPART_ARC
(17,21),-1.81892 # DEPENDENCYPART_ARC
(18,1),-1.73337 # DEPENDENCYPART_ARC
(18,2),-1.48191 # DEPENDENCYPART_ARC
(18,3),-0.655785 # DEPENDENCYPART_ARC
(18,4),-2.09306 # DEPENDENCYPART_ARC
(18,5),-1.7587 # DEPENDENCYPART_ARC
(18,6),-2.01877 # DEPENDENCYPART_ARC
(18,7),-1.60584 # DEPENDENCYPART_ARC
(18,8),-1.81087 # DEPENDENCYPART_ARC
(18,9),-0.599869 # DEPENDENCYPART_ARC
(18,10),-1.29979 # DEPENDENCYPART_ARC
(18,11),-0.230352 # DEPENDENCYPART_ARC
(18,12),-1.05901 # DEPENDENCYPART_ARC
(18,13),-1.10195 # DEPENDENCYPART_ARC
(18,14),-1.36793 # DEPENDENCYPART_ARC
(18,15),-1.00037 # DEPENDENCYPART_ARC
(18,16),0.346687 # DEPENDENCYPART_ARC
(18,17),0.663078 # DEPENDENCYPART_ARC
(18,19),2.22291 # DEPENDENCYPART_ARC
(18,20),-0.699252 # DEPENDENCYPART_ARC
(18,21),-0.824495 # DEPENDENCYPART_ARC
(18,22),-1.64519 # DEPENDENCYPART_ARC
(18,23),-1.06919 # DEPENDENCYPART_ARC
(18,24),-1.72683 # DEPENDENCYPART_ARC
(18,26),-2.04065 # DEPENDENCYPART_ARC
(18,27),-0.430998 # DEPENDENCYPART_ARC
(19,3),-2.17764 # DEPENDENCYPART_ARC
(19,4),-2.4822 # DEPENDENCYPART_ARC
(19,9),-1.76201 # DEPENDENCYPART_ARC
(19,10),-1.63492 # DEPENDENCYPART_ARC
(19,11),-1.59955 # DEPENDENCYPART_ARC
(19,12),-1.58017 # DEPENDENCYPART_ARC
(19,16),-1.53688 # DEPENDENCYPART_ARC
(19,17),-1.22621 # DEPENDENCYPART_ARC
(19,20),1.61105 # DEPENDENCYPART_ARC
(19,21),-0.682222 # DEPENDENCYPART_ARC
(19,22),-1.18899 # DEPENDENCYPART_ARC
(19,23),-1.34983 # DEPENDENCYPART_ARC
(19,24),-1.3811 # DEPENDENCYPART_ARC
(19,26),-1.5608 # DEPENDENCYPART_ARC
(19,27),-1.81603 # DEPENDENCYPART_ARC
(20,3),-2.0825 # DEPENDENCYPART_ARC
(20,4),-2.05576 # DEPENDENCYPART_ARC
(20,10),-1.69991 # DEPENDENCYPART_ARC
(20,11),-1.9723 # DEPENDENCYPART_ARC
(20,12),-1.63124 # DEPENDENCYPART_ARC
(20,13),-2.23035 # DEPENDENCYPART_ARC
(20,16),-2.00096 # DEPENDENCYPART_ARC
(20,17),-0.968401 # DEPENDENCYPART_ARC
(20,21),0.953418 # DEPENDENCYPART_ARC
(20,22),-0.743609 # DEPENDENCYPART_ARC
(20,23),-0.784758 # DEPENDENCYPART_ARC
(20,24),-0.864182 # DEPENDENCYPART_ARC
(20,25),-1.199 # DEPENDENCYPART_ARC
(20,26),-1.41029 # DEPENDENCYPART_ARC
(20,27),-1.70779 # DEPENDENCYPART_ARC
(21,22),-0.678058 # DEPENDENCYPART_ARC
(21,23),-1.17096 # DEPENDENCYPART_ARC
(21,24),-1.52524 # DEPENDENCYPART_ARC
(21,25),-1.89162 # DEPENDENCYPART_ARC
(21,26),0.320157 # DEPENDENCYPART_ARC
(22,17),-2.08407 # DEPENDENCYPART_ARC
(22,21),-1.125 # DEPENDENCYPART_ARC
(22,23),-0.89957 # DEPENDENCYPART_ARC
(22,24),-1.49155 # DEPENDENCYPART_ARC
(22,25),-1.54716 # DEPENDENCYPART_ARC
(22,26),-2.33774 # DEPENDENCYPART_ARC
(24,22),-1.70159 # DEPENDENCYPART_ARC
(24,23),-1.2068 # DEPENDENCYPART_ARC
(24,25),-0.999844 # DEPENDENCYPART_ARC
(24,26),-1.1994 # DEPENDENCYPART_ARC
(24,27),-1.80553 # DEPENDENCYPART_ARC
(25,22),-1.42715 # DEPENDENCYPART_ARC
(25,24),0.693327 # DEPENDENCYPART_ARC
(26,22),-0.678992 # DEPENDENCYPART_ARC
(26,23),-1.13803 # DEPENDENCYPART_ARC
(26,24),-0.152856 # DEPENDENCYPART_ARC
(26,25),1.25343 # DEPENDENCYPART_ARC
(27,26),-2.6227 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.151646 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.231877 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.155168 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.339279 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.231877 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.266679 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.089102 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.10823 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.266679 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.384404 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.288914 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.588103 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.199012 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.245956 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.231877 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.294614 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.228392 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0102805 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0579839 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00340582 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.218351 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0155036 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0131358 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.00326962 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.00624694 # DEPENDENCYPART_SIBL
(1,2),(1,27),0.0337694 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0910313 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0465734 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0684819 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0188773 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.120394 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.143012 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0698441 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0735714 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.085255 # DEPENDENCYPART_SIBL
(1,3),(1,27),0.110121 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.121851 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.141495 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0676939 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.167445 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0820703 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0946925 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0932205 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0751055 # DEPENDENCYPART_SIBL
(1,4),(1,27),-0.00668171 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0356794 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0608201 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0292228 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.132534 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.10392 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0488313 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0962333 # DEPENDENCYPART_SIBL
(1,5),(1,27),-0.128184 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.112178 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.244876 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0665834 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.100533 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0261598 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0762402 # DEPENDENCYPART_SIBL
(1,6),(1,27),0.0107136 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.322023 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.142736 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.125323 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0445003 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0293078 # DEPENDENCYPART_SIBL
(1,7),(1,27),0.0640689 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00566991 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.00847823 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.00336475 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0052674 # DEPENDENCYPART_SIBL
(1,9),(1,27),0.0346311 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.00480325 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0144849 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0811789 # DEPENDENCYPART_SIBL
(1,10),(1,27),-0.00076396 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.0808308 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0517842 # DEPENDENCYPART_SIBL
(1,12),(1,27),0.05301 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.667871 # DEPENDENCYPART_SIBL
(1,14),(1,27),0.0389687 # DEPENDENCYPART_SIBL
(1,15),(1,27),0.204697 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0196216 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00410829 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0309719 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.025563 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.125692 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0348218 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0563174 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00186383 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0194192 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0826165 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0853812 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0556131 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0171347 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0564199 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0255523 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0112145 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0194879 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0471724 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.110196 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0263601 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0738587 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0264676 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.112098 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0659591 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0637822 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.095267 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0799018 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0168444 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0421685 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0953135 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0976049 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0637528 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0323696 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0752894 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.038188 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.10226 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0696689 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.122304 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.026095 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0737417 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0421685 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0939351 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0410654 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.103687 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.10226 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0804083 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0879177 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.619102 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00581188 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0475676 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0630703 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0625825 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0496977 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0753803 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0461211 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0344089 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0095942 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.052844 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.145246 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0318877 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0334497 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0475676 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0732814 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0272808 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0794782 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0095942 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0785267 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.014069 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0195622 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0713216 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0478028 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.033628 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00202035 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0143005 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.000437756 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.017463 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0136813 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00911567 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0934317 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0325339 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0145152 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0713216 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0683585 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0111353 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0406697 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0136813 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0310948 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0279638 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.255959 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.113345 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.145208 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0407856 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.124088 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0201157 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0778504 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00997519 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.162602 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00469069 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0437009 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0509656 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.255959 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.115656 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0782919 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0269869 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.00997519 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0443711 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.0213952 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.290253 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.279117 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.162793 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.273005 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.18446 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.193716 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0613196 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.175057 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.258515 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.30878 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0448864 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.837319 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.293478 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0718795 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.244799 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0613196 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.215127 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0453765 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.230994 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.141333 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.169318 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.116506 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.13372 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00101593 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.135285 # DEPENDENCYPART_SIBL
