# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,23,23,31,31,28,31,34,32,34,37,35,16,
(9,32),-2.43807 # DEPENDENCYPART_ARC
(9,38),-1.52288 # DEPENDENCYPART_ARC
(10,11),-1.10151 # DEPENDENCYPART_ARC
(10,12),0.127027 # DEPENDENCYPART_ARC
(10,13),-1.18324 # DEPENDENCYPART_ARC
(10,14),-2.22092 # DEPENDENCYPART_ARC
(10,15),-1.39554 # DEPENDENCYPART_ARC
(10,16),-0.649413 # DEPENDENCYPART_ARC
(10,17),-1.93506 # DEPENDENCYPART_ARC
(10,18),-2.74714 # DEPENDENCYPART_ARC
(10,19),-2.54894 # DEPENDENCYPART_ARC
(10,20),-1.73534 # DEPENDENCYPART_ARC
(10,23),-2.2605 # DEPENDENCYPART_ARC
(10,25),-1.34434 # DEPENDENCYPART_ARC
(12,7),-2.86372 # DEPENDENCYPART_ARC
(12,9),-2.2469 # DEPENDENCYPART_ARC
(12,10),-1.69014 # DEPENDENCYPART_ARC
(12,11),0.599819 # DEPENDENCYPART_ARC
(12,13),-0.109127 # DEPENDENCYPART_ARC
(12,14),-1.25041 # DEPENDENCYPART_ARC
(12,15),-1.99435 # DEPENDENCYPART_ARC
(12,16),-1.64182 # DEPENDENCYPART_ARC
(12,17),-2.38248 # DEPENDENCYPART_ARC
(12,19),-3.47914 # DEPENDENCYPART_ARC
(12,20),-3.00979 # DEPENDENCYPART_ARC
(12,21),-1.1247 # DEPENDENCYPART_ARC
(12,23),-1.99334 # DEPENDENCYPART_ARC
(12,24),-2.73507 # DEPENDENCYPART_ARC
(12,31),-3.26064 # DEPENDENCYPART_ARC
(12,38),-3.15202 # DEPENDENCYPART_ARC
(14,11),-2.59736 # DEPENDENCYPART_ARC
(14,12),-1.68768 # DEPENDENCYPART_ARC
(14,15),-0.862208 # DEPENDENCYPART_ARC
(14,20),-3.00948 # DEPENDENCYPART_ARC
(15,6),-3.63865 # DEPENDENCYPART_ARC
(15,11),-0.902594 # DEPENDENCYPART_ARC
(15,12),-1.73736 # DEPENDENCYPART_ARC
(15,13),-1.42892 # DEPENDENCYPART_ARC
(15,14),1.33567 # DEPENDENCYPART_ARC
(15,16),-1.01897 # DEPENDENCYPART_ARC
(15,17),-1.89487 # DEPENDENCYPART_ARC
(15,19),-2.42273 # DEPENDENCYPART_ARC
(15,20),-2.21064 # DEPENDENCYPART_ARC
(15,21),-1.28479 # DEPENDENCYPART_ARC
(16,1),0.0571504 # DEPENDENCYPART_ARC
(16,2),-2.56078 # DEPENDENCYPART_ARC
(16,3),-1.92631 # DEPENDENCYPART_ARC
(16,4),-1.66929 # DEPENDENCYPART_ARC
(16,5),-1.55162 # DEPENDENCYPART_ARC
(16,6),-1.75284 # DEPENDENCYPART_ARC
(16,7),-1.17307 # DEPENDENCYPART_ARC
(16,8),-1.75502 # DEPENDENCYPART_ARC
(16,9),-1.64244 # DEPENDENCYPART_ARC
(16,10),-1.06073 # DEPENDENCYPART_ARC
(16,11),-2.14003 # DEPENDENCYPART_ARC
(16,12),-1.15141 # DEPENDENCYPART_ARC
(16,13),-0.241823 # DEPENDENCYPART_ARC
(16,14),-0.708092 # DEPENDENCYPART_ARC
(16,15),0.232724 # DEPENDENCYPART_ARC
(16,17),2.25136 # DEPENDENCYPART_ARC
(16,18),-0.934469 # DEPENDENCYPART_ARC
(16,19),-1.42038 # DEPENDENCYPART_ARC
(16,20),-1.58341 # DEPENDENCYPART_ARC
(16,21),-1.50013 # DEPENDENCYPART_ARC
(16,22),-2.07464 # DEPENDENCYPART_ARC
(16,23),-1.40301 # DEPENDENCYPART_ARC
(16,24),-2.0367 # DEPENDENCYPART_ARC
(16,25),-1.13516 # DEPENDENCYPART_ARC
(16,27),-1.91537 # DEPENDENCYPART_ARC
(16,28),-1.59214 # DEPENDENCYPART_ARC
(16,38),0.347527 # DEPENDENCYPART_ARC
(17,1),-1.5444 # DEPENDENCYPART_ARC
(17,10),-1.8444 # DEPENDENCYPART_ARC
(17,14),-1.69658 # DEPENDENCYPART_ARC
(17,15),-1.80887 # DEPENDENCYPART_ARC
(17,18),-0.112483 # DEPENDENCYPART_ARC
(17,19),-0.528522 # DEPENDENCYPART_ARC
(17,20),-0.600229 # DEPENDENCYPART_ARC
(17,21),-1.02868 # DEPENDENCYPART_ARC
(17,22),-2.07926 # DEPENDENCYPART_ARC
(17,23),-0.860183 # DEPENDENCYPART_ARC
(17,24),-1.33704 # DEPENDENCYPART_ARC
(17,25),-1.3495 # DEPENDENCYPART_ARC
(17,26),-1.50733 # DEPENDENCYPART_ARC
(17,27),-1.46265 # DEPENDENCYPART_ARC
(17,28),-0.976631 # DEPENDENCYPART_ARC
(17,31),-2.06309 # DEPENDENCYPART_ARC
(17,32),-1.32351 # DEPENDENCYPART_ARC
(17,34),-2.09393 # DEPENDENCYPART_ARC
(17,35),-1.96468 # DEPENDENCYPART_ARC
(17,38),-1.73951 # DEPENDENCYPART_ARC
(18,14),-2.7645 # DEPENDENCYPART_ARC
(18,19),-1.61476 # DEPENDENCYPART_ARC
(18,21),-1.70554 # DEPENDENCYPART_ARC
(19,11),-3.08561 # DEPENDENCYPART_ARC
(19,14),-1.47694 # DEPENDENCYPART_ARC
(19,15),-2.05718 # DEPENDENCYPART_ARC
(19,17),-1.81577 # DEPENDENCYPART_ARC
(19,18),0.153381 # DEPENDENCYPART_ARC
(19,20),-0.535907 # DEPENDENCYPART_ARC
(19,21),-1.19738 # DEPENDENCYPART_ARC
(19,22),-2.72237 # DEPENDENCYPART_ARC
(19,23),-1.89367 # DEPENDENCYPART_ARC
(19,24),-2.53096 # DEPENDENCYPART_ARC
(19,25),-2.60702 # DEPENDENCYPART_ARC
(19,26),-3.04233 # DEPENDENCYPART_ARC
(20,4),-2.63201 # DEPENDENCYPART_ARC
(20,6),-3.93179 # DEPENDENCYPART_ARC
(20,11),-1.53424 # DEPENDENCYPART_ARC
(20,12),-2.48598 # DEPENDENCYPART_ARC
(20,14),-0.873809 # DEPENDENCYPART_ARC
(20,15),-1.11695 # DEPENDENCYPART_ARC
(20,16),-1.33053 # DEPENDENCYPART_ARC
(20,17),-1.30295 # DEPENDENCYPART_ARC
(20,18),1.06474 # DEPENDENCYPART_ARC
(20,19),1.28352 # DEPENDENCYPART_ARC
(20,21),0.287697 # DEPENDENCYPART_ARC
(20,22),-1.84994 # DEPENDENCYPART_ARC
(20,23),-1.00972 # DEPENDENCYPART_ARC
(20,24),-1.89541 # DEPENDENCYPART_ARC
(20,25),-2.07914 # DEPENDENCYPART_ARC
(20,26),-2.4939 # DEPENDENCYPART_ARC
(20,27),-2.20383 # DEPENDENCYPART_ARC
(20,28),-2.12173 # DEPENDENCYPART_ARC
(20,31),-3.13948 # DEPENDENCYPART_ARC
(20,38),-3.05696 # DEPENDENCYPART_ARC
(22,24),-1.73146 # DEPENDENCYPART_ARC
(23,1),-2.52848 # DEPENDENCYPART_ARC
(23,4),-2.85358 # DEPENDENCYPART_ARC
(23,5),-2.78546 # DEPENDENCYPART_ARC
(23,7),-2.75744 # DEPENDENCYPART_ARC
(23,8),-2.51563 # DEPENDENCYPART_ARC
(23,10),-2.54763 # DEPENDENCYPART_ARC
(23,12),-3.1192 # DEPENDENCYPART_ARC
(23,13),-2.26333 # DEPENDENCYPART_ARC
(23,14),-2.79129 # DEPENDENCYPART_ARC
(23,15),-2.62879 # DEPENDENCYPART_ARC
(23,16),-2.34081 # DEPENDENCYPART_ARC
(23,18),-2.63153 # DEPENDENCYPART_ARC
(23,19),-2.42786 # DEPENDENCYPART_ARC
(23,20),-2.12494 # DEPENDENCYPART_ARC
(23,21),-1.83955 # DEPENDENCYPART_ARC
(23,22),1.51255 # DEPENDENCYPART_ARC
(23,24),0.885763 # DEPENDENCYPART_ARC
(23,25),-0.0994255 # DEPENDENCYPART_ARC
(23,26),-0.666532 # DEPENDENCYPART_ARC
(23,27),-0.939022 # DEPENDENCYPART_ARC
(23,28),-0.633357 # DEPENDENCYPART_ARC
(23,31),-1.70645 # DEPENDENCYPART_ARC
(23,32),-0.934087 # DEPENDENCYPART_ARC
(23,34),-1.90506 # DEPENDENCYPART_ARC
(23,35),-1.88395 # DEPENDENCYPART_ARC
(23,38),-0.650863 # DEPENDENCYPART_ARC
(24,11),-2.13753 # DEPENDENCYPART_ARC
(24,19),-1.56442 # DEPENDENCYPART_ARC
(24,22),-0.73312 # DEPENDENCYPART_ARC
(24,23),-0.521101 # DEPENDENCYPART_ARC
(24,25),1.08489 # DEPENDENCYPART_ARC
(24,26),-0.83712 # DEPENDENCYPART_ARC
(24,27),-0.796574 # DEPENDENCYPART_ARC
(24,28),-0.892821 # DEPENDENCYPART_ARC
(24,29),-1.84262 # DEPENDENCYPART_ARC
(24,30),-1.50431 # DEPENDENCYPART_ARC
(24,31),-1.93584 # DEPENDENCYPART_ARC
(24,32),-0.731716 # DEPENDENCYPART_ARC
(24,34),-2.01424 # DEPENDENCYPART_ARC
(24,35),-1.99245 # DEPENDENCYPART_ARC
(24,38),-2.35019 # DEPENDENCYPART_ARC
(25,26),1.5689 # DEPENDENCYPART_ARC
(25,27),-1.3317 # DEPENDENCYPART_ARC
(25,28),-1.43253 # DEPENDENCYPART_ARC
(25,31),-1.4481 # DEPENDENCYPART_ARC
(26,22),-2.49912 # DEPENDENCYPART_ARC
(26,24),-1.51201 # DEPENDENCYPART_ARC
(26,27),-1.06634 # DEPENDENCYPART_ARC
(26,28),-1.13265 # DEPENDENCYPART_ARC
(26,31),-1.82902 # DEPENDENCYPART_ARC
(26,32),-1.40067 # DEPENDENCYPART_ARC
(26,34),-2.3955 # DEPENDENCYPART_ARC
(26,35),-2.3865 # DEPENDENCYPART_ARC
(27,22),-1.90017 # DEPENDENCYPART_ARC
(27,24),-1.5807 # DEPENDENCYPART_ARC
(27,25),-1.50596 # DEPENDENCYPART_ARC
(27,26),-0.694706 # DEPENDENCYPART_ARC
(27,28),-0.53003 # DEPENDENCYPART_ARC
(27,29),-1.67502 # DEPENDENCYPART_ARC
(27,30),-1.48907 # DEPENDENCYPART_ARC
(27,31),-1.78125 # DEPENDENCYPART_ARC
(27,32),-1.74222 # DEPENDENCYPART_ARC
(27,34),-2.40685 # DEPENDENCYPART_ARC
(27,35),-2.248 # DEPENDENCYPART_ARC
(28,22),-1.69403 # DEPENDENCYPART_ARC
(28,26),-2.00577 # DEPENDENCYPART_ARC
(28,27),-0.794723 # DEPENDENCYPART_ARC
(28,29),-1.05497 # DEPENDENCYPART_ARC
(28,30),-1.01313 # DEPENDENCYPART_ARC
(28,31),0.0960488 # DEPENDENCYPART_ARC
(28,32),-1.3521 # DEPENDENCYPART_ARC
(28,34),-1.7167 # DEPENDENCYPART_ARC
(28,35),-1.5843 # DEPENDENCYPART_ARC
(28,37),-2.38181 # DEPENDENCYPART_ARC
(29,30),-1.41549 # DEPENDENCYPART_ARC
(30,27),-1.81992 # DEPENDENCYPART_ARC
(30,29),-0.779389 # DEPENDENCYPART_ARC
(30,32),-1.76256 # DEPENDENCYPART_ARC
(31,11),-2.91654 # DEPENDENCYPART_ARC
(31,22),-2.47688 # DEPENDENCYPART_ARC
(31,24),-2.32504 # DEPENDENCYPART_ARC
(31,26),-1.58308 # DEPENDENCYPART_ARC
(31,27),-1.48616 # DEPENDENCYPART_ARC
(31,29),1.23111 # DEPENDENCYPART_ARC
(31,30),1.45836 # DEPENDENCYPART_ARC
(31,32),0.41513 # DEPENDENCYPART_ARC
(31,34),-1.21256 # DEPENDENCYPART_ARC
(31,35),-0.934425 # DEPENDENCYPART_ARC
(31,37),-1.95137 # DEPENDENCYPART_ARC
(32,29),-1.86024 # DEPENDENCYPART_ARC
(32,30),-2.23269 # DEPENDENCYPART_ARC
(32,31),-1.55268 # DEPENDENCYPART_ARC
(32,33),-0.963459 # DEPENDENCYPART_ARC
(32,34),1.10828 # DEPENDENCYPART_ARC
(32,35),-1.39849 # DEPENDENCYPART_ARC
(32,36),-1.18588 # DEPENDENCYPART_ARC
(32,37),-0.100466 # DEPENDENCYPART_ARC
(34,29),-1.25669 # DEPENDENCYPART_ARC
(34,30),-1.96314 # DEPENDENCYPART_ARC
(34,33),1.39728 # DEPENDENCYPART_ARC
(34,35),0.964499 # DEPENDENCYPART_ARC
(34,36),-0.82134 # DEPENDENCYPART_ARC
(34,37),-1.10195 # DEPENDENCYPART_ARC
(35,36),0.759147 # DEPENDENCYPART_ARC
(35,37),1.01544 # DEPENDENCYPART_ARC
(37,29),-1.19353 # DEPENDENCYPART_ARC
(37,30),-2.55105 # DEPENDENCYPART_ARC
(37,33),-1.24418 # DEPENDENCYPART_ARC
(37,34),-0.984028 # DEPENDENCYPART_ARC
(37,35),-1.19204 # DEPENDENCYPART_ARC
(37,36),1.91666 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.756212 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.108852 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.110269 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.277363 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.124828 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.679303 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.695619 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.696528 # DEPENDENCYPART_SIBL
(0,3),(0,16),-1.01325 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.667235 # DEPENDENCYPART_SIBL
(0,3),(0,23),-1.63977 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.337821 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.231877 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.120736 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.709181 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.231877 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.120736 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.709181 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.34847 # DEPENDENCYPART_SIBL
(0,16),(0,23),-1.13331 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.699011 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.687177 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.248063 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0363606 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.357642 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.355467 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.168314 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.248084 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.427639 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.143966 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.508646 # DEPENDENCYPART_SIBL
(1,2),(1,38),-0.133225 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.260113 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.133991 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.352024 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.341962 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.036114 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.260773 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.642897 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0623484 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.665425 # DEPENDENCYPART_SIBL
(1,3),(1,38),0.19848 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0506771 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.2915 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.285256 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0234972 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.384632 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.319893 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.157933 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.396379 # DEPENDENCYPART_SIBL
(1,4),(1,38),0.154665 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.185678 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.171972 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0675849 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.041237 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.252772 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0325261 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.295691 # DEPENDENCYPART_SIBL
(1,5),(1,38),0.0403582 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.644836 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0710598 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.360351 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.620542 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0563759 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.650929 # DEPENDENCYPART_SIBL
(1,6),(1,38),-0.0449135 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.10132 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.349008 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.614591 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.00966097 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.636814 # DEPENDENCYPART_SIBL
(1,7),(1,38),-0.0719418 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0538291 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.184403 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0601414 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.254908 # DEPENDENCYPART_SIBL
(1,8),(1,38),0.0129406 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.320042 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.151967 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.396529 # DEPENDENCYPART_SIBL
(1,9),(1,38),0.145039 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.337424 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.352279 # DEPENDENCYPART_SIBL
(1,16),(1,38),0.527141 # DEPENDENCYPART_SIBL
(1,21),(1,23),0.110019 # DEPENDENCYPART_SIBL
(1,21),(1,38),0.142333 # DEPENDENCYPART_SIBL
(1,23),(1,38),0.370419 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.026232 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.026428 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0743362 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.092853 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0301188 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.11522 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0439575 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0809681 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0800702 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0369682 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.11522 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.185422 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.03289 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0800702 # DEPENDENCYPART_SIBL
(3,1),(3,38),0.0249946 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0484066 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0950992 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.125475 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.170412 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0489011 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0373221 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0950992 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.103865 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0174846 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0489011 # DEPENDENCYPART_SIBL
(3,2),(3,38),-0.0503003 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.489394 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.369113 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.359461 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.160347 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.623391 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.489394 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.05376 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.218812 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.160347 # DEPENDENCYPART_SIBL
(3,4),(3,38),-0.0336582 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.207542 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.193399 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0225347 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0504315 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.172472 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.016273 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.121801 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0225347 # DEPENDENCYPART_SIBL
(3,5),(3,38),-0.11334 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.227938 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0704673 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.125668 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0228051 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.055881 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.111957 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.0704673 # DEPENDENCYPART_SIBL
