# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(3,2),(3,13),0.30163 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0302553 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0318515 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.201271 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.286729 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.142538 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.349775 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0910791 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0777227 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0569402 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0380143 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0161541 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0582756 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0512378 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0350903 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0264265 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.104592 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.149007 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0350903 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.086832 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.145869 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0239585 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.379657 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0827533 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0719431 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0273259 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0435433 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0880372 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0668318 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0457497 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.166682 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.180898 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0668318 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.270587 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.00336359 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.046289 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.317676 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.259309 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.361169 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.274121 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.284881 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.248029 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0818215 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.380475 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.41787 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.248029 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.664762 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.498608 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.00199563 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.024099 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0100028 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.105588 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0542599 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00241796 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0350164 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0439014 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0349281 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00241796 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.005361 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0776442 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.00652821 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.206345 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.15136 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.227454 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0396042 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.101692 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.440655 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.257955 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0396042 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.241888 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.165975 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0120782 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.161909 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0710097 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0275194 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0440152 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0978222 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.134863 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0275194 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.177202 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.217729 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.013139 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.240439 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0686405 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0505547 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.222423 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.285363 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0686405 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.344641 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.200917 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0515137 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.13079 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.179129 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.171225 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.213238 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.13079 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.341814 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.241638 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.134702 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.114559 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0706223 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.095492 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0567025 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.226673 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.252431 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0202908 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.119485 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0784193 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.159876 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0247995 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.156087 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0581015 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.272725 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.037041 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.307785 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.27595 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.102704 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0222745 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.169489 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0210414 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0250637 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.226673 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.252431 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0202908 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0615522 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0115684 # DEPENDENCYPART_SIBL
(3,20),(3,23),-0.0273132 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0397742 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00225638 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.135746 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.247095 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.194727 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00288718 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0838935 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0541787 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0534068 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0810368 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.119491 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00317508 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.761111 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00617762 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0749291 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.00317508 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0810183 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.138061 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0724679 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.207794 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.34407 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.178862 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0364319 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00903754 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0124284 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0747973 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.131769 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00520012 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.123063 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0236569 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0304052 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00520012 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.152253 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0937061 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0291696 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.196856 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0909222 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.123848 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.106882 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0732528 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0877111 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0030783 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.118713 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0540318 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0744376 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.000414084 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.118713 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0351298 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0830232 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00164965 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0914791 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.241091 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0754093 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.295352 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.109469 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.359576 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.193009 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0381643 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.157412 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0288267 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.193009 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0381005 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.038226 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0288489 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0328149 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.19282 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.159498 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.226263 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.108915 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0594364 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0478329 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.158494 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.148084 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0594364 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.296221 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.235804 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.148084 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.18682 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00453786 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0925695 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.00719505 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0354051 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0599181 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0439497 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.045397 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0354051 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0709043 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0376537 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0453969 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.00828288 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.000946086 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0629884 # DEPENDENCYPART_SIBL
